,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Phil Mickelson,85,26.29,388,1476,26
1,2,2,Davis Love III,75,25.19,340,1350,20
2,3,3,Tiger Woods,76,24.93,341,1368,5
3,4,4,David Toms,100,24.48,423,1728,7
4,5,5,David Duval,78,24.35,320,1314,41
5,6,6,Kenny Perry,94,24.22,388,1602,8
6,7,7,Mark Calcavecchia,81,24.12,343,1422,63
7,8,8,Chris DiMarco,108,24.11,447,1854,15
8,9,9,Vijay Singh,98,24.09,399,1656,30
9,10,10,Scott McCarron,98,23.94,405,1692,25
10,11,11,Jeff Sluman,106,23.56,441,1872,22
11,12,12,Frank Lickliter II,102,23.37,429,1836,48
12,13,13,Sergio Garcia,64,23.33,252,1080,55
13,14,14,John Daly,84,23.31,344,1476,70
14,15,15,Scott Verplank,99,23.2,405,1746,14
15,16,16,Rocco Mediate,69,23.03,286,1242,12
16,17,17,Tom Lehman,82,23.0,327,1422,1
17,18,18,Cameron Beckman,103,22.9,408,1782,42
18,19,19,Charles Howell III,89,22.75,348,1530,2
19,20,20,Bob Estes,91,22.73,360,1584,45
20,21,21,Chris Smith,101,22.62,399,1764,16
21,22,22,Jim Furyk,88,22.6,358,1584,17
22,23,23,Scott Hoch,84,22.55,341,1512,75
23,24,24,Bernhard Langer,62,22.5,247,1098,46
24,25,25,Stewart Cink,102,22.45,392,1746,29
25,26,26,Steve Flesch,112,22.43,432,1926,57
26,27,27,Stuart Appleby,105,22.39,395,1764,143
27,28,28,Brett Quigley,67,22.22,252,1134,86
28,29,29,Bob Tway,109,22.17,423,1908,5
29,30,30,Stephen Ames,88,22.16,335,1512,36
30,31,31,Dudley Hart,80,22.15,299,1350,37
31,32,32,Justin Leonard,106,22.11,394,1782,81
32,33,33,Brian Gay,114,22.07,445,2016,80
33,34,34,Billy Mayfair,102,22.06,397,1800,27
34,35,35,Jay Haas,75,21.91,284,1296,39
35,T36,T36,Russ Cochran,76,21.84,287,1314,58
36,T36,T36,John Cook,91,21.84,346,1584,3
37,38,38,Kirk Triplett,88,21.82,326,1494,19
38,39,39,Chris Riley,104,21.78,392,1800,134
39,40,40,Joel Edwards,99,21.77,388,1782,35
40,41,41,Kaname Yokoo,81,21.74,317,1458,127
41,42,42,Paul Azinger,79,21.73,309,1422,34
42,43,43,Skip Kendall,111,21.71,422,1944,77
43,44,44,Kevin Sutherland,101,21.66,382,1764,23
44,T45,T45,Greg Chalmers,92,21.6,346,1602,103
45,T45,T45,Joe Durant,80,21.6,311,1440,4
46,T47,T47,Lee Janzen,96,21.56,357,1656,62
47,T47,T47,Jerry Kelly,104,21.56,392,1818,31
48,T49,T49,Jonathan Kaye,116,21.53,434,2016,74
49,T49,T49,Paul Stankowski,91,21.53,341,1584,85
50,51,51,Brad Faxon,95,21.52,337,1566,117
51,T52,T52,Harrison Frazar,88,21.49,325,1512,87
52,T52,T52,Jesper Parnevik,91,21.49,352,1638,82
53,T54,T54,Brandt Jobe,96,21.45,363,1692,40
54,T54,T54,Shigeki Maruyama,98,21.45,363,1692,107
55,T56,T56,Jeff Maggert,84,21.43,324,1512,67
56,T56,T56,Brian Watts,56,21.43,216,1008,106
57,58,58,Steve Lowery,100,21.42,374,1746,51
58,59,59,Tom Pernice Jr.,106,21.41,393,1836,157
59,60,60,Joe Ogilvie,110,21.4,416,1944,185
60,61,61,Steve Stricker,73,21.37,250,1170,175
61,62,62,Olin Browne,99,21.35,369,1728,49
62,63,63,David Frost,87,21.33,334,1566,180
63,T64,T64,Fred Couples,68,21.32,261,1224,24
64,T64,T64,Mike Weir,86,21.32,330,1548,60
65,66,66,Carlos Franco,87,21.26,333,1566,111
66,67,67,Tommy Tolles,89,21.25,329,1548,108
67,68,68,Edward Fryatt,93,21.22,340,1602,110
68,69,69,Ernie Els,70,21.2,229,1080,99
