,Par_5_Scoring_Average_RANK THIS WEEK,Par_5_Scoring_Average_RANK LAST WEEK,Par_5_Scoring_Average_PLAYER NAME,Par_5_Scoring_Average_ROUNDS,Par_5_Scoring_Average_AVG,Par_5_Scoring_Average_TOTAL STROKES,Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,76,4.39,1076,245
1,2,2,Vijay Singh,98,4.44,1318,297
2,3,3,Phil Mickelson,85,4.46,1192,267
3,4,4,David Duval,78,4.48,1034,231
4,T5,T5,Jesper Parnevik,91,4.52,1330,294
5,T5,T5,Mike Weir,86,4.52,1261,279
6,T7,T7,Charles Howell III,89,4.53,1336,295
7,T7,T7,Davis Love III,75,4.53,1105,244
8,T9,T9,Stuart Appleby,105,4.54,1493,329
9,T9,T9,Jeff Sluman,106,4.54,1631,359
10,T11,T11,Mark Calcavecchia,81,4.55,1209,266
11,T11,T11,Scott McCarron,98,4.55,1482,326
12,T13,T13,Chris DiMarco,108,4.56,1567,344
13,T13,T13,Kevin Sutherland,101,4.56,1577,346
14,15,15,Frank Lickliter II,102,4.57,1557,341
15,T16,T16,Fred Couples,68,4.58,1086,237
16,T16,T16,Sergio Garcia,64,4.58,839,183
17,T16,T16,Shigeki Maruyama,98,4.58,1403,306
18,T16,T16,Billy Mayfair,102,4.58,1579,345
19,T16,T16,Rory Sabbatini,73,4.58,1077,235
20,T16,T16,David Toms,100,4.58,1498,327
21,T22,T22,Stewart Cink,102,4.59,1470,320
22,T22,T22,José Coceres,60,4.59,785,171
23,T22,T22,Carlos Franco,87,4.59,1339,292
24,T22,T22,Scott Hoch,84,4.59,1317,287
25,T22,T22,Tom Lehman,82,4.59,1188,259
26,T22,T22,Kenny Perry,94,4.59,1455,317
27,T22,T22,Nick Price,74,4.59,1065,232
28,T29,T29,Ernie Els,70,4.6,892,194
29,T29,T29,Bob Estes,91,4.6,1292,281
30,T29,T29,Harrison Frazar,88,4.6,1358,295
31,T29,T29,Jim Furyk,88,4.6,1312,285
32,T29,T29,John Huston,64,4.6,933,203
33,T29,T29,Brandt Jobe,96,4.6,1515,329
34,T29,T29,Justin Leonard,106,4.6,1538,334
35,T29,T29,Rocco Mediate,69,4.6,1062,231
36,T29,T29,Steve Stricker,73,4.6,1048,228
37,T38,T38,John Daly,84,4.61,1271,276
38,T38,T38,Brad Faxon,95,4.61,1341,291
39,T38,T38,Steve Flesch,112,4.61,1721,373
40,T38,T38,Dudley Hart,80,4.61,1106,240
41,T38,T38,J.J. Henry,86,4.61,1355,294
42,T38,T38,Jerry Kelly,104,4.61,1644,357
43,T44,T44,Jason Gore,82,4.62,1298,281
44,T44,T44,David Peoples,96,4.62,1492,323
45,T44,T44,Chris Smith,101,4.62,1563,338
46,T44,T44,Kirk Triplett,88,4.62,1276,276
47,T48,T48,Stephen Ames,88,4.63,1397,302
48,T48,T48,Rich Beem,91,4.63,1417,306
49,T48,T48,Olin Browne,99,4.63,1464,316
50,T48,T48,Jim Carter,103,4.63,1571,339
