,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Robert Gamez,68.33,410,6
1,2,2,Tiger Woods,68.74,1306,19
2,3,3,Davis Love III,68.88,1171,17
3,T4,T4,Dudley Hart,69.0,1035,15
4,T4,T4,Joey Sindelar,69.0,690,10
5,6,6,Billy Mayfair,69.14,1452,21
6,7,7,Jay Williamson,69.17,830,12
7,8,8,David Peoples,69.24,1177,17
8,9,9,Glen Day,69.33,1040,15
9,10,10,Nick Price,69.35,1179,17
10,11,11,Craig Perks,69.38,555,8
11,12,12,Bill Glasson,69.43,486,7
12,13,13,Vijay Singh,69.55,1530,22
13,14,14,Jay Haas,69.6,1044,15
14,15,15,Charles Howell III,69.68,1324,19
15,16,16,Joe Durant,69.71,976,14
16,T17,T17,Ian Leggatt,69.75,837,12
17,T17,T17,Tom Lehman,69.75,1116,16
18,19,19,Kirk Triplett,69.76,1186,17
19,20,20,Michael Muehr,69.79,977,14
20,21,21,Kenny Perry,69.85,1397,20
21,22,22,Olin Browne,69.89,1258,18
22,T23,T23,Jim Furyk,69.95,1329,19
23,T23,T23,David Toms,69.95,1539,22
24,25,25,Scott Verplank,69.96,1609,23
25,T26,T26,Sergio Garcia,70.0,910,13
26,T26,T26,J.J. Henry,70.0,980,14
27,28,28,Brian Gay,70.04,1611,23
28,T29,T29,Stewart Cink,70.1,1402,20
29,T29,T29,Shigeki Maruyama,70.1,1472,21
30,31,31,Bob Estes,70.11,1332,19
31,32,32,Stephen Ames,70.12,1192,17
32,T33,T33,John Cook,70.15,1403,20
33,T33,T33,Larry Mize,70.15,912,13
34,T35,T35,Billy Andrade,70.17,842,12
35,T35,T35,Neal Lancaster,70.17,1263,18
36,37,37,Joel Edwards,70.21,1334,19
37,38,38,Jeff Sluman,70.23,1545,22
38,39,39,Esteban Toledo,70.24,1475,21
39,40,40,Jimmy Green,70.25,843,12
40,T41,T41,Steve Flesch,70.27,1546,22
41,T41,T41,Fred Funk,70.27,1827,26
42,T41,T41,Paul Gow,70.27,773,11
43,T41,T41,Skip Kendall,70.27,1546,22
44,T45,T45,Rich Beem,70.29,984,14
45,T45,T45,Jeff Maggert,70.29,984,14
46,T45,T45,Jesper Parnevik,70.29,1476,21
47,48,48,Kevin Sutherland,70.3,1406,20
48,49,49,Justin Leonard,70.35,1407,20
49,50,50,Frank Lickliter II,70.38,1478,21
50,51,51,Tim Herron,70.39,1267,18
51,T52,T52,Briny Baird,70.4,1408,20
52,T52,T52,Cameron Beckman,70.4,1408,20
53,54,54,Scott Hoch,70.41,1197,17
54,55,55,Phil Mickelson,70.42,1338,19
55,T56,T56,Steve Stricker,70.43,986,14
56,T56,T56,Jean Van de Velde,70.43,493,7
57,58,58,Brent Geiberger,70.44,1127,16
58,59,59,Chris Riley,70.45,1409,20
59,60,60,Scott Simpson,70.46,916,13
60,61,61,David Duval,70.47,1198,17
61,T62,T62,Matt Gogel,70.5,987,14
62,T62,T62,Hal Sutton,70.5,1551,22
63,64,64,John Daly,70.56,1129,16
64,T65,T65,Fulton Allem,70.57,494,7
65,T65,T65,Edward Fryatt,70.57,988,14
66,T67,T67,Paul Goydos,70.58,847,12
67,T67,T67,Brett Quigley,70.58,847,12
68,T67,T67,Bob Tway,70.58,1694,24
69,70,70,Scott McCarron,70.59,1553,22
70,71,71,David Frost,70.6,1059,15
71,72,72,Bernhard Langer,70.64,989,14
72,73,73,Kelly Grunewald,70.67,424,6
73,74,74,Brad Faxon,70.68,1343,19
74,75,75,Pete Jordan,70.69,1131,16
75,76,76,Brian Henninger,70.7,707,10
76,T77,T77,Russ Cochran,70.71,990,14
77,T77,T77,Rocco Mediate,70.71,990,14
78,79,79,K.J. Choi,70.78,1274,18
79,80,80,Mark Brooks,70.81,1133,16
80,81,81,Jason Gore,70.82,779,11
81,82,82,Jay Don Blake,70.83,1275,18
82,83,83,Mike Weir,70.85,1417,20
83,T84,T84,Craig Barlow,70.86,992,14
84,T84,T84,Steve Lowery,70.86,1559,22
85,86,86,Chris DiMarco,70.88,1701,24
86,T87,T87,Chris Smith,70.89,1347,19
87,T87,T87,Mike Sposa,70.89,1276,18
88,89,89,Joe Ogilvie,70.9,1418,20
89,T90,T90,Blaine McCallister,70.91,780,11
90,T90,T90,Tommy Tolles,70.91,780,11
91,92,92,Steve Elkington,70.92,851,12
92,T93,T93,Tripp Isenhour,70.93,1064,15
93,T93,T93,Jerry Smith,70.93,1064,15
94,T95,T95,Mark Calcavecchia,70.94,1135,16
95,T95,T95,Bob May,70.94,1135,16
96,T95,T95,Tom Pernice Jr.,70.94,1277,18
97,T95,T95,John Riegger,70.94,1206,17
98,99,99,Stuart Appleby,70.95,1490,21
99,T100,T100,Paul Azinger,71.0,1349,19
100,T100,T100,Per-Ulrik Johansson,71.0,781,11
101,T100,T100,Len Mattiace,71.0,1278,18
102,T100,T100,José María Olazábal,71.0,639,9
103,T100,T100,Loren Roberts,71.0,1207,17
104,T100,T100,Mark Wiebe,71.0,568,8
105,T100,T100,Brian Wilson,71.0,852,12
106,T100,T100,Willie Wood,71.0,710,10
107,T100,T100,Kaname Yokoo,71.0,923,13
108,109,109,Frank Nobilo,71.06,1208,17
109,T110,T110,Kevin Johnson,71.07,995,14
110,T110,T110,Corey Pavin,71.07,995,14
111,T112,T112,John Huston,71.09,782,11
112,T112,T112,Craig Parry,71.09,782,11
113,T112,T112,Brent Schwarzrock,71.09,782,11
114,T115,T115,Cliff Kresge,71.1,711,10
115,T115,T115,Andrew McLardy,71.1,711,10
116,117,117,Ronnie Black,71.11,640,9
117,118,118,Harrison Frazar,71.12,1209,17
118,119,119,Bob Burns,71.13,1067,15
119,T120,T120,Fred Couples,71.14,996,14
120,T120,T120,Ben Ferguson,71.14,498,7
121,T120,T120,Chris Perry,71.14,996,14
122,123,123,Jeff Brehaut,71.15,925,13
123,124,124,Jonathan Kaye,71.17,1708,24
124,T125,T125,Brad Elder,71.2,1424,20
125,T125,T125,Danny Ellis,71.2,712,10
126,127,127,Mark O'Meara,71.25,855,12
127,128,128,Donnie Hammond,71.27,784,11
128,T129,T129,Gabriel Hjertstedt,71.29,499,7
129,T129,T129,Spike McRoy,71.29,998,14
130,T131,T131,Glen Hnatiuk,71.3,1426,20
131,T131,T131,Ted Tryba,71.3,1426,20
132,T133,T133,Tom Byrum,71.33,1070,15
133,T133,T133,Rory Sabbatini,71.33,856,12
134,T133,T133,Rocky Walcher,71.33,214,3
135,136,136,Jerry Kelly,71.35,1427,20
136,137,137,José Coceres,71.36,785,11
137,138,138,Dennis Paulson,71.42,857,12
138,T139,T139,"David Berganio, Jr.",71.43,1000,14
139,T139,T139,Brandel Chamblee,71.43,1000,14
140,T139,T139,Kent Jones,71.43,500,7
141,T142,T142,Woody Austin,71.46,929,13
142,T142,T142,Ernie Els,71.46,929,13
143,144,144,Chris Tidland,71.5,858,12
144,145,145,J.L. Lewis,71.55,1574,22
145,146,146,Jeremy Anderson,71.57,501,7
146,T147,T147,Robert Allenby,71.58,1718,24
147,T147,T147,Greg Chalmers,71.58,1360,19
148,T147,T147,Brian Watts,71.58,859,12
149,150,150,Brandt Jobe,71.59,1217,17
150,151,151,J.P. Hayes,71.64,1003,14
151,152,152,Jim Carter,71.65,1648,23
152,153,153,Doug Dunakey,71.67,645,9
153,154,154,Franklin Langham,71.7,717,10
154,155,155,Greg Kraft,71.72,1291,18
155,156,156,Jeff Hart,71.73,1076,15
156,T157,T157,Steve Allan,71.75,861,12
157,T157,T157,Michael Clark II,71.75,861,12
158,T157,T157,Grant Waite,71.75,861,12
159,160,160,Jim McGovern,71.91,791,11
160,T161,T161,Dan Forsman,71.93,1079,15
161,T161,T161,Lee Porter,71.93,1079,15
162,T163,T163,Lee Janzen,72.0,1224,17
163,T163,T163,Steve Jones,72.0,720,10
164,T163,T163,Craig Kanada,72.0,792,11
165,T163,T163,Paul Stankowski,72.0,1296,18
166,167,167,Carl Paulson,72.06,1153,16
167,168,168,Steve Pate,72.07,1009,14
168,169,169,Tommy Armour III,72.08,937,13
169,170,170,Carlos Franco,72.12,1226,17
170,171,171,Ben Bates,72.13,577,8
171,172,172,Robert Damron,72.17,1299,18
172,T173,T173,Robin Freeman,72.18,1227,17
173,T173,T173,Duffy Waldorf,72.18,794,11
174,175,175,Bradley Hughes,72.21,1011,14
175,176,176,Scott Dunlap,72.23,939,13
176,T177,T177,Dicky Pride,72.25,867,12
177,T177,T177,"Dave Stockton, Jr.",72.25,578,8
178,T179,T179,Mark Hensby,72.29,506,7
179,T179,T179,Geoff Ogilvy,72.29,506,7
180,T181,T181,Keith Clearwater,72.43,507,7
181,T181,T181,David Morland IV,72.43,1014,14
182,183,183,Gary Nicklaus,72.5,870,12
183,184,184,Garrett Willis,72.55,798,11
184,185,185,Richie Coughlan,72.63,581,8
185,186,186,Marco Dawson,73.0,730,10
186,187,187,Sean Murphy,73.13,585,8
187,188,188,Shaun Micheel,73.19,1171,16
188,189,189,Mathew Goggin,73.21,1025,14
189,190,190,Hunter Haas,73.38,587,8
190,191,191,Jeff Julian,73.8,369,5
191,192,192,Andrew Magee,73.93,1109,15
192,193,193,Tom Scherrer,74.14,519,7
193,194,194,Doug Barron,74.57,522,7
