,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,T1,T1,Greg Chalmers,92,100.0,2.0,2
1,T1,T1,Sean Murphy,70,100.0,1.0,1
2,T3,T3,Scott Simpson,73,50.0,2.0,4
3,T3,T3,Chris Tidland,83,50.0,1.0,2
4,T3,T3,David Toms,100,50.0,5.0,10
5,6,6,Jim Furyk,88,47.06,8.0,17
6,7,7,Neal Lancaster,107,46.15,6.0,13
7,T8,T8,David Duval,78,40.0,6.0,15
8,T8,T8,Gary Nicklaus,96,40.0,2.0,5
9,T10,T10,Mark Calcavecchia,81,33.33,3.0,9
10,T10,T10,Ernie Els,70,33.33,5.0,15
11,T10,T10,Carlos Franco,87,33.33,4.0,12
12,T10,T10,Fred Funk,118,33.33,3.0,9
13,T10,T10,Brent Geiberger,84,33.33,3.0,9
14,T10,T10,Mike Weir,86,33.33,3.0,9
15,T16,T16,Olin Browne,99,30.0,3.0,10
16,T16,T16,Sergio Garcia,64,30.0,3.0,10
17,T16,T16,Bill Glasson,69,30.0,3.0,10
18,T16,T16,Bradley Hughes,96,30.0,3.0,10
19,T20,T20,Stuart Appleby,105,28.57,4.0,14
20,T20,T20,"David Berganio, Jr.",76,28.57,2.0,7
21,T20,T20,Garrett Willis,88,28.57,2.0,7
22,23,23,Kevin Sutherland,101,27.27,3.0,11
23,24,24,Chris DiMarco,108,26.92,7.0,26
24,25,25,Danny Ellis,76,26.67,4.0,15
25,T26,T26,Russ Cochran,76,25.0,3.0,12
26,T26,T26,Tripp Isenhour,92,25.0,1.0,4
27,T26,T26,Billy Mayfair,102,25.0,6.0,24
28,T26,T26,Shaun Micheel,103,25.0,3.0,12
29,T26,T26,Mark O'Meara,69,25.0,2.0,8
30,T26,T26,Craig Perks,78,25.0,2.0,8
31,T26,T26,Lee Porter,93,25.0,1.0,4
32,T26,T26,Dicky Pride,78,25.0,1.0,4
33,T26,T26,Paul Stankowski,91,25.0,2.0,8
34,35,35,Shigeki Maruyama,98,23.08,3.0,13
35,36,36,David Peoples,96,22.22,2.0,9
36,T37,T37,Per-Ulrik Johansson,82,21.43,3.0,14
37,T37,T37,Nick Price,74,21.43,3.0,14
38,T39,T39,Fulton Allem,56,20.0,1.0,5
39,T39,T39,Paul Azinger,79,20.0,3.0,15
40,T39,T39,Bob Burns,92,20.0,1.0,5
41,T39,T39,Stewart Cink,102,20.0,5.0,25
42,T39,T39,Matt Gogel,83,20.0,1.0,5
43,T39,T39,Jonathan Kaye,116,20.0,3.0,15
44,T39,T39,Tiger Woods,76,20.0,2.0,10
45,46,46,Rory Sabbatini,73,19.05,4.0,21
46,T47,T47,Harrison Frazar,88,18.75,3.0,16
47,T47,T47,Lee Janzen,96,18.75,3.0,16
48,T47,T47,Scott McCarron,98,18.75,3.0,16
49,T50,T50,Cameron Beckman,103,18.18,2.0,11
50,T50,T50,Michael Clark II,87,18.18,2.0,11
51,T50,T50,John Cook,91,18.18,2.0,11
52,T50,T50,Steve Elkington,64,18.18,2.0,11
53,54,54,Vijay Singh,98,17.86,5.0,28
54,T55,T55,Glen Day,89,17.65,3.0,17
55,T55,T55,Bob Tway,109,17.65,3.0,17
56,T57,T57,Fred Couples,68,16.67,1.0,6
57,T57,T57,David Frost,87,16.67,2.0,12
58,T57,T57,Greg Kraft,105,16.67,2.0,12
59,T57,T57,Bernhard Langer,62,16.67,1.0,6
60,T57,T57,Len Mattiace,98,16.67,1.0,6
61,T57,T57,Corey Pavin,72,16.67,1.0,6
62,T57,T57,Tom Scherrer,69,16.67,1.0,6
63,T57,T57,Kirk Triplett,88,16.67,1.0,6
64,65,65,Jesper Parnevik,91,15.79,3.0,19
65,T66,T66,José Coceres,60,15.38,2.0,13
66,T66,T66,Charles Howell III,89,15.38,2.0,13
67,T66,T66,Davis Love III,75,15.38,4.0,26
