,Tenth_Tee_Early_Round_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_4_Scoring_Average_AVG,Tenth_Tee_Early_Round_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,65.0,65,1
1,2,2,Kenny Perry,65.5,131,2
2,3,3,Robert Damron,66.0,66,1
3,T4,T4,Tom Byrum,67.0,67,1
4,T4,T4,Stewart Cink,67.0,67,1
5,T4,T4,Fred Couples,67.0,67,1
6,T4,T4,Fred Funk,67.0,134,2
7,T4,T4,Grant Waite,67.0,67,1
8,9,9,Carl Paulson,67.5,135,2
9,T10,T10,Rocky Walcher,68.0,68,1
10,T10,T10,Kaname Yokoo,68.0,68,1
11,12,12,Shigeki Maruyama,68.5,137,2
12,T13,T13,Robert Allenby,69.0,69,1
13,T13,T13,"David Berganio, Jr.",69.0,69,1
14,T13,T13,Olin Browne,69.0,69,1
15,T13,T13,Brad Elder,69.0,69,1
16,T13,T13,Mike Weir,69.0,69,1
17,T18,T18,Tom Pernice Jr.,69.5,139,2
18,T18,T18,Brian Wilson,69.5,139,2
19,20,20,Blaine McCallister,69.67,209,3
20,T21,T21,Jay Don Blake,70.0,140,2
21,T21,T21,John Cook,70.0,70,1
22,T21,T21,Glen Day,70.0,70,1
23,T21,T21,Joe Durant,70.0,70,1
24,T21,T21,Steve Flesch,70.0,70,1
25,T21,T21,Len Mattiace,70.0,70,1
26,T21,T21,Rory Sabbatini,70.0,70,1
27,T21,T21,Mike Sposa,70.0,70,1
28,T29,T29,Jim Carter,71.0,71,1
29,T29,T29,J.J. Henry,71.0,71,1
30,T29,T29,Andrew McLardy,71.0,71,1
31,T29,T29,Spike McRoy,71.0,71,1
32,T29,T29,Jesper Parnevik,71.0,71,1
33,T29,T29,David Peoples,71.0,71,1
34,T35,T35,Cameron Beckman,72.0,72,1
35,T35,T35,Mathew Goggin,72.0,72,1
36,T35,T35,Frank Nobilo,72.0,72,1
37,T38,T38,Kevin Sutherland,73.0,73,1
38,T38,T38,Ted Tryba,73.0,73,1
39,T40,T40,Brad Faxon,74.0,74,1
40,T40,T40,Steve Lowery,74.0,74,1
41,T40,T40,Larry Mize,74.0,74,1
42,43,43,Harrison Frazar,75.0,75,1
43,44,44,Andrew Magee,78.0,78,1
