,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Rory Sabbatini,73,63.5,127,2
1,2,2,Brian Henninger,81,64.0,64,1
2,T3,T3,Russ Cochran,76,66.0,66,1
3,T3,T3,Kirk Triplett,88,66.0,66,1
4,T5,T5,Cameron Beckman,103,67.0,201,3
5,T5,T5,Brandt Jobe,96,67.0,67,1
6,T5,T5,David Peoples,96,67.0,134,2
7,8,8,Bob Estes,91,67.11,604,9
8,9,9,Davis Love III,75,67.38,539,8
9,T10,T10,Sergio Garcia,64,67.5,270,4
10,T10,T10,John Huston,64,67.5,135,2
11,T12,T12,Scott Verplank,99,67.6,338,5
12,T12,T12,Mike Weir,86,67.6,338,5
13,14,14,Robin Freeman,105,67.67,203,3
14,15,15,Per-Ulrik Johansson,82,67.75,271,4
15,16,16,Scott McCarron,98,67.8,339,5
16,T17,T17,David Duval,78,67.83,407,6
17,T17,T17,Kenny Perry,94,67.83,407,6
18,T19,T19,Jay Don Blake,100,68.0,68,1
19,T19,T19,Robert Damron,91,68.0,68,1
20,T19,T19,Marco Dawson,57,68.0,68,1
21,T19,T19,Mathew Goggin,96,68.0,68,1
22,T19,T19,Jeff Hart,87,68.0,68,1
23,T19,T19,Neal Lancaster,107,68.0,272,4
24,T19,T19,Tom Lehman,82,68.0,340,5
25,T19,T19,Andrew McLardy,75,68.0,68,1
26,T19,T19,Chris Perry,80,68.0,68,1
27,28,28,Stuart Appleby,105,68.25,273,4
28,29,29,Charles Howell III,89,68.33,205,3
29,30,30,Chris Riley,104,68.4,342,5
30,T31,T31,John Cook,91,68.5,137,2
31,T31,T31,Justin Leonard,106,68.5,137,2
32,T31,T31,Bob May,86,68.5,274,4
33,T31,T31,Jesper Parnevik,91,68.5,274,4
34,T31,T31,Nick Price,74,68.5,137,2
35,T36,T36,Danny Ellis,76,68.6,343,5
36,T36,T36,Ernie Els,70,68.6,343,5
37,38,38,Chris DiMarco,108,68.64,755,11
38,39,39,Tiger Woods,76,68.67,412,6
39,40,40,David Toms,100,68.8,344,5
40,41,41,Vijay Singh,98,68.86,482,7
41,T42,T42,Fulton Allem,56,69.0,345,5
42,T42,T42,Woody Austin,99,69.0,207,3
43,T42,T42,Briny Baird,106,69.0,69,1
44,T42,T42,David Frost,87,69.0,207,3
45,T42,T42,Greg Kraft,105,69.0,69,1
46,T42,T42,Shaun Micheel,103,69.0,345,5
47,T42,T42,Frank Nobilo,91,69.0,138,2
48,T42,T42,Bob Tway,109,69.0,207,3
49,50,50,Billy Mayfair,102,69.2,346,5
50,51,51,José Coceres,60,69.25,277,4
51,52,52,Mike Sposa,96,69.4,347,5
52,T53,T53,Joel Edwards,99,69.5,278,4
53,T53,T53,Steve Flesch,112,69.5,278,4
54,T53,T53,Carlos Franco,87,69.5,139,2
55,T53,T53,Jim Furyk,88,69.5,139,2
56,T53,T53,Skip Kendall,111,69.5,278,4
57,T53,T53,Steve Lowery,100,69.5,278,4
58,T53,T53,Blaine McCallister,80,69.5,139,2
59,T53,T53,Carl Paulson,93,69.5,139,2
60,61,61,Lee Janzen,96,69.6,348,5
61,T62,T62,Glen Day,89,69.67,209,3
62,T62,T62,Kent Jones,74,69.67,209,3
63,64,64,Jeff Maggert,84,69.75,279,4
64,65,65,Tommy Armour III,93,69.8,349,5
65,T66,T66,Stephen Ames,88,70.0,70,1
66,T66,T66,Paul Azinger,79,70.0,70,1
67,T66,T66,Greg Chalmers,92,70.0,70,1
68,T66,T66,John Daly,84,70.0,210,3
69,T66,T66,Joe Durant,80,70.0,210,3
70,T66,T66,Steve Elkington,64,70.0,70,1
71,T66,T66,Brad Faxon,95,70.0,70,1
72,T66,T66,Harrison Frazar,88,70.0,70,1
73,T66,T66,Matt Gogel,83,70.0,280,4
74,T66,T66,Craig Kanada,80,70.0,70,1
75,T66,T66,Bernhard Langer,62,70.0,210,3
76,T66,T66,Andrew Magee,97,70.0,280,4
77,T66,T66,Rocco Mediate,69,70.0,210,3
78,T66,T66,Dennis Paulson,75,70.0,70,1
79,T80,T80,Mark Brooks,88,70.33,211,3
80,T80,T80,Stewart Cink,102,70.33,211,3
81,T80,T80,John Riegger,86,70.33,211,3
82,T83,T83,Brian Gay,114,70.5,282,4
83,T83,T83,Kevin Johnson,93,70.5,141,2
84,T83,T83,Tom Pernice Jr.,106,70.5,282,4
85,T83,T83,Ted Tryba,110,70.5,141,2
86,87,87,Scott Simpson,73,70.67,212,3
87,T88,T88,Jim Carter,103,71.0,71,1
88,T88,T88,Scott Dunlap,80,71.0,71,1
89,T88,T88,Bill Glasson,69,71.0,284,4
90,T88,T88,Kelly Grunewald,66,71.0,71,1
91,T88,T88,Steve Jones,75,71.0,71,1
92,T88,T88,Pete Jordan,105,71.0,213,3
93,T88,T88,Jerry Kelly,104,71.0,142,2
94,T88,T88,Ian Leggatt,84,71.0,213,3
95,T88,T88,J.L. Lewis,108,71.0,142,2
96,T88,T88,Len Mattiace,98,71.0,71,1
97,T88,T88,Larry Mize,76,71.0,71,1
98,T88,T88,David Morland IV,88,71.0,71,1
99,T88,T88,Mark O'Meara,69,71.0,213,3
100,T88,T88,Lee Porter,93,71.0,213,3
101,T88,T88,Jeff Sluman,106,71.0,142,2
102,T88,T88,Garrett Willis,88,71.0,71,1
103,T88,T88,Kaname Yokoo,81,71.0,142,2
104,105,105,Michael Clark II,87,71.25,285,4
105,T106,T106,Robert Allenby,108,71.33,214,3
106,T106,T106,Jonathan Kaye,116,71.33,214,3
107,T106,T106,Spike McRoy,95,71.33,214,3
108,T106,T106,Steve Pate,89,71.33,214,3
109,T110,T110,Steve Allan,88,71.5,143,2
110,T110,T110,Tim Herron,97,71.5,143,2
111,T110,T110,Tommy Tolles,89,71.5,143,2
112,T110,T110,Grant Waite,78,71.5,143,2
113,114,114,Duffy Waldorf,77,71.67,215,3
114,T115,T115,Jeremy Anderson,69,72.0,72,1
115,T115,T115,Bob Burns,92,72.0,144,2
116,T115,T115,Keith Clearwater,62,72.0,216,3
117,T115,T115,Fred Couples,68,72.0,216,3
118,T115,T115,Fred Funk,118,72.0,144,2
119,T115,T115,Bradley Hughes,96,72.0,144,2
120,T115,T115,Tripp Isenhour,92,72.0,72,1
121,T115,T115,Gary Nicklaus,96,72.0,144,2
122,T115,T115,Corey Pavin,72,72.0,72,1
123,T115,T115,Loren Roberts,84,72.0,72,1
124,T115,T115,Chris Smith,101,72.0,216,3
125,T115,T115,Jay Williamson,92,72.0,72,1
126,T127,T127,Tom Byrum,85,72.33,217,3
127,T127,T127,Jimmy Green,94,72.33,217,3
128,129,129,Mark Calcavecchia,81,72.5,145,2
129,130,130,Chris Tidland,83,72.67,218,3
130,T131,T131,Doug Barron,62,73.0,73,1
131,T131,T131,"David Berganio, Jr.",76,73.0,73,1
132,T131,T131,Olin Browne,99,73.0,219,3
133,T131,T131,Doug Dunakey,83,73.0,73,1
134,T131,T131,Jerry Smith,95,73.0,73,1
135,T131,T131,Mark Wiebe,62,73.0,73,1
136,T131,T131,Brian Wilson,88,73.0,73,1
137,138,138,Craig Parry,68,73.33,220,3
138,139,139,Dicky Pride,78,73.5,147,2
139,T140,T140,Billy Andrade,82,74.0,74,1
140,T140,T140,Brad Elder,111,74.0,74,1
141,T140,T140,Jason Gore,82,74.0,74,1
142,T140,T140,Paul Gow,79,74.0,74,1
143,T140,T140,J.J. Henry,86,74.0,74,1
144,T140,T140,Glen Hnatiuk,104,74.0,74,1
145,T140,T140,Scott Hoch,84,74.0,74,1
146,T140,T140,Paul Stankowski,91,74.0,74,1
147,T140,T140,Kevin Sutherland,101,74.0,74,1
148,149,149,Tom Scherrer,69,74.33,223,3
149,T150,T150,Frank Lickliter II,102,74.5,149,2
150,T150,T150,Joe Ogilvie,110,74.5,149,2
151,T152,T152,Hunter Haas,78,76.0,152,2
152,T152,T152,Gabriel Hjertstedt,76,76.0,76,1
153,154,154,Esteban Toledo,116,76.5,153,2
154,T155,T155,Mark Hensby,71,77.0,77,1
155,T155,T155,Craig Perks,78,77.0,77,1
