,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,John Daly,84,62.0,62,1
1,T2,T2,Michael Clark II,87,64.0,64,1
2,T2,T2,David Duval,78,64.0,128,2
3,T4,T4,Doug Barron,62,65.0,65,1
4,T4,T4,Matt Gogel,83,65.0,65,1
5,T4,T4,Craig Parry,68,65.0,130,2
6,T4,T4,David Toms,100,65.0,130,2
7,8,8,Danny Ellis,76,66.0,132,2
8,9,9,Tom Lehman,82,66.25,265,4
9,10,10,Steve Flesch,112,66.8,334,5
10,T11,T11,Fred Couples,68,67.0,134,2
11,T11,T11,John Huston,64,67.0,67,1
12,T11,T11,Skip Kendall,111,67.0,201,3
13,T11,T11,Jeff Maggert,84,67.0,67,1
14,T11,T11,Spike McRoy,95,67.0,67,1
15,T11,T11,Corey Pavin,72,67.0,67,1
16,T17,T17,Bernhard Langer,62,67.25,269,4
17,T17,T17,Craig Perks,78,67.25,269,4
18,19,19,Olin Browne,99,67.33,202,3
19,20,20,Ben Ferguson,76,67.5,135,2
20,21,21,Davis Love III,75,67.67,406,6
21,T22,T22,Steve Allan,88,68.0,68,1
22,T22,T22,Robert Allenby,108,68.0,408,6
23,T22,T22,Billy Andrade,82,68.0,68,1
24,T22,T22,Woody Austin,99,68.0,204,3
25,T22,T22,Jeff Hart,87,68.0,136,2
26,T22,T22,Kevin Johnson,93,68.0,68,1
27,T22,T22,Jim McGovern,66,68.0,68,1
28,T22,T22,José María Olazábal,51,68.0,68,1
29,T22,T22,Lee Porter,93,68.0,136,2
30,T22,T22,Nick Price,74,68.0,340,5
31,T22,T22,Esteban Toledo,116,68.0,68,1
32,T22,T22,Mike Weir,86,68.0,68,1
33,T34,T34,Briny Baird,106,68.33,205,3
34,T34,T34,Jason Gore,82,68.33,205,3
35,T36,T36,Jeremy Anderson,69,68.5,137,2
36,T36,T36,Bob Estes,91,68.5,137,2
37,T36,T36,Greg Kraft,105,68.5,548,8
38,T36,T36,Chris Riley,104,68.5,137,2
39,T36,T36,Tiger Woods,76,68.5,2877,42
40,T41,T41,Mark Calcavecchia,81,68.67,206,3
41,T41,T41,Chris DiMarco,108,68.67,206,3
42,T41,T41,Charles Howell III,89,68.67,412,6
43,T41,T41,Cliff Kresge,84,68.67,206,3
44,45,45,Lee Janzen,96,68.75,275,4
45,T46,T46,Scott McCarron,98,68.8,344,5
46,T46,T46,Kevin Sutherland,101,68.8,344,5
47,48,48,Scott Verplank,99,68.83,413,6
48,T49,T49,"David Berganio, Jr.",76,69.0,69,1
49,T49,T49,Jay Don Blake,100,69.0,276,4
50,T49,T49,José Coceres,60,69.0,138,2
51,T49,T49,Carlos Franco,87,69.0,138,2
52,T49,T49,David Frost,87,69.0,207,3
53,T49,T49,Robert Gamez,59,69.0,69,1
54,T49,T49,Kelly Grunewald,66,69.0,69,1
55,T49,T49,Andrew McLardy,75,69.0,69,1
56,T49,T49,Sean Murphy,70,69.0,69,1
57,T49,T49,Loren Roberts,84,69.0,138,2
58,T49,T49,Paul Stankowski,91,69.0,207,3
59,T49,T49,Grant Waite,78,69.0,138,2
60,T49,T49,Brian Wilson,88,69.0,207,3
61,62,62,Frank Lickliter II,102,69.17,415,6
62,63,63,Glen Day,89,69.2,346,5
63,64,64,Bob Tway,109,69.25,277,4
64,T65,T65,John Cook,91,69.33,208,3
65,T65,T65,John Riegger,86,69.33,208,3
66,T65,T65,Vijay Singh,98,69.33,208,3
67,T68,T68,Robin Freeman,105,69.5,139,2
68,T68,T68,Brian Gay,114,69.5,139,2
69,T68,T68,Shigeki Maruyama,98,69.5,139,2
70,T68,T68,Rocky Walcher,59,69.5,139,2
71,72,72,Brent Geiberger,84,69.63,557,8
72,73,73,Paul Goydos,86,69.67,209,3
73,T74,T74,Paul Azinger,79,69.75,558,8
74,T74,T74,Greg Chalmers,92,69.75,279,4
75,76,76,Jerry Smith,95,69.8,349,5
76,77,77,Rory Sabbatini,73,69.83,419,6
77,T78,T78,Stewart Cink,102,70.0,560,8
78,T78,T78,Russ Cochran,76,70.0,210,3
79,T78,T78,Jim Furyk,88,70.0,420,6
80,T78,T78,Bill Glasson,69,70.0,140,2
81,T78,T78,Glen Hnatiuk,104,70.0,140,2
82,T78,T78,Tripp Isenhour,92,70.0,140,2
83,T78,T78,Craig Kanada,80,70.0,70,1
84,T78,T78,Jonathan Kaye,116,70.0,140,2
85,T78,T78,Bob May,86,70.0,70,1
86,T78,T78,Billy Mayfair,102,70.0,420,6
87,T78,T78,Jesper Parnevik,91,70.0,140,2
88,T78,T78,David Peoples,96,70.0,210,3
89,T78,T78,Kenny Perry,94,70.0,140,2
90,T78,T78,Mike Sposa,96,70.0,140,2
91,T78,T78,Kirk Triplett,88,70.0,210,3
92,T93,T93,Joe Durant,80,70.25,281,4
93,T93,T93,Steve Lowery,100,70.25,562,8
94,95,95,Ted Tryba,110,70.33,211,3
95,T96,T96,Tommy Armour III,93,70.5,141,2
96,T96,T96,Brian Henninger,81,70.5,423,6
97,T96,T96,Neal Lancaster,107,70.5,141,2
98,T96,T96,Rocco Mediate,69,70.5,141,2
99,T96,T96,Carl Paulson,93,70.5,282,4
100,T96,T96,Dicky Pride,78,70.5,141,2
101,T96,T96,Garrett Willis,88,70.5,141,2
102,T96,T96,Kaname Yokoo,81,70.5,282,4
103,104,104,Jeff Sluman,106,70.57,494,7
104,T105,T105,Marco Dawson,57,70.67,212,3
105,T105,T105,Fred Funk,118,70.67,212,3
106,107,107,Michael Muehr,94,70.8,354,5
107,T108,T108,Stephen Ames,88,71.0,355,5
108,T108,T108,K.J. Choi,95,71.0,71,1
109,T108,T108,Richie Coughlan,66,71.0,142,2
110,T108,T108,Robert Damron,91,71.0,284,4
111,T108,T108,J.J. Henry,86,71.0,71,1
112,T108,T108,Pete Jordan,105,71.0,142,2
113,T108,T108,Justin Leonard,106,71.0,355,5
114,T108,T108,Larry Mize,76,71.0,71,1
115,T108,T108,Frank Nobilo,91,71.0,71,1
116,T108,T108,Scott Simpson,73,71.0,71,1
117,T108,T108,Steve Stricker,73,71.0,284,4
118,119,119,Mark O'Meara,69,71.17,427,6
119,T120,T120,Bob Burns,92,71.25,285,4
120,T120,T120,Scott Hoch,84,71.25,285,4
121,T122,T122,Edward Fryatt,93,71.33,214,3
122,T122,T122,Sergio Garcia,64,71.33,214,3
123,T122,T122,Mathew Goggin,96,71.33,214,3
124,T125,T125,Cameron Beckman,103,71.5,286,4
125,T125,T125,J.L. Lewis,108,71.5,286,4
126,T125,T125,David Morland IV,88,71.5,286,4
127,T125,T125,Jay Williamson,92,71.5,143,2
128,129,129,Jim Carter,103,71.6,716,10
129,130,130,Tom Byrum,85,71.67,215,3
130,T131,T131,Stuart Appleby,105,71.75,287,4
131,T131,T131,Joel Edwards,99,71.75,287,4
