,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,1,Phil Mickelson,85,34.34,2816,82
1,2,2,Davis Love III,75,34.41,2581,75
2,3,3,Tiger Woods,76,34.47,2620,76
3,4,4,Nick Price,74,34.5,2553,74
4,5,5,Scott McCarron,98,34.52,3245,94
5,6,6,Jeff Sluman,106,34.59,3597,104
6,7,7,David Duval,78,34.64,2529,73
7,8,8,Vijay Singh,98,34.67,3190,92
8,9,9,Sergio Garcia,64,34.72,2083,60
9,10,10,Brad Faxon,95,34.74,3022,87
10,11,11,John Daly,84,34.77,2851,82
11,T12,T12,Bob Estes,91,34.78,3061,88
12,T12,T12,Rocco Mediate,69,34.78,2400,69
13,T12,T12,Bob Tway,109,34.78,3687,106
14,T15,T15,Kenny Perry,94,34.8,3097,89
15,T15,T15,David Toms,100,34.8,3341,96
16,17,17,Donnie Hammond,51,34.82,1776,51
17,18,18,Jim Furyk,88,34.83,3065,88
18,T19,T19,Scott Verplank,99,34.84,3379,97
19,T19,T19,Mike Weir,86,34.84,2996,86
20,21,21,Charles Howell III,89,34.85,2962,85
21,22,22,Chris DiMarco,108,34.86,3591,103
22,23,23,Jesper Parnevik,91,34.87,3173,91
23,24,24,Bernhard Langer,62,34.89,2128,61
24,25,25,Cameron Beckman,103,34.9,3455,99
25,26,26,Billy Mayfair,102,34.92,3492,100
26,27,27,Tom Lehman,82,34.94,2725,78
27,28,28,Jerry Smith,95,34.96,3321,95
28,29,29,Stewart Cink,102,35.01,3396,97
29,30,30,Shigeki Maruyama,98,35.02,3292,94
30,31,31,Craig Barlow,74,35.03,2522,72
31,32,32,Frank Lickliter II,102,35.04,3574,102
32,T33,T33,John Huston,64,35.05,2103,60
33,T33,T33,Chris Riley,104,35.05,3505,100
34,T33,T33,Kevin Sutherland,101,35.05,3435,98
35,T36,T36,Bob May,86,35.06,2805,80
36,T36,T36,Loren Roberts,84,35.06,2945,84
37,T38,T38,José Coceres,60,35.07,1999,57
38,T38,T38,Joel Edwards,99,35.07,3472,99
39,T38,T38,Brian Watts,56,35.07,1964,56
40,T41,T41,Steve Flesch,112,35.08,3719,106
41,T41,T41,Scott Hoch,84,35.08,2947,84
42,43,43,Robert Allenby,108,35.09,3720,106
43,44,44,Jay Haas,75,35.1,2527,72
44,T45,T45,Glen Day,89,35.11,2949,84
45,T45,T45,Fred Funk,118,35.11,4108,117
46,47,47,Dudley Hart,80,35.12,2634,75
47,T48,T48,Olin Browne,99,35.13,3372,96
48,T48,T48,Ernie Els,70,35.13,2108,60
49,T50,T50,John Cook,91,35.14,3092,88
50,T50,T50,Skip Kendall,111,35.14,3795,108
51,T50,T50,Steve Lowery,100,35.14,3373,96
52,T53,T53,Mark Calcavecchia,81,35.15,2777,79
53,T53,T53,Jeff Maggert,84,35.15,2953,84
54,55,55,Len Mattiace,98,35.16,3340,95
55,T56,T56,Briny Baird,106,35.17,3622,103
56,T56,T56,Brett Quigley,67,35.17,2216,63
57,T56,T56,Hal Sutton,96,35.17,3341,95
58,59,59,Jerry Kelly,104,35.18,3553,101
59,60,60,Brian Gay,114,35.19,3941,112
60,61,61,Kirk Triplett,88,35.2,2922,83
61,62,62,Chris Smith,101,35.21,3415,97
62,T63,T63,Tim Herron,97,35.22,3205,91
63,T63,T63,Justin Leonard,106,35.22,3487,99
64,T63,T63,Michael Muehr,94,35.22,3240,92
65,T66,T66,Jim Carter,103,35.24,3559,101
66,T66,T66,J.J. Henry,86,35.24,2960,84
67,T66,T66,Brandt Jobe,96,35.24,3313,94
68,T69,T69,Marco Dawson,57,35.26,2010,57
69,T69,T69,Tom Pernice Jr.,106,35.26,3597,102
70,71,71,Paul Azinger,79,35.28,2787,79
71,72,72,Brent Geiberger,84,35.29,2788,79
72,T73,T73,Joe Durant,80,35.3,2824,80
73,T73,T73,Edward Fryatt,93,35.3,3106,88
74,T75,T75,David Peoples,96,35.31,3284,93
75,T75,T75,Steve Stricker,73,35.31,2295,65
76,T77,T77,Andrew Magee,97,35.32,3320,94
77,T77,T77,Duffy Waldorf,77,35.32,2543,72
78,79,79,Chris Perry,80,35.33,2756,78
79,T80,T80,"David Berganio, Jr.",76,35.34,2580,73
80,T80,T80,Bob Burns,92,35.34,3145,89
81,T80,T80,Russ Cochran,76,35.34,2580,73
82,T80,T80,Steve Elkington,64,35.34,2156,61
83,T80,T80,Neal Lancaster,107,35.34,3711,105
84,T80,T80,J.L. Lewis,108,35.34,3746,106
85,T80,T80,Mike Sposa,96,35.34,3287,93
86,T87,T87,Greg Chalmers,92,35.35,3146,89
87,T87,T87,Glen Hnatiuk,104,35.35,3570,101
88,T87,T87,Jim McGovern,66,35.35,2227,63
89,T90,T90,Tripp Isenhour,92,35.36,3147,89
90,T90,T90,Joe Ogilvie,110,35.36,3819,108
91,T90,T90,Corey Pavin,72,35.36,2475,70
92,T90,T90,John Riegger,86,35.36,2970,84
93,94,94,Stephen Ames,88,35.37,2971,84
94,T95,T95,Billy Andrade,82,35.38,2795,79
95,T95,T95,Craig Parry,68,35.38,2229,63
96,T97,T97,Kevin Johnson,93,35.4,3221,91
97,T97,T97,Lee Porter,93,35.4,3186,90
98,T97,T97,Scott Simpson,73,35.4,2584,73
99,T100,T100,Michael Clark II,87,35.42,3011,85
100,T100,T100,Greg Kraft,105,35.42,3613,102
101,102,102,K.J. Choi,95,35.43,3260,92
102,103,103,Brent Schwarzrock,63,35.44,2233,63
103,T104,T104,Tom Byrum,85,35.45,3013,85
104,T104,T104,Brandel Chamblee,77,35.45,2730,77
105,T104,T104,Harrison Frazar,88,35.45,2978,84
106,T104,T104,Paul Stankowski,91,35.45,3120,88
107,T108,T108,Brad Elder,111,35.46,3865,109
108,T108,T108,Dan Forsman,81,35.46,2766,78
109,T110,T110,Robert Damron,91,35.47,3228,91
110,T110,T110,David Frost,87,35.47,3086,87
111,T110,T110,José María Olazábal,51,35.47,1667,47
112,113,113,Mark O'Meara,69,35.48,2306,65
113,T114,T114,Stuart Appleby,105,35.49,3478,98
114,T114,T114,Rich Beem,91,35.49,3159,89
