,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Phil Mickelson,85,4.49,368,82
1,2,2,Davis Love III,75,4.45,334,75
2,3,3,David Toms,100,4.31,414,96
3,T4,T4,David Duval,78,4.3,314,73
4,T4,T4,Tiger Woods,76,4.3,327,76
5,6,6,Kenny Perry,94,4.26,379,89
6,7,7,Chris DiMarco,108,4.23,436,103
7,8,8,Mark Calcavecchia,81,4.22,333,79
8,9,9,Vijay Singh,98,4.21,387,92
9,10,10,Scott McCarron,98,4.19,394,94
10,11,11,Jeff Sluman,106,4.13,429,104
11,T12,T12,Sergio Garcia,64,4.08,245,60
12,T12,T12,Tom Lehman,82,4.08,322,79
13,T12,T12,Scott Verplank,99,4.08,396,97
14,T15,T15,John Daly,84,4.06,333,82
15,T15,T15,Frank Lickliter II,102,4.06,414,102
16,T17,T17,Bob Estes,91,4.05,356,88
17,T17,T17,Charles Howell III,89,4.05,344,85
18,19,19,Rocco Mediate,69,4.04,279,69
19,20,20,Bernhard Langer,62,4.03,246,61
20,21,21,Cameron Beckman,103,4.02,398,99
21,22,22,Jim Furyk,88,4.01,353,88
22,23,23,Chris Smith,101,4.0,392,98
23,24,24,Scott Hoch,84,3.99,335,84
24,25,25,Stewart Cink,102,3.96,384,97
25,T26,T26,Stuart Appleby,105,3.94,386,98
26,T26,T26,Brian Gay,114,3.94,441,112
27,28,28,Bob Tway,109,3.93,417,106
28,29,29,Steve Flesch,112,3.91,418,107
29,T30,T30,Stephen Ames,88,3.9,328,84
30,T30,T30,Billy Mayfair,102,3.9,390,100
31,T32,T32,Jay Haas,75,3.89,280,72
32,T32,T32,Justin Leonard,106,3.89,385,99
33,34,34,Dudley Hart,80,3.88,291,75
34,35,35,Kaname Yokoo,81,3.86,313,81
35,36,36,John Cook,91,3.85,339,88
36,T37,T37,Skip Kendall,111,3.84,415,108
37,T37,T37,Brett Quigley,67,3.84,242,63
38,T37,T37,Kirk Triplett,88,3.84,319,83
39,T40,T40,Greg Chalmers,92,3.83,341,89
40,T40,T40,Joel Edwards,99,3.83,379,99
41,T40,T40,Lee Janzen,96,3.83,352,92
42,T40,T40,Chris Riley,104,3.83,383,100
43,T44,T44,David Frost,87,3.82,332,87
44,T44,T44,Brian Watts,56,3.82,214,56
45,T46,T46,Paul Azinger,79,3.81,301,79
46,T46,T46,Russ Cochran,76,3.81,278,73
47,48,48,Joe Durant,80,3.8,304,80
48,T49,T49,Jonathan Kaye,116,3.78,423,112
49,T49,T49,Kevin Sutherland,101,3.78,370,98
50,T51,T51,Olin Browne,99,3.77,362,96
51,T51,T51,Jerry Kelly,104,3.77,381,101
52,T51,T51,Tom Pernice Jr.,106,3.77,385,102
53,T54,T54,Harrison Frazar,88,3.76,316,84
54,T54,T54,Brandt Jobe,96,3.76,353,94
55,T54,T54,Steve Lowery,100,3.76,365,97
56,T54,T54,Craig Parry,68,3.76,237,63
57,T54,T54,Paul Stankowski,91,3.76,331,88
58,T59,T59,Donnie Hammond,51,3.75,191,51
59,T59,T59,Jeff Maggert,84,3.75,315,84
60,T59,T59,Steve Stricker,73,3.75,244,65
61,62,62,Joe Ogilvie,110,3.74,404,108
