,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,Rory Sabbatini,73,29.61
1,2,2,Paul Azinger,79,27.47
2,3,3,Bernhard Langer,62,26.77
3,4,4,Vijay Singh,98,26.5
4,5,5,Kevin Sutherland,101,26.29
5,6,6,David Duval,78,26.09
6,7,7,Kirk Triplett,88,26.06
7,T8,T8,Mark Calcavecchia,81,26.0
8,T8,T8,Sergio Garcia,64,26.0
9,10,10,Phil Mickelson,85,25.97
10,11,11,Tiger Woods,76,25.9
11,12,12,John Cook,91,25.26
12,13,13,Paul Goydos,86,25.1
13,14,14,Dudley Hart,80,25.0
14,T15,T15,Skip Kendall,111,24.81
15,T15,T15,Justin Leonard,106,24.81
16,17,17,Chris DiMarco,108,24.77
17,18,18,Brett Quigley,67,24.69
18,19,19,John Daly,84,24.68
19,20,20,Billy Mayfair,102,24.67
20,21,21,Carlos Franco,87,24.64
21,22,22,Jeff Sluman,106,24.34
22,23,23,Joey Sindelar,69,24.29
23,24,24,Steve Flesch,112,24.15
24,25,25,Richie Coughlan,66,24.07
25,26,26,Kenny Perry,94,23.81
26,27,27,Robert Allenby,108,23.77
27,28,28,Jerry Smith,95,23.7
28,29,29,Danny Ellis,76,23.68
29,T30,T30,Ian Leggatt,84,23.45
30,T30,T30,David Toms,100,23.45
31,32,32,Jerry Kelly,104,23.32
32,33,33,Stewart Cink,102,23.28
33,34,34,Bob Estes,91,23.16
34,35,35,Ronnie Black,51,23.08
35,36,36,Dennis Paulson,75,23.04
36,37,37,Shigeki Maruyama,98,23.01
37,38,38,Mark Wiebe,62,22.89
38,39,39,Greg Chalmers,92,22.79
39,40,40,Jason Gore,82,22.76
40,T41,T41,Cameron Beckman,103,22.71
41,T41,T41,Greg Kraft,105,22.71
42,43,43,Craig Parry,68,22.7
43,44,44,Stuart Appleby,105,22.69
44,T45,T45,Russ Cochran,76,22.65
45,T45,T45,Steve Lowery,100,22.65
46,47,47,Brandt Jobe,96,22.64
47,48,48,J.J. Henry,86,22.6
48,49,49,Scott Hoch,84,22.56
49,50,50,Michael Muehr,94,22.54
50,51,51,Blaine McCallister,80,22.41
51,52,52,Jesper Parnevik,91,22.27
52,T53,T53,Brad Faxon,95,22.22
53,T53,T53,Hal Sutton,96,22.22
54,55,55,Bradley Hughes,96,22.18
55,56,56,Stephen Ames,88,22.11
56,57,57,Kelly Grunewald,66,22.03
57,58,58,Tripp Isenhour,92,22.01
58,59,59,Neal Lancaster,107,21.96
59,60,60,Edward Fryatt,93,21.9
60,61,61,Jay Don Blake,100,21.86
61,62,62,Steve Jones,75,21.8
62,63,63,Briny Baird,106,21.79
63,T64,T64,Charles Howell III,89,21.76
64,T64,T64,Per-Ulrik Johansson,82,21.76
65,T64,T64,Scott McCarron,98,21.76
66,67,67,Bob Tway,109,21.72
67,68,68,Doug Barron,62,21.61
68,69,69,Ben Bates,53,21.56
69,70,70,Franklin Langham,63,21.54
70,71,71,Mike Weir,86,21.43
71,72,72,Dicky Pride,78,21.4
72,73,73,Woody Austin,99,21.35
73,74,74,Chris Smith,101,21.34
74,75,75,Andrew Magee,97,21.32
75,76,76,Joel Edwards,99,21.3
76,77,77,Spike McRoy,95,21.29
77,78,78,David Peoples,96,21.28
78,79,79,"David Berganio, Jr.",76,21.26
79,80,80,Dan Forsman,81,21.18
80,81,81,Brad Elder,111,21.14
81,82,82,Garrett Willis,88,21.13
82,83,83,Tom Pernice Jr.,106,21.09
83,84,84,Fred Couples,68,21.08
84,85,85,Jim Furyk,88,20.99
85,86,86,Jeff Maggert,84,20.96
86,87,87,Mark O'Meara,69,20.88
87,88,88,Hunter Haas,78,20.75
88,89,89,Scott Verplank,99,20.69
89,90,90,Craig Perks,78,20.66
90,91,91,Billy Andrade,82,20.56
91,92,92,Pete Jordan,105,20.52
92,93,93,Ernie Els,70,20.51
93,94,94,K.J. Choi,95,20.41
94,95,95,Bob May,86,20.37
95,96,96,Lee Janzen,96,20.35
96,97,97,David Frost,87,20.34
97,98,98,Jeff Julian,55,20.29
98,99,99,Shaun Micheel,103,20.22
99,100,100,Esteban Toledo,116,20.21
100,101,101,Harrison Frazar,88,20.18
101,102,102,Brian Gay,114,20.15
102,T103,T103,Craig Barlow,74,20.11
103,T103,T103,Robert Gamez,59,20.11
104,105,105,Jim Carter,103,20.07
105,106,106,Joe Ogilvie,110,20.06
106,T107,T107,Scott Dunlap,80,20.0
107,T107,T107,Steve Elkington,64,20.0
108,T107,T107,John Riegger,86,20.0
109,110,110,Craig Kanada,80,19.92
110,111,111,Mathew Goggin,96,19.87
111,112,112,Kevin Johnson,93,19.85
112,T113,T113,Tom Lehman,82,19.65
113,T113,T113,Ted Tryba,110,19.65
114,115,115,J.P. Hayes,76,19.62
115,116,116,Steve Pate,89,19.52
116,117,117,Rocco Mediate,69,19.5
117,118,118,Paul Gow,79,19.49
118,119,119,Corey Pavin,72,19.44
119,120,120,Rich Beem,91,19.39
120,121,121,Steve Stricker,73,19.38
121,T122,T122,Brandel Chamblee,77,19.34
122,T122,T122,Gabriel Hjertstedt,76,19.34
123,124,124,José María Olazábal,51,19.33
124,125,125,Olin Browne,99,19.25
125,126,126,"Dave Stockton, Jr.",61,19.14
126,127,127,Steve Allan,88,19.13
127,T128,T128,Kent Jones,74,19.07
128,T128,T128,Larry Mize,76,19.07
129,130,130,Paul Stankowski,91,18.93
130,131,131,Duffy Waldorf,77,18.92
131,132,132,Bob Burns,92,18.88
132,133,133,Jeff Hart,87,18.8
133,134,134,Andrew McLardy,75,18.75
134,135,135,Tom Byrum,85,18.7
135,136,136,Brent Geiberger,84,18.69
136,137,137,Robin Freeman,105,18.67
137,138,138,Rocky Walcher,59,18.61
138,139,139,Chris Riley,104,18.6
139,140,140,John Huston,64,18.59
140,141,141,Fred Funk,118,18.49
141,142,142,Gary Nicklaus,96,18.48
142,143,143,Mark Brooks,88,18.4
143,144,144,Fulton Allem,56,18.37
144,145,145,Doug Dunakey,83,18.32
145,146,146,Donnie Hammond,51,18.18
146,147,147,Frank Lickliter II,102,18.12
147,T148,T148,J.L. Lewis,108,18.09
148,T148,T148,Chris Perry,80,18.09
149,150,150,David Morland IV,88,18.04
150,151,151,Brian Wilson,88,17.91
151,152,152,Grant Waite,78,17.87
152,153,153,Tim Herron,97,17.86
153,154,154,Loren Roberts,84,17.84
154,155,155,Lee Porter,93,17.8
155,156,156,Frank Nobilo,91,17.73
156,157,157,Glen Hnatiuk,104,17.65
157,158,158,Jonathan Kaye,116,17.63
158,159,159,Geoff Ogilvy,60,17.59
159,160,160,Mark Hensby,71,17.41
160,161,161,Jeff Brehaut,80,17.35
161,162,162,Carl Paulson,93,17.22
162,163,163,Joe Durant,80,17.2
163,164,164,Jay Haas,75,17.16
164,165,165,Matt Gogel,83,17.13
165,166,166,Glen Day,89,17.11
166,167,167,Jim McGovern,66,17.05
167,168,168,Brian Watts,56,17.04
168,169,169,Jeremy Anderson,69,16.91
169,170,170,Robert Damron,91,16.87
170,171,171,Kaname Yokoo,81,16.86
171,T172,T172,Michael Clark II,87,16.81
172,T172,T172,Mike Sposa,96,16.81
173,174,174,Marco Dawson,57,16.77
174,T175,T175,Nick Price,74,16.67
175,T175,T175,Brent Schwarzrock,63,16.67
176,177,177,Ben Ferguson,76,16.6
177,178,178,Jimmy Green,94,16.54
178,179,179,Keith Clearwater,62,16.51
179,180,180,Tommy Tolles,89,16.49
180,181,181,Cliff Kresge,84,16.47
181,182,182,Davis Love III,75,16.45
182,183,183,Tom Scherrer,69,16.43
183,184,184,Tommy Armour III,93,16.41
184,185,185,Sean Murphy,70,16.25
185,186,186,Scott Simpson,73,15.96
186,187,187,Willie Wood,52,15.94
187,188,188,Jay Williamson,92,15.1
188,189,189,José Coceres,60,14.19
189,190,190,Bill Glasson,69,14.01
190,191,191,Chris Tidland,83,13.9
191,192,192,Brian Henninger,81,13.62
192,193,193,Jean Van de Velde,52,13.24
193,194,194,Len Mattiace,98,11.74
