,First_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_2_Scoring_Average_AVG,First_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Brian Henninger,64.0,64,1
1,T2,T2,Steve Flesch,65.0,65,1
2,T2,T2,Scott Verplank,65.0,65,1
3,T4,T4,Russ Cochran,66.0,66,1
4,T4,T4,Danny Ellis,66.0,66,1
5,T4,T4,John Huston,66.0,66,1
6,T4,T4,Justin Leonard,66.0,66,1
7,T4,T4,Davis Love III,66.0,66,1
8,T4,T4,Kirk Triplett,66.0,66,1
9,T4,T4,Mike Weir,66.0,66,1
10,T11,T11,Sergio Garcia,67.0,67,1
11,T11,T11,Charles Howell III,67.0,67,1
12,T11,T11,Brandt Jobe,67.0,67,1
13,T11,T11,Neal Lancaster,67.0,67,1
14,T11,T11,Ian Leggatt,67.0,67,1
15,T11,T11,Mike Sposa,67.0,67,1
16,T11,T11,Tiger Woods,67.0,67,1
17,18,18,Chris DiMarco,67.33,202,3
18,19,19,Steve Lowery,67.5,135,2
19,T20,T20,Jay Don Blake,68.0,68,1
20,T20,T20,Fred Couples,68.0,68,1
21,T20,T20,Robert Damron,68.0,68,1
22,T20,T20,Ernie Els,68.0,68,1
23,T20,T20,Bernhard Langer,68.0,68,1
24,T20,T20,Tom Lehman,68.0,68,1
25,T20,T20,Bob May,68.0,68,1
26,T20,T20,Andrew McLardy,68.0,68,1
27,T20,T20,Shaun Micheel,68.0,68,1
28,T20,T20,Chris Perry,68.0,68,1
29,T20,T20,Kenny Perry,68.0,136,2
30,T20,T20,Vijay Singh,68.0,68,1
31,T20,T20,David Toms,68.0,68,1
32,T33,T33,Stuart Appleby,69.0,69,1
33,T33,T33,Mark Brooks,69.0,69,1
34,T33,T33,David Duval,69.0,69,1
35,T33,T33,Fred Funk,69.0,69,1
36,T33,T33,Per-Ulrik Johansson,69.0,69,1
37,T33,T33,Blaine McCallister,69.0,69,1
38,T33,T33,Rocco Mediate,69.0,69,1
39,T33,T33,Frank Nobilo,69.0,69,1
40,T33,T33,Jesper Parnevik,69.0,69,1
41,T33,T33,Steve Pate,69.0,69,1
42,T33,T33,Chris Riley,69.0,69,1
43,T44,T44,Joel Edwards,69.5,139,2
44,T44,T44,Billy Mayfair,69.5,139,2
45,T44,T44,John Riegger,69.5,139,2
46,T47,T47,Stephen Ames,70.0,70,1
47,T47,T47,Stewart Cink,70.0,140,2
48,T47,T47,Brad Faxon,70.0,70,1
49,T47,T47,Harrison Frazar,70.0,70,1
50,T47,T47,Kent Jones,70.0,70,1
51,T47,T47,Craig Kanada,70.0,70,1
52,T47,T47,Skip Kendall,70.0,140,2
53,T47,T47,Dennis Paulson,70.0,70,1
54,T55,T55,Fulton Allem,71.0,142,2
55,T55,T55,Jim Carter,71.0,71,1
56,T55,T55,Keith Clearwater,71.0,71,1
57,T55,T55,Glen Day,71.0,71,1
58,T55,T55,Scott Dunlap,71.0,71,1
59,T55,T55,Kelly Grunewald,71.0,71,1
60,T55,T55,Steve Jones,71.0,71,1
61,T55,T55,Jerry Kelly,71.0,71,1
62,T55,T55,Scott McCarron,71.0,71,1
63,T55,T55,Spike McRoy,71.0,71,1
64,T55,T55,Larry Mize,71.0,71,1
65,T55,T55,Jeff Sluman,71.0,142,2
66,T67,T67,Tommy Armour III,71.5,143,2
67,T67,T67,Tommy Tolles,71.5,143,2
68,T67,T67,Grant Waite,71.5,143,2
69,T70,T70,Jeremy Anderson,72.0,72,1
70,T70,T70,Bob Burns,72.0,144,2
71,T70,T70,Tripp Isenhour,72.0,72,1
72,T70,T70,Pete Jordan,72.0,144,2
73,T70,T70,Loren Roberts,72.0,72,1
74,75,75,José Coceres,72.5,145,2
75,T76,T76,"David Berganio, Jr.",73.0,73,1
76,T76,T76,Doug Dunakey,73.0,73,1
77,T76,T76,Bradley Hughes,73.0,73,1
78,T76,T76,Frank Lickliter II,73.0,73,1
79,T76,T76,Gary Nicklaus,73.0,73,1
80,T76,T76,Mark O'Meara,73.0,73,1
81,T76,T76,Tom Scherrer,73.0,73,1
82,T76,T76,Mark Wiebe,73.0,73,1
83,84,84,Chris Smith,73.5,147,2
84,T85,T85,John Daly,74.0,74,1
85,T85,T85,Brad Elder,74.0,74,1
86,T85,T85,Matt Gogel,74.0,74,1
87,T85,T85,J.J. Henry,74.0,74,1
88,T85,T85,Paul Stankowski,74.0,74,1
89,90,90,Chris Tidland,75.0,75,1
90,91,91,Gabriel Hjertstedt,76.0,76,1
91,92,92,Brian Gay,77.0,77,1
