,25_Final_Round_Performance_RANK THIS WEEK,25_Final_Round_Performance_RANK LAST WEEK,25_Final_Round_Performance_PLAYER NAME,25_Final_Round_Performance_EVENTS,25_Final_Round_Performance_% TIMES IMPROVED,25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Fulton Allem,21,100.0,4.0
1,T1,T1,David Duval,20,100.0,5.0
2,T1,T1,Mark Hensby,29,100.0,4.0
3,T1,T1,Tom Lehman,23,100.0,3.0
4,T1,T1,Davis Love III,20,100.0,2.0
5,T1,T1,Phil Mickelson,23,100.0,3.0
6,T1,T1,Dennis Paulson,25,100.0,5.0
7,T1,T1,Mark Wiebe,24,100.0,4.0
8,T1,T1,Tiger Woods,19,100.0,3.0
9,10,10,Mike Sposa,29,90.9,10.0
10,11,11,Stewart Cink,29,90.0,9.0
11,T12,T12,Jason Gore,30,88.9,8.0
12,T12,T12,Billy Mayfair,29,88.9,8.0
13,14,14,David Toms,28,87.5,7.0
14,15,15,Brian Henninger,29,85.7,6.0
15,16,16,Esteban Toledo,36,84.6,11.0
16,T17,T17,Joe Durant,25,83.3,5.0
17,T17,T17,Kelly Grunewald,27,83.3,5.0
18,T17,T17,Lee Janzen,29,83.3,5.0
19,T17,T17,Kent Jones,28,83.3,5.0
20,T17,T17,"Dave Stockton, Jr.",21,83.3,5.0
21,T17,T17,Kevin Sutherland,30,83.3,5.0
22,T23,T23,Stephen Ames,26,81.8,9.0
23,T23,T23,Michael Muehr,32,81.8,9.0
24,25,25,Fred Funk,33,81.3,13.0
25,T26,T26,Marco Dawson,19,80.0,4.0
26,T26,T26,Doug Dunakey,32,80.0,4.0
27,T26,T26,Jim Furyk,24,80.0,4.0
28,T26,T26,Tim Herron,29,80.0,8.0
29,T26,T26,Scott McCarron,25,80.0,8.0
30,T26,T26,José María Olazábal,15,80.0,4.0
31,T26,T26,Craig Parry,22,80.0,4.0
32,T33,T33,Craig Barlow,23,77.8,7.0
33,T33,T33,John Daly,25,77.8,7.0
34,35,35,Skip Kendall,33,76.9,10.0
35,T36,T36,Harrison Frazar,25,75.0,6.0
36,T36,T36,Brent Geiberger,25,75.0,6.0
37,T36,T36,Paul Gow,27,75.0,3.0
38,T36,T36,Glen Hnatiuk,31,75.0,9.0
39,T36,T36,Cliff Kresge,31,75.0,6.0
40,T36,T36,Ian Leggatt,29,75.0,6.0
41,T36,T36,Frank Nobilo,28,75.0,6.0
42,T36,T36,Mark O'Meara,21,75.0,6.0
43,T36,T36,Tom Pernice Jr.,33,75.0,9.0
44,T36,T36,Scott Simpson,22,75.0,6.0
45,T36,T36,Jeff Sluman,30,75.0,3.0
46,T36,T36,Jay Williamson,35,75.0,6.0
47,48,48,Shigeki Maruyama,27,73.3,11.0
48,T49,T49,Stuart Appleby,29,72.7,8.0
49,T49,T49,Kenny Perry,26,72.7,8.0
50,T51,T51,Ronnie Black,17,71.4,5.0
51,T51,T51,Brad Elder,35,71.4,10.0
52,T51,T51,Steve Jones,25,71.4,5.0
53,T51,T51,Jonathan Kaye,33,71.4,10.0
54,T51,T51,Franklin Langham,22,71.4,5.0
55,T51,T51,John Riegger,27,71.4,10.0
56,T51,T51,Brent Schwarzrock,20,71.4,5.0
57,T51,T51,Hal Sutton,26,71.4,10.0
58,T51,T51,Bob Tway,29,71.4,10.0
59,T51,T51,Mike Weir,23,71.4,5.0
60,T51,T51,Willie Wood,16,71.4,5.0
61,T62,T62,K.J. Choi,29,70.0,7.0
62,T62,T62,Fred Couples,19,70.0,7.0
63,T62,T62,Steve Flesch,32,70.0,7.0
64,T62,T62,Jay Haas,21,70.0,7.0
65,T62,T62,Nick Price,20,70.0,7.0
66,T62,T62,Scott Verplank,26,70.0,7.0
67,T68,T68,Neal Lancaster,36,69.2,9.0
68,T68,T68,Chris Riley,30,69.2,9.0
69,T70,T70,Jeremy Anderson,28,66.7,4.0
70,T70,T70,Cameron Beckman,29,66.7,8.0
71,T70,T70,Olin Browne,30,66.7,8.0
72,T70,T70,Tom Byrum,27,66.7,6.0
73,T70,T70,Russ Cochran,24,66.7,6.0
74,T70,T70,Bob Estes,26,66.7,4.0
75,T70,T70,Dan Forsman,25,66.7,6.0
76,T70,T70,Robert Gamez,22,66.7,4.0
77,T70,T70,Brian Gay,32,66.7,8.0
78,T70,T70,Bill Glasson,26,66.7,4.0
79,T70,T70,Paul Goydos,29,66.7,6.0
80,T70,T70,Dudley Hart,25,66.7,4.0
81,T70,T70,Gabriel Hjertstedt,30,66.7,2.0
82,T70,T70,Charles Howell III,24,66.7,4.0
83,T70,T70,Tripp Isenhour,31,66.7,8.0
84,T70,T70,Jeff Maggert,27,66.7,4.0
85,T70,T70,Blaine McCallister,28,66.7,4.0
86,T70,T70,Jesper Parnevik,25,66.7,6.0
87,T70,T70,Corey Pavin,22,66.7,6.0
88,T70,T70,David Peoples,31,66.7,8.0
89,T70,T70,Tommy Tolles,31,66.7,6.0
90,T70,T70,Kirk Triplett,26,66.7,6.0
91,T70,T70,Jean Van de Velde,17,66.7,4.0
92,T70,T70,Rocky Walcher,26,66.7,2.0
93,T70,T70,Duffy Waldorf,27,66.7,4.0
94,95,95,John Cook,25,64.3,9.0
95,T96,T96,Steve Allan,31,63.6,7.0
96,T96,T96,Brandel Chamblee,23,63.6,7.0
97,T96,T96,Joel Edwards,30,63.6,7.0
98,T96,T96,David Frost,27,63.6,7.0
99,T96,T96,Jimmy Green,33,63.6,7.0
100,T96,T96,Brandt Jobe,30,63.6,7.0
101,T96,T96,Justin Leonard,30,63.6,7.0
102,T96,T96,Carl Paulson,31,63.6,7.0
103,T104,T104,Mark Calcavecchia,23,62.5,5.0
104,T104,T104,Matt Gogel,26,62.5,5.0
105,T104,T104,Bob May,25,62.5,5.0
106,T104,T104,Steve Stricker,20,62.5,5.0
107,108,108,Jeff Brehaut,26,61.5,8.0
108,109,109,Joe Ogilvie,34,61.1,11.0
109,T110,T110,Robert Allenby,29,60.0,6.0
110,T110,T110,"David Berganio, Jr.",25,60.0,3.0
111,T110,T110,Greg Chalmers,27,60.0,6.0
112,T110,T110,José Coceres,19,60.0,3.0
113,T110,T110,Ben Ferguson,30,60.0,3.0
114,T110,T110,Jeff Julian,22,60.0,3.0
115,T110,T110,Frank Lickliter II,29,60.0,6.0
116,T110,T110,Len Mattiace,30,60.0,6.0
117,T110,T110,Rocco Mediate,21,60.0,3.0
118,T110,T110,Craig Perks,30,60.0,3.0
119,T110,T110,Brett Quigley,21,60.0,3.0
120,T110,T110,Loren Roberts,25,60.0,6.0
121,122,122,Kevin Johnson,32,58.3,7.0
122,T123,T123,Chris DiMarco,29,57.1,4.0
123,T123,T123,Edward Fryatt,31,57.1,4.0
124,T123,T123,J.L. Lewis,31,57.1,8.0
