,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,1,1,Phil Mickelson,85,20.0
1,2,2,Brad Faxon,95,17.0
2,3,3,Mike Weir,86,16.0
3,T4,T4,Frank Lickliter II,102,15.0
4,T4,T4,Jesper Parnevik,91,15.0
5,T6,T6,Steve Flesch,112,14.0
6,T6,T6,Andrew Magee,97,14.0
7,T6,T6,Tiger Woods,76,14.0
8,T9,T9,Fred Couples,68,13.0
9,T9,T9,Shigeki Maruyama,98,13.0
10,T11,T11,Robert Allenby,108,12.0
11,T11,T11,Bradley Hughes,96,12.0
12,T11,T11,Len Mattiace,98,12.0
13,T11,T11,Joe Ogilvie,110,12.0
14,T11,T11,Vijay Singh,98,12.0
15,T11,T11,Jeff Sluman,106,12.0
16,T11,T11,Kevin Sutherland,101,12.0
17,T18,T18,Briny Baird,106,11.0
18,T18,T18,Bob Burns,92,11.0
19,T18,T18,John Daly,84,11.0
20,T18,T18,Chris DiMarco,108,11.0
21,T18,T18,Carlos Franco,87,11.0
22,T18,T18,Jonathan Kaye,116,11.0
23,T18,T18,Jerry Kelly,104,11.0
24,T18,T18,J.L. Lewis,108,11.0
25,T18,T18,Scott McCarron,98,11.0
26,T18,T18,Craig Perks,78,11.0
27,T18,T18,Rory Sabbatini,73,11.0
28,T29,T29,Tommy Armour III,93,10.0
29,T29,T29,Cameron Beckman,103,10.0
30,T29,T29,Rich Beem,91,10.0
31,T29,T29,Mark Calcavecchia,81,10.0
32,T29,T29,Danny Ellis,76,10.0
33,T29,T29,Edward Fryatt,93,10.0
34,T29,T29,Brent Geiberger,84,10.0
35,T29,T29,Brandt Jobe,96,10.0
36,T29,T29,Brett Quigley,67,10.0
37,T29,T29,Paul Stankowski,91,10.0
38,T29,T29,Hal Sutton,96,10.0
39,T40,T40,Steve Allan,88,9.0
40,T40,T40,Stuart Appleby,105,9.0
41,T40,T40,Jim Carter,103,9.0
42,T40,T40,Russ Cochran,76,9.0
43,T40,T40,Joel Edwards,99,9.0
44,T40,T40,Brad Elder,111,9.0
45,T40,T40,Ernie Els,70,9.0
46,T40,T40,Harrison Frazar,88,9.0
47,T40,T40,Jason Gore,82,9.0
48,T40,T40,Justin Leonard,106,9.0
49,T40,T40,Steve Lowery,100,9.0
50,T40,T40,Jeff Maggert,84,9.0
51,T40,T40,Carl Paulson,93,9.0
52,T40,T40,David Peoples,96,9.0
53,T40,T40,Kenny Perry,94,9.0
54,T40,T40,Chris Riley,104,9.0
55,T40,T40,David Toms,100,9.0
56,T40,T40,Ted Tryba,110,9.0
57,T40,T40,Scott Verplank,99,9.0
58,T59,T59,Paul Azinger,79,8.0
59,T59,T59,Craig Barlow,74,8.0
60,T59,T59,Stewart Cink,102,8.0
61,T59,T59,Michael Clark II,87,8.0
62,T59,T59,Mathew Goggin,96,8.0
63,T59,T59,Hunter Haas,78,8.0
64,T59,T59,Dudley Hart,80,8.0
65,T59,T59,J.J. Henry,86,8.0
66,T59,T59,Tim Herron,97,8.0
67,T59,T59,Gabriel Hjertstedt,76,8.0
68,T59,T59,Per-Ulrik Johansson,82,8.0
69,T59,T59,Shaun Micheel,103,8.0
70,T59,T59,Geoff Ogilvy,60,8.0
71,T59,T59,Tom Pernice Jr.,106,8.0
72,T59,T59,Tommy Tolles,89,8.0
73,T59,T59,Garrett Willis,88,8.0
74,T59,T59,Brian Wilson,88,8.0
75,T76,T76,Stephen Ames,88,7.0
76,T76,T76,Jeff Brehaut,80,7.0
77,T76,T76,Olin Browne,99,7.0
78,T76,T76,Tom Byrum,85,7.0
79,T76,T76,K.J. Choi,95,7.0
80,T76,T76,John Cook,91,7.0
81,T76,T76,Richie Coughlan,66,7.0
82,T76,T76,Joe Durant,80,7.0
83,T76,T76,Robin Freeman,105,7.0
84,T76,T76,Fred Funk,118,7.0
85,T76,T76,Sergio Garcia,64,7.0
86,T76,T76,Jimmy Green,94,7.0
87,T76,T76,Skip Kendall,111,7.0
88,T76,T76,Greg Kraft,105,7.0
89,T76,T76,Billy Mayfair,102,7.0
90,T76,T76,Blaine McCallister,80,7.0
91,T76,T76,Rocco Mediate,69,7.0
92,T76,T76,David Morland IV,88,7.0
93,T76,T76,Michael Muehr,94,7.0
94,T76,T76,Frank Nobilo,91,7.0
95,T76,T76,Dennis Paulson,75,7.0
96,T76,T76,Dicky Pride,78,7.0
97,T76,T76,John Riegger,86,7.0
98,T76,T76,Brent Schwarzrock,63,7.0
99,T76,T76,Chris Smith,101,7.0
100,T76,T76,Jerry Smith,95,7.0
101,T76,T76,Kirk Triplett,88,7.0
102,T103,T103,Glen Day,89,6.0
103,T103,T103,Scott Dunlap,80,6.0
104,T103,T103,David Duval,78,6.0
105,T103,T103,Scott Hoch,84,6.0
106,T103,T103,Neal Lancaster,107,6.0
107,T103,T103,Davis Love III,75,6.0
108,T103,T103,Bob May,86,6.0
109,T103,T103,Steve Pate,89,6.0
110,T103,T103,Lee Porter,93,6.0
111,T103,T103,Joey Sindelar,69,6.0
112,T103,T103,Steve Stricker,73,6.0
113,T103,T103,Chris Tidland,83,6.0
114,T103,T103,Bob Tway,109,6.0
115,T103,T103,Rocky Walcher,59,6.0
116,T117,T117,Jeremy Anderson,69,5.0
117,T117,T117,"David Berganio, Jr.",76,5.0
118,T117,T117,Greg Chalmers,92,5.0
119,T117,T117,Robert Damron,91,5.0
120,T117,T117,Doug Dunakey,83,5.0
121,T117,T117,Jim Furyk,88,5.0
122,T117,T117,Bill Glasson,69,5.0
123,T117,T117,Kelly Grunewald,66,5.0
124,T117,T117,Brian Henninger,81,5.0
125,T117,T117,John Huston,64,5.0
126,T117,T117,Lee Janzen,96,5.0
127,T117,T117,Kevin Johnson,93,5.0
128,T117,T117,Cliff Kresge,84,5.0
129,T117,T117,Tom Lehman,82,5.0
130,T117,T117,Andrew McLardy,75,5.0
131,T117,T117,Spike McRoy,95,5.0
132,T117,T117,Gary Nicklaus,96,5.0
133,T117,T117,Mike Sposa,96,5.0
134,T117,T117,Jay Williamson,92,5.0
135,T136,T136,Billy Andrade,82,4.0
136,T136,T136,Woody Austin,99,4.0
137,T136,T136,Ben Bates,53,4.0
138,T136,T136,Ronnie Black,51,4.0
139,T136,T136,Jay Don Blake,100,4.0
140,T136,T136,Brandel Chamblee,77,4.0
141,T136,T136,Marco Dawson,57,4.0
142,T136,T136,Bob Estes,91,4.0
143,T136,T136,Dan Forsman,81,4.0
144,T136,T136,Robert Gamez,59,4.0
145,T136,T136,Brian Gay,114,4.0
146,T136,T136,Matt Gogel,83,4.0
147,T136,T136,Paul Goydos,86,4.0
148,T136,T136,Jay Haas,75,4.0
149,T136,T136,J.P. Hayes,76,4.0
150,T136,T136,Glen Hnatiuk,104,4.0
151,T136,T136,Charles Howell III,89,4.0
152,T136,T136,Pete Jordan,105,4.0
153,T136,T136,Craig Kanada,80,4.0
154,T136,T136,Ian Leggatt,84,4.0
155,T136,T136,Jim McGovern,66,4.0
156,T136,T136,Chris Perry,80,4.0
157,T136,T136,Tom Scherrer,69,4.0
158,T136,T136,Esteban Toledo,116,4.0
159,T136,T136,Grant Waite,78,4.0
160,T136,T136,Mark Wiebe,62,4.0
161,T136,T136,Kaname Yokoo,81,4.0
162,T163,T163,Fulton Allem,56,3.0
163,T163,T163,Doug Barron,62,3.0
164,T163,T163,Ben Ferguson,76,3.0
165,T163,T163,Paul Gow,79,3.0
166,T163,T163,Jeff Hart,87,3.0
167,T163,T163,Mark Hensby,71,3.0
168,T163,T163,Tripp Isenhour,92,3.0
169,T163,T163,Steve Jones,75,3.0
170,T163,T163,Kent Jones,74,3.0
171,T163,T163,Larry Mize,76,3.0
172,T163,T163,Mark O'Meara,69,3.0
173,T163,T163,Nick Price,74,3.0
174,T175,T175,David Frost,87,2.0
175,T175,T175,Sean Murphy,70,2.0
176,T175,T175,José María Olazábal,51,2.0
177,T175,T175,Craig Parry,68,2.0
178,T175,T175,Corey Pavin,72,2.0
179,T175,T175,Loren Roberts,84,2.0
180,T175,T175,"Dave Stockton, Jr.",61,2.0
181,T175,T175,Duffy Waldorf,77,2.0
182,T175,T175,Brian Watts,56,2.0
183,T184,T184,Mark Brooks,88,1.0
184,T184,T184,Keith Clearwater,62,1.0
185,T184,T184,José Coceres,60,1.0
186,T184,T184,Steve Elkington,64,1.0
187,T184,T184,Donnie Hammond,51,1.0
188,T184,T184,Bernhard Langer,62,1.0
189,T184,T184,Scott Simpson,73,1.0
190,T191,T191,Jeff Julian,55,
191,T191,T191,Franklin Langham,63,
192,T191,T191,Jean Van de Velde,52,
193,T191,T191,Willie Wood,52,
