,Par_3_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_3_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_3_Birdie_or_Better_Leaders_PLAYER NAME,Par_3_Birdie_or_Better_Leaders_ROUNDS,Par_3_Birdie_or_Better_Leaders_%,Par_3_Birdie_or_Better_Leaders_PAR 3 BIRDIES OR BETTER,Par_3_Birdie_or_Better_Leaders_PAR 3 HOLES
0,1,1,Scott Verplank,99,19.69,76,386
1,2,2,Jim Furyk,88,19.43,68,350
2,3,3,Bob Tway,109,18.14,78,430
3,4,4,Brett Quigley,67,17.9,46,257
4,5,5,David Toms,100,17.49,67,383
5,6,6,Tommy Tolles,89,17.24,60,348
6,7,7,Donnie Hammond,51,17.06,36,211
7,8,8,Sergio Garcia,64,17.01,41,241
8,9,9,John Cook,91,16.95,60,354
9,10,10,Glen Day,89,16.91,58,343
10,11,11,Mark Brooks,88,16.9,60,355
11,12,12,Scott McCarron,98,16.89,64,379
12,13,13,Fred Couples,68,16.79,46,274
13,T14,T14,Richie Coughlan,66,16.73,45,269
14,T14,T14,Bernhard Langer,62,16.73,41,245
15,16,16,Chris DiMarco,108,16.63,68,409
16,17,17,Stewart Cink,102,16.62,64,385
17,18,18,Fred Funk,118,16.6,78,470
18,19,19,Andrew McLardy,75,16.5,50,303
19,20,20,Brent Geiberger,84,16.46,53,322
20,21,21,Jay Don Blake,100,16.37,64,391
21,22,22,Davis Love III,75,16.28,49,301
22,23,23,Jay Haas,75,16.27,48,295
23,24,24,Brad Faxon,95,16.14,56,347
24,25,25,John Riegger,86,16.13,55,341
25,26,26,Kirk Triplett,88,16.01,53,331
26,27,27,Glen Hnatiuk,104,15.97,65,407
27,28,28,Tiger Woods,76,15.95,48,301
28,T29,T29,Sean Murphy,70,15.79,45,285
29,T29,T29,Chris Smith,101,15.79,63,399
30,31,31,Rocco Mediate,69,15.69,43,274
31,32,32,Lee Janzen,96,15.68,58,370
32,33,33,Cameron Beckman,103,15.63,63,403
33,34,34,Jim McGovern,66,15.56,40,257
34,35,35,Michael Muehr,94,15.55,58,373
35,36,36,David Frost,87,15.43,54,350
36,37,37,Chris Riley,104,15.38,62,403
37,38,38,"David Berganio, Jr.",76,15.36,45,293
38,39,39,José Coceres,60,15.35,35,228
39,40,40,Paul Gow,79,15.18,46,303
40,41,41,Jeff Sluman,106,15.17,64,422
41,42,42,Phil Mickelson,85,15.08,49,325
42,43,43,Mark Calcavecchia,81,15.05,48,319
43,44,44,Jim Carter,103,15.0,60,400
44,45,45,Bob Estes,91,14.97,53,354
45,T46,T46,Tim Herron,97,14.91,55,369
46,T46,T46,Brian Watts,56,14.91,34,228
47,48,48,Brent Schwarzrock,63,14.9,38,255
48,49,49,David Peoples,96,14.89,56,376
49,50,50,Nick Price,74,14.86,44,296
50,51,51,Tom Scherrer,69,14.83,39,263
51,T52,T52,Stephen Ames,88,14.79,50,338
52,T52,T52,Vijay Singh,98,14.79,54,365
53,T54,T54,Tom Pernice Jr.,106,14.77,61,413
54,T54,T54,Scott Simpson,73,14.77,44,298
55,56,56,Blaine McCallister,80,14.72,48,326
56,T57,T57,Tripp Isenhour,92,14.68,53,361
57,T57,T57,Dennis Paulson,75,14.68,43,293
58,59,59,Paul Goydos,86,14.62,50,342
59,60,60,Greg Chalmers,92,14.53,52,358
60,61,61,Kaname Yokoo,81,14.46,47,325
61,62,62,Steve Lowery,100,14.43,56,388
62,63,63,"Dave Stockton, Jr.",61,14.4,36,250
63,T64,T64,Harrison Frazar,88,14.29,49,343
64,T64,T64,Edward Fryatt,93,14.29,51,357
65,T64,T64,Craig Parry,68,14.29,36,252
66,67,67,Robert Allenby,108,14.22,60,422
67,68,68,K.J. Choi,95,14.21,53,373
68,69,69,Jeff Hart,87,14.2,49,345
69,70,70,Steve Flesch,112,14.19,61,430
70,71,71,Justin Leonard,106,14.18,56,395
71,T72,T72,Brandt Jobe,96,14.14,54,382
72,T72,T72,José María Olazábal,51,14.14,27,191
73,74,74,Jesper Parnevik,91,14.13,51,361
74,75,75,David Duval,78,14.09,41,291
75,76,76,Jonathan Kaye,116,14.07,64,455
76,77,77,Grant Waite,78,14.05,43,306
77,78,78,Steve Jones,75,14.04,40,285
78,79,79,Bob May,86,14.02,45,321
79,80,80,Russ Cochran,76,13.95,41,294
80,81,81,Jeff Maggert,84,13.86,47,339
81,82,82,Esteban Toledo,116,13.85,64,462
82,83,83,Dudley Hart,80,13.8,41,297
83,84,84,Joel Edwards,99,13.72,55,401
84,85,85,Olin Browne,99,13.7,53,387
85,86,86,Geoff Ogilvy,60,13.69,33,241
86,T87,T87,Billy Mayfair,102,13.68,55,402
87,T87,T87,Corey Pavin,72,13.68,39,285
88,89,89,Skip Kendall,111,13.67,60,439
89,90,90,Loren Roberts,84,13.61,46,338
90,91,91,Brandel Chamblee,77,13.59,42,309
91,92,92,Neal Lancaster,107,13.58,58,427
92,T93,T93,Scott Dunlap,80,13.56,43,317
93,T93,T93,Ernie Els,70,13.56,32,236
94,T95,T95,Brad Elder,111,13.54,60,443
95,T95,T95,Kenny Perry,94,13.54,49,362
96,97,97,Ian Leggatt,84,13.53,46,340
97,98,98,Mark Wiebe,62,13.49,34,252
98,T99,T99,Jerry Smith,95,13.47,52,386
99,T99,T99,Brian Wilson,88,13.47,47,349
100,101,101,Kevin Sutherland,101,13.42,53,395
101,102,102,Pete Jordan,105,13.4,56,418
102,103,103,Jerry Kelly,104,13.38,55,411
103,104,104,Marco Dawson,57,13.36,31,232
104,105,105,Joe Durant,80,13.35,43,322
105,106,106,Carlos Franco,87,13.22,46,348
106,T107,T107,J.J. Henry,86,13.2,45,341
107,T107,T107,Mike Weir,86,13.2,45,341
108,109,109,Hal Sutton,96,13.19,50,379
109,110,110,J.L. Lewis,108,13.15,56,426
110,111,111,John Huston,64,13.08,31,237
111,112,112,Craig Kanada,80,13.02,41,315
112,113,113,Joey Sindelar,69,13.01,35,269
113,114,114,Robin Freeman,105,12.95,54,417
114,115,115,Chris Perry,80,12.89,41,318
115,116,116,Fulton Allem,56,12.83,29,226
116,117,117,Doug Dunakey,83,12.77,42,329
117,118,118,Bob Burns,92,12.74,46,361
118,119,119,Kelly Grunewald,66,12.73,34,267
119,120,120,Hunter Haas,78,12.7,39,307
120,121,121,Briny Baird,106,12.68,53,418
121,122,122,Spike McRoy,95,12.67,47,371
122,123,123,Jason Gore,82,12.65,41,324
123,124,124,Mark O'Meara,69,12.64,33,261
124,125,125,Dicky Pride,78,12.62,40,317
125,126,126,Scott Hoch,84,12.61,43,341
126,127,127,Matt Gogel,83,12.58,41,326
127,T128,T128,Tom Byrum,85,12.46,43,345
128,T128,T128,John Daly,84,12.46,41,329
129,130,130,Stuart Appleby,105,12.44,49,394
130,131,131,Rich Beem,91,12.43,45,362
131,132,132,Gabriel Hjertstedt,76,12.42,38,306
132,133,133,Andrew Magee,97,12.37,47,380
133,134,134,Michael Clark II,87,12.35,42,340
134,135,135,Bradley Hughes,96,12.34,47,381
135,T136,T136,Mike Sposa,96,12.33,46,373
136,T136,T136,Ted Tryba,110,12.33,53,430
137,138,138,Cliff Kresge,84,12.31,41,333
138,T139,T139,Dan Forsman,81,12.3,39,317
139,T139,T139,Joe Ogilvie,110,12.3,54,439
140,141,141,Frank Lickliter II,102,12.29,51,415
