,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
174,175,175,Kent Jones,74,18.92,252,1332
175,176,176,Steve Allan,88,19.06,295,1548
176,177,177,Richie Coughlan,66,19.11,227,1188
177,178,178,Doug Dunakey,83,19.2,280,1458
178,179,179,Geoff Ogilvy,60,19.26,208,1080
179,180,180,Doug Barron,62,19.27,215,1116
180,181,181,Carlos Franco,87,19.35,303,1566
181,182,182,Gary Nicklaus,96,19.39,328,1692
182,183,183,Tommy Tolles,89,19.44,301,1548
183,184,184,Franklin Langham,63,19.54,211,1080
184,185,185,Tom Scherrer,69,19.61,233,1188
185,186,186,Sean Murphy,70,20.0,252,1260
186,187,187,Kelly Grunewald,66,20.12,239,1188
187,188,188,Keith Clearwater,62,20.16,225,1116
188,189,189,Ben Ferguson,76,20.27,270,1332
189,T190,T190,Mathew Goggin,96,20.31,340,1674
190,T190,T190,"Dave Stockton, Jr.",61,20.31,223,1098
191,192,192,Hunter Haas,78,21.35,292,1368
192,193,193,Jeff Julian,55,22.42,222,990
193,194,194,Rocky Walcher,59,23.35,248,1062
