,Front_9_Par_5_Scoring_Average_RANK THIS WEEK,Front_9_Par_5_Scoring_Average_RANK LAST WEEK,Front_9_Par_5_Scoring_Average_PLAYER NAME,Front_9_Par_5_Scoring_Average_ROUNDS,Front_9_Par_5_Scoring_Average_AVG,Front_9_Par_5_Scoring_Average_TOTAL STROKES,Front_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,76,4.37,538,123
1,2,2,David Duval,78,4.38,526,120
2,3,3,Vijay Singh,98,4.41,674,153
3,4,4,Phil Mickelson,85,4.46,602,135
4,5,5,Jeff Sluman,106,4.49,835,186
5,T6,T6,Jesper Parnevik,91,4.5,670,149
6,T6,T6,David Toms,100,4.5,742,165
7,T8,T8,Charles Howell III,89,4.51,690,153
8,T8,T8,Jerry Kelly,104,4.51,820,182
9,T8,T8,Davis Love III,75,4.51,559,124
10,T11,T11,Scott McCarron,98,4.52,719,159
11,T11,T11,Rocco Mediate,69,4.52,511,113
12,T13,T13,Dudley Hart,80,4.53,553,122
13,T13,T13,Kevin Sutherland,101,4.53,801,177
14,T13,T13,Mike Weir,86,4.53,639,141
15,16,16,Carlos Franco,87,4.54,681,150
16,T17,T17,Mark Calcavecchia,81,4.55,619,136
17,T17,T17,Stewart Cink,102,4.55,756,166
18,T17,T17,José Coceres,60,4.55,423,93
19,T17,T17,John Huston,64,4.55,464,102
20,T17,T17,Nick Price,74,4.55,542,119
21,T22,T22,Stuart Appleby,105,4.56,761,167
22,T22,T22,John Daly,84,4.56,634,139
23,T22,T22,Bob Estes,91,4.56,679,149
24,T22,T22,Frank Lickliter II,102,4.56,785,172
25,T22,T22,Bob May,86,4.56,588,129
26,T22,T22,Billy Mayfair,102,4.56,807,177
27,T28,T28,Craig Barlow,74,4.57,571,125
28,T28,T28,Harrison Frazar,88,4.57,654,143
29,T28,T28,Kenny Perry,94,4.57,717,157
30,T31,T31,Chris DiMarco,108,4.58,811,177
31,T31,T31,Brad Faxon,95,4.58,692,151
32,T31,T31,Steve Flesch,112,4.58,879,192
33,T31,T31,Jim Furyk,88,4.58,673,147
34,T31,T31,Jay Haas,75,4.58,604,132
35,T31,T31,Tom Lehman,82,4.58,618,135
36,T37,T37,Brad Elder,111,4.59,913,199
37,T37,T37,Kevin Johnson,93,4.59,721,157
38,T37,T37,Loren Roberts,84,4.59,674,147
39,T37,T37,Chris Smith,101,4.59,781,170
40,T41,T41,Olin Browne,99,4.6,704,153
41,T41,T41,Greg Chalmers,92,4.6,695,151
42,T41,T41,K.J. Choi,95,4.6,722,157
43,T41,T41,Glen Day,89,4.6,685,149
44,T41,T41,Sergio Garcia,64,4.6,428,93
45,T41,T41,David Peoples,96,4.6,750,163
46,T41,T41,Rory Sabbatini,73,4.6,543,118
47,T41,T41,Jerry Smith,95,4.6,769,167
