,Late_Par_3_Scoring_Average_RANK THIS WEEK,Late_Par_3_Scoring_Average_RANK LAST WEEK,Late_Par_3_Scoring_Average_PLAYER NAME,Late_Par_3_Scoring_Average_ROUNDS,Late_Par_3_Scoring_Average_AVG,Late_Par_3_Scoring_Average_TOTAL STROKES,Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Scott Hoch,84,2.63,21,8
1,2,2,Bob May,86,2.69,43,16
2,T3,T3,John Cook,91,2.75,44,16
3,T3,T3,John Huston,64,2.75,22,8
4,T3,T3,Tripp Isenhour,92,2.75,33,12
5,T3,T3,Andrew Magee,97,2.75,55,20
6,T3,T3,Dennis Paulson,75,2.75,11,4
7,T3,T3,Kirk Triplett,88,2.75,22,8
8,T9,T9,Stewart Cink,102,2.82,79,28
9,T9,T9,Bob Tway,109,2.82,79,28
10,T11,T11,Ben Ferguson,76,2.83,34,12
11,T11,T11,Gary Nicklaus,96,2.83,34,12
12,T13,T13,Jim Carter,103,2.85,57,20
13,T13,T13,Kaname Yokoo,81,2.85,57,20
14,T15,T15,Skip Kendall,111,2.86,80,28
15,T15,T15,David Peoples,96,2.86,80,28
16,T17,T17,Paul Azinger,79,2.88,23,8
17,T17,T17,Mark Brooks,88,2.88,46,16
18,T17,T17,Bob Burns,92,2.88,46,16
19,T17,T17,Andrew McLardy,75,2.88,23,8
20,T17,T17,Frank Nobilo,91,2.88,23,8
21,T17,T17,Craig Parry,68,2.88,46,16
22,T17,T17,Chris Perry,80,2.88,23,8
23,T17,T17,Ted Tryba,110,2.88,69,24
24,T17,T17,Scott Verplank,99,2.88,92,32
25,T26,T26,Steve Lowery,100,2.89,81,28
26,T26,T26,Jesper Parnevik,91,2.89,81,28
27,T26,T26,Vijay Singh,98,2.89,81,28
28,T29,T29,Tommy Armour III,93,2.9,58,20
29,T29,T29,Charles Howell III,89,2.9,58,20
30,T31,T31,"David Berganio, Jr.",76,2.92,35,12
31,T31,T31,Richie Coughlan,66,2.92,35,12
32,T31,T31,Robert Damron,91,2.92,35,12
33,T31,T31,Danny Ellis,76,2.92,70,24
34,T31,T31,Robin Freeman,105,2.92,35,12
35,T31,T31,Bradley Hughes,96,2.92,35,12
36,T31,T31,Brandt Jobe,96,2.92,35,12
37,T31,T31,Kent Jones,74,2.92,35,12
38,T31,T31,Shaun Micheel,103,2.92,70,24
39,40,40,Scott McCarron,98,2.93,82,28
40,T41,T41,Glen Day,89,2.94,47,16
41,T41,T41,Glen Hnatiuk,104,2.94,47,16
42,T41,T41,Blaine McCallister,80,2.94,47,16
43,T41,T41,Tom Scherrer,69,2.94,47,16
44,T41,T41,Jeff Sluman,106,2.94,47,16
45,T41,T41,Jay Williamson,92,2.94,47,16
46,T47,T47,Russ Cochran,76,2.95,59,20
47,T47,T47,Ernie Els,70,2.95,59,20
48,T47,T47,Mike Weir,86,2.95,59,20
49,T50,T50,Chris DiMarco,108,2.96,142,48
50,T50,T50,Joe Ogilvie,110,2.96,71,24
51,T50,T50,Rory Sabbatini,73,2.96,83,28
52,T50,T50,Kevin Sutherland,101,2.96,71,24
53,T50,T50,Tiger Woods,76,2.96,71,24
54,T55,T55,Stephen Ames,88,3.0,36,12
