,First_Tee_Early_Par_5_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_5_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_5_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_5_Scoring_Average_ROUNDS,First_Tee_Early_Par_5_Scoring_Average_AVG,First_Tee_Early_Par_5_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_5_Scoring_Average_TOTAL HOLES
0,T1,T1,John Daly,84,4.0,12,3
1,T1,T1,David Duval,78,4.0,28,7
2,T1,T1,J.J. Henry,86,4.0,16,4
3,T1,T1,Craig Parry,68,4.0,32,8
4,T1,T1,Scott Simpson,73,4.0,8,2
5,T1,T1,David Toms,100,4.0,24,6
6,7,7,Tom Lehman,82,4.07,57,14
7,8,8,Brandel Chamblee,77,4.17,50,12
8,9,9,Davis Love III,75,4.2,84,20
9,10,10,Vijay Singh,98,4.22,38,9
10,T11,T11,Steve Allan,88,4.25,17,4
11,T11,T11,Doug Barron,62,4.25,17,4
12,T11,T11,Michael Clark II,87,4.25,17,4
13,T11,T11,Steve Flesch,112,4.25,85,20
14,T11,T11,Bob May,86,4.25,17,4
15,T11,T11,José María Olazábal,51,4.25,17,4
16,T11,T11,Hal Sutton,96,4.25,85,20
17,T11,T11,Brian Wilson,88,4.25,51,12
18,T19,T19,Bob Estes,91,4.29,30,7
19,T19,T19,Carlos Franco,87,4.29,30,7
20,T19,T19,Chris Riley,104,4.29,30,7
21,22,22,Mark Calcavecchia,81,4.3,43,10
22,23,23,Scott McCarron,98,4.31,69,16
23,T24,T24,Corey Pavin,72,4.33,13,3
24,T24,T24,Kevin Sutherland,101,4.33,78,18
25,T24,T24,Mike Weir,86,4.33,13,3
26,27,27,Greg Kraft,105,4.34,139,32
27,T28,T28,Chris DiMarco,108,4.36,48,11
28,T28,T28,Jason Gore,82,4.36,48,11
29,T28,T28,Tiger Woods,76,4.36,601,138
30,T31,T31,Jay Don Blake,100,4.38,70,16
31,T31,T31,José Coceres,60,4.38,35,8
32,T31,T31,Tripp Isenhour,92,4.38,35,8
33,T31,T31,Grant Waite,78,4.38,35,8
34,35,35,Lee Janzen,96,4.4,66,15
35,T36,T36,Briny Baird,106,4.42,53,12
36,T36,T36,Tom Byrum,85,4.42,53,12
37,T36,T36,Bradley Hughes,96,4.42,53,12
38,T36,T36,Rory Sabbatini,73,4.42,106,24
39,T40,T40,Robert Allenby,108,4.43,93,21
40,T40,T40,Stuart Appleby,105,4.43,62,14
41,T40,T40,Jesper Parnevik,91,4.43,31,7
42,T40,T40,Tom Scherrer,69,4.43,31,7
43,44,44,Carl Paulson,93,4.44,71,16
44,T45,T45,Olin Browne,99,4.45,49,11
45,T45,T45,David Frost,87,4.45,49,11
46,T45,T45,Cliff Kresge,84,4.45,49,11
47,T48,T48,Charles Howell III,89,4.46,107,24
48,T48,T48,Jeff Sluman,106,4.46,107,24
49,50,50,Steve Lowery,100,4.47,134,30
50,T51,T51,Woody Austin,99,4.5,54,12
51,T51,T51,"David Berganio, Jr.",76,4.5,18,4
52,T51,T51,Danny Ellis,76,4.5,36,8
53,T51,T51,Ben Ferguson,76,4.5,36,8
54,T51,T51,Bill Glasson,69,4.5,36,8
55,T51,T51,Hunter Haas,78,4.5,18,4
56,T51,T51,Glen Hnatiuk,104,4.5,36,8
57,T51,T51,Brandt Jobe,96,4.5,36,8
58,T51,T51,Kevin Johnson,93,4.5,18,4
59,T51,T51,Pete Jordan,105,4.5,36,8
60,T51,T51,Spike McRoy,95,4.5,18,4
61,T51,T51,Phil Mickelson,85,4.5,18,4
62,T51,T51,Frank Nobilo,91,4.5,18,4
63,T51,T51,Loren Roberts,84,4.5,36,8
64,T51,T51,Esteban Toledo,116,4.5,18,4
65,66,66,Scott Hoch,84,4.54,59,13
66,67,67,Tom Pernice Jr.,106,4.55,50,11
67,T68,T68,J.L. Lewis,108,4.56,73,16
68,T68,T68,David Morland IV,88,4.56,73,16
69,T70,T70,Scott Dunlap,80,4.57,32,7
70,T70,T70,Joe Durant,80,4.57,64,14
71,T70,T70,Jeff Hart,87,4.57,32,7
72,T70,T70,Jonathan Kaye,116,4.57,32,7
73,T74,T74,Jim Furyk,88,4.58,87,19
74,T74,T74,Paul Goydos,86,4.58,55,12
75,T74,T74,Michael Muehr,94,4.58,87,19
76,T74,T74,David Peoples,96,4.58,55,12
77,T74,T74,Jerry Smith,95,4.58,87,19
78,T74,T74,Steve Stricker,73,4.58,55,12
79,T74,T74,Kirk Triplett,88,4.58,55,12
80,T81,T81,Billy Mayfair,102,4.6,92,20
81,T81,T81,Kaname Yokoo,81,4.6,69,15
82,83,83,Nick Price,74,4.61,83,18
83,T84,T84,Jeremy Anderson,69,4.63,37,8
84,T84,T84,Tommy Armour III,93,4.63,37,8
85,T84,T84,Greg Chalmers,92,4.63,74,16
86,T84,T84,Richie Coughlan,66,4.63,37,8
87,T84,T84,Andrew Magee,97,4.63,37,8
88,T84,T84,Shigeki Maruyama,98,4.63,37,8
89,T84,T84,Mike Sposa,96,4.63,37,8
90,T84,T84,Rocky Walcher,59,4.63,37,8
91,T84,T84,Garrett Willis,88,4.63,37,8
92,93,93,Marco Dawson,57,4.64,51,11
93,T94,T94,Paul Azinger,79,4.65,144,31
94,T94,T94,Brian Henninger,81,4.65,107,23
95,T94,T94,Frank Lickliter II,102,4.65,79,17
96,T94,T94,Mark O'Meara,69,4.65,107,23
97,T98,T98,Billy Andrade,82,4.67,14,3
98,T98,T98,Doug Dunakey,83,4.67,56,12
99,T98,T98,Gabriel Hjertstedt,76,4.67,70,15
100,T98,T98,Jim McGovern,66,4.67,14,3
101,T98,T98,John Riegger,86,4.67,56,12
102,T98,T98,Mark Wiebe,62,4.67,14,3
103,104,104,Stewart Cink,102,4.68,131,28
104,T105,T105,Jim Carter,103,4.69,164,35
105,T105,T105,Robert Damron,91,4.69,75,16
106,T105,T105,Brad Faxon,95,4.69,61,13
107,T105,T105,Geoff Ogilvy,60,4.69,75,16
108,T105,T105,Craig Perks,78,4.69,75,16
109,T105,T105,Bob Tway,109,4.69,75,16
110,111,111,Brent Geiberger,84,4.7,127,27
111,T112,T112,Fred Couples,68,4.71,33,7
112,T112,T112,Gary Nicklaus,96,4.71,33,7
113,T112,T112,Scott Verplank,99,4.71,113,24
114,T115,T115,Edward Fryatt,93,4.73,52,11
115,T115,T115,Blaine McCallister,80,4.73,71,15
116,T117,T117,Fulton Allem,56,4.75,19,4
117,T117,T117,Mark Brooks,88,4.75,19,4
118,T117,T117,Bob Burns,92,4.75,76,16
119,T117,T117,K.J. Choi,95,4.75,19,4
120,T117,T117,Russ Cochran,76,4.75,57,12
121,T117,T117,John Cook,91,4.75,57,12
122,T117,T117,Brad Elder,111,4.75,19,4
123,T117,T117,Robin Freeman,105,4.75,38,8
124,T117,T117,Brian Gay,114,4.75,38,8
125,T117,T117,Matt Gogel,83,4.75,19,4
126,T117,T117,Kelly Grunewald,66,4.75,19,4
127,T117,T117,John Huston,64,4.75,19,4
128,T117,T117,Steve Jones,75,4.75,19,4
129,T117,T117,Craig Kanada,80,4.75,19,4
130,T117,T117,Jerry Kelly,104,4.75,19,4
131,T117,T117,Skip Kendall,111,4.75,57,12
132,T117,T117,Jeff Maggert,84,4.75,19,4
133,T117,T117,Andrew McLardy,75,4.75,19,4
134,T117,T117,Rocco Mediate,69,4.75,38,8
135,T117,T117,Larry Mize,76,4.75,19,4
136,T117,T117,Sean Murphy,70,4.75,19,4
137,T117,T117,Chris Perry,80,4.75,38,8
138,T117,T117,Ted Tryba,110,4.75,57,12
139,T117,T117,Duffy Waldorf,77,4.75,19,4
140,141,141,Fred Funk,118,4.8,48,10
141,142,142,Mathew Goggin,96,4.82,53,11
142,T143,T143,Sergio Garcia,64,4.83,58,12
143,T143,T143,Paul Stankowski,91,4.83,58,12
144,T145,T145,Per-Ulrik Johansson,82,4.86,34,7
145,T145,T145,Neal Lancaster,107,4.86,34,7
146,T145,T145,Joe Ogilvie,110,4.86,34,7
147,T145,T145,Kenny Perry,94,4.86,34,7
148,T149,T149,Justin Leonard,106,4.88,83,17
