,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Bob Estes,91,66.7,667,10
1,2,2,Davis Love III,75,67.2,672,10
2,3,3,Scott McCarron,98,67.43,472,7
3,4,4,John Huston,64,67.5,135,2
4,5,5,David Peoples,96,67.57,473,7
5,T6,T6,Russ Cochran,76,67.6,338,5
6,T6,T6,Mike Weir,86,67.6,338,5
7,8,8,Tom Lehman,82,67.63,541,8
8,T9,T9,Cameron Beckman,103,67.67,406,6
9,T9,T9,Robert Damron,91,67.67,203,3
10,T9,T9,Robin Freeman,105,67.67,203,3
11,T12,T12,David Duval,78,67.83,407,6
12,T12,T12,Chris Riley,104,67.83,407,6
13,T14,T14,Chris DiMarco,108,68.0,816,12
14,T14,T14,Scott Verplank,99,68.0,544,8
15,T14,T14,Rocky Walcher,59,68.0,68,1
16,T17,T17,Joel Edwards,99,68.2,341,5
17,T17,T17,Neal Lancaster,107,68.2,341,5
18,19,19,Shaun Micheel,103,68.33,410,6
19,T20,T20,Jim Carter,103,68.4,342,5
20,T20,T20,Per-Ulrik Johansson,82,68.4,342,5
21,T22,T22,Skip Kendall,111,68.43,479,7
22,T22,T22,Kenny Perry,94,68.43,479,7
23,T24,T24,Rich Beem,91,68.5,137,2
24,T24,T24,Steve Elkington,64,68.5,137,2
25,T24,T24,Danny Ellis,76,68.5,411,6
26,T24,T24,Bob May,86,68.5,274,4
27,T24,T24,Chris Perry,80,68.5,137,2
28,T29,T29,Jesper Parnevik,91,68.57,480,7
29,T29,T29,Rory Sabbatini,73,68.57,480,7
30,31,31,Ernie Els,70,68.6,343,5
31,T32,T32,Brandt Jobe,96,68.67,206,3
32,T32,T32,Tiger Woods,76,68.67,412,6
33,34,34,Blaine McCallister,80,68.75,275,4
34,T35,T35,Sergio Garcia,64,68.8,344,5
35,T35,T35,Charles Howell III,89,68.8,344,5
36,T35,T35,David Toms,100,68.8,344,5
37,T38,T38,Steve Flesch,112,68.83,413,6
38,T38,T38,Jeff Maggert,84,68.83,413,6
39,40,40,Vijay Singh,98,68.86,482,7
40,T41,T41,Fulton Allem,56,69.0,345,5
41,T41,T41,Paul Azinger,79,69.0,138,2
42,T41,T41,John Cook,91,69.0,276,4
43,T41,T41,Lee Janzen,96,69.0,483,7
44,T41,T41,Billy Mayfair,102,69.0,414,6
45,T41,T41,Frank Nobilo,91,69.0,138,2
46,T41,T41,Nick Price,74,69.0,207,3
47,T41,T41,Kaname Yokoo,81,69.0,345,5
48,49,49,Bob Tway,109,69.14,484,7
49,50,50,Stuart Appleby,105,69.17,415,6
50,T51,T51,Woody Austin,99,69.2,346,5
51,T51,T51,Andrew Magee,97,69.2,346,5
52,53,53,Brian Wilson,88,69.25,277,4
53,54,54,Steve Lowery,100,69.29,485,7
54,55,55,Mike Sposa,96,69.4,347,5
55,T56,T56,Briny Baird,106,69.5,278,4
56,T56,T56,Greg Chalmers,92,69.5,139,2
57,T56,T56,Glen Day,89,69.5,278,4
58,T56,T56,Carlos Franco,87,69.5,139,2
59,T56,T56,Kirk Triplett,88,69.5,139,2
60,61,61,Stewart Cink,102,69.57,487,7
61,T62,T62,Marco Dawson,57,69.67,209,3
62,T62,T62,Tripp Isenhour,92,69.67,209,3
63,T62,T62,Kent Jones,74,69.67,209,3
64,65,65,Jerry Smith,95,69.75,279,4
65,T66,T66,Tommy Armour III,93,69.8,349,5
66,T66,T66,John Daly,84,69.8,349,5
67,T66,T66,Brian Gay,114,69.8,349,5
68,T66,T66,Greg Kraft,105,69.8,349,5
69,70,70,Joe Ogilvie,110,69.83,419,6
70,T71,T71,Mark Brooks,88,70.0,280,4
71,T71,T71,Brad Faxon,95,70.0,210,3
72,T71,T71,Harrison Frazar,88,70.0,70,1
73,T71,T71,Matt Gogel,83,70.0,280,4
74,T71,T71,Jason Gore,82,70.0,210,3
75,T71,T71,Craig Kanada,80,70.0,210,3
76,T71,T71,Shigeki Maruyama,98,70.0,280,4
77,T71,T71,Rocco Mediate,69,70.0,210,3
78,T71,T71,Larry Mize,76,70.0,140,2
79,T71,T71,Mark O'Meara,69,70.0,350,5
80,T71,T71,Dennis Paulson,75,70.0,70,1
81,T71,T71,Ted Tryba,110,70.0,420,6
82,T71,T71,Jay Williamson,92,70.0,280,4
83,84,84,Michael Muehr,94,70.17,421,6
84,T85,T85,Robert Allenby,108,70.2,351,5
85,T85,T85,Fred Couples,68,70.2,351,5
86,T85,T85,Joe Durant,80,70.2,351,5
87,88,88,Jeff Sluman,106,70.25,281,4
88,T89,T89,John Riegger,86,70.4,352,5
89,T89,T89,Scott Simpson,73,70.4,352,5
90,T91,T91,José Coceres,60,70.43,493,7
91,T91,T91,Justin Leonard,106,70.43,493,7
92,T93,T93,Scott Dunlap,80,70.5,141,2
93,T93,T93,Jim Furyk,88,70.5,282,4
94,T93,T93,Jonathan Kaye,116,70.5,423,6
95,T93,T93,Bernhard Langer,62,70.5,282,4
96,T93,T93,Andrew McLardy,75,70.5,141,2
97,T93,T93,Kevin Sutherland,101,70.5,423,6
98,T99,T99,Brent Geiberger,84,70.67,212,3
99,T99,T99,Jeff Hart,87,70.67,424,6
100,T99,T99,Brian Henninger,81,70.67,424,6
101,T102,T102,Bob Burns,92,70.75,283,4
