,Tenth_Tee_Early_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_5_Scoring_Average_AVG,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL HOLES
0,T1,T1,Jason Gore,82,3.75,15,4
1,T1,T1,Hunter Haas,78,3.75,15,4
2,3,3,David Duval,78,4.0,16,4
3,T4,T4,Brad Elder,111,4.13,33,8
4,T4,T4,Kaname Yokoo,81,4.13,33,8
5,6,6,Shigeki Maruyama,98,4.17,50,12
6,T7,T7,Steve Allan,88,4.25,17,4
7,T7,T7,Woody Austin,99,4.25,17,4
8,T7,T7,Stewart Cink,102,4.25,51,12
9,T7,T7,Ernie Els,70,4.25,17,4
10,T7,T7,Bob Estes,91,4.25,17,4
11,T7,T7,Kevin Johnson,93,4.25,17,4
12,T7,T7,Greg Kraft,105,4.25,17,4
13,T7,T7,Justin Leonard,106,4.25,17,4
14,T7,T7,Davis Love III,75,4.25,17,4
15,T7,T7,Scott McCarron,98,4.25,17,4
16,T7,T7,Craig Parry,68,4.25,17,4
17,T7,T7,Rocky Walcher,59,4.25,17,4
18,19,19,Andrew Magee,97,4.27,64,15
19,T20,T20,Stephen Ames,88,4.29,30,7
20,T20,T20,Paul Azinger,79,4.29,30,7
21,T20,T20,Carlos Franco,87,4.29,30,7
22,23,23,Tiger Woods,76,4.31,181,42
23,24,24,Stuart Appleby,105,4.32,82,19
24,25,25,Olin Browne,99,4.37,83,19
25,T26,T26,Fred Couples,68,4.38,35,8
26,T26,T26,Brian Gay,114,4.38,35,8
27,T26,T26,Jesper Parnevik,91,4.38,70,16
28,T26,T26,Vijay Singh,98,4.38,35,8
29,T26,T26,Ted Tryba,110,4.38,35,8
30,31,31,Spike McRoy,95,4.4,66,15
31,32,32,Joel Edwards,99,4.43,62,14
32,T33,T33,Robert Damron,91,4.47,85,19
33,T33,T33,Glen Day,89,4.47,67,15
34,T33,T33,Jeff Sluman,106,4.47,67,15
35,T36,T36,John Daly,84,4.5,18,4
36,T36,T36,Chris DiMarco,108,4.5,36,8
37,T36,T36,Mathew Goggin,96,4.5,54,12
38,T36,T36,J.J. Henry,86,4.5,54,12
39,T36,T36,Mark Hensby,71,4.5,18,4
40,T36,T36,Tim Herron,97,4.5,18,4
41,T36,T36,Tripp Isenhour,92,4.5,36,8
42,T36,T36,Lee Janzen,96,4.5,36,8
43,T36,T36,Steve Jones,75,4.5,36,8
44,T36,T36,Jerry Kelly,104,4.5,36,8
45,T36,T36,Neal Lancaster,107,4.5,36,8
46,T36,T36,Jeff Maggert,84,4.5,36,8
47,T36,T36,Bob May,86,4.5,36,8
48,T36,T36,Joe Ogilvie,110,4.5,18,4
49,T36,T36,José María Olazábal,51,4.5,18,4
50,T36,T36,Dennis Paulson,75,4.5,36,8
51,T36,T36,Carl Paulson,93,4.5,54,12
52,T36,T36,Craig Perks,78,4.5,18,4
53,T36,T36,Chris Riley,104,4.5,18,4
54,T36,T36,Loren Roberts,84,4.5,36,8
55,T36,T36,David Toms,100,4.5,36,8
56,T36,T36,Duffy Waldorf,77,4.5,36,8
57,T36,T36,Mike Weir,86,4.5,36,8
58,T36,T36,Mark Wiebe,62,4.5,18,4
59,T36,T36,Garrett Willis,88,4.5,18,4
60,T36,T36,Brian Wilson,88,4.5,36,8
61,62,62,Kenny Perry,94,4.52,104,23
62,63,63,Craig Kanada,80,4.55,50,11
63,T64,T64,Michael Clark II,87,4.57,32,7
64,T64,T64,Brandt Jobe,96,4.57,32,7
65,T66,T66,Bill Glasson,69,4.58,55,12
66,T66,T66,David Peoples,96,4.58,55,12
67,T66,T66,John Riegger,86,4.58,55,12
68,T69,T69,Tommy Armour III,93,4.6,69,15
69,T69,T69,Brian Henninger,81,4.6,46,10
70,T69,T69,Tom Scherrer,69,4.6,46,10
71,T69,T69,Scott Simpson,73,4.6,46,10
72,T73,T73,John Cook,91,4.63,74,16
73,T73,T73,Harrison Frazar,88,4.63,37,8
74,T73,T73,Gabriel Hjertstedt,76,4.63,37,8
