,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Chris DiMarco,108,61.0,61,1
1,T2,T2,Joel Edwards,99,63.0,63,1
2,T2,T2,Bob Estes,91,63.0,63,1
3,T4,T4,Shaun Micheel,103,65.0,65,1
4,T4,T4,Chris Riley,104,65.0,65,1
5,T6,T6,Andrew Magee,97,66.0,66,1
6,T6,T6,Craig Parry,68,66.0,66,1
7,T8,T8,Davis Love III,75,66.5,133,2
8,T8,T8,Scott McCarron,98,66.5,133,2
9,T10,T10,Steve Elkington,64,67.0,67,1
10,T10,T10,Brian Gay,114,67.0,67,1
11,T10,T10,Skip Kendall,111,67.0,201,3
12,T10,T10,Tom Lehman,82,67.0,201,3
13,T10,T10,Jeff Maggert,84,67.0,134,2
14,T15,T15,Fred Couples,68,67.5,135,2
15,T15,T15,Robert Damron,91,67.5,135,2
16,T15,T15,Steve Flesch,112,67.5,135,2
17,T15,T15,Lee Janzen,96,67.5,135,2
18,T15,T15,Joe Ogilvie,110,67.5,270,4
19,20,20,Kaname Yokoo,81,67.67,203,3
20,21,21,Jim Carter,103,67.75,271,4
21,22,22,David Peoples,96,67.8,339,5
22,T23,T23,Paul Azinger,79,68.0,68,1
23,T23,T23,Tom Byrum,85,68.0,68,1
24,T23,T23,Russ Cochran,76,68.0,272,4
25,T23,T23,Danny Ellis,76,68.0,68,1
26,T23,T23,Jason Gore,82,68.0,136,2
27,T23,T23,Scott Hoch,84,68.0,68,1
28,T23,T23,Billy Mayfair,102,68.0,68,1
29,T23,T23,Blaine McCallister,80,68.0,136,2
30,T23,T23,Rocky Walcher,59,68.0,68,1
31,T23,T23,Brian Wilson,88,68.0,204,3
32,33,33,Cameron Beckman,103,68.33,205,3
33,T34,T34,Robert Allenby,108,68.5,137,2
34,T34,T34,Rich Beem,91,68.5,137,2
35,T34,T34,Olin Browne,99,68.5,137,2
36,T34,T34,Tripp Isenhour,92,68.5,137,2
37,T34,T34,Mark O'Meara,69,68.5,137,2
38,T34,T34,Esteban Toledo,116,68.5,137,2
39,T40,T40,Jesper Parnevik,91,68.67,206,3
40,T40,T40,Jerry Smith,95,68.67,206,3
41,T40,T40,Scott Verplank,99,68.67,206,3
42,T43,T43,Mark Brooks,88,69.0,69,1
43,T43,T43,Greg Chalmers,92,69.0,69,1
44,T43,T43,Stewart Cink,102,69.0,276,4
45,T43,T43,Glen Day,89,69.0,69,1
46,T43,T43,Paul Gow,79,69.0,69,1
47,T43,T43,Neal Lancaster,107,69.0,69,1
48,T43,T43,Steve Lowery,100,69.0,207,3
49,T43,T43,Larry Mize,76,69.0,69,1
50,T43,T43,Chris Perry,80,69.0,69,1
51,T43,T43,Tom Scherrer,69,69.0,69,1
52,53,53,Bob Tway,109,69.25,277,4
53,54,54,Jay Williamson,92,69.33,208,3
54,T55,T55,Woody Austin,99,69.5,139,2
55,T55,T55,Bob Burns,92,69.5,139,2
56,T55,T55,John Cook,91,69.5,139,2
57,T55,T55,John Daly,84,69.5,139,2
58,T55,T55,Charles Howell III,89,69.5,139,2
59,T55,T55,Brandt Jobe,96,69.5,139,2
60,T55,T55,Dicky Pride,78,69.5,139,2
61,T55,T55,Jeff Sluman,106,69.5,139,2
62,T63,T63,Briny Baird,106,69.67,209,3
63,T63,T63,Glen Hnatiuk,104,69.67,209,3
64,T63,T63,Jonathan Kaye,116,69.67,209,3
65,66,66,Ted Tryba,110,69.75,279,4
66,67,67,Kevin Sutherland,101,69.8,349,5
67,T68,T68,Scott Dunlap,80,70.0,70,1
68,T68,T68,Brad Faxon,95,70.0,140,2
69,T68,T68,Fred Funk,118,70.0,70,1
70,T68,T68,Craig Kanada,80,70.0,140,2
71,T68,T68,Greg Kraft,105,70.0,280,4
72,T68,T68,Frank Lickliter II,102,70.0,210,3
73,T68,T68,Shigeki Maruyama,98,70.0,280,4
74,T68,T68,Lee Porter,93,70.0,70,1
75,T68,T68,Nick Price,74,70.0,70,1
76,T68,T68,Scott Simpson,73,70.0,140,2
77,T68,T68,Paul Stankowski,91,70.0,140,2
78,79,79,Michael Muehr,94,70.17,421,6
79,T80,T80,Marco Dawson,57,70.5,141,2
80,T80,T80,Joe Durant,80,70.5,141,2
81,T80,T80,John Riegger,86,70.5,141,2
