,Back_9_Lowest_Round_RANK THIS WEEK,Back_9_Lowest_Round_RANK LAST WEEK,Back_9_Lowest_Round_PLAYER NAME,Back_9_Lowest_Round_ROUNDS,Back_9_Lowest_Round_LOW RND
0,1,1,Billy Mayfair,102,27
1,2,2,Brett Quigley,67,28
2,T3,T3,Brad Elder,111,29
3,T3,T3,Steve Flesch,112,29
4,T3,T3,Kelly Grunewald,66,29
5,T3,T3,Jonathan Kaye,116,29
6,T3,T3,Justin Leonard,106,29
7,T3,T3,Phil Mickelson,85,29
8,T3,T3,Kenny Perry,94,29
9,T3,T3,David Toms,100,29
10,T3,T3,Ted Tryba,110,29
11,T12,T12,Stephen Ames,88,30
12,T12,T12,Stuart Appleby,105,30
13,T12,T12,Paul Azinger,79,30
14,T12,T12,Tom Byrum,85,30
15,T12,T12,Greg Chalmers,92,30
16,T12,T12,John Cook,91,30
17,T12,T12,John Daly,84,30
18,T12,T12,Robert Damron,91,30
19,T12,T12,Chris DiMarco,108,30
20,T12,T12,Scott Dunlap,80,30
21,T12,T12,David Duval,78,30
22,T12,T12,David Frost,87,30
23,T12,T12,Jim Furyk,88,30
24,T12,T12,Robert Gamez,59,30
25,T12,T12,Brian Gay,114,30
26,T12,T12,Paul Goydos,86,30
27,T12,T12,Jay Haas,75,30
28,T12,T12,Brian Henninger,81,30
29,T12,T12,J.J. Henry,86,30
30,T12,T12,Jerry Kelly,104,30
31,T12,T12,Tom Lehman,82,30
32,T12,T12,Davis Love III,75,30
33,T12,T12,Andrew McLardy,75,30
34,T12,T12,Spike McRoy,95,30
35,T12,T12,Joe Ogilvie,110,30
36,T12,T12,Nick Price,74,30
37,T12,T12,Rory Sabbatini,73,30
38,T12,T12,Scott Simpson,73,30
39,T12,T12,Jeff Sluman,106,30
40,T12,T12,Jerry Smith,95,30
41,T12,T12,Esteban Toledo,116,30
42,T12,T12,Kirk Triplett,88,30
43,T12,T12,Bob Tway,109,30
44,T12,T12,Scott Verplank,99,30
45,T12,T12,Brian Watts,56,30
46,T12,T12,Mark Wiebe,62,30
