,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,T1,T1,Woody Austin,99,65.0,65,1
1,T1,T1,Hunter Haas,78,65.0,65,1
2,T1,T1,Scott McCarron,98,65.0,65,1
3,T4,T4,Tom Byrum,85,66.0,132,2
4,T4,T4,Bob Estes,91,66.0,66,1
5,6,6,Stewart Cink,102,66.33,199,3
6,7,7,Vijay Singh,98,66.5,133,2
7,T8,T8,Tim Herron,97,67.0,67,1
8,T8,T8,Davis Love III,75,67.0,67,1
9,T8,T8,Kaname Yokoo,81,67.0,134,2
10,11,11,Chris DiMarco,108,67.5,135,2
11,12,12,Shigeki Maruyama,98,67.67,203,3
12,T13,T13,Jeremy Anderson,69,68.0,68,1
13,T13,T13,Joel Edwards,99,68.0,272,4
14,T13,T13,Jonathan Kaye,116,68.0,68,1
15,T13,T13,Greg Kraft,105,68.0,68,1
16,T13,T13,Jeff Maggert,84,68.0,136,2
17,T13,T13,José María Olazábal,51,68.0,68,1
18,T13,T13,Carl Paulson,93,68.0,204,3
19,T13,T13,Chris Riley,104,68.0,68,1
20,T13,T13,Rocky Walcher,59,68.0,68,1
21,22,22,Craig Kanada,80,68.33,205,3
22,T23,T23,Stephen Ames,88,68.5,137,2
23,T23,T23,Fred Couples,68,68.5,137,2
24,T23,T23,Brad Elder,111,68.5,137,2
25,T23,T23,Lee Janzen,96,68.5,137,2
26,T23,T23,Neal Lancaster,107,68.5,137,2
27,T23,T23,Kenny Perry,94,68.5,411,6
28,T23,T23,Loren Roberts,84,68.5,137,2
29,T23,T23,Bob Tway,109,68.5,137,2
30,31,31,Grant Waite,78,68.67,206,3
31,32,32,Stuart Appleby,105,68.8,344,5
32,T33,T33,Olin Browne,99,69.0,345,5
33,T33,T33,Glen Day,89,69.0,276,4
34,T33,T33,Scott Dunlap,80,69.0,69,1
35,T33,T33,David Duval,78,69.0,69,1
36,T33,T33,Jason Gore,82,69.0,69,1
37,T33,T33,Mark Hensby,71,69.0,69,1
38,T33,T33,Kevin Johnson,93,69.0,69,1
39,T33,T33,Bob May,86,69.0,138,2
40,T33,T33,Joe Ogilvie,110,69.0,69,1
41,T33,T33,Craig Parry,68,69.0,69,1
42,T33,T33,Nick Price,74,69.0,69,1
43,T33,T33,David Toms,100,69.0,138,2
44,T33,T33,Tiger Woods,76,69.0,828,12
45,T46,T46,Jim Carter,103,69.25,277,4
46,T46,T46,José Coceres,60,69.25,277,4
47,T48,T48,Bob Burns,92,69.33,208,3
48,T48,T48,Fred Funk,118,69.33,416,6
49,50,50,Robert Damron,91,69.4,347,5
50,T51,T51,Paul Azinger,79,69.5,139,2
51,T51,T51,Brian Gay,114,69.5,139,2
52,T51,T51,Kirk Triplett,88,69.5,139,2
53,T51,T51,Brian Wilson,88,69.5,139,2
54,55,55,Tom Pernice Jr.,106,69.6,348,5
55,T56,T56,Robert Allenby,108,70.0,140,2
56,T56,T56,David Frost,87,70.0,140,2
57,T56,T56,Paul Gow,79,70.0,70,1
58,T56,T56,John Huston,64,70.0,70,1
59,T56,T56,Len Mattiace,98,70.0,140,2
60,T56,T56,Billy Mayfair,102,70.0,210,3
61,T56,T56,Spike McRoy,95,70.0,280,4
62,T56,T56,Rocco Mediate,69,70.0,210,3
63,T56,T56,David Morland IV,88,70.0,140,2
