,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,David Duval,78,65.67,197,3
1,2,2,Tom Lehman,82,66.25,265,4
2,3,3,Craig Parry,68,66.33,199,3
3,4,4,John Daly,84,66.5,133,2
4,T5,T5,Tim Herron,97,67.0,67,1
5,T5,T5,David Toms,100,67.0,268,4
6,T7,T7,Woody Austin,99,67.25,269,4
7,T7,T7,Bernhard Langer,62,67.25,269,4
8,9,9,Ben Ferguson,76,67.5,135,2
9,10,10,Davis Love III,75,67.57,473,7
10,T11,T11,Bob Estes,91,67.67,203,3
11,T11,T11,Jeff Maggert,84,67.67,203,3
12,13,13,Fred Couples,68,67.75,271,4
13,14,14,Craig Perks,78,67.8,339,5
14,T15,T15,Jim McGovern,66,68.0,68,1
15,T15,T15,José María Olazábal,51,68.0,136,2
16,17,17,Steve Flesch,112,68.14,477,7
17,T18,T18,Scott McCarron,98,68.17,409,6
18,T18,T18,Nick Price,74,68.17,409,6
19,T20,T20,Chris DiMarco,108,68.2,341,5
20,T20,T20,Vijay Singh,98,68.2,341,5
21,T22,T22,Jeremy Anderson,69,68.33,205,3
22,T22,T22,Chris Riley,104,68.33,205,3
23,24,24,Olin Browne,99,68.38,547,8
24,25,25,Shigeki Maruyama,98,68.4,342,5
25,26,26,Greg Kraft,105,68.44,616,9
26,T27,T27,Robert Allenby,108,68.5,548,8
27,T27,T27,Jason Gore,82,68.5,274,4
28,T27,T27,John Huston,64,68.5,137,2
29,T27,T27,Kevin Johnson,93,68.5,137,2
30,31,31,Tiger Woods,76,68.61,3705,54
31,T32,T32,Mark Calcavecchia,81,68.67,206,3
32,T32,T32,Lee Janzen,96,68.67,412,6
33,T32,T32,Skip Kendall,111,68.67,412,6
34,T32,T32,Cliff Kresge,84,68.67,206,3
35,T36,T36,Craig Kanada,80,68.75,275,4
36,T36,T36,Loren Roberts,84,68.75,275,4
37,38,38,Grant Waite,78,68.8,344,5
38,39,39,Scott Verplank,99,68.83,413,6
39,40,40,Kenny Perry,94,68.88,551,8
40,T41,T41,Stewart Cink,102,69.0,759,11
41,T41,T41,Michael Clark II,87,69.0,207,3
42,T41,T41,Robert Gamez,59,69.0,69,1
43,T41,T41,Jeff Hart,87,69.0,207,3
44,T41,T41,Mark Hensby,71,69.0,69,1
45,T41,T41,Sean Murphy,70,69.0,69,1
46,T41,T41,Bob Tway,109,69.0,414,6
47,T41,T41,Rocky Walcher,59,69.0,207,3
48,49,49,Glen Day,89,69.11,622,9
49,50,50,José Coceres,60,69.17,415,6
50,51,51,Brian Wilson,88,69.2,346,5
51,52,52,Charles Howell III,89,69.25,554,8
52,T53,T53,Jonathan Kaye,116,69.33,208,3
53,T53,T53,Bob May,86,69.33,208,3
54,T53,T53,Mike Weir,86,69.33,208,3
55,T53,T53,Kaname Yokoo,81,69.33,416,6
56,T57,T57,Tom Byrum,85,69.4,347,5
57,T57,T57,David Frost,87,69.4,347,5
58,T57,T57,Spike McRoy,95,69.4,347,5
59,T60,T60,Frank Lickliter II,102,69.43,486,7
60,T60,T60,Carl Paulson,93,69.43,486,7
61,T62,T62,Brian Gay,114,69.5,278,4
62,T62,T62,Hunter Haas,78,69.5,139,2
63,T62,T62,Neal Lancaster,107,69.5,278,4
64,T62,T62,Kevin Sutherland,101,69.5,417,6
65,T66,T66,Jay Don Blake,100,69.63,557,8
66,T66,T66,Brent Geiberger,84,69.63,557,8
67,T68,T68,Paul Goydos,86,69.67,209,3
68,T68,T68,Lee Porter,93,69.67,209,3
69,T68,T68,John Riegger,86,69.67,418,6
70,71,71,Paul Azinger,79,69.7,697,10
71,72,72,Briny Baird,106,69.75,279,4
72,73,73,Fred Funk,118,69.78,628,9
73,T74,T74,Jerry Smith,95,69.8,349,5
74,T74,T74,Kirk Triplett,88,69.8,349,5
75,76,76,John Cook,91,69.86,489,7
76,77,77,Joel Edwards,99,69.88,559,8
