,Back_9_Par_3_Scoring_Average_RANK THIS WEEK,Back_9_Par_3_Scoring_Average_RANK LAST WEEK,Back_9_Par_3_Scoring_Average_PLAYER NAME,Back_9_Par_3_Scoring_Average_ROUNDS,Back_9_Par_3_Scoring_Average_AVG,Back_9_Par_3_Scoring_Average_TOTAL STROKES,Back_9_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Scott Verplank,99,2.88,541,188
1,2,2,Jay Don Blake,100,2.91,568,195
2,3,3,Brett Quigley,67,2.92,371,127
3,4,4,Tiger Woods,76,2.94,426,145
4,T5,T5,Stephen Ames,88,2.95,502,170
5,T5,T5,Stewart Cink,102,2.95,551,187
6,T7,T7,Mark Brooks,88,2.96,524,177
7,T7,T7,Glen Day,89,2.96,507,171
8,T7,T7,Jay Haas,75,2.96,435,147
9,T7,T7,Willie Wood,52,2.96,311,105
10,T11,T11,John Cook,91,2.97,528,178
11,T11,T11,Davis Love III,75,2.97,437,147
12,T11,T11,Tom Scherrer,69,2.97,383,129
13,T14,T14,Harrison Frazar,88,2.98,510,171
14,T14,T14,Jim Furyk,88,2.98,513,172
15,T14,T14,Brent Geiberger,84,2.98,477,160
16,T14,T14,Lee Janzen,96,2.98,555,186
17,T14,T14,Ian Leggatt,84,2.98,506,170
18,T19,T19,Ben Bates,53,2.99,320,107
19,T19,T19,Cameron Beckman,103,2.99,601,201
20,T19,T19,"David Berganio, Jr.",76,2.99,439,147
21,T19,T19,Fred Couples,68,2.99,407,136
22,T19,T19,Bob Estes,91,2.99,521,174
23,T19,T19,Dan Forsman,81,2.99,470,157
24,T19,T19,Fred Funk,118,2.99,706,236
25,T19,T19,Jeff Hart,87,2.99,512,171
26,T19,T19,Scott Hoch,84,2.99,500,167
27,T19,T19,Corey Pavin,72,2.99,415,139
28,T19,T19,Kevin Sutherland,101,2.99,583,195
29,T19,T19,Kirk Triplett,88,2.99,494,165
30,T31,T31,Pete Jordan,105,3.0,623,208
31,T31,T31,Scott Simpson,73,3.0,444,148
32,T33,T33,Paul Azinger,79,3.01,473,157
33,T33,T33,Greg Chalmers,92,3.01,541,180
34,T33,T33,Chris DiMarco,108,3.01,599,199
35,T33,T33,David Frost,87,3.01,523,174
36,T33,T33,Dudley Hart,80,3.01,430,143
37,T33,T33,Craig Kanada,80,3.01,472,157
38,T33,T33,J.L. Lewis,108,3.01,645,214
39,T33,T33,Scott McCarron,98,3.01,575,191
40,T33,T33,Andrew McLardy,75,3.01,460,153
41,T33,T33,Nick Price,74,3.01,433,144
42,T33,T33,Mark Wiebe,62,3.01,376,125
43,T44,T44,K.J. Choi,95,3.02,559,185
44,T44,T44,Brad Faxon,95,3.02,510,169
45,T44,T44,Charles Howell III,89,3.02,513,170
46,T44,T44,Steve Jones,75,3.02,426,141
47,T44,T44,Tom Lehman,82,3.02,456,151
48,T44,T44,Justin Leonard,106,3.02,588,195
49,T44,T44,Larry Mize,76,3.02,450,149
50,T44,T44,Sean Murphy,70,3.02,426,141
51,T44,T44,Jeff Sluman,106,3.02,634,210
52,T44,T44,Tommy Tolles,89,3.02,525,174
53,T44,T44,Bob Tway,109,3.02,646,214
54,T55,T55,Olin Browne,99,3.03,591,195
55,T55,T55,Jim Carter,103,3.03,600,198
56,T55,T55,Brandel Chamblee,77,3.03,458,151
57,T55,T55,Danny Ellis,76,3.03,463,153
58,T55,T55,Sergio Garcia,64,3.03,355,117
59,T55,T55,Matt Gogel,83,3.03,485,160
60,T55,T55,Donnie Hammond,51,3.03,318,105
61,T55,T55,Glen Hnatiuk,104,3.03,616,203
62,T55,T55,Bernhard Langer,62,3.03,360,119
63,T55,T55,Bob May,86,3.03,482,159
64,T55,T55,Spike McRoy,95,3.03,561,185
65,T55,T55,Frank Nobilo,91,3.03,545,180
66,T55,T55,Jesper Parnevik,91,3.03,530,175
67,T55,T55,David Peoples,96,3.03,564,186
68,T55,T55,Kenny Perry,94,3.03,546,180
69,T55,T55,Hal Sutton,96,3.03,572,189
70,T55,T55,Brian Watts,56,3.03,339,112
71,T55,T55,Brian Wilson,88,3.03,531,175
72,T73,T73,Briny Baird,106,3.04,633,208
73,T73,T73,Joel Edwards,99,3.04,604,199
74,T73,T73,Ernie Els,70,3.04,340,112
75,T73,T73,Tripp Isenhour,92,3.04,545,179
76,T73,T73,Per-Ulrik Johansson,82,3.04,490,161
77,T73,T73,Jeff Julian,55,3.04,337,111
78,T73,T73,Shigeki Maruyama,98,3.04,565,186
79,T73,T73,Gary Nicklaus,96,3.04,578,190
80,T73,T73,John Riegger,86,3.04,514,169
81,T73,T73,Loren Roberts,84,3.04,493,162
82,T73,T73,Vijay Singh,98,3.04,538,177
83,T73,T73,Chris Smith,101,3.04,598,197
84,T85,T85,Doug Barron,62,3.05,381,125
85,T85,T85,Richie Coughlan,66,3.05,406,133
86,T85,T85,Joe Durant,80,3.05,488,160
87,T85,T85,Brian Gay,114,3.05,683,224
88,T85,T85,Paul Goydos,86,3.05,519,170
89,T85,T85,J.P. Hayes,76,3.05,455,149
90,T85,T85,J.J. Henry,86,3.05,515,169
91,T85,T85,Mark Hensby,71,3.05,436,143
92,T85,T85,Tim Herron,97,3.05,559,183
93,T85,T85,Jonathan Kaye,116,3.05,693,227
94,T85,T85,Skip Kendall,111,3.05,667,219
95,T85,T85,Franklin Langham,63,3.05,369,121
96,T85,T85,Jeff Maggert,84,3.05,516,169
97,T85,T85,Michael Muehr,94,3.05,564,185
98,T85,T85,Craig Perks,78,3.05,466,153
99,T85,T85,David Toms,100,3.05,576,189
100,T101,T101,Craig Barlow,74,3.06,444,145
101,T101,T101,Russ Cochran,76,3.06,453,148
102,T101,T101,Edward Fryatt,93,3.06,542,177
103,T101,T101,Paul Gow,79,3.06,462,151
104,T101,T101,Hunter Haas,78,3.06,468,153
105,T101,T101,Jerry Kelly,104,3.06,621,203
106,T101,T101,Phil Mickelson,85,3.06,481,157
107,T101,T101,José María Olazábal,51,3.06,285,93
108,T101,T101,Craig Parry,68,3.06,385,126
109,T101,T101,Brent Schwarzrock,63,3.06,388,127
110,T101,T101,Chris Tidland,83,3.06,492,161
111,T101,T101,Mike Weir,86,3.06,511,167
112,T101,T101,Jay Williamson,92,3.06,557,182
113,T114,T114,Robert Allenby,108,3.07,633,206
114,T114,T114,Ronnie Black,51,3.07,316,103
115,T114,T114,Michael Clark II,87,3.07,515,168
116,T114,T114,José Coceres,60,3.07,344,112
117,T114,T114,Marco Dawson,57,3.07,350,114
118,T114,T114,Brad Elder,111,3.07,679,221
119,T114,T114,Steve Elkington,64,3.07,372,121
120,T114,T114,Billy Mayfair,102,3.07,607,198
121,T114,T114,Blaine McCallister,80,3.07,498,162
122,T114,T114,Rocco Mediate,69,3.07,415,135
123,T114,T114,Joe Ogilvie,110,3.07,660,215
124,T114,T114,Tom Pernice Jr.,106,3.07,636,207
125,T114,T114,Lee Porter,93,3.07,556,181
126,T114,T114,Esteban Toledo,116,3.07,707,230
127,T114,T114,Ted Tryba,110,3.07,656,214
128,T129,T129,Billy Andrade,82,3.08,472,153
129,T129,T129,Rich Beem,91,3.08,555,180
130,T129,T129,Tom Byrum,85,3.08,526,171
131,T129,T129,Mark Calcavecchia,81,3.08,483,157
132,T129,T129,Robert Damron,91,3.08,566,184
133,T129,T129,Scott Dunlap,80,3.08,490,159
134,T129,T129,Bill Glasson,69,3.08,400,130
135,T129,T129,Jimmy Green,94,3.08,573,186
136,T129,T129,Bradley Hughes,96,3.08,583,189
137,T129,T129,Dennis Paulson,75,3.08,440,143
