,Top_5_Final_Round_Performance_RANK THIS WEEK,Top_5_Final_Round_Performance_RANK LAST WEEK,Top_5_Final_Round_Performance_PLAYER NAME,Top_5_Final_Round_Performance_EVENTS,Top_5_Final_Round_Performance_% TIMES IMPROVED,Top_5_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Briny Baird,31,100.0,1.0
1,T1,T1,"David Berganio, Jr.",25,100.0,2.0
2,T1,T1,Ronnie Black,17,100.0,1.0
3,T1,T1,Mark Brooks,27,100.0,1.0
4,T1,T1,Olin Browne,30,100.0,1.0
5,T1,T1,Mark Calcavecchia,23,100.0,4.0
6,T1,T1,Brandel Chamblee,23,100.0,1.0
7,T1,T1,John Cook,25,100.0,1.0
8,T1,T1,Robert Damron,27,100.0,1.0
9,T1,T1,Joe Durant,25,100.0,3.0
10,T1,T1,Brad Faxon,26,100.0,1.0
11,T1,T1,Fred Funk,33,100.0,2.0
12,T1,T1,Brent Geiberger,25,100.0,1.0
13,T1,T1,Matt Gogel,26,100.0,1.0
14,T1,T1,Paul Gow,27,100.0,2.0
15,T1,T1,Paul Goydos,29,100.0,1.0
16,T1,T1,Charles Howell III,24,100.0,2.0
17,T1,T1,Jonathan Kaye,33,100.0,1.0
18,T1,T1,Steve Lowery,28,100.0,3.0
19,T1,T1,Shigeki Maruyama,27,100.0,2.0
20,T1,T1,Billy Mayfair,29,100.0,2.0
21,T1,T1,Geoff Ogilvy,23,100.0,1.0
22,T1,T1,Dennis Paulson,25,100.0,2.0
23,T1,T1,Kenny Perry,26,100.0,3.0
24,T1,T1,Rory Sabbatini,23,100.0,2.0
25,T1,T1,Scott Simpson,22,100.0,1.0
26,T1,T1,Hal Sutton,26,100.0,2.0
27,T1,T1,Esteban Toledo,36,100.0,1.0
28,T1,T1,Kirk Triplett,26,100.0,1.0
29,T1,T1,Scott Verplank,26,100.0,6.0
30,T1,T1,Duffy Waldorf,27,100.0,1.0
31,T1,T1,Garrett Willis,33,100.0,1.0
32,T1,T1,Tiger Woods,19,100.0,5.0
33,34,34,Sergio Garcia,18,83.3,5.0
34,35,35,Phil Mickelson,23,81.8,9.0
35,36,36,Bob Estes,26,80.0,4.0
36,T37,T37,Stewart Cink,29,75.0,3.0
37,T37,T37,Jim Furyk,24,75.0,3.0
38,T37,T37,Bernhard Langer,17,75.0,3.0
39,T37,T37,Rocco Mediate,21,75.0,3.0
40,41,41,Vijay Singh,26,71.4,5.0
41,T42,T42,Paul Azinger,20,66.7,2.0
42,T42,T42,José Coceres,19,66.7,2.0
43,T42,T42,Ernie Els,19,66.7,4.0
44,T42,T42,Harrison Frazar,25,66.7,2.0
45,T42,T42,J.J. Henry,28,66.7,2.0
46,T42,T42,Frank Lickliter II,29,66.7,2.0
47,T42,T42,Davis Love III,20,66.7,4.0
48,T42,T42,Nick Price,20,66.7,2.0
49,T42,T42,Jeff Sluman,30,66.7,2.0
50,T51,T51,David Duval,20,60.0,3.0
51,T51,T51,Scott Hoch,24,60.0,3.0
52,T51,T51,Scott McCarron,25,60.0,3.0
53,T51,T51,David Toms,28,60.0,3.0
54,T55,T55,Robert Allenby,29,50.0,2.0
55,T55,T55,Billy Andrade,27,50.0,1.0
56,T55,T55,Cameron Beckman,29,50.0,1.0
57,T55,T55,John Daly,25,50.0,1.0
58,T55,T55,Chris DiMarco,29,50.0,4.0
59,T55,T55,Joel Edwards,30,50.0,1.0
60,T55,T55,Brian Gay,32,50.0,1.0
61,T55,T55,Jay Haas,21,50.0,1.0
62,T55,T55,J.P. Hayes,23,50.0,1.0
63,T55,T55,Jerry Kelly,31,50.0,3.0
64,T55,T55,Neal Lancaster,36,50.0,1.0
65,T55,T55,Tom Lehman,23,50.0,2.0
66,T55,T55,Paul Stankowski,27,50.0,1.0
67,T55,T55,Kevin Sutherland,30,50.0,2.0
68,T55,T55,Bob Tway,29,50.0,1.0
