,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,76,34.39,2614,76
1,2,2,Davis Love III,75,34.61,2596,75
2,3,3,Scott Verplank,99,34.65,3361,97
3,4,4,Vijay Singh,98,34.66,3189,92
4,5,5,Paul Azinger,79,34.68,2740,79
5,6,6,Charles Howell III,89,34.74,2953,85
6,7,7,Bob Estes,91,34.76,3059,88
7,8,8,Tom Lehman,82,34.78,2713,78
8,9,9,Scott Hoch,84,34.79,2922,84
9,T10,T10,Kenny Perry,94,34.8,3097,89
10,T10,T10,Kirk Triplett,88,34.8,2888,83
11,T12,T12,Jim Furyk,88,34.82,3064,88
12,T12,T12,Phil Mickelson,85,34.82,2855,82
13,14,14,Chris DiMarco,108,34.83,3588,103
14,15,15,Sergio Garcia,64,34.88,2093,60
15,T16,T16,Stuart Appleby,105,34.91,3421,98
16,T16,T16,Brian Gay,114,34.91,3910,112
17,T16,T16,David Toms,100,34.91,3351,96
18,19,19,Bernhard Langer,62,34.92,2130,61
19,20,20,Jonathan Kaye,116,34.93,3912,112
20,21,21,Jay Haas,75,34.94,2516,72
21,T22,T22,David Duval,78,34.97,2553,73
22,T22,T22,Brett Quigley,67,34.97,2203,63
23,24,24,John Cook,91,34.99,3079,88
24,T25,T25,Joe Durant,80,35.01,2801,80
25,T25,T25,Hal Sutton,96,35.01,3326,95
26,27,27,Joel Edwards,99,35.02,3467,99
27,28,28,Dudley Hart,80,35.03,2627,75
28,T29,T29,Fred Funk,118,35.04,4100,117
29,T29,T29,Willie Wood,52,35.04,1822,52
30,T31,T31,Scott McCarron,98,35.05,3295,94
31,T31,T31,Larry Mize,76,35.05,2594,74
32,T31,T31,Kevin Sutherland,101,35.05,3435,98
33,T34,T34,Stephen Ames,88,35.08,2947,84
34,T34,T34,Greg Chalmers,92,35.08,3122,89
35,T36,T36,Stewart Cink,102,35.09,3404,97
36,T36,T36,Billy Mayfair,102,35.09,3509,100
37,T36,T36,Frank Nobilo,91,35.09,3123,89
38,T36,T36,Jeff Sluman,106,35.09,3649,104
39,40,40,Frank Lickliter II,102,35.1,3580,102
40,41,41,Mark Calcavecchia,81,35.11,2774,79
41,42,42,Cameron Beckman,103,35.12,3477,99
42,43,43,Jay Don Blake,100,35.13,3372,96
43,44,44,Brian Watts,56,35.14,1968,56
44,T45,T45,Lee Janzen,96,35.15,3234,92
45,T45,T45,Jesper Parnevik,91,35.15,3199,91
46,T47,T47,K.J. Choi,95,35.16,3235,92
47,T47,T47,Jerry Kelly,104,35.16,3551,101
48,49,49,"David Berganio, Jr.",76,35.18,2568,73
49,T50,T50,Rocco Mediate,69,35.19,2428,69
50,T50,T50,Nick Price,74,35.19,2604,74
51,52,52,Joey Sindelar,69,35.2,2323,66
52,T53,T53,Olin Browne,99,35.21,3380,96
53,T53,T53,Per-Ulrik Johansson,82,35.21,2817,80
54,T53,T53,Justin Leonard,106,35.21,3486,99
55,T56,T56,Briny Baird,106,35.22,3628,103
56,T56,T56,Brent Geiberger,84,35.22,2782,79
57,T56,T56,Mike Weir,86,35.22,3029,86
58,T59,T59,Russ Cochran,76,35.23,2572,73
