,Early_Par_3_Scoring_Average_RANK THIS WEEK,Early_Par_3_Scoring_Average_RANK LAST WEEK,Early_Par_3_Scoring_Average_PLAYER NAME,Early_Par_3_Scoring_Average_ROUNDS,Early_Par_3_Scoring_Average_AVG,Early_Par_3_Scoring_Average_TOTAL STROKES,Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Sean Murphy,70,2.5,10,4
1,2,2,Ben Ferguson,76,2.63,21,8
2,3,3,David Duval,78,2.73,30,11
3,T4,T4,Woody Austin,99,2.75,44,16
4,T4,T4,Richie Coughlan,66,2.75,22,8
5,T4,T4,Fred Couples,68,2.75,44,16
6,T4,T4,Hunter Haas,78,2.75,22,8
7,T4,T4,Mark Hensby,71,2.75,11,4
8,T4,T4,Tim Herron,97,2.75,11,4
9,T4,T4,Jim McGovern,66,2.75,11,4
10,T4,T4,José María Olazábal,51,2.75,22,8
11,T4,T4,Jay Williamson,92,2.75,22,8
12,13,13,Nick Price,74,2.79,67,24
13,T14,T14,Robert Allenby,108,2.81,90,32
14,T14,T14,Robin Freeman,105,2.81,45,16
15,T14,T14,Tom Lehman,82,2.81,45,16
16,T17,T17,Bob Estes,91,2.83,34,12
17,T17,T17,Jeff Hart,87,2.83,34,12
18,T17,T17,Craig Parry,68,2.83,34,12
19,T20,T20,Andrew McLardy,75,2.85,57,20
20,T20,T20,Jerry Smith,95,2.85,57,20
21,T20,T20,Kirk Triplett,88,2.85,57,20
22,T20,T20,Grant Waite,78,2.85,57,20
23,T24,T24,Billy Andrade,82,2.88,23,8
24,T24,T24,José Coceres,60,2.88,69,24
25,T24,T24,John Huston,64,2.88,23,8
26,T24,T24,Kevin Johnson,93,2.88,23,8
27,T24,T24,Bernhard Langer,62,2.88,46,16
28,T24,T24,Kevin Sutherland,101,2.88,69,24
29,T24,T24,David Toms,100,2.88,46,16
30,T31,T31,Stephen Ames,88,2.89,81,28
31,T31,T31,Davis Love III,75,2.89,81,28
32,T33,T33,Greg Chalmers,92,2.9,58,20
33,T33,T33,Frank Nobilo,91,2.9,58,20
34,35,35,Stewart Cink,102,2.91,128,44
35,T36,T36,Jeremy Anderson,69,2.92,35,12
36,T36,T36,Glen Day,89,2.92,105,36
37,T36,T36,Harrison Frazar,88,2.92,35,12
38,T36,T36,Matt Gogel,83,2.92,35,12
39,T36,T36,Jeff Maggert,84,2.92,35,12
40,T36,T36,Bob May,86,2.92,35,12
41,T36,T36,Joe Ogilvie,110,2.92,35,12
42,T36,T36,Lee Porter,93,2.92,35,12
43,T36,T36,John Riegger,86,2.92,70,24
44,T36,T36,Rocky Walcher,59,2.92,35,12
45,T46,T46,"David Berganio, Jr.",76,2.94,47,16
46,T46,T46,Larry Mize,76,2.94,47,16
47,T46,T46,Loren Roberts,84,2.94,47,16
48,T49,T49,Danny Ellis,76,2.95,59,20
49,T49,T49,Bill Glasson,69,2.95,59,20
50,T49,T49,Rocco Mediate,69,2.95,59,20
51,T49,T49,Craig Perks,78,2.95,59,20
52,T53,T53,Steve Flesch,112,2.96,83,28
53,T53,T53,Scott McCarron,98,2.96,71,24
54,T53,T53,Tiger Woods,76,2.96,630,213
55,T53,T53,Kaname Yokoo,81,2.96,71,24
56,T57,T57,Brent Geiberger,84,2.97,95,32
57,T57,T57,Greg Kraft,105,2.97,107,36
58,T57,T57,Blaine McCallister,80,2.97,107,36
59,T60,T60,Fulton Allem,56,3.0,48,16
60,T60,T60,Briny Baird,106,3.0,48,16
61,T60,T60,Doug Barron,62,3.0,24,8
62,T60,T60,Cameron Beckman,103,3.0,72,24
63,T60,T60,Jay Don Blake,100,3.0,96,32
64,T60,T60,Mark Brooks,88,3.0,48,16
65,T60,T60,Russ Cochran,76,3.0,72,24
66,T60,T60,Joe Durant,80,3.0,72,24
67,T60,T60,Brad Elder,111,3.0,36,12
68,T60,T60,David Frost,87,3.0,60,20
69,T60,T60,Fred Funk,118,3.0,108,36
70,T60,T60,Jim Furyk,88,3.0,72,24
71,T60,T60,Robert Gamez,59,3.0,12,4
72,T60,T60,Sergio Garcia,64,3.0,36,12
73,T60,T60,Glen Hnatiuk,104,3.0,24,8
74,T60,T60,Scott Hoch,84,3.0,48,16
75,T60,T60,Steve Jones,75,3.0,36,12
76,T60,T60,Jonathan Kaye,116,3.0,36,12
77,T60,T60,Jerry Kelly,104,3.0,36,12
78,T60,T60,Skip Kendall,111,3.0,72,24
79,T60,T60,Cliff Kresge,84,3.0,36,12
80,T60,T60,Neal Lancaster,107,3.0,48,16
81,T60,T60,Ian Leggatt,84,3.0,48,16
82,T60,T60,J.L. Lewis,108,3.0,60,20
83,T60,T60,Shigeki Maruyama,98,3.0,60,20
84,T60,T60,Len Mattiace,98,3.0,36,12
85,T60,T60,Spike McRoy,95,3.0,60,20
86,T60,T60,Mark O'Meara,69,3.0,111,37
87,T60,T60,Steve Pate,89,3.0,48,16
88,T60,T60,David Peoples,96,3.0,72,24
89,T60,T60,Ted Tryba,110,3.0,60,20
90,T60,T60,Mike Weir,86,3.0,36,12
91,T92,T92,Olin Browne,99,3.03,97,32
92,T92,T92,Joel Edwards,99,3.03,97,32
93,T94,T94,Tommy Armour III,93,3.04,73,24
94,T94,T94,Bob Burns,92,3.04,85,28
95,T94,T94,Bradley Hughes,96,3.04,73,24
96,T94,T94,Lee Janzen,96,3.04,73,24
97,T98,T98,Tom Byrum,85,3.05,61,20
98,T98,T98,Jim Carter,103,3.05,171,56
99,T100,T100,Robert Damron,91,3.06,110,36
100,T100,T100,Doug Dunakey,83,3.06,49,16
101,T100,T100,Carlos Franco,87,3.06,49,16
102,T100,T100,Brian Gay,114,3.06,49,16
103,T100,T100,Paul Gow,79,3.06,49,16
104,T100,T100,Kenny Perry,94,3.06,98,32
105,T100,T100,Scott Simpson,73,3.06,49,16
106,T100,T100,Chris Smith,101,3.06,49,16
107,108,108,John Cook,91,3.07,86,28
108,T109,T109,Mark Calcavecchia,81,3.08,37,12
109,T109,T109,Michael Clark II,87,3.08,37,12
110,T109,T109,Marco Dawson,57,3.08,37,12
111,T109,T109,Scott Dunlap,80,3.08,37,12
112,T109,T109,Kelly Grunewald,66,3.08,37,12
113,T109,T109,Billy Mayfair,102,3.08,111,36
114,T109,T109,Dicky Pride,78,3.08,37,12
115,T109,T109,Chris Riley,104,3.08,37,12
116,T109,T109,Mike Sposa,96,3.08,74,24
117,T109,T109,Scott Verplank,99,3.08,74,24
118,T119,T119,Chris DiMarco,108,3.1,62,20
119,T119,T119,Pete Jordan,105,3.1,62,20
120,T119,T119,Vijay Singh,98,3.1,62,20
121,T122,T122,Paul Azinger,79,3.13,122,39
122,T122,T122,Steve Elkington,64,3.13,25,8
123,T122,T122,Edward Fryatt,93,3.13,50,16
124,T122,T122,Mathew Goggin,96,3.13,75,24
125,T122,T122,Jason Gore,82,3.13,50,16
126,T122,T122,Kent Jones,74,3.13,25,8
127,T122,T122,Craig Kanada,80,3.13,50,16
128,T122,T122,Dennis Paulson,75,3.13,25,8
129,T122,T122,Corey Pavin,72,3.13,25,8
130,T122,T122,Paul Stankowski,91,3.13,50,16
131,T122,T122,Steve Stricker,73,3.13,50,16
132,T122,T122,Esteban Toledo,116,3.13,25,8
133,T134,T134,Steve Lowery,100,3.14,138,44
134,T134,T134,Carl Paulson,93,3.14,88,28
135,T134,T134,Jeff Sluman,106,3.14,138,44
136,T137,T137,Michael Muehr,94,3.15,63,20
137,T137,T137,Brian Wilson,88,3.15,63,20
138,T139,T139,Tom Pernice Jr.,106,3.16,101,32
139,T139,T139,Rory Sabbatini,73,3.16,101,32
140,T141,T141,Paul Goydos,86,3.17,38,12
141,T141,T141,Brian Henninger,81,3.17,114,36
142,T141,T141,Jesper Parnevik,91,3.17,76,24
143,T141,T141,Bob Tway,109,3.17,76,24
144,T141,T141,Garrett Willis,88,3.17,38,12
145,T146,T146,Jimmy Green,94,3.19,51,16
146,T146,T146,J.J. Henry,86,3.19,51,16
147,T146,T146,Charles Howell III,89,3.19,102,32
148,T149,T149,Brad Faxon,95,3.2,64,20
149,T149,T149,Shaun Micheel,103,3.2,64,20
150,T149,T149,Tom Scherrer,69,3.2,64,20
151,T152,T152,Justin Leonard,106,3.21,77,24
152,T152,T152,David Morland IV,88,3.21,77,24
153,T154,T154,Steve Allan,88,3.25,26,8
154,T154,T154,Stuart Appleby,105,3.25,117,36
155,T154,T154,Rich Beem,91,3.25,13,4
156,T154,T154,Brandel Chamblee,77,3.25,39,12
157,T154,T154,K.J. Choi,95,3.25,13,4
158,T154,T154,Ernie Els,70,3.25,13,4
159,T154,T154,Gabriel Hjertstedt,76,3.25,78,24
160,T154,T154,Frank Lickliter II,102,3.25,91,28
161,T154,T154,Geoff Ogilvy,60,3.25,52,16
162,163,163,Duffy Waldorf,77,3.27,36,11
163,T164,T164,Tripp Isenhour,92,3.31,53,16
164,T164,T164,Chris Perry,80,3.31,53,16
165,166,166,Hal Sutton,96,3.35,77,23
166,T167,T167,John Daly,84,3.38,27,8
167,T167,T167,Andrew Magee,97,3.38,81,24
168,T167,T167,Gary Nicklaus,96,3.38,54,16
169,T167,T167,Mark Wiebe,62,3.38,27,8
170,171,171,Per-Ulrik Johansson,82,3.44,55,16
171,T172,T172,Keith Clearwater,62,3.5,28,8
172,T172,T172,Phil Mickelson,85,3.5,14,4
173,T172,T172,Chris Tidland,83,3.5,28,8
174,175,175,Brandt Jobe,96,3.56,57,16
175,176,176,Tommy Tolles,89,3.58,43,12
