,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,J.B. Holmes,81,153.0,4748810.0,862
1,2,2,Bubba Watson,83,153.7,5479583.0,990
2,3,3,Robert Garrigus,85,161.2,5850739.0,1008
3,4,4,Brett Wetterich,82,161.9,5850489.0,1004
4,5,5,Harrison Frazar,95,162.5,6012743.0,1028
5,6,6,Ryan Hietala,61,163.0,4060016.0,692
6,7,7,Jeff Overton,95,163.2,7056850.0,1201
7,8,8,John Daly,51,163.9,3309894.0,561
8,9,9,Tag Ridings,103,164.1,7165850.0,1213
9,10,10,Camilo Villegas,95,164.4,6670794.0,1127
10,11,11,Charley Hoffman,100,164.7,7233254.0,1220
11,12,12,Kenny Perry,73,165.0,4965804.0,836
12,13,13,Bubba Dickerson,98,165.5,7000708.0,1175
13,14,14,Chris Couch,75,165.7,5477019.0,918
14,T15,T15,Scott Gutschewski,53,165.8,3693942.0,619
15,T15,T15,Matt Hansen,68,165.8,4739568.0,794
16,T17,T17,Alex Aragon,63,165.9,4420232.0,740
17,T17,T17,Fred Couples,52,165.9,2651857.0,444
18,T17,T17,Phil Mickelson,74,165.9,3877199.0,649
19,20,20,Charles Warren,93,166.0,6697588.0,1121
20,21,21,Adam Scott,70,166.2,4243260.0,709
21,22,22,Vijay Singh,103,166.4,6949200.0,1160
22,23,23,Lucas Glover,105,166.7,7175476.0,1196
23,24,24,Mathias Grönberg,92,166.8,6568175.0,1094
24,T25,T25,Kris Cox,83,166.9,5930145.0,987
25,T25,T25,Chris Smith,67,166.9,4877895.0,812
26,T25,T25,Nicholas Thompson,96,166.9,6454691.0,1074
27,28,28,Jason Gore,86,167.9,5985568.0,990
28,29,29,James Driscoll,80,168.0,6279120.0,1038
29,30,30,Jon Mills,68,168.6,4509218.0,743
30,31,31,Mathew Goggin,72,168.7,4877532.0,803
31,32,32,Davis Love III,85,168.9,4809994.0,791
32,T33,T33,Jonathan Kaye,95,169.0,7235560.0,1189
33,T33,T33,Troy Matteson,101,169.0,7286977.0,1198
34,T33,T33,"Wes Short, Jr.",96,169.0,7134848.0,1173
35,36,36,Geoff Ogilvy,76,169.1,4377524.0,719
36,T37,T37,Jonathan Byrd,66,169.2,4483856.0,736
37,T37,T37,Ryan Palmer,101,169.2,6882829.0,1130
38,T37,T37,Tiger Woods,55,169.2,3137198.0,515
39,40,40,Rich Beem,85,169.3,5455855.0,895
40,T41,T41,Daniel Chopra,110,169.4,7511435.0,1232
41,T41,T41,Retief Goosen,68,169.4,3872235.0,635
42,43,43,Will MacKenzie,91,169.5,6339499.0,1039
43,44,44,Bo Van Pelt,102,169.6,7618103.0,1248
44,45,45,Henrik Bjornstad,97,169.7,7491558.0,1226
45,T46,T46,Jimmy Walker,60,170.2,4643175.0,758
46,T46,T46,Nick Watney,97,170.2,7253625.0,1184
47,T48,T48,Craig Barlow,77,170.3,4856315.0,792
48,T48,T48,Hunter Mahan,98,170.3,7523590.0,1227
49,T50,T50,Eric Axley,91,170.6,6626451.0,1079
50,T50,T50,Roger Tambellini,64,170.6,4484315.0,730
51,52,52,Brian Bateman,69,170.7,4971554.0,809
52,53,53,Trevor Immelman,86,170.8,6211800.0,1010
53,54,54,John Senden,96,170.9,6744623.0,1096
54,55,55,Bill Haas,99,171.2,7456141.0,1210
55,56,56,David Duval,71,171.4,4425041.0,717
56,T57,T57,Sergio Garcia,59,171.5,3346344.0,542
57,T57,T57,Tim Herron,82,171.5,5247097.0,850
58,T57,T57,Justin Rose,98,171.5,7292639.0,1181
59,T57,T57,Paul Stankowski,70,171.5,5308448.0,860
60,61,61,Charles Howell III,96,171.6,6775876.0,1097
61,T62,T62,Sean O'Hair,100,171.7,6476365.0,1048
62,T62,T62,Rory Sabbatini,84,171.7,5465472.0,884
63,64,64,Joe Ogilvie,95,171.8,6644167.0,1074
64,65,65,Bob May,65,171.9,4566038.0,738
65,66,66,John Huston,74,172.1,5519648.0,891
66,67,67,Jason Bohn,104,172.2,7596185.0,1225
67,68,68,Carlos Franco,86,172.5,6595210.0,1062
68,T69,T69,Robert Allenby,79,172.6,5151299.0,829
69,T69,T69,Danny Ellis,68,172.6,5132036.0,826
70,T69,T69,Padraig Harrington,54,172.6,3280892.0,528
71,T69,T69,J.J. Henry,96,172.6,6623807.0,1066
72,T69,T69,Freddie Jacobson,56,172.6,4629627.0,745
73,74,74,Alex Cejka,93,173.0,6825402.0,1096
74,T75,T75,Pat Perez,50,173.1,3583809.0,575
75,T75,T75,John Rollins,93,173.1,6519200.0,1046
76,77,77,Brandt Jobe,91,173.2,6009887.0,964
77,T78,T78,Jeff Gove,91,173.3,6986405.0,1120
78,T78,T78,D.J. Trahan,92,173.3,6551234.0,1050
79,80,80,Arron Oberholser,82,173.5,5385209.0,862
80,81,81,Marco Dawson,87,173.6,6575529.0,1052
81,T82,T82,Stewart Cink,93,173.7,6276426.0,1004
82,T82,T82,Ernie Els,69,173.7,4045347.0,647
83,84,84,J.P. Hayes,55,173.8,4293366.0,686
84,85,85,Peter Lonard,77,173.9,5722783.0,914
