,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Tiger Woods,55,"16' 3""",244.25,15,-1
1,2,2,Padraig Harrington,54,"17' 6""",508.167,29,-2
2,3,3,Adam Scott,70,"17' 11""",430.333,24,+1
3,4,4,Zach Johnson,98,"19' 2""",631.5,33,+5
4,5,5,Jonathan Byrd,66,"19' 7""",549.4169999999999,28,-2
5,6,6,Skip Kendall,72,"19' 9""",473.583,24,+3
6,7,7,Daisuke Maruyama,83,"19' 10""",476.083,24,-1
7,8,8,Justin Leonard,83,"19' 11""",577.5,29,+7
8,9,9,Greg Owen,79,"20' 0""",598.8330000000001,30,+6
9,10,10,Tom Pernice Jr.,108,"20' 4""",710.75,35,-3
10,T11,T11,Briny Baird,81,"20' 6""",532.8330000000001,26,-5
11,T11,T11,Marco Dawson,87,"20' 6""",882.4169999999999,43,+1
12,T11,T11,Chris Riley,86,"20' 6""",595.25,29,+5
13,14,14,Richard Johnson,94,"20' 7""",659.6669999999999,32,+11
14,15,15,Paul Goydos,72,"20' 9""",581.0830000000001,28,+2
15,T16,T16,Fred Funk,106,"20' 10""",707.6669999999999,34,-5
16,T16,T16,J.P. Hayes,55,"20' 10""",584.3330000000001,28,-3
17,18,18,David Toms,76,"21' 1""",842.0830000000001,40,+5
18,19,19,Michael Connell,51,"21' 2""",465.5,22,+1
19,T20,T20,Todd Fischer,101,"21' 3""",1272.583,60,+1
20,T20,T20,Frank Lickliter II,99,"21' 3""",998.4169999999999,47,+2
