,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Chris Couch,75,69.2,155,69
1,2,2,J.B. Holmes,81,69.19,146,65
2,3,3,Tiger Woods,55,69.05,87,39
3,4,4,Nick Watney,97,69.0,207,93
4,5,5,Mathias Grönberg,92,68.28,183,85
5,6,6,Phil Mickelson,74,67.86,114,54
6,7,7,Mathew Goggin,72,67.71,130,62
7,8,8,Charley Hoffman,100,67.42,209,101
8,9,9,Fred Couples,52,66.35,69,35
9,10,10,Bubba Watson,83,65.73,163,85
10,11,11,Robert Garrigus,85,65.08,164,88
11,12,12,Hunter Mahan,98,64.69,185,101
12,T13,T13,Ernie Els,69,64.29,99,55
13,T13,T13,Jesper Parnevik,84,64.29,162,90
14,15,15,Vijay Singh,103,64.03,178,100
15,16,16,Retief Goosen,68,63.75,102,58
16,17,17,John Daly,51,63.58,96,55
17,18,18,Lucas Glover,105,63.36,185,107
18,19,19,Camilo Villegas,95,62.96,170,100
19,20,20,Harrison Frazar,95,62.8,157,93
20,21,21,Greg Owen,79,62.72,143,85
21,22,22,Davis Love III,85,62.37,121,73
22,23,23,Scott Gutschewski,53,62.34,96,58
23,24,24,D.J. Trahan,92,62.0,155,95
24,25,25,Brett Wetterich,82,61.89,151,93
25,26,26,Sergio Garcia,59,61.87,86,53
26,27,27,Sean O'Hair,100,61.72,158,98
27,28,28,Bill Haas,99,60.81,180,116
28,29,29,Ryan Palmer,101,60.23,159,105
29,T30,T30,Jonathan Byrd,66,60.0,114,76
30,T30,T30,Bubba Dickerson,98,60.0,171,114
31,T30,T30,Charles Warren,93,60.0,162,108
32,33,33,Craig Barlow,77,59.71,123,83
33,34,34,Joe Durant,101,59.39,196,134
34,35,35,Jeff Overton,95,59.29,166,114
35,36,36,Steve Lowery,99,59.22,167,115
36,37,37,Eric Axley,91,59.09,156,108
37,38,38,Rich Beem,85,59.01,131,91
38,39,39,Troy Matteson,101,58.84,173,121
39,40,40,David Howell,52,58.65,61,43
40,41,41,Adam Scott,70,58.44,90,64
41,42,42,Charles Howell III,96,58.36,157,112
42,43,43,John Rollins,93,57.89,154,112
43,44,44,Robert Allenby,79,57.79,115,84
44,45,45,Roger Tambellini,64,57.78,104,76
45,46,46,Aaron Baddeley,78,57.73,127,93
46,47,47,Padraig Harrington,54,57.58,76,56
47,48,48,Geoff Ogilvy,76,57.47,100,74
48,49,49,Ted Purdy,103,57.45,162,120
49,50,50,Kevin Sutherland,100,57.43,170,126
50,51,51,Will MacKenzie,91,57.14,144,108
51,52,52,Trevor Immelman,86,56.9,132,100
52,53,53,Carlos Franco,86,56.82,150,114
53,54,54,Stuart Appleby,83,56.48,122,94
54,55,55,Mark Calcavecchia,94,56.44,149,115
55,56,56,Matt Hansen,68,56.38,106,82
56,57,57,Ian Leggatt,80,56.36,133,103
57,58,58,Tag Ridings,103,56.29,170,132
58,59,59,Henrik Bjornstad,97,56.12,165,129
59,60,60,Ryan Moore,68,55.91,104,82
60,61,61,Jonathan Kaye,95,55.79,159,126
61,62,62,Jason Gore,86,55.65,138,110
62,63,63,Paul Stankowski,70,55.39,113,91
63,64,64,David Duval,71,55.29,94,76
64,65,65,José María Olazábal,62,55.22,74,60
65,66,66,Tim Herron,82,55.1,108,88
66,67,67,Nicholas Thompson,96,55.04,142,116
67,68,68,Daniel Chopra,110,54.78,172,142
68,69,69,Brian Davis,92,54.74,150,124
69,70,70,Ian Poulter,53,54.73,81,67
70,71,71,Chris Smith,67,54.55,108,90
71,72,72,Nathan Green,108,54.52,169,141
72,T73,T73,Frank Lickliter II,99,54.29,152,128
73,T73,T73,"Wes Short, Jr.",96,54.29,152,128
74,75,75,Jeff Maggert,81,54.09,119,101
75,76,76,Bo Van Pelt,102,53.9,166,142
76,77,77,Carl Pettersson,95,53.78,128,110
77,78,78,Arjun Atwal,97,53.7,145,125
78,T79,T79,Jason Bohn,104,53.69,160,138
79,T79,T79,Bernhard Langer,77,53.69,109,94
80,T79,T79,Pat Perez,50,53.69,80,69
81,82,82,Jason Schultz,77,53.67,117,101
82,83,83,James Driscoll,80,53.6,134,116
83,84,84,Duffy Waldorf,96,53.5,153,133
84,85,85,Rory Sabbatini,84,53.06,104,92
85,86,86,Brett Quigley,109,52.96,161,143
86,87,87,Tom Pernice Jr.,108,52.9,146,130
87,88,88,Jeff Brehaut,100,52.74,154,138
88,89,89,Kris Cox,83,52.52,125,113
89,90,90,Billy Mayfair,94,52.4,131,119
90,91,91,Jon Mills,68,52.27,92,84
91,92,92,Joe Ogilvie,95,51.97,132,122
92,93,93,Justin Rose,98,51.79,145,135
93,94,94,Bob May,65,51.65,94,88
94,95,95,K.J. Choi,93,51.6,129,121
95,96,96,Alex Cejka,93,51.54,134,126
96,97,97,Tom Lehman,70,51.35,76,72
97,98,98,Brian Bateman,69,51.32,97,92
98,99,99,Danny Ellis,68,50.99,103,99
99,100,100,Steve Flesch,119,50.89,172,166
100,101,101,Brandt Jobe,91,50.64,118,115
101,102,102,Ryan Hietala,61,50.6,84,82
102,103,103,Kenny Perry,73,50.57,89,87
103,104,104,Jimmy Walker,60,50.56,90,88
104,105,105,Vaughn Taylor,88,50.4,126,124
105,106,106,David Branshaw,98,50.33,152,150
106,T107,T107,Briny Baird,81,50.0,117,117
107,T107,T107,Jeff Gove,91,50.0,139,139
108,T107,T107,John Senden,96,50.0,132,132
109,110,110,Bob Estes,85,49.59,121,123
110,111,111,John Huston,74,49.54,107,109
111,112,112,Rod Pampling,89,49.51,102,104
112,113,113,Stephen Ames,63,49.33,74,76
113,114,114,Daisuke Maruyama,83,48.72,114,120
114,115,115,Tim Petrovic,95,48.58,137,145
115,116,116,Luke Donald,66,48.51,65,69
116,T117,T117,Alex Aragon,63,48.33,87,93
117,T117,T117,Freddie Jacobson,56,48.33,87,93
118,119,119,Dean Wilson,115,48.32,144,154
119,120,120,D.A. Points,82,48.29,113,121
120,121,121,David McKenzie,82,48.23,109,117
121,122,122,Arron Oberholser,82,48.13,90,97
122,123,123,Thomas Levet,53,48.08,75,81
123,124,124,Heath Slocum,96,47.87,135,147
124,125,125,Woody Austin,107,47.73,147,161
125,126,126,Kent Jones,103,47.65,142,156
126,127,127,David Toms,76,47.45,93,103
127,128,128,Stewart Cink,93,47.22,102,114
128,T129,T129,Jim Furyk,89,47.2,101,113
129,T129,T129,Mike Weir,88,47.2,101,113
130,131,131,Ben Crane,85,47.12,98,110
131,132,132,Marco Dawson,87,47.01,126,142
132,T133,T133,Shigeki Maruyama,94,46.85,119,135
133,T133,T133,Patrick Sheehan,104,46.85,134,152
134,135,135,Shaun Micheel,96,46.59,123,141
135,136,136,J.J. Henry,96,46.43,117,135
136,137,137,Michael Allen,84,46.34,114,132
137,138,138,J.L. Lewis,57,46.2,79,92
138,139,139,Chad Campbell,91,46.19,97,113
139,140,140,Paul Azinger,87,46.18,121,141
140,141,141,Joey Sindelar,90,46.15,120,140
141,142,142,Ryuji Imada,105,45.89,134,158
142,143,143,Dudley Hart,83,45.83,99,117
143,144,144,Chris DiMarco,83,44.95,89,109
144,145,145,Billy Andrade,78,44.9,88,108
145,146,146,Steve Elkington,52,44.74,68,84
146,147,147,Chris Riley,86,44.25,100,126
147,148,148,Bob Tway,81,44.09,97,123
148,149,149,Peter Lonard,77,43.94,87,111
149,150,150,"John Engler, Jr.",69,43.93,94,120
150,151,151,Brent Geiberger,99,43.75,126,162
151,152,152,Todd Hamilton,72,43.16,82,108
152,153,153,Jerry Kelly,100,42.91,121,161
153,154,154,Mike Sposa,68,42.78,83,111
154,155,155,Richard Johnson,94,42.45,118,160
155,156,156,Jeff Sluman,101,41.9,119,165
156,157,157,Len Mattiace,59,41.76,71,99
157,158,158,J.P. Hayes,55,41.67,70,98
158,159,159,Omar Uresti,61,41.36,67,95
159,160,160,Bart Bryant,87,40.71,92,134
160,161,161,Steve Stricker,64,40.7,70,102
161,162,162,Greg Chalmers,71,40.22,74,110
162,163,163,Lee Janzen,79,39.83,94,142
163,164,164,Robert Damron,91,39.49,109,167
164,165,165,Ron Whittaker,81,39.22,91,141
165,166,166,Tim Clark,80,39.11,79,123
166,167,167,Tommy Armour III,65,38.98,69,108
167,168,168,Mark Wilson,79,38.8,97,153
168,169,169,Steve Jones,83,38.79,90,142
169,170,170,Tjaart van der Walt,60,38.69,65,103
170,171,171,Robert Gamez,94,38.37,99,159
171,172,172,Scott Verplank,88,37.93,88,144
172,173,173,Paul Goydos,72,37.38,80,134
173,174,174,Justin Leonard,83,37.37,74,124
174,175,175,Brad Faxon,78,37.19,90,152
175,176,176,Vance Veazey,59,36.76,68,117
176,177,177,Zach Johnson,98,36.36,88,154
177,178,178,Todd Fischer,101,36.33,113,198
178,179,179,Fred Funk,106,36.09,96,170
179,180,180,Kirk Triplett,58,35.98,59,105
180,181,181,Doug Barron,74,35.87,80,143
181,182,182,Olin Browne,108,35.4,97,177
182,183,183,Stephen Leaney,84,35.27,91,167
183,184,184,Skip Kendall,72,34.95,72,134
184,185,185,Mark Brooks,90,34.25,87,167
185,186,186,Michael Connell,51,34.06,47,91
186,187,187,Ben Curtis,86,32.86,69,141
187,188,188,Shane Bertsch,104,32.45,98,204
188,189,189,Corey Pavin,74,32.35,55,115
189,190,190,Hidemichi Tanaka,74,32.26,70,147
190,191,191,Greg Kraft,79,32.14,72,152
191,192,192,John Cook,67,32.07,59,125
192,193,193,Brian Gay,107,31.63,105,227
193,194,194,Jerry Smith,94,31.29,87,191
194,195,195,Larry Mize,53,30.71,43,97
195,196,196,Mark O'Meara,52,26.98,34,92
