,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Ryan Hietala,61,152.3,3087300.0,563
1,2,2,Jon Mills,68,154.5,3493529.0,628
2,3,3,Michael Allen,84,155.6,4499424.0,803
3,4,4,J.P. Hayes,55,156.1,2967138.0,528
4,5,5,Alex Aragon,63,156.2,3194554.0,568
5,6,6,Chris Smith,67,156.5,3724462.0,661
6,7,7,J.B. Holmes,81,156.6,3691997.0,655
7,8,8,Omar Uresti,61,156.9,3394657.0,601
8,9,9,Tim Herron,82,157.1,3981623.0,704
9,10,10,Bubba Watson,83,157.2,4568108.0,807
10,T11,T11,David Duval,71,157.3,3143470.0,555
11,T11,T11,Mike Sposa,68,157.3,3715212.0,656
12,T11,T11,Steve Stricker,64,157.3,3505385.0,619
13,T14,T14,Fred Couples,52,157.6,1957575.0,345
14,T14,T14,Harrison Frazar,95,157.6,4595614.0,810
15,T14,T14,Bob May,65,157.6,3483169.0,614
16,T14,T14,David Toms,76,157.6,3846213.0,678
17,T18,T18,Hidemichi Tanaka,74,157.8,4221676.0,743
18,T18,T18,Vance Veazey,59,157.8,3334358.0,587
19,T20,T20,J.L. Lewis,57,157.9,3319160.0,584
20,T20,T20,Len Mattiace,59,157.9,3206839.0,564
21,T20,T20,"Wes Short, Jr.",96,157.9,5035073.0,886
22,T23,T23,James Driscoll,80,158.0,4636508.0,815
23,T23,T23,Will MacKenzie,91,158.0,4691389.0,825
24,25,25,Joe Ogilvie,95,158.1,5020587.0,882
25,T26,T26,John Cook,67,158.2,3718566.0,653
26,T26,T26,Kenny Perry,73,158.2,3947910.0,693
27,T28,T28,Shane Bertsch,104,158.3,5660377.0,993
28,T28,T28,Mark Brooks,90,158.3,5060915.0,888
29,T28,T28,Zach Johnson,98,158.3,5133679.0,901
30,T28,T28,Larry Mize,53,158.3,2894665.0,508
31,T32,T32,Steve Elkington,52,158.4,3194087.0,560
32,T32,T32,"John Engler, Jr.",69,158.4,4043669.0,709
33,T32,T32,Robert Gamez,94,158.4,5389355.0,945
34,T35,T35,Tag Ridings,103,158.5,5558812.0,974
35,T35,T35,Nicholas Thompson,96,158.5,4976263.0,872
36,T37,T37,Tommy Armour III,65,158.6,3333517.0,584
37,T37,T37,Michael Connell,51,158.6,2643047.0,463
38,T37,T37,Jason Schultz,77,158.6,4214486.0,738
