,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Bob May,65,"32' 5""",73,2366.333,5.0
1,2,2,Freddie Jacobson,56,"35' 2""",96,3374.75,16.0
2,T3,T3,Jonathan Kaye,95,"36' 9""",160,5884.5,14.0
3,T3,T3,Kirk Triplett,58,"36' 9""",58,2133.75,15.0
4,5,5,Fred Couples,52,"37' 1""",77,2855.333,3.0
5,6,6,Justin Rose,98,"37' 5""",122,4569.583,14.0
6,T7,T7,Fred Funk,106,"38' 11""",82,3189.5,3.0
7,T7,T7,Matt Hansen,68,"38' 11""",103,4010.0,3.0
8,9,9,Ian Poulter,53,"39' 2""",70,2741.417,6.0
9,10,10,Marco Dawson,87,"39' 3""",131,5140.083,18.0
10,11,11,Charles Warren,93,"39' 4""",113,4447.333,3.0
11,T12,T12,J.P. Hayes,55,"39' 5""",84,3313.917,8.0
12,T12,T12,Omar Uresti,61,"39' 5""",64,2522.5,19.0
13,14,14,John Daly,51,"39' 6""",83,3276.5,23.0
14,15,15,Brian Bateman,69,"39' 7""",107,4238.5,16.0
15,T16,T16,Pat Perez,50,"39' 8""",98,3884.417,10.0
16,T16,T16,Brett Wetterich,82,"39' 8""",150,5944.8330000000005,21.0
17,T18,T18,Tim Clark,80,"40' 1""",68,2725.333,15.0
18,T18,T18,Sergio Garcia,59,"40' 1""",62,2485.833,6.0
19,20,20,Hidemichi Tanaka,74,"40' 3""",111,4470.167,21.0
20,21,21,Patrick Sheehan,104,"40' 4""",150,6051.0830000000005,10.0
21,T22,T22,Padraig Harrington,54,"40' 5""",56,2262.083,2.0
22,T22,T22,Davis Love III,85,"40' 5""",105,4246.5,8.0
23,T24,T24,Robert Garrigus,85,"40' 7""",158,6416.0830000000005,10.0
24,T24,T24,Steve Stricker,64,"40' 7""",77,3126.0,8.0
25,26,26,Greg Owen,79,"40' 9""",96,3910.917,15.0
