,GIR_Percentage_-_100_yards_RANK THIS WEEK,GIR_Percentage_-_100_yards_RANK LAST WEEK,GIR_Percentage_-_100_yards_PLAYER NAME,GIR_Percentage_-_100_yards_ROUNDS,GIR_Percentage_-_100_yards_%,GIR_Percentage_-_100_yards_GREENS HIT,GIR_Percentage_-_100_yards_TOTAL HOLES,GIR_Percentage_-_100_yards_RELATIVE TO PAR
0,1,1,Tiger Woods,55,70.59,360,510,-0.22
1,2,2,Jim Furyk,89,68.61,684,997,-0.22
2,3,3,Jeff Gove,91,68.19,778,1141,-0.13
3,4,4,Kenny Perry,73,67.5,567,840,-0.16
4,5,5,Briny Baird,81,67.06,682,1017,-0.17
5,6,6,Trevor Immelman,86,66.86,694,1038,-0.18
6,7,7,John Senden,96,66.73,744,1115,-0.16
7,8,8,Joey Sindelar,90,66.4,741,1116,-0.15
8,9,9,Bart Bryant,87,65.79,677,1029,-0.15
9,10,10,Adam Scott,70,65.72,485,738,-0.19
10,11,11,Steve Elkington,52,65.6,431,657,-0.11
11,12,12,David Branshaw,98,65.54,814,1242,-0.17
12,13,13,Joe Durant,101,65.19,882,1353,-0.16
13,14,14,Charles Warren,93,65.02,725,1115,-0.14
14,15,15,K.J. Choi,93,64.83,743,1146,-0.17
15,16,16,Steve Stricker,64,64.82,492,759,-0.21
16,17,17,Brett Quigley,109,64.59,872,1350,-0.18
17,18,18,Arron Oberholser,82,64.57,576,892,-0.19
18,19,19,Shaun Micheel,96,64.52,740,1147,-0.17
19,20,20,Kevin Sutherland,100,64.4,796,1236,-0.14
20,21,21,Heath Slocum,96,64.39,774,1202,-0.17
21,22,22,Chris Smith,67,64.33,523,813,-0.12
22,T23,T23,Jonathan Kaye,95,64.23,763,1188,-0.11
23,T23,T23,Bob May,65,64.23,483,752,-0.17
24,25,25,Jonathan Byrd,66,64.22,472,735,-0.2
25,26,26,Ted Purdy,103,64.09,712,1111,-0.19
26,27,27,Ben Curtis,86,64.0,649,1014,-0.17
27,28,28,Greg Owen,79,63.98,547,855,-0.12
28,29,29,Billy Mayfair,94,63.97,719,1124,-0.15
29,30,30,Robert Allenby,79,63.94,555,868,-0.22
30,31,31,José María Olazábal,62,63.88,359,562,-0.18
