,Approaches_from_150-175_yards_RANK THIS WEEK,Approaches_from_150-175_yards_RANK LAST WEEK,Approaches_from_150-175_yards_PLAYER NAME,Approaches_from_150-175_yards_ROUNDS,Approaches_from_150-175_yards_AVG,Approaches_from_150-175_yards_TOTAL DISTANCE (FEET),Approaches_from_150-175_yards_# OF ATTEMPTS,Approaches_from_150-175_yards_RELATIVE TO PAR
0,1,1,Tiger Woods,55,"21' 11""",2301.833,105,-16
1,2,2,David Branshaw,98,"25' 1""",6196.8330000000005,247,-19
2,3,3,David Howell,52,"25' 4""",2179.25,86,-9
3,4,4,Scott Verplank,88,"25' 5""",6024.75,237,-19
4,T5,T5,Jim Furyk,89,"25' 7""",5289.75,207,-23
5,T5,T5,Brian Gay,107,"25' 7""",7879.4169999999995,308,-34
6,7,7,Joey Sindelar,90,"25' 8""",5925.9169999999995,231,-11
7,8,8,Justin Rose,98,"25' 9""",6025.3330000000005,234,-17
8,9,9,Jerry Kelly,100,"26' 0""",6178.8330000000005,238,-18
9,T10,T10,Olin Browne,108,"26' 1""",6861.25,263,-9
10,T10,T10,Stewart Cink,93,"26' 1""",5481.0830000000005,210,-15
11,T10,T10,Ben Curtis,86,"26' 1""",5080.75,195,-7
12,T10,T10,Thomas Levet,53,"26' 1""",3780.75,145,+5
13,T10,T10,Adam Scott,70,"26' 1""",3759.0,144,-15
14,T15,T15,Robert Damron,91,"26' 2""",6352.9169999999995,243,-13
15,T15,T15,Davis Love III,85,"26' 2""",3998.167,153,-4
16,T17,T17,Kenny Perry,73,"26' 3""",4643.167,177,-5
17,T17,T17,Heath Slocum,96,"26' 3""",6500.3330000000005,248,+3
18,T19,T19,Woody Austin,107,"26' 4""",6483.5830000000005,246,-17
19,T19,T19,Shigeki Maruyama,94,"26' 4""",6530.5830000000005,248,-9
20,T19,T19,Jeff Sluman,101,"26' 4""",6128.5,233,-3
21,22,22,Skip Kendall,72,"26' 5""",4494.333,170,-16
22,23,23,Matt Hansen,68,"26' 6""",4401.333,166,+2
23,T24,T24,Fred Funk,106,"26' 7""",7177.9169999999995,270,-15
24,T24,T24,David Toms,76,"26' 7""",4705.833,177,-14
25,T24,T24,Omar Uresti,61,"26' 7""",3935.917,148,+4
26,T27,T27,Chris DiMarco,83,"26' 8""",4554.667,171,-2
27,T27,T27,Corey Pavin,74,"26' 8""",4610.333,173,-9
28,T27,T27,Jerry Smith,94,"26' 8""",6996.4169999999995,262,-13
29,T30,T30,Bob Estes,85,"26' 9""",5995.0830000000005,224,-5
30,T30,T30,Brandt Jobe,91,"26' 9""",5162.333,193,-13
31,T32,T32,Stuart Appleby,83,"26' 10""",4352.417,162,-8
32,T32,T32,Rich Beem,85,"26' 10""",5010.833,187,-2
33,T32,T32,Michael Connell,51,"26' 10""",3242.917,121,+2
34,T32,T32,Sergio Garcia,59,"26' 10""",2518.5,94,+2
35,T32,T32,Vijay Singh,103,"26' 10""",5386.9169999999995,201,-11
36,37,37,Bob May,65,"26' 11""",3554.083,132,+3
37,T38,T38,Alex Cejka,93,"27' 0""",6219.0830000000005,230,-7
38,T38,T38,Retief Goosen,68,"27' 0""",2891.333,107,E
39,T40,T40,Stephen Ames,63,"27' 1""",3218.25,119,-7
40,T40,T40,Tim Herron,82,"27' 1""",5003.167,185,E
41,T40,T40,Tom Pernice Jr.,108,"27' 1""",7995.6669999999995,295,-16
42,T40,T40,Brett Wetterich,82,"27' 1""",5040.083,186,-12
43,T44,T44,Arjun Atwal,97,"27' 2""",5922.25,218,-5
44,T44,T44,Joe Durant,101,"27' 2""",7725.0830000000005,284,-7
45,T44,T44,Stephen Leaney,84,"27' 2""",6471.8330000000005,238,-11
46,T44,T44,Kirk Triplett,58,"27' 2""",4237.25,156,-13
47,T48,T48,Shane Bertsch,104,"27' 3""",7117.9169999999995,261,-10
48,T48,T48,José María Olazábal,62,"27' 3""",2834.167,104,E
49,T50,T50,Paul Azinger,87,"27' 4""",6119.5,224,-2
50,T50,T50,Chad Campbell,91,"27' 4""",5330.8330000000005,195,-10
51,T50,T50,Padraig Harrington,54,"27' 4""",2954.417,108,-2
52,T50,T50,Dudley Hart,83,"27' 4""",5961.6669999999995,218,E
53,T54,T54,Briny Baird,81,"27' 5""",5810.3330000000005,212,-3
54,T54,T54,Jeff Brehaut,100,"27' 5""",7203.4169999999995,263,-5
55,T54,T54,Tim Clark,80,"27' 5""",4502.833,164,E
56,T54,T54,Luke Donald,66,"27' 5""",3624.0,132,-19
57,T54,T54,Trevor Immelman,86,"27' 5""",5643.9169999999995,206,-15
58,T54,T54,Phil Mickelson,74,"27' 5""",3558.833,130,E
59,T54,T54,Geoff Ogilvy,76,"27' 5""",3641.5,133,-4
60,T61,T61,Frank Lickliter II,99,"27' 6""",6480.1669999999995,236,-28
61,T61,T61,Shaun Micheel,96,"27' 6""",6075.6669999999995,221,-14
62,T61,T61,Arron Oberholser,82,"27' 6""",4429.0,161,-9
63,T61,T61,Ted Purdy,103,"27' 6""",6619.0,241,-5
64,T65,T65,K.J. Choi,93,"27' 7""",6212.0,225,-2
65,T65,T65,Robert Gamez,94,"27' 7""",6899.3330000000005,250,+5
66,T65,T65,Ian Leggatt,80,"27' 7""",5158.417,187,-7
67,T65,T65,Bo Van Pelt,102,"27' 7""",6709.1669999999995,243,-1
68,T69,T69,Robert Allenby,79,"27' 8""",4671.25,169,-6
69,T69,T69,Mark Calcavecchia,94,"27' 8""",5449.9169999999995,197,+10
70,T69,T69,Ernie Els,69,"27' 8""",3648.583,132,-5
71,T72,T72,Greg Kraft,79,"27' 9""",5578.25,201,-9
72,T72,T72,Rod Pampling,89,"27' 9""",4518.417,163,-25
73,T74,T74,Robert Garrigus,85,"27' 10""",4850.167,174,+12
74,T74,T74,Jeff Gove,91,"27' 10""",6458.5830000000005,232,-19
75,T74,T74,J.B. Holmes,81,"27' 10""",3845.083,138,-8
76,T74,T74,"Wes Short, Jr.",96,"27' 10""",5976.3330000000005,215,-2
77,T74,T74,D.J. Trahan,92,"27' 10""",6210.9169999999995,223,+2
78,T74,T74,Mark Wilson,79,"27' 10""",5503.5,198,-10
79,80,80,Jon Mills,68,"27' 11""",3799.0,136,+16
80,T81,T81,Doug Barron,74,"28' 0""",5548.5830000000005,198,-10
81,T81,T81,Nathan Green,108,"28' 0""",7606.0830000000005,272,-12
82,T81,T81,Tom Lehman,70,"28' 0""",3671.75,131,+4
83,T81,T81,Ian Poulter,53,"28' 0""",3781.25,135,+2
84,T85,T85,Tommy Armour III,65,"28' 1""",4432.75,158,-1
85,T85,T85,Brian Bateman,69,"28' 1""",4544.667,162,+2
86,T85,T85,Kris Cox,83,"28' 1""",5650.0830000000005,201,-1
87,T85,T85,Scott Gutschewski,53,"28' 1""",3478.833,124,-3
88,T85,T85,Lee Janzen,79,"28' 1""",5028.667,179,+6
89,T85,T85,Kent Jones,103,"28' 1""",7077.3330000000005,252,-15
90,T85,T85,Ryan Moore,68,"28' 1""",4694.917,167,+3
91,T85,T85,Camilo Villegas,95,"28' 1""",5196.667,185,-3
92,T93,T93,Alex Aragon,63,"28' 2""",3688.0,131,+8
93,T93,T93,Eric Axley,91,"28' 2""",6079.0,216,-7
94,T93,T93,Bubba Dickerson,98,"28' 2""",6371.25,226,-14
95,T93,T93,Ryuji Imada,105,"28' 2""",6728.0830000000005,239,-14
96,T93,T93,Pat Perez,50,"28' 2""",3521.333,125,+1
97,T98,T98,Brian Davis,92,"28' 3""",6688.5830000000005,237,+11
98,T98,T98,Steve Flesch,119,"28' 3""",8157.4169999999995,289,-13
99,T98,T98,Bill Haas,99,"28' 3""",5871.0830000000005,208,+1
100,T98,T98,Jonathan Kaye,95,"28' 3""",6895.6669999999995,244,+8
101,T102,T102,Harrison Frazar,95,"28' 4""",5617.5830000000005,198,+2
102,T102,T102,Carl Pettersson,95,"28' 4""",5834.8330000000005,206,-11
103,T102,T102,Vaughn Taylor,88,"28' 4""",5643.3330000000005,199,-6
104,T105,T105,John Cook,67,"28' 5""",4995.25,176,+1
105,T105,T105,Zach Johnson,98,"28' 5""",6164.6669999999995,217,-18
106,T105,T105,Ryan Palmer,101,"28' 5""",5995.5830000000005,211,+12
107,T105,T105,Rory Sabbatini,84,"28' 5""",4834.25,170,E
108,T109,T109,Michael Allen,84,"28' 6""",5467.5,192,-8
109,T109,T109,Justin Leonard,83,"28' 6""",5549.8330000000005,195,+1
110,T109,T109,Steve Lowery,99,"28' 6""",6149.5,216,+2
111,T109,T109,Charles Warren,93,"28' 6""",6098.25,214,-3
112,T109,T109,Mike Weir,88,"28' 6""",4478.0,157,+2
113,T114,T114,Mark Brooks,90,"28' 7""",6236.5830000000005,218,+9
114,T114,T114,Chris Couch,75,"28' 7""",5458.8330000000005,191,-2
115,T114,T114,Paul Goydos,72,"28' 7""",5490.8330000000005,192,+19
116,T114,T114,Daisuke Maruyama,83,"28' 7""",5947.8330000000005,208,+2
117,T114,T114,Troy Matteson,101,"28' 7""",6229.8330000000005,218,-7
118,T114,T114,Steve Stricker,64,"28' 7""",4516.167,158,-19
119,120,120,Billy Andrade,78,"28' 8""",4361.5,152,-6
120,T121,T121,Todd Fischer,101,"28' 9""",7761.0,270,+1
121,T121,T121,Hunter Mahan,98,"28' 9""",7496.1669999999995,261,-13
122,T121,T121,Brett Quigley,109,"28' 9""",7249.0,252,-13
123,124,124,Brent Geiberger,99,"28' 10""",8141.0830000000005,282,-14
124,T125,T125,Bart Bryant,87,"28' 11""",6129.25,212,+8
125,T125,T125,Carlos Franco,86,"28' 11""",6014.0830000000005,208,+1
126,T125,T125,Hidemichi Tanaka,74,"28' 11""",5577.5830000000005,193,-3
127,T125,T125,Tjaart van der Walt,60,"28' 11""",4569.583,158,-5
128,T125,T125,Nick Watney,97,"28' 11""",6758.3330000000005,234,-1
129,T130,T130,Jason Bohn,104,"29' 0""",7706.25,266,+2
130,T130,T130,Jeff Maggert,81,"29' 0""",5604.3330000000005,193,+5
131,T132,T132,Jason Gore,86,"29' 1""",6017.1669999999995,207,+27
132,T132,T132,J.J. Henry,96,"29' 1""",6311.75,217,-4
133,T132,T132,Freddie Jacobson,56,"29' 1""",3985.917,137,-7
134,T132,T132,Tim Petrovic,95,"29' 1""",7381.1669999999995,254,-5
135,T136,T136,Jonathan Byrd,66,"29' 2""",3906.75,134,+2
136,T136,T136,Marco Dawson,87,"29' 2""",6191.6669999999995,212,-7
137,T136,T136,Brad Faxon,78,"29' 2""",5598.3330000000005,192,-4
138,T136,T136,Mathias Grönberg,92,"29' 2""",6146.5830000000005,211,-13
139,T136,T136,Charley Hoffman,100,"29' 2""",6015.5,206,-7
140,T136,T136,D.A. Points,82,"29' 2""",5570.4169999999995,191,+3
141,T142,T142,Billy Mayfair,94,"29' 3""",7424.8330000000005,254,+4
142,T142,T142,Jimmy Walker,60,"29' 3""",4383.583,150,+5
143,T142,T142,Bubba Watson,83,"29' 3""",4416.5,151,E
144,T145,T145,Danny Ellis,68,"29' 4""",4747.25,162,-3
145,T145,T145,John Senden,96,"29' 4""",5918.8330000000005,202,+3
146,T145,T145,Nicholas Thompson,96,"29' 4""",6314.75,215,+15
147,T145,T145,Dean Wilson,115,"29' 4""",8244.833,281,-15
148,T149,T149,Aaron Baddeley,78,"29' 5""",5850.25,199,-10
149,T149,T149,Larry Mize,53,"29' 5""",4004.833,136,-4
150,T149,T149,Sean O'Hair,100,"29' 5""",6442.4169999999995,219,+20
151,T149,T149,Joe Ogilvie,95,"29' 5""",5742.8330000000005,195,+10
