,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Jeff Overton,95,239,Barclays Classic,2,18
1,2,2,Yusaku Miyazato,6,231,Reno-Tahoe Open,2,7
2,3,3,Patrick Sheehan,104,213,Buick Championship,2,5
3,4,4,Robert Allenby,79,211,Deutsche Bank Championship,2,16
4,5,5,Victor Ciesielski,4,210,Canadian Open,2,6
5,T6,6,Scott Verplank,88,206,Zurich Classic of New Orleans,2,17
6,T6,7,Jim Furyk,89,206,World Golf Championships-Bridgestone Invitational,2,15
7,8,8,Jonathan Byrd,66,205,Deutsche Bank Championship,2,11
8,9,9,Lucas Glover,105,203,Mercedes Championships,3,8
9,10,10,Paul Stankowski,70,200,U.S. Bank Championship in Milwaukee,3,4
10,11,11,"Wes Short, Jr.",96,197,Wachovia Championship,2,16
11,12,12,Brian Gay,107,194,Nissan Open,2,1
12,13,13,Tim Clark,80,193,World Golf Championships-Bridgestone Invitational,1,14
13,T14,14,Justin Leonard,83,192,THE PLAYERS Championship,2,13
14,T14,15,Jesper Parnevik,84,192,THE PLAYERS Championship,2,13
15,16,16,Nick O'Hern,48,191,Chrysler Classic of Greensboro,4,18
16,17,17,Gavin Coles,17,189,BellSouth Classic,1,17
17,T18,18,Geoff Ogilvy,76,180,The Honda Classic,1,6
18,T18,19,Len Mattiace,59,180,Booz Allen Classic,1,12
19,20,20,Kirk Triplett,58,179,Reno-Tahoe Open,3,15
20,21,21,Brian Davis,92,178,84 LUMBER Classic,3,18
21,22,22,Bo Van Pelt,102,177,Canadian Open,3,18
22,23,23,John Cook,67,176,Buick Open,4,17
23,T24,24,Greg Kraft,79,175,Southern Farm Bureau Classic,2,12
24,T24,25,Henrik Stenson,34,175,THE PLAYERS Championship,3,13
25,26,2,Yusaku Miyazato,6,173,Reno-Tahoe Open,2,12
26,T27,27,Corey Pavin,74,172,U.S. Bank Championship in Milwaukee,4,8
27,T27,28,Steve Jones,83,172,Southern Farm Bureau Classic,1,5
28,T27,29,K.J. Choi,93,172,EDS Byron Nelson Championship,3,3
29,T30,30,Hunter Mahan,98,170,Zurich Classic of New Orleans,1,8
30,T30,31,Cody Freeman,2,170,Zurich Classic of New Orleans,1,8
31,32,32,Stuart Appleby,83,168,Cialis Western Open,4,18
32,T33,33,Jimmy Walker,60,165,Buick Open,2,6
33,T33,34,Trevor Immelman,86,165,Nissan Open,2,16
34,35,3,Patrick Sheehan,104,164,Buick Championship,2,17
35,36,9,Lucas Glover,105,163,Buick Open,1,9
36,37,37,Aaron Baddeley,78,160,Verizon Heritage,2,18
37,38,38,Fred Couples,52,159,THE PLAYERS Championship,4,13
38,39,39,Craig Perks,37,158,Ford Championship at Doral,2,3
39,40,40,Adam Scott,70,157,Deutsche Bank Championship,1,15
40,T41,41,Brad Faxon,78,155,Barclays Classic,4,13
41,T41,42,Tommy Armour III,65,155,Wachovia Championship,1,11
42,T41,43,Charles Warren,93,155,EDS Byron Nelson Championship,2,8
43,T44,21,Brian Davis,92,152,Southern Farm Bureau Classic,4,9
44,T44,45,Steve Schneiter,4,152,Sony Open in Hawaii,1,6
45,46,43,Charles Warren,93,150,Bank of America Colonial,1,18
46,T47,47,Vaughn Taylor,88,149,Cialis Western Open,4,5
47,T47,48,Kevin Stadler,22,149,Bay Hill Invitational Presented by MasterCard,3,11
48,T47,49,Roger Tambellini,64,149,Zurich Classic of New Orleans,4,5
49,T50,50,Charles Howell III,96,148,Barclays Classic,2,6
50,T50,51,Stewart Cink,93,148,Buick Invitational,4,10
51,T52,52,Mark Wilson,79,147,Buick Open,4,4
52,T52,53,Brian Henninger,39,147,Chrysler Classic of Tucson,2,6
53,T54,54,Kent Jones,103,146,Buick Open,4,6
54,T54,55,Ken Duke,8,146,Wachovia Championship,3,11
55,56,56,John Senden,96,145,Bay Hill Invitational Presented by MasterCard,1,18
56,57,54,Kent Jones,103,144,EDS Byron Nelson Championship,2,10
57,58,58,Ryuji Imada,105,143,Chrysler Championship,1,6
58,T59,59,Mike Weir,88,141,Chrysler Classic of Greensboro,1,16
59,T59,60,Bob Estes,85,141,Bob Hope Chrysler Classic,5,1
60,T61,61,Bob Burns,23,138,FedEx St. Jude Classic,2,13
61,T61,62,Skip Kendall,72,138,Shell Houston Open,3,1
62,63,63,Brett Wetterich,82,137,FUNAI Classic at the WALT DISNEY WORLD Resort,3,11
63,T64,64,Zach Johnson,98,136,Ford Championship at Doral,3,17
64,T64,65,Nicholas Thompson,96,136,John Deere Classic,1,11
65,T66,66,Henrik Bjornstad,97,135,Southern Farm Bureau Classic,3,6
66,T66,16,Nick O'Hern,48,135,Buick Championship,1,7
67,68,68,Kris Cox,83,133,Bob Hope Chrysler Classic,1,5
68,69,69,Azuma Yano,4,132,FUNAI Classic at the WALT DISNEY WORLD Resort,4,2
69,T70,70,Ricky Barnes,7,131,Chrysler Classic of Tucson,1,11
70,T70,71,Scott Gutschewski,53,131,Shell Houston Open,1,15
71,T72,72,Matt Hansen,68,130,Reno-Tahoe Open,2,5
72,T72,68,Kris Cox,83,130,Valero Texas Open,1,4
73,T72,74,John Rollins,93,130,Bank of America Colonial,1,14
74,T75,59,Mike Weir,88,128,THE PLAYERS Championship,3,4
75,T75,76,Chris Couch,75,128,Southern Farm Bureau Classic,2,6
76,T75,23,John Cook,67,128,U.S. Bank Championship in Milwaukee,2,9
77,T78,78,Bill Glasson,47,127,Reno-Tahoe Open,1,3
78,T78,79,David Branshaw,98,127,Buick Open,3,10
79,T78,79,David Branshaw,98,127,Deutsche Bank Championship,3,2
80,T78,81,Jason Bohn,104,127,Sony Open in Hawaii,3,10
81,82,1,Jeff Overton,95,125,84 LUMBER Classic,3,10
82,T83,7,Jim Furyk,89,124,Canadian Open,1,12
83,T83,81,Jason Bohn,104,124,THE PLAYERS Championship,3,1
84,T83,85,Shane Bertsch,104,124,Verizon Heritage,2,13
85,86,4,Robert Allenby,79,123,84 LUMBER Classic,3,6
86,87,87,Carl Pettersson,95,122,THE PLAYERS Championship,2,4
87,T88,42,Tommy Armour III,65,121,Shell Houston Open,4,1
88,T88,89,Jerry Kelly,100,121,Southern Farm Bureau Classic,1,10
89,T88,90,Chris Riley,86,121,Sony Open in Hawaii,2,8
90,91,91,James Driscoll,80,120,Barclays Classic,1,13
91,T92,74,John Rollins,93,119,Buick Invitational,4,10
92,T92,93,David Duval,71,119,Chrysler Classic of Tucson,2,1
93,T94,94,Graeme McDowell,44,118,Zurich Classic of New Orleans,1,9
94,T94,95,Brendan Jones,22,118,Chrysler Classic of Tucson,1,16
95,96,68,Kris Cox,83,116,EDS Byron Nelson Championship,1,14
96,T97,97,Briny Baird,81,115,Valero Texas Open,3,12
97,T97,99,Jeff Maggert,81,115,Chrysler Classic of Greensboro,2,7
98,T97,98,Troy Matteson,101,115,AT&T Pebble Beach National Pro-Am,4,10
99,100,98,Troy Matteson,101,114,Southern Farm Bureau Classic,3,3
100,T101,101,Bubba Dickerson,98,113,Buick Championship,2,9
101,T101,42,Tommy Armour III,65,113,Booz Allen Classic,2,18
102,T101,90,Chris Riley,86,113,Valero Texas Open,2,1
103,T101,104,Bubba Watson,83,113,Zurich Classic of New Orleans,1,13
104,T101,105,Tag Ridings,103,113,Southern Farm Bureau Classic,1,3
105,T106,106,Todd Hamilton,72,112,Frys.com Open,4,7
106,T106,90,Chris Riley,86,112,Chrysler Classic of Tucson,3,1
107,T106,108,J.P. Hayes,55,112,Deutsche Bank Championship,1,17
108,T109,109,Steve Flesch,119,111,Chrysler Classic of Greensboro,4,5
109,T109,32,Stuart Appleby,83,111,Zurich Classic of New Orleans,4,6
110,T109,111,Tim Petrovic,95,111,THE PLAYERS Championship,4,6
111,T109,112,Tim Herron,82,111,World Golf Championships-Bridgestone Invitational,1,3
112,T113,7,Jim Furyk,89,110,Cialis Western Open,3,8
113,T113,114,John Riegger,49,110,John Deere Classic,3,1
114,T115,79,David Branshaw,98,109,John Deere Classic,1,6
115,T115,40,Adam Scott,70,109,Wachovia Championship,3,11
116,T117,117,Ryan Palmer,101,108,Nissan Open,2,7
117,T117,109,Steve Flesch,119,108,Zurich Classic of New Orleans,1,4
118,T117,39,Craig Perks,37,108,FBR Open,2,8
119,T120,120,Ted Purdy,103,107,Chrysler Classic of Greensboro,1,7
120,T120,117,Ryan Palmer,101,107,Chrysler Classic of Greensboro,2,5
121,T120,122,Bob Tway,81,107,Bank of America Colonial,3,6
122,123,65,Nicholas Thompson,96,106,Canadian Open,4,1
123,T124,124,Jeff Sluman,101,105,Ford Championship at Doral,3,8
124,T124,40,Adam Scott,70,105,Barclays Classic,1,7
125,T124,126,Camilo Villegas,95,105,FBR Open,3,6
126,T124,43,Charles Warren,93,105,Bank of America Colonial,2,18
127,T124,128,Daisuke Maruyama,83,105,Chrysler Championship,1,14
128,T129,129,Robert Gamez,94,104,Buick Championship,2,2
129,T129,56,John Senden,96,104,FBR Open,4,2
130,131,131,Omar Uresti,61,103,U.S. Bank Championship in Milwaukee,2,15
131,T132,29,K.J. Choi,93,101,FUNAI Classic at the WALT DISNEY WORLD Resort,3,8
132,T132,133,Fred Funk,106,101,Bob Hope Chrysler Classic,5,15
133,T134,134,Alex Cejka,93,100,Reno-Tahoe Open,2,10
134,T134,135,Chris Smith,67,100,Shell Houston Open,3,13
135,T136,136,Eric Axley,91,99,BellSouth Classic,2,3
136,T136,137,José María Olazábal,62,99,Bay Hill Invitational Presented by MasterCard,4,16
137,T136,138,Dudley Hart,83,99,Valero Texas Open,3,8
138,T136,139,Greg Chalmers,71,99,Buick Open,1,13
139,140,56,John Senden,96,98,Shell Houston Open,1,12
