,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Mark O'Meara,52,146.3,542340.0,103
1,2,2,Greg Kraft,79,149.5,1178641.0,219
2,3,3,Fred Funk,106,154.1,1631032.0,294
3,4,4,Jerry Smith,94,154.3,1650068.0,297
4,5,5,Kirk Triplett,58,154.6,984972.0,177
5,6,6,J.P. Hayes,55,155.7,1137707.0,203
6,7,7,Shane Bertsch,104,157.3,1817565.0,321
7,8,8,John Cook,67,157.6,987124.0,174
8,9,9,Michael Connell,51,157.8,738569.0,130
9,10,10,Vance Veazey,59,158.4,1043824.0,183
10,11,11,Justin Leonard,83,158.5,1198367.0,210
11,12,12,Paul Goydos,72,159.1,1237181.0,216
12,13,13,Brian Gay,107,159.5,2061318.0,359
13,14,14,Mark Brooks,90,160.3,1182703.0,205
14,15,15,Len Mattiace,59,160.6,994155.0,172
15,16,16,Omar Uresti,61,160.9,955883.0,165
16,17,17,Ryuji Imada,105,161.1,1705001.0,294
17,18,18,Skip Kendall,72,161.4,1150260.0,198
18,19,19,Bart Bryant,87,161.6,1378934.0,237
19,20,20,Ben Curtis,86,162.7,1300300.0,222
20,21,21,Todd Fischer,101,162.8,1805645.0,308
21,22,22,Mark Wilson,79,163.0,1595979.0,272
22,23,23,Olin Browne,108,163.2,1803678.0,307
23,24,24,Robert Gamez,94,163.4,1558660.0,265
24,T25,T25,Tommy Armour III,65,163.7,1137363.0,193
25,T25,T25,David McKenzie,82,163.7,1402189.0,238
26,27,27,Arron Oberholser,82,163.8,1397123.0,237
27,28,28,Bob Estes,85,164.5,1581236.0,267
28,29,29,Joe Ogilvie,95,164.6,1700658.0,287
29,30,30,Tim Clark,80,164.8,1293450.0,218
30,31,31,Tjaart van der Walt,60,164.9,955582.0,161
31,32,32,Larry Mize,53,165.0,635625.0,107
32,T33,T33,Chris Riley,86,165.1,1432332.0,241
33,T33,T33,Rory Sabbatini,84,165.1,1432560.0,241
34,35,35,Steve Stricker,64,165.4,1250527.0,210
35,36,36,Fred Couples,52,165.5,667249.0,112
36,T37,T37,Greg Chalmers,71,165.7,1049652.0,176
37,T37,T37,"John Engler, Jr.",69,165.7,1079647.0,181
38,T37,T37,Brad Faxon,78,165.7,1336311.0,224
39,40,40,Heath Slocum,96,165.9,1785922.0,299
40,41,41,Adam Scott,70,166.0,1242804.0,208
41,T42,T42,Chris DiMarco,83,166.1,1226112.0,205
42,T42,T42,Scott Verplank,88,166.1,1494922.0,250
43,T44,T44,Lee Janzen,79,166.2,1388104.0,232
44,T44,T44,Pat Perez,50,166.2,897591.0,150
45,46,46,Corey Pavin,74,166.3,1011534.0,169
46,47,47,John Senden,96,166.4,1707626.0,285
47,T48,T48,Luke Donald,66,166.5,1006745.0,168
48,T48,T48,Jim Furyk,89,166.5,1738687.0,290
49,T48,T48,Todd Hamilton,72,166.5,977048.0,163
50,T48,T48,Zach Johnson,98,166.5,1612215.0,269
51,T48,T48,Stephen Leaney,84,166.5,1588819.0,265
52,T53,T53,Doug Barron,74,166.6,1265305.0,211
53,T53,T53,Jerry Kelly,100,166.6,1817385.0,303
54,T53,T53,Ian Poulter,53,166.6,989814.0,165
55,56,56,Kenny Perry,73,166.7,1278042.0,213
56,T57,T57,John Huston,74,166.9,1369508.0,228
57,T57,T57,Richard Johnson,94,166.9,1754058.0,292
58,59,59,Hidemichi Tanaka,74,167.0,1010209.0,168
59,60,60,Robert Damron,91,167.1,1677985.0,279
60,61,61,David Toms,76,167.3,1530011.0,254
61,62,62,Eric Axley,91,167.4,1807673.0,300
62,63,63,Daisuke Maruyama,83,167.5,1470933.0,244
63,T64,T64,Briny Baird,81,167.7,1606054.0,266
64,T64,T64,Stewart Cink,93,167.7,1708099.0,283
65,T64,T64,Brian Davis,92,167.7,1720743.0,285
66,67,67,Rod Pampling,89,167.8,1510320.0,250
67,68,68,Justin Rose,98,168.0,2050261.0,339
68,69,69,Danny Ellis,68,168.1,1270895.0,210
69,70,70,Mike Weir,88,168.4,1400539.0,231
70,71,71,Freddie Jacobson,56,168.7,1184410.0,195
71,T72,T72,Woody Austin,107,168.8,2041409.0,336
72,T72,T72,Peter Lonard,77,168.8,1172747.0,193
73,T72,T72,Bob Tway,81,168.8,1342628.0,221
74,75,75,Billy Andrade,78,169.4,1213482.0,199
75,76,76,Bernhard Langer,77,169.5,1257078.0,206
76,T77,T77,K.J. Choi,93,169.6,1690955.0,277
77,T77,T77,Kris Cox,83,169.6,1587797.0,260
78,79,79,Vaughn Taylor,88,169.9,1993725.0,326
79,80,80,David Branshaw,98,170.1,1837229.0,300
80,T81,T81,David Duval,71,170.3,1170812.0,191
81,T81,T81,Shaun Micheel,96,170.3,1680021.0,274
82,T83,T83,Steve Jones,83,170.4,1330916.0,217
83,T83,T83,Jeff Sluman,101,170.4,1889365.0,308
84,T83,T83,Ron Whittaker,81,170.4,1416765.0,231
85,86,86,Jason Gore,86,170.5,1583447.0,258
86,T87,T87,Marco Dawson,87,170.6,1775431.0,289
87,T87,T87,Ryan Hietala,61,170.6,952051.0,155
88,T87,T87,Patrick Sheehan,104,170.6,1639828.0,267
89,T90,T90,James Driscoll,80,170.9,1563156.0,254
90,T90,T90,Steve Elkington,52,170.9,904625.0,147
91,T92,T92,Shigeki Maruyama,94,171.1,1773661.0,288
92,T92,T92,Bob May,65,171.1,1189047.0,193
93,T94,T94,Michael Allen,84,171.3,1634232.0,265
94,T94,T94,Dean Wilson,115,171.3,2115552.0,343
95,T96,T96,Stephen Ames,63,171.4,1042844.0,169
96,T96,T96,Paul Azinger,87,171.4,1591844.0,258
97,98,98,Ben Crane,85,171.7,1465278.0,237
98,99,99,Frank Lickliter II,99,171.8,2028734.0,328
99,100,100,Brian Bateman,69,171.9,1163187.0,188
100,101,101,Chris Couch,75,172.0,1529506.0,247
101,102,102,Alex Cejka,93,172.3,1860981.0,300
102,T103,T103,Chad Campbell,91,172.4,1433835.0,231
103,T103,T103,Carl Pettersson,95,172.4,1663492.0,268
104,T103,T103,Joey Sindelar,90,172.4,1551662.0,250
105,T106,T106,J.B. Holmes,81,172.7,1548093.0,249
106,T106,T106,Thomas Levet,53,172.7,851561.0,137
107,T108,T108,Alex Aragon,63,172.8,1069954.0,172
108,T108,T108,Brent Geiberger,99,172.8,1878736.0,302
109,110,110,Kent Jones,103,173.1,2031500.0,326
110,111,111,Chris Smith,67,173.2,1252979.0,201
111,112,112,J.L. Lewis,57,173.5,893330.0,143
112,113,113,Daniel Chopra,110,173.6,2311785.0,370
113,114,114,Henrik Bjornstad,97,173.7,1820091.0,291
114,115,115,Tom Pernice Jr.,108,173.8,2102491.0,336
115,T116,T116,Stuart Appleby,83,174.0,1553611.0,248
116,T116,T116,Roger Tambellini,64,174.0,1077342.0,172
117,T118,T118,Arjun Atwal,97,174.1,1824265.0,291
118,T118,T118,Billy Mayfair,94,174.1,1598187.0,255
119,120,120,D.A. Points,82,174.2,1524300.0,243
120,121,121,Bo Van Pelt,102,174.4,2185270.0,348
121,122,122,"Wes Short, Jr.",96,174.7,1905180.0,303
122,123,123,Brett Wetterich,82,174.8,1888327.0,300
123,124,124,Ian Leggatt,80,174.9,1454060.0,231
124,125,125,Jon Mills,68,175.0,957799.0,152
125,126,126,Dudley Hart,83,175.1,1512968.0,240
126,T127,T127,Trevor Immelman,86,175.2,1841985.0,292
127,T127,T127,Will MacKenzie,91,175.2,1734682.0,275
128,T129,T129,Steve Flesch,119,175.3,2296514.0,364
129,T129,T129,Lucas Glover,105,175.3,2221812.0,352
130,T129,T129,J.J. Henry,96,175.3,1748348.0,277
131,132,132,Paul Stankowski,70,175.4,1288450.0,204
132,133,133,Bubba Dickerson,98,175.6,1990854.0,315
133,T134,T134,Davis Love III,85,175.7,1442489.0,228
134,T134,T134,Tim Petrovic,95,175.7,1656962.0,262
135,T134,T134,Brett Quigley,109,175.7,2245911.0,355
136,T137,T137,Jeff Brehaut,100,175.8,1917493.0,303
137,T137,T137,Jeff Gove,91,175.8,1796910.0,284
138,T137,T137,Ryan Moore,68,175.8,1354275.0,214
139,T140,T140,Phil Mickelson,74,176.0,1356003.0,214
140,T140,T140,Bubba Watson,83,176.0,1767363.0,279
141,142,142,Jeff Maggert,81,176.4,1403228.0,221
142,T143,T143,Padraig Harrington,54,176.5,953115.0,150
