,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Tiger Woods,55,42.42,42,99,-47,47 Under
1,2,2,Bubba Watson,83,34.78,72,207,-70,70 Under
2,3,3,Geoff Ogilvy,76,33.05,39,118,-42,42 Under
3,4,4,J.B. Holmes,81,32.96,59,179,-67,67 Under
4,5,5,Jon Mills,68,32.67,33,101,-28,28 Under
5,T6,T6,Heath Slocum,96,31.08,46,148,-49,49 Under
6,T6,T6,Vance Veazey,59,31.08,23,74,-29,29 Under
7,8,8,Will MacKenzie,91,30.86,50,162,-54,54 Under
8,9,9,Jason Gore,86,30.52,47,154,-53,53 Under
9,10,10,Brett Wetterich,82,30.0,54,180,-54,54 Under
10,11,11,David Toms,76,29.81,31,104,-34,34 Under
11,12,12,Duffy Waldorf,96,29.76,50,168,-48,48 Under
12,13,13,Bill Haas,99,29.7,60,202,-60,60 Under
13,14,14,David Duval,71,29.29,29,99,-23,23 Under
14,15,15,John Senden,96,29.14,44,151,-41,41 Under
15,16,16,K.J. Choi,93,28.37,40,141,-37,37 Under
16,17,17,Robert Garrigus,85,28.22,57,202,-58,58 Under
17,18,18,Lucas Glover,105,28.17,60,213,-60,60 Under
18,19,19,Michael Allen,84,28.1,34,121,-37,37 Under
19,20,20,Stewart Cink,93,27.97,33,118,-35,35 Under
20,21,21,Sergio Garcia,59,27.72,28,101,-27,27 Under
21,22,22,Justin Rose,98,27.61,45,163,-44,44 Under
22,23,23,Hunter Mahan,98,27.32,56,205,-48,48 Under
23,T24,T24,Chris Couch,75,27.22,49,180,-43,43 Under
24,T24,T24,Charles Howell III,96,27.22,49,180,-48,48 Under
25,26,26,Luke Donald,66,27.14,19,70,-18,18 Under
26,27,27,Sean O'Hair,100,26.98,51,189,-50,50 Under
27,28,28,J.J. Henry,96,26.95,38,141,-38,38 Under
28,T29,T29,Arron Oberholser,82,26.92,28,104,-29,29 Under
29,T29,T29,Jason Schultz,77,26.92,35,130,-34,34 Under
30,31,31,Phil Mickelson,74,26.87,36,134,-39,39 Under
31,32,32,Paul Stankowski,70,26.77,34,127,-29,29 Under
32,33,33,Rory Sabbatini,84,26.67,32,120,-34,34 Under
33,34,34,Chad Campbell,91,26.55,30,113,-33,33 Under
34,35,35,Tim Clark,80,26.19,22,84,-19,19 Under
35,36,36,Daniel Chopra,110,26.0,52,200,-59,59 Under
36,37,37,Nick Watney,97,25.96,61,235,-59,59 Under
37,38,38,Ryan Moore,68,25.83,31,120,-34,34 Under
38,39,39,James Driscoll,80,25.81,40,155,-39,39 Under
39,40,40,Omar Uresti,61,25.71,18,70,-17,17 Under
40,41,41,Bo Van Pelt,102,25.52,49,192,-48,48 Under
41,42,42,Charley Hoffman,100,25.42,61,240,-66,66 Under
42,43,43,Charles Warren,93,25.38,50,197,-53,53 Under
43,44,44,Aaron Baddeley,78,25.36,35,138,-38,38 Under
44,45,45,Ted Purdy,103,25.27,46,182,-48,48 Under
45,46,46,Davis Love III,85,25.18,35,139,-38,38 Under
46,T47,T47,Robert Allenby,79,25.0,34,136,-40,40 Under
47,T47,T47,Scott Gutschewski,53,25.0,28,112,-29,29 Under
48,49,49,Padraig Harrington,54,24.72,22,89,-20,20 Under
49,50,50,Tjaart van der Walt,60,24.68,19,77,-15,15 Under
50,51,51,Greg Owen,79,24.54,40,163,-38,38 Under
51,52,52,Bart Bryant,87,24.51,25,102,-24,24 Under
52,53,53,Jonathan Byrd,66,24.24,32,132,-32,32 Under
53,54,54,Trevor Immelman,86,24.18,37,153,-41,41 Under
54,T55,T55,Mathias Grönberg,92,24.06,51,212,-47,47 Under
55,T55,T55,Tag Ridings,103,24.06,51,212,-49,49 Under
56,57,57,Stephen Ames,63,24.05,19,79,-22,22 Under
57,58,58,Kevin Sutherland,100,24.04,44,183,-47,47 Under
58,59,59,Jeff Brehaut,100,23.84,41,172,-41,41 Under
59,60,60,Brandt Jobe,91,23.74,33,139,-36,36 Under
60,T61,T61,Michael Connell,51,23.64,13,55,-12,12 Under
61,T61,T61,Jim Furyk,89,23.64,26,110,-23,23 Under
62,63,63,Camilo Villegas,95,23.62,47,199,-50,50 Under
63,64,64,Stuart Appleby,83,23.53,32,136,-30,30 Under
64,65,65,Steve Lowery,99,23.5,43,183,-41,41 Under
65,66,66,John Rollins,93,23.43,41,175,-46,46 Under
66,67,67,Marco Dawson,87,23.29,34,146,-32,32 Under
67,68,68,Jerry Kelly,100,23.26,30,129,-30,30 Under
68,T69,T69,Harrison Frazar,95,23.24,43,185,-46,46 Under
69,T69,T69,Jesper Parnevik,84,23.24,43,185,-50,50 Under
70,71,71,Shaun Micheel,96,23.13,31,134,-35,35 Under
71,72,72,Kris Cox,83,22.97,34,148,-39,39 Under
72,73,73,Craig Barlow,77,22.92,33,144,-38,38 Under
73,74,74,Adam Scott,70,22.77,23,101,-23,23 Under
74,75,75,Dudley Hart,83,22.73,25,110,-27,27 Under
75,76,76,Tom Pernice Jr.,108,22.7,37,163,-36,36 Under
76,77,77,Tim Herron,82,22.69,27,119,-29,29 Under
77,78,78,Ben Crane,85,22.64,24,106,-23,23 Under
78,79,79,Woody Austin,107,22.56,37,164,-37,37 Under
79,T80,T80,Ryan Hietala,61,22.55,23,102,-25,25 Under
80,T80,T80,Mike Sposa,68,22.55,23,102,-25,25 Under
81,T82,T82,Briny Baird,81,22.48,29,129,-26,26 Under
82,T82,T82,Daisuke Maruyama,83,22.48,29,129,-30,30 Under
83,T82,T82,D.A. Points,82,22.48,29,129,-30,30 Under
84,85,85,Brett Quigley,109,22.47,40,178,-41,41 Under
85,T86,T86,Bob Estes,85,22.22,28,126,-30,30 Under
86,T86,T86,Troy Matteson,101,22.22,46,207,-51,51 Under
87,T86,T86,Steve Stricker,64,22.22,16,72,-17,17 Under
88,89,89,Nathan Green,108,22.16,41,185,-41,41 Under
89,90,90,Retief Goosen,68,22.12,25,113,-26,26 Under
90,91,91,Kenny Perry,73,22.02,24,109,-25,25 Under
91,92,92,Jonathan Kaye,95,21.99,42,191,-36,36 Under
92,93,93,Brian Gay,107,21.93,25,114,-24,24 Under
93,94,94,Fred Couples,52,21.92,16,73,-16,16 Under
94,95,95,Jason Bohn,104,21.91,39,178,-39,39 Under
95,96,96,Roger Tambellini,64,21.85,26,119,-28,28 Under
96,97,97,Rich Beem,85,21.79,34,156,-34,34 Under
97,98,98,Chris Smith,67,21.77,27,124,-28,28 Under
98,99,99,Carlos Franco,86,21.76,37,170,-44,44 Under
99,100,100,Bob May,65,21.7,23,106,-18,18 Under
100,101,101,Nicholas Thompson,96,21.59,38,176,-37,37 Under
101,102,102,Joe Ogilvie,95,21.53,31,144,-32,32 Under
102,103,103,Eric Axley,91,21.47,38,177,-38,38 Under
103,T104,T104,Ben Curtis,86,21.43,18,84,-17,17 Under
104,T104,T104,Ernie Els,69,21.43,24,112,-27,27 Under
105,T104,T104,Brad Faxon,78,21.43,21,98,-22,22 Under
106,T104,T104,Ryan Palmer,101,21.43,42,196,-42,42 Under
107,108,108,Billy Mayfair,94,21.38,31,145,-33,33 Under
108,109,109,Bubba Dickerson,98,21.36,44,206,-42,42 Under
109,110,110,Steve Jones,83,21.21,21,99,-21,21 Under
110,111,111,Alex Cejka,93,21.15,33,156,-33,33 Under
111,112,112,Joe Durant,101,21.13,45,213,-46,46 Under
112,113,113,Mathew Goggin,72,21.02,33,157,-33,33 Under
113,114,114,Steve Flesch,119,20.94,40,191,-44,44 Under
114,115,115,Kent Jones,103,20.89,33,158,-31,31 Under
115,116,116,David McKenzie,82,20.83,25,120,-26,26 Under
116,117,117,Frank Lickliter II,99,20.81,36,173,-36,36 Under
117,T118,T118,Zach Johnson,98,20.75,22,106,-24,24 Under
118,T118,T118,Dean Wilson,115,20.75,33,159,-30,30 Under
119,120,120,Tom Lehman,70,20.73,17,82,-16,16 Under
120,121,121,Vaughn Taylor,88,20.69,30,145,-30,30 Under
121,T122,T122,John Huston,74,20.66,25,121,-24,24 Under
122,T122,T122,Richard Johnson,94,20.66,25,121,-27,27 Under
