,GIR_Percentage_-_100-125_yards_RANK THIS WEEK,GIR_Percentage_-_100-125_yards_RANK LAST WEEK,GIR_Percentage_-_100-125_yards_PLAYER NAME,GIR_Percentage_-_100-125_yards_ROUNDS,GIR_Percentage_-_100-125_yards_%,GIR_Percentage_-_100-125_yards_GREENS HIT,GIR_Percentage_-_100-125_yards_TOTAL HOLES,GIR_Percentage_-_100-125_yards_RELATIVE TO PAR
0,1,1,Pat Perez,50,85.53,65,76,-0.31
1,2,2,Corey Pavin,74,84.52,71,84,-0.21
2,3,3,Kenny Perry,73,82.68,105,127,-0.21
3,4,4,Jim Furyk,89,82.01,114,139,-0.38
4,5,5,Adam Scott,70,81.97,100,122,-0.31
5,6,6,Padraig Harrington,54,81.94,59,72,-0.36
6,T7,T7,J.J. Henry,96,81.76,130,159,-0.2
7,T7,T7,Jerry Smith,94,81.76,121,148,-0.31
8,9,9,Brett Quigley,109,81.63,160,196,-0.27
9,10,10,Richard Johnson,94,81.31,161,198,-0.25
10,11,11,Chris Riley,86,81.29,139,171,-0.24
11,12,12,Will MacKenzie,91,81.25,130,160,-0.25
12,13,13,Stephen Ames,63,81.19,82,101,-0.24
13,14,14,Tom Lehman,70,81.18,69,85,-0.1
14,15,15,Ben Curtis,86,81.06,107,132,-0.3
15,16,16,David Howell,52,80.95,51,63,-0.39
16,17,17,Kirk Triplett,58,80.46,70,87,-0.29
17,18,18,Arron Oberholser,82,80.37,86,107,-0.3
18,19,19,Justin Leonard,83,80.31,102,127,-0.33
19,20,20,Luke Donald,66,80.28,57,71,-0.25
20,21,21,Larry Mize,53,80.22,73,91,-0.16
21,22,22,Steve Stricker,64,80.16,101,126,-0.25
22,23,23,Joey Sindelar,90,79.88,131,164,-0.28
23,24,24,Bob May,65,79.82,91,114,-0.24
24,25,25,Jeff Gove,91,79.78,146,183,-0.14
25,26,26,Ron Whittaker,81,79.61,121,152,-0.18
26,T27,T27,Jason Bohn,104,79.33,142,179,-0.29
27,T27,T27,David Branshaw,98,79.33,142,179,-0.24
28,29,29,Frank Lickliter II,99,79.21,141,178,-0.26
29,30,30,K.J. Choi,93,78.77,141,179,-0.35
30,31,31,Robert Allenby,79,78.7,85,108,-0.31
31,32,32,Zach Johnson,98,78.61,136,173,-0.18
32,33,33,John Senden,96,78.57,154,196,-0.27
33,34,34,John Cook,67,78.45,91,116,-0.24
34,35,35,Ryuji Imada,105,78.43,120,153,-0.3
35,36,36,Greg Kraft,79,78.36,105,134,-0.23
36,37,37,Jeff Maggert,81,78.32,112,143,-0.23
37,38,38,Bart Bryant,87,78.26,108,138,-0.24
38,39,39,Skip Kendall,72,78.23,97,124,-0.27
39,40,40,Brandt Jobe,91,77.84,130,167,-0.14
40,41,41,Roger Tambellini,64,77.57,83,107,-0.19
41,42,42,Jeff Brehaut,100,77.53,138,178,-0.28
42,43,43,Fred Funk,106,77.48,117,151,-0.3
43,T44,T44,David McKenzie,82,77.38,130,168,-0.29
44,T44,T44,Ian Poulter,53,77.38,65,84,-0.34
45,46,46,José María Olazábal,62,77.33,58,75,-0.24
46,47,47,Matt Hansen,68,77.3,109,141,-0.21
47,48,48,Todd Fischer,101,77.24,112,145,-0.29
48,49,49,Robert Gamez,94,77.13,145,188,-0.28
49,50,50,Paul Goydos,72,77.12,91,118,-0.29
50,51,51,Tiger Woods,55,77.05,47,61,-0.32
51,52,52,Jeff Sluman,101,77.04,151,196,-0.27
52,53,53,Mike Weir,88,77.03,114,148,-0.23
53,54,54,Eric Axley,91,76.97,127,165,-0.31
54,T55,T55,Steve Flesch,119,76.92,160,208,-0.22
55,T55,T55,Sergio Garcia,59,76.92,60,78,-0.32
56,57,57,Billy Andrade,78,76.87,113,147,-0.18
57,58,58,Phil Mickelson,74,76.85,83,108,-0.31
58,59,59,John Rollins,93,76.73,122,159,-0.28
59,60,60,Robert Damron,91,76.7,135,176,-0.27
60,61,61,Steve Elkington,52,76.62,59,77,-0.25
61,62,62,Tim Herron,82,76.56,98,128,-0.31
62,63,63,Mathew Goggin,72,76.52,88,115,-0.18
63,64,64,Retief Goosen,68,76.47,78,102,-0.18
64,65,65,Davis Love III,85,76.26,106,139,-0.27
65,66,66,Stephen Leaney,84,76.22,109,143,-0.27
66,T67,T67,Craig Barlow,77,76.19,80,105,-0.23
67,T67,T67,Carlos Franco,86,76.19,112,147,-0.19
68,69,69,Shane Bertsch,104,76.12,153,201,-0.28
