,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Briny Baird,81,24.49,24,98
1,2,2,Camilo Villegas,95,23.72,37,156
2,3,3,Padraig Harrington,54,22.97,17,74
3,4,4,Stuart Appleby,83,22.69,27,119
4,5,5,Tiger Woods,55,22.41,13,58
5,6,6,Bob May,65,20.66,25,121
6,7,7,Henrik Bjornstad,97,20.27,30,148
7,T8,T8,Tommy Armour III,65,20.0,14,70
8,T8,T8,J.P. Hayes,55,20.0,11,55
9,10,10,D.A. Points,82,19.66,23,117
10,11,11,Heath Slocum,96,19.59,19,97
11,12,12,Daniel Chopra,110,19.38,31,160
12,13,13,Rich Beem,85,19.3,22,114
13,14,14,Vijay Singh,103,19.25,31,161
14,15,15,Marco Dawson,87,19.23,25,130
15,16,16,Mike Sposa,68,18.69,20,107
16,17,17,Nick Watney,97,18.67,28,150
17,18,18,James Driscoll,80,18.63,30,161
18,19,19,Chris Smith,67,18.52,15,81
19,20,20,Chris Riley,86,18.39,16,87
20,21,21,Brett Wetterich,82,18.35,20,109
21,22,22,Fred Couples,52,18.31,13,71
22,23,23,Carl Pettersson,95,18.3,28,153
23,24,24,Kirk Triplett,58,18.18,10,55
24,25,25,Jason Gore,86,18.1,21,116
25,26,26,Vance Veazey,59,18.09,17,94
26,27,27,Jesper Parnevik,84,18.0,27,150
27,28,28,Bubba Watson,83,17.99,25,139
28,T29,T29,Ernie Els,69,17.89,17,95
29,T29,T29,J.B. Holmes,81,17.89,22,123
30,31,31,Charles Warren,93,17.73,25,141
31,32,32,Bernhard Langer,77,17.58,16,91
32,33,33,David Toms,76,17.57,13,74
33,34,34,Davis Love III,85,17.54,20,114
34,35,35,Justin Rose,98,17.53,27,154
35,36,36,Mathias Grönberg,92,17.48,25,143
36,37,37,Bubba Dickerson,98,17.27,24,139
37,38,38,Bill Haas,99,16.88,26,154
38,39,39,Frank Lickliter II,99,16.81,19,113
39,40,40,Tom Pernice Jr.,108,16.77,26,155
40,T41,T41,Scott Gutschewski,53,16.67,11,66
41,T41,T41,Steve Stricker,64,16.67,13,78
42,T41,T41,Vaughn Taylor,88,16.67,19,114
43,44,44,Sean O'Hair,100,16.54,21,127
44,45,45,Jeff Brehaut,100,16.52,19,115
45,46,46,Ted Purdy,103,16.51,18,109
46,47,47,Tom Lehman,70,16.46,13,79
47,48,48,Roger Tambellini,64,16.33,16,98
48,49,49,Bo Van Pelt,102,16.25,26,160
49,50,50,Alex Aragon,63,16.24,19,117
50,51,51,Shigeki Maruyama,94,16.2,23,142
51,52,52,Daisuke Maruyama,83,16.19,17,105
52,53,53,Charley Hoffman,100,16.11,24,149
53,54,54,Tim Clark,80,16.0,16,100
54,55,55,Troy Matteson,101,15.91,28,176
