,Approaches_250-275_yards-Rgh_RTP_RANK THIS WEEK,Approaches_250-275_yards-Rgh_RTP_RANK LAST WEEK,Approaches_250-275_yards-Rgh_RTP_PLAYER NAME,Approaches_250-275_yards-Rgh_RTP_ROUNDS,Approaches_250-275_yards-Rgh_RTP_AVG RTP
0,1,1,Briny Baird,81,-1.500
1,2,2,Adam Scott,70,-1.333
2,T3,T3,Stuart Appleby,83,-1.000
3,T3,T3,Craig Barlow,77,-1.000
4,T3,T3,Brian Bateman,69,-1.000
5,T3,T3,Shane Bertsch,104,-1.000
6,T3,T3,Bart Bryant,87,-1.000
7,T3,T3,Fred Couples,52,-1.000
8,T3,T3,Jim Furyk,89,-1.000
9,T3,T3,Dudley Hart,83,-1.000
10,T3,T3,Jonathan Kaye,95,-1.000
11,T3,T3,Kenny Perry,73,-1.000
12,T3,T3,John Rollins,93,-1.000
13,T3,T3,Kevin Sutherland,100,-1.000
14,T3,T3,David Toms,76,-1.000
15,T3,T3,Duffy Waldorf,96,-1.000
16,T3,T3,Tiger Woods,55,-1.000
17,T18,T18,Bo Van Pelt,102,-.857
18,T18,T18,Mike Weir,88,-.857
19,T20,T20,Fred Funk,106,-.800
20,T20,T20,J.L. Lewis,57,-.800
21,T20,T20,Daisuke Maruyama,83,-.800
22,T20,T20,Sean O'Hair,100,-.800
23,T20,T20,D.A. Points,82,-.800
24,T25,T25,James Driscoll,80,-.778
25,T25,T25,Brett Quigley,109,-.778
26,T27,T27,Jason Bohn,104,-.750
27,T27,T27,Nathan Green,108,-.750
28,T27,T27,"Wes Short, Jr.",96,-.750
29,T27,T27,Roger Tambellini,64,-.750
30,T27,T27,Kirk Triplett,58,-.750
31,32,32,Daniel Chopra,110,-.714
32,T33,T33,Arjun Atwal,97,-.700
33,T33,T33,Charles Howell III,96,-.700
34,T35,T35,Doug Barron,74,-.667
35,T35,T35,Alex Cejka,93,-.667
36,T35,T35,Stewart Cink,93,-.667
37,T35,T35,Marco Dawson,87,-.667
38,T35,T35,Ernie Els,69,-.667
39,T35,T35,Steve Flesch,119,-.667
40,T35,T35,Brian Gay,107,-.667
41,T35,T35,Mathew Goggin,72,-.667
42,T35,T35,Retief Goosen,68,-.667
43,T35,T35,Jason Gore,86,-.667
44,T35,T35,Padraig Harrington,54,-.667
45,T35,T35,Tim Herron,82,-.667
46,T35,T35,Skip Kendall,72,-.667
47,T35,T35,Frank Lickliter II,99,-.667
48,T35,T35,Davis Love III,85,-.667
49,T35,T35,Hunter Mahan,98,-.667
50,51,51,Nick Watney,97,-.636
51,T52,T52,Joe Durant,101,-.625
52,T52,T52,Ian Leggatt,80,-.625
53,T52,T52,John Senden,96,-.625
54,T52,T52,Brett Wetterich,82,-.625
55,T56,T56,Olin Browne,108,-.600
56,T56,T56,Ben Curtis,86,-.600
57,T56,T56,Brian Davis,92,-.600
58,T56,T56,Danny Ellis,68,-.600
59,T56,T56,Stephen Leaney,84,-.600
60,61,61,Tom Pernice Jr.,108,-.583
61,T62,T62,Chris DiMarco,83,-.571
62,T62,T62,Billy Mayfair,94,-.571
63,T62,T62,Vaughn Taylor,88,-.571
64,T62,T62,Camilo Villegas,95,-.571
65,66,66,Trevor Immelman,86,-.556
66,T67,T67,Michael Allen,84,-.500
67,T67,T67,Billy Andrade,78,-.500
68,T67,T67,Tommy Armour III,65,-.500
69,T67,T67,Aaron Baddeley,78,-.500
70,T67,T67,Jeff Brehaut,100,-.500
71,T67,T67,Ben Crane,85,-.500
72,T67,T67,Robert Damron,91,-.500
73,T67,T67,David Duval,71,-.500
74,T67,T67,Paul Goydos,72,-.500
75,T67,T67,J.B. Holmes,81,-.500
76,T67,T67,Ryuji Imada,105,-.500
77,T67,T67,Bernhard Langer,77,-.500
78,T67,T67,Troy Matteson,101,-.500
79,T67,T67,Jon Mills,68,-.500
80,T67,T67,Jerry Smith,94,-.500
81,T67,T67,Steve Stricker,64,-.500
82,T67,T67,Omar Uresti,61,-.500
83,T84,T84,Todd Fischer,101,-.429
84,T84,T84,Charley Hoffman,100,-.429
85,T84,T84,Steve Lowery,99,-.429
86,T84,T84,Ryan Moore,68,-.429
87,T84,T84,Tag Ridings,103,-.429
88,T84,T84,Vijay Singh,103,-.429
89,T84,T84,Charles Warren,93,-.429
90,T91,T91,Chris Couch,75,-.400
91,T91,T91,Bob Estes,85,-.400
92,T91,T91,Carlos Franco,86,-.400
93,T91,T91,Brent Geiberger,99,-.400
94,T91,T91,Lucas Glover,105,-.400
95,T91,T91,Ryan Hietala,61,-.400
96,T91,T91,Bob May,65,-.400
97,T91,T91,Phil Mickelson,74,-.400
98,T91,T91,Greg Owen,79,-.400
99,T91,T91,Jesper Parnevik,84,-.400
100,T91,T91,Jason Schultz,77,-.400
101,T91,T91,Jeff Sluman,101,-.400
102,T103,T103,Rich Beem,85,-.375
103,T103,T103,K.J. Choi,93,-.375
104,T103,T103,Shigeki Maruyama,94,-.375
105,T106,T106,Chad Campbell,91,-.333
106,T106,T106,Kris Cox,83,-.333
107,T106,T106,Robert Garrigus,85,-.333
108,T106,T106,Jeff Gove,91,-.333
109,T106,T106,Brandt Jobe,91,-.333
110,T106,T106,Jerry Kelly,100,-.333
111,T106,T106,Tom Lehman,70,-.333
112,T106,T106,Len Mattiace,59,-.333
113,T106,T106,Carl Pettersson,95,-.333
114,T106,T106,Ted Purdy,103,-.333
115,T106,T106,Paul Stankowski,70,-.333
116,T106,T106,Tjaart van der Walt,60,-.333
117,118,118,Bubba Watson,83,-.300
118,T119,T119,Robert Allenby,79,-.250
119,T119,T119,Stephen Ames,63,-.250
120,T119,T119,Mark Calcavecchia,94,-.250
121,T119,T119,Robert Gamez,94,-.250
122,T119,T119,Scott Gutschewski,53,-.250
123,T119,T119,Matt Hansen,68,-.250
124,T119,T119,D.J. Trahan,92,-.250
125,T119,T119,Vance Veazey,59,-.250
126,T127,T127,Paul Azinger,87,-.222
127,T127,T127,Will MacKenzie,91,-.222
128,T127,T127,Shaun Micheel,96,-.222
129,T127,T127,Scott Verplank,88,-.222
130,T131,T131,Todd Hamilton,72,-.200
131,T131,T131,Ian Poulter,53,-.200
132,T133,T133,Lee Janzen,79,-.167
133,T133,T133,Arron Oberholser,82,-.167
134,T133,T133,Rod Pampling,89,-.167
135,T133,T133,Tim Petrovic,95,-.167
136,T133,T133,Chris Smith,67,-.167
137,T133,T133,Dean Wilson,115,-.167
138,T139,T139,Eric Axley,91,-.143
139,T139,T139,Heath Slocum,96,-.143
140,141,141,Henrik Bjornstad,97,-.111
141,T142,T142,Alex Aragon,63,E
142,T142,T142,Woody Austin,107,E
143,T142,T142,David Branshaw,98,E
144,T142,T142,Mark Brooks,90,E
145,T142,T142,Jonathan Byrd,66,E
146,T142,T142,Tim Clark,80,E
147,T142,T142,Michael Connell,51,E
148,T142,T142,John Cook,67,E
149,T142,T142,John Daly,51,E
150,T142,T142,Bubba Dickerson,98,E
151,T142,T142,"John Engler, Jr.",69,E
152,T142,T142,Sergio Garcia,59,E
153,T142,T142,Mathias Grönberg,92,E
154,T142,T142,Bill Haas,99,E
155,T142,T142,J.P. Hayes,55,E
156,T142,T142,J.J. Henry,96,E
157,T142,T142,Freddie Jacobson,56,E
158,T142,T142,Steve Jones,83,E
159,T142,T142,Kent Jones,103,E
160,T142,T142,Greg Kraft,79,E
161,T142,T142,Justin Leonard,83,E
162,T142,T142,Peter Lonard,77,E
163,T142,T142,David McKenzie,82,E
164,T142,T142,Larry Mize,53,E
165,T142,T142,Mark O'Meara,52,E
166,T142,T142,Geoff Ogilvy,76,E
167,T142,T142,José María Olazábal,62,E
168,T142,T142,Jeff Overton,95,E
169,T142,T142,Pat Perez,50,E
170,T142,T142,Joey Sindelar,90,E
171,T142,T142,Mike Sposa,68,E
172,T142,T142,Hidemichi Tanaka,74,E
173,T142,T142,Nicholas Thompson,96,E
174,T142,T142,Bob Tway,81,E
175,T142,T142,Jimmy Walker,60,E
176,T142,T142,Ron Whittaker,81,E
177,T142,T142,Mark Wilson,79,E
178,179,179,Patrick Sheehan,104,+.091
179,180,180,Brad Faxon,78,+.143
180,181,181,Jeff Maggert,81,+.167
181,182,182,Chris Riley,86,+.200
182,T183,T183,John Huston,74,+.250
183,T183,T183,Richard Johnson,94,+.250
184,185,185,Thomas Levet,53,+.333
185,186,186,Corey Pavin,74,+.429
186,T187,T187,Zach Johnson,98,+.500
187,T187,T187,Joe Ogilvie,95,+.500
188,T187,T187,Justin Rose,98,+.500
189,T187,T187,Rory Sabbatini,84,+.500
190,T191,T191,Greg Chalmers,71,+.667
191,T191,T191,Ryan Palmer,101,+.667
192,193,193,Luke Donald,66,+1.000
