,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Tiger Woods,55,81.23,541,666,-177.0
1,2,2,Jim Furyk,89,78.92,966,1224,-273.0
2,3,3,Briny Baird,81,77.62,978,1260,-229.0
3,4,4,Kenny Perry,73,77.22,834,1080,-173.0
4,5,5,Jeff Gove,91,77.14,1124,1457,-233.0
5,6,6,Adam Scott,70,76.77,704,917,-184.0
6,7,7,Greg Owen,79,76.34,852,1116,-188.0
7,8,8,Trevor Immelman,86,76.01,998,1313,-260.0
8,9,9,John Senden,96,76.0,1080,1421,-250.0
9,10,10,David Branshaw,98,75.86,1188,1566,-241.0
10,11,11,Charles Warren,93,75.79,1105,1458,-240.0
11,T12,T12,Bart Bryant,87,75.72,967,1277,-195.0
12,T12,T12,Steve Elkington,52,75.72,627,828,-112.0
13,14,14,Joe Durant,101,75.68,1307,1727,-294.0
14,15,15,Arron Oberholser,82,75.45,842,1116,-196.0
15,16,16,Phil Mickelson,74,75.41,638,846,-197.0
16,17,17,Camilo Villegas,95,75.19,1109,1475,-278.0
17,18,18,Joey Sindelar,90,75.16,1026,1365,-188.0
18,T19,T19,Jerry Kelly,100,75.13,1136,1512,-251.0
19,T19,T19,Vijay Singh,103,75.13,1136,1512,-302.0
20,21,21,Scott Verplank,88,75.08,919,1224,-216.0
21,22,22,Jonathan Byrd,66,75.0,729,972,-194.0
22,23,23,Jonathan Kaye,95,74.85,1158,1547,-216.0
23,T24,T24,Fred Funk,106,74.69,1142,1529,-246.0
24,T24,T24,Chris Smith,67,74.69,791,1059,-157.0
25,26,26,K.J. Choi,93,74.68,1062,1422,-245.0
26,27,27,Heath Slocum,96,74.6,1128,1512,-259.0
27,28,28,J.J. Henry,96,74.58,1033,1385,-241.0
28,29,29,Bob Estes,85,74.57,1006,1349,-233.0
29,30,30,Padraig Harrington,54,74.56,510,684,-138.0
30,31,31,Skip Kendall,72,74.5,789,1059,-172.0
31,32,32,Robert Allenby,79,74.49,803,1078,-224.0
32,33,33,Kevin Sutherland,100,74.46,1166,1566,-256.0
33,34,34,Bob May,65,74.43,722,970,-167.0
34,35,35,Justin Rose,98,74.4,1151,1547,-294.0
35,36,36,Frank Lickliter II,99,74.31,1137,1530,-287.0
36,37,37,Steve Stricker,64,74.22,694,935,-200.0
37,38,38,Ted Purdy,103,74.17,1068,1440,-265.0
38,39,39,Mark Wilson,79,74.07,960,1296,-231.0
39,40,40,Bo Van Pelt,102,74.06,1199,1619,-292.0
40,41,41,Brett Quigley,109,74.04,1252,1691,-313.0
41,42,42,Alex Cejka,93,73.94,1064,1439,-246.0
42,43,43,Charles Howell III,96,73.91,1051,1422,-219.0
43,T44,T44,Will MacKenzie,91,73.85,997,1350,-218.0
44,T44,T44,Hunter Mahan,98,73.85,1183,1602,-292.0
45,46,46,Shaun Micheel,96,73.79,1036,1404,-243.0
46,47,47,Mathew Goggin,72,73.75,770,1044,-156.0
47,48,48,Stephen Ames,63,73.74,584,792,-152.0
48,49,49,Lucas Glover,105,73.71,1141,1548,-312.0
49,50,50,Billy Mayfair,94,73.59,1020,1386,-217.0
50,51,51,Jeff Brehaut,100,73.46,1124,1530,-236.0
51,52,52,Chad Campbell,91,73.3,884,1206,-204.0
52,53,53,Zach Johnson,98,73.29,1015,1385,-234.0
53,54,54,Omar Uresti,61,73.2,672,918,-123.0
54,55,55,Bubba Watson,83,73.13,947,1295,-250.0
55,56,56,Kris Cox,83,73.07,947,1296,-221.0
56,T57,T57,Chris DiMarco,83,73.04,802,1098,-169.0
57,T57,T57,Brett Wetterich,82,73.04,959,1313,-266.0
58,59,59,David McKenzie,82,73.03,907,1242,-194.0
59,60,60,David Toms,76,73.0,814,1115,-222.0
60,61,61,Tim Clark,80,72.99,762,1044,-185.0
61,62,62,Stephen Leaney,84,72.94,1011,1386,-228.0
62,63,63,Thomas Levet,53,72.92,630,864,-88.0
63,64,64,Duffy Waldorf,96,72.9,1076,1476,-235.0
64,T65,T65,Bernhard Langer,77,72.86,773,1061,-173.0
65,T65,T65,Daisuke Maruyama,83,72.86,918,1260,-203.0
66,67,67,Jason Bohn,104,72.85,1167,1602,-275.0
67,68,68,Mathias Grönberg,92,72.84,1035,1421,-247.0
68,69,69,Nick Watney,97,72.79,1126,1547,-265.0
69,70,70,Richard Johnson,94,72.75,1113,1530,-260.0
70,71,71,John Rollins,93,72.71,994,1367,-251.0
71,72,72,Chris Couch,75,72.64,876,1206,-197.0
72,T73,T73,Brandt Jobe,91,72.62,915,1260,-214.0
73,T73,T73,Jerry Smith,94,72.62,1098,1512,-235.0
74,T75,T75,Matt Hansen,68,72.61,758,1044,-132.0
75,T75,T75,Davis Love III,85,72.61,745,1026,-203.0
76,T77,T77,Jeff Maggert,81,72.59,887,1222,-174.0
77,T77,T77,Jeff Overton,95,72.59,1136,1565,-248.0
78,T79,T79,Ben Curtis,86,72.51,873,1204,-190.0
79,T79,T79,Sergio Garcia,59,72.51,509,702,-130.0
80,81,81,Ian Poulter,53,72.49,548,756,-150.0
81,82,82,José María Olazábal,62,72.47,508,701,-127.0
82,83,83,Kirk Triplett,58,72.45,639,882,-155.0
83,84,84,Brian Davis,92,72.43,1056,1458,-234.0
84,85,85,Billy Andrade,78,72.41,782,1080,-160.0
85,86,86,Tom Lehman,70,72.34,612,846,-118.0
86,T87,T87,Brent Geiberger,99,72.29,1169,1617,-254.0
87,T87,T87,Kent Jones,103,72.29,1145,1584,-287.0
88,89,89,Steve Flesch,119,72.26,1339,1853,-320.0
89,90,90,Steve Lowery,99,72.16,1078,1494,-257.0
90,91,91,Paul Goydos,72,72.14,831,1152,-177.0
91,92,92,J.B. Holmes,81,72.11,817,1133,-208.0
92,T93,T93,Rich Beem,85,72.05,843,1170,-219.0
93,T93,T93,Mike Weir,88,72.05,817,1134,-195.0
94,95,95,Bubba Dickerson,98,72.03,1115,1548,-270.0
95,96,96,Ron Whittaker,81,71.91,919,1278,-186.0
96,97,97,Troy Matteson,101,71.89,1138,1583,-236.0
