,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Tiger Woods,55,61.19,175,286
1,2,2,Greg Owen,79,60.91,215,353
2,3,3,Jeff Gove,91,60.82,253,416
3,4,4,Bubba Watson,83,57.6,307,533
4,5,5,Fred Couples,52,57.37,183,319
5,6,6,John Senden,96,57.36,261,455
6,7,7,Jonathan Byrd,66,57.32,188,328
7,8,8,Briny Baird,81,56.68,174,307
8,9,9,Frank Lickliter II,99,56.67,255,450
9,10,10,Charles Warren,93,56.44,254,450
10,11,11,Mathias Grönberg,92,56.22,262,466
11,12,12,Brett Wetterich,82,56.04,246,439
12,13,13,Phil Mickelson,74,55.64,222,399
13,14,14,Paul Stankowski,70,55.56,210,378
14,15,15,Jonathan Kaye,95,55.51,247,445
15,T16,T16,Matt Hansen,68,55.28,204,369
16,T16,T16,Pat Perez,50,55.28,157,284
17,T16,T16,Vijay Singh,103,55.28,314,568
18,19,19,Rory Sabbatini,84,55.27,278,503
19,20,20,Eric Axley,91,55.11,248,450
20,21,21,Arron Oberholser,82,55.07,228,414
21,22,22,Alex Cejka,93,54.69,233,426
22,23,23,Davis Love III,85,54.46,232,426
23,24,24,Camilo Villegas,95,54.41,296,544
24,25,25,Lucas Glover,105,54.39,279,513
25,26,26,Billy Andrade,78,54.19,207,382
26,27,27,Jim Furyk,89,54.18,175,323
27,28,28,Omar Uresti,61,54.03,114,211
28,29,29,Charley Hoffman,100,54.01,310,574
29,30,30,Jeff Brehaut,100,53.98,244,452
30,31,31,Trevor Immelman,86,53.85,245,455
31,32,32,Troy Matteson,101,53.77,307,571
32,33,33,Charles Howell III,96,53.71,304,566
33,34,34,Joe Durant,101,53.47,162,303
34,35,35,Justin Rose,98,53.46,255,477
35,T36,T36,David Branshaw,98,53.35,231,433
36,T36,T36,Ryan Hietala,61,53.35,215,403
37,38,38,Daniel Chopra,110,53.33,344,645
38,T39,T39,Sergio Garcia,59,53.16,160,301
39,T39,T39,Kevin Sutherland,100,53.16,252,474
40,T41,T41,Jeff Overton,95,53.14,288,542
41,T41,T41,Kenny Perry,73,53.14,169,318
42,43,43,Rich Beem,85,53.05,226,426
43,44,44,Scott Gutschewski,53,53.01,132,249
44,45,45,Ian Poulter,53,53.0,115,217
45,46,46,Brett Quigley,109,52.99,319,602
46,47,47,Bo Van Pelt,102,52.95,296,559
47,48,48,Marco Dawson,87,52.87,249,471
48,49,49,Bubba Dickerson,98,52.81,263,498
49,50,50,Steve Lowery,99,52.77,267,506
50,51,51,Bart Bryant,87,52.74,173,328
51,52,52,Kris Cox,83,52.72,242,459
52,53,53,Roger Tambellini,64,52.63,190,361
53,54,54,Bill Haas,99,52.57,297,565
54,55,55,Bob May,65,52.44,172,328
55,56,56,Steve Elkington,52,52.43,97,185
56,57,57,John Rollins,93,52.42,238,454
57,58,58,J.J. Henry,96,52.32,271,518
58,T59,T59,Henrik Bjornstad,97,52.31,260,497
59,T59,T59,Joey Sindelar,90,52.31,226,432
60,T61,T61,Heath Slocum,96,52.28,172,329
61,T61,T61,Steve Stricker,64,52.28,149,285
62,63,63,J.B. Holmes,81,52.23,258,494
63,T64,T64,Carlos Franco,86,52.17,277,531
64,T64,T64,Nick Watney,97,52.17,264,506
65,66,66,Hunter Mahan,98,52.08,225,432
66,67,67,Chad Campbell,91,52.05,254,488
67,68,68,Mark O'Meara,52,52.03,154,296
68,69,69,Jesper Parnevik,84,51.99,235,452
69,70,70,Shaun Micheel,96,51.82,256,494
70,71,71,"Wes Short, Jr.",96,51.8,288,556
71,72,72,Bob Estes,85,51.76,220,425
72,73,73,Duffy Waldorf,96,51.71,212,410
73,74,74,James Driscoll,80,51.63,285,552
74,75,75,Brandt Jobe,91,51.57,246,477
75,76,76,Will MacKenzie,91,51.54,234,454
76,77,77,Steve Flesch,119,51.45,284,552
77,78,78,Billy Mayfair,94,51.28,201,392
78,79,79,Bernhard Langer,77,51.19,193,377
79,80,80,Jason Gore,86,51.17,241,471
80,81,81,Vance Veazey,59,51.14,179,350
81,82,82,Chris Smith,67,51.1,162,317
82,83,83,Len Mattiace,59,50.99,181,355
