,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Tiger Woods,55,-.203
1,2,2,Jim Furyk,89,-.172
2,3,3,Steve Stricker,64,-.156
3,4,4,Phil Mickelson,74,-.144
4,5,5,Adam Scott,70,-.143
5,6,6,Luke Donald,66,-.133
6,7,7,Trevor Immelman,86,-.126
7,T8,T8,Stewart Cink,93,-.118
8,T8,T8,Brett Quigley,109,-.118
9,10,10,Padraig Harrington,54,-.117
10,11,11,Davis Love III,85,-.116
11,12,12,Ernie Els,69,-.114
12,13,13,Lucas Glover,105,-.113
13,14,14,Jonathan Byrd,66,-.112
14,T15,T15,Stephen Ames,63,-.111
15,T15,T15,Charley Hoffman,100,-.111
16,17,17,Rod Pampling,89,-.109
17,18,18,David Howell,52,-.108
18,T19,T19,Frank Lickliter II,99,-.104
19,T19,T19,David Toms,76,-.104
20,T19,T19,Brett Wetterich,82,-.104
21,T22,T22,Jerry Kelly,100,-.103
22,T22,T22,Justin Rose,98,-.103
23,T24,T24,Vijay Singh,103,-.102
24,T24,T24,Bubba Watson,83,-.102
25,T26,T26,Richard Johnson,94,-.101
26,T26,T26,Arron Oberholser,82,-.101
27,T28,T28,Brian Gay,107,-.100
28,T28,T28,Kevin Sutherland,100,-.100
29,30,30,Geoff Ogilvy,76,-.097
30,31,31,Retief Goosen,68,-.096
31,T32,T32,Daniel Chopra,110,-.095
32,T32,T32,Shaun Micheel,96,-.095
33,T32,T32,John Senden,96,-.095
34,T35,T35,Robert Allenby,79,-.094
35,T35,T35,Harrison Frazar,95,-.094
36,T37,T37,Michael Allen,84,-.093
37,T37,T37,Zach Johnson,98,-.093
38,T37,T37,Stephen Leaney,84,-.093
39,40,40,José María Olazábal,62,-.091
40,41,41,Rich Beem,85,-.090
41,42,42,Camilo Villegas,95,-.088
42,T43,T43,Bill Haas,99,-.087
43,T43,T43,J.J. Henry,96,-.087
44,T43,T43,Vaughn Taylor,88,-.087
45,T46,T46,Jeff Gove,91,-.086
46,T46,T46,Mike Weir,88,-.086
47,T48,T48,K.J. Choi,93,-.085
48,T48,T48,Kent Jones,103,-.085
49,T48,T48,Tom Pernice Jr.,108,-.085
50,T48,T48,Scott Verplank,88,-.085
51,T52,T52,Stuart Appleby,83,-.084
52,T52,T52,Ben Crane,85,-.084
53,T52,T52,Jesper Parnevik,84,-.084
54,55,55,Rory Sabbatini,84,-.083
55,56,56,Mark Wilson,79,-.082
56,T57,T57,Jason Bohn,104,-.081
57,T57,T57,Jeff Sluman,101,-.081
58,T59,T59,David Branshaw,98,-.080
59,T59,T59,Skip Kendall,72,-.080
60,T59,T59,Hunter Mahan,98,-.080
61,T62,T62,Tim Clark,80,-.079
62,T62,T62,Sergio Garcia,59,-.079
63,T62,T62,J.B. Holmes,81,-.079
64,T62,T62,Brandt Jobe,91,-.079
65,T66,T66,Mathias Grönberg,92,-.078
66,T66,T66,Bo Van Pelt,102,-.078
67,T68,T68,Ryuji Imada,105,-.077
68,T68,T68,Steve Lowery,99,-.077
69,T68,T68,Greg Owen,79,-.077
70,71,71,Ian Poulter,53,-.075
71,72,72,Nathan Green,108,-.074
72,73,73,Brent Geiberger,99,-.073
73,T74,T74,Woody Austin,107,-.072
74,T74,T74,Craig Barlow,77,-.072
75,T74,T74,Alex Cejka,93,-.072
76,T74,T74,Steve Flesch,119,-.072
77,T74,T74,Joe Ogilvie,95,-.072
78,T74,T74,Nick Watney,97,-.072
79,T74,T74,Dean Wilson,115,-.072
80,81,81,Duffy Waldorf,96,-.071
81,T82,T82,Eric Axley,91,-.070
82,T82,T82,Briny Baird,81,-.070
83,T82,T82,Ted Purdy,103,-.070
84,T82,T82,Charles Warren,93,-.070
85,86,86,Ryan Moore,68,-.069
86,T87,T87,Marco Dawson,87,-.067
87,T87,T87,Bernhard Langer,77,-.067
88,T87,T87,Will MacKenzie,91,-.067
89,T87,T87,Jeff Overton,95,-.067
90,T87,T87,Omar Uresti,61,-.067
91,T92,T92,Freddie Jacobson,56,-.066
92,T92,T92,D.J. Trahan,92,-.066
93,T94,T94,Paul Azinger,87,-.065
94,T94,T94,Chad Campbell,91,-.065
95,T94,T94,Corey Pavin,74,-.065
96,T94,T94,John Rollins,93,-.065
97,T98,T98,Shigeki Maruyama,94,-.064
98,T98,T98,Chris Riley,86,-.064
99,T98,T98,Jerry Smith,94,-.064
100,T101,T101,Olin Browne,108,-.063
101,T101,T101,Bob May,65,-.063
102,T103,T103,John Cook,67,-.062
103,T103,T103,Joe Durant,101,-.062
104,T103,T103,Danny Ellis,68,-.062
105,106,106,Kenny Perry,73,-.061
106,107,107,Bob Estes,85,-.059
107,T108,T108,Fred Funk,106,-.057
108,T108,T108,Charles Howell III,96,-.057
109,T108,T108,Carl Pettersson,95,-.057
110,T111,T111,Aaron Baddeley,78,-.055
111,T111,T111,Bart Bryant,87,-.055
112,T111,T111,Kris Cox,83,-.055
113,T111,T111,Brian Davis,92,-.055
114,T111,T111,Troy Matteson,101,-.055
115,T111,T111,D.A. Points,82,-.055
116,T117,T117,Ben Curtis,86,-.053
117,T117,T117,Ryan Palmer,101,-.053
118,T117,T117,Heath Slocum,96,-.053
119,T117,T117,Kirk Triplett,58,-.053
120,T117,T117,Bob Tway,81,-.053
121,122,122,Chris DiMarco,83,-.052
122,T123,T123,Robert Gamez,94,-.051
123,T123,T123,Paul Goydos,72,-.051
124,T125,T125,Mathew Goggin,72,-.050
125,T125,T125,Scott Gutschewski,53,-.050
126,T127,T127,J.P. Hayes,55,-.049
127,T127,T127,Pat Perez,50,-.049
128,T127,T127,Joey Sindelar,90,-.049
129,T127,T127,Chris Smith,67,-.049
130,131,131,Bubba Dickerson,98,-.048
