,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Tiger Woods,55,2.072,76.672,37
1,2,2,Adam Scott,70,1.115,56.881,51
2,3,3,Jim Furyk,89,1.085,73.759,68
3,4,4,Phil Mickelson,74,0.983,46.208999999999996,47
4,5,5,Luke Donald,66,0.9309999999999999,40.025,43
5,6,6,Tim Clark,80,0.867,50.262,58
6,7,7,Vijay Singh,103,0.809,67.972,84
7,8,8,Joey Sindelar,90,0.792,60.211000000000006,76
8,9,9,Trevor Immelman,86,0.764,55.802,73
9,10,10,Stephen Ames,63,0.763,33.593,44
10,11,11,Stewart Cink,93,0.759,55.428999999999995,73
11,12,12,Padraig Harrington,54,0.7440000000000001,28.272,38
12,13,13,Sergio Garcia,59,0.7190000000000001,28.041999999999998,39
13,14,14,Corey Pavin,74,0.653,37.249,57
14,15,15,Shaun Micheel,96,0.637,49.708,78
15,16,16,Justin Rose,98,0.616,52.997,86
16,17,17,Arron Oberholser,82,0.589,36.497,62
17,18,18,Briny Baird,81,0.58,40.575,70
18,19,19,Retief Goosen,68,0.574,26.41,46
19,20,20,Stephen Leaney,84,0.5489999999999999,42.255,77
20,21,21,Vaughn Taylor,88,0.524,40.31,77
21,22,22,Lucas Glover,105,0.51,43.895,86
22,23,23,Greg Owen,79,0.505,31.283,62
23,24,24,Bob Estes,85,0.49700000000000005,37.246,75
24,25,25,Davis Love III,85,0.488,27.799,57
25,26,26,Joe Durant,101,0.486,46.61600000000001,96
26,27,27,Robert Allenby,79,0.48100000000000004,28.878,60
27,28,28,Chris DiMarco,83,0.47700000000000004,29.085,61
28,29,29,Jeff Sluman,101,0.457,37.903,83
29,30,30,Chad Campbell,91,0.45399999999999996,30.404,67
30,31,31,David Toms,76,0.45299999999999996,28.089000000000002,62
31,32,32,José María Olazábal,62,0.449,17.512999999999998,39
32,33,33,Ted Purdy,103,0.439,35.154,80
33,34,34,Alex Cejka,93,0.434,34.692,80
34,35,35,Jason Bohn,104,0.428,38.109,89
35,36,36,Mike Weir,88,0.42200000000000004,26.592,63
36,37,37,Kenny Perry,73,0.41200000000000003,24.69,60
37,38,38,Ernie Els,69,0.408,19.153,47
38,39,39,Frank Lickliter II,99,0.406,34.549,85
39,40,40,Steve Stricker,64,0.39799999999999996,20.678,52
40,41,41,John Senden,96,0.387,30.569000000000003,79
41,42,42,Bart Bryant,87,0.379,26.923000000000002,71
42,43,43,Brett Quigley,109,0.37200000000000005,34.941,94
43,44,44,J.J. Henry,96,0.37,28.518,77
44,45,45,Fred Funk,106,0.35700000000000004,30.320999999999998,85
45,46,46,Charles Warren,93,0.353,28.588,81
46,47,47,Billy Andrade,78,0.348,20.851,60
47,48,48,Ian Poulter,53,0.345,14.51,42
48,49,49,Jerry Smith,94,0.344,28.861,84
49,50,50,Scott Verplank,88,0.332,22.608,68
50,51,51,Heath Slocum,96,0.32799999999999996,27.564,84
