,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Tiger Woods,55,29.92,149,498
1,2,2,Phil Mickelson,74,28.52,170,596
2,3,3,Adam Scott,70,25.72,178,692
3,4,4,David Howell,52,25.3,105,415
4,5,5,Jim Furyk,89,25.22,257,1019
5,6,6,Daniel Chopra,110,25.02,284,1135
6,7,7,Charley Hoffman,100,24.91,282,1132
7,T8,T8,Jonathan Byrd,66,24.76,182,735
8,T8,T8,Davis Love III,85,24.76,179,723
9,10,10,Lucas Glover,105,24.74,288,1164
10,11,11,Vaughn Taylor,88,24.65,265,1075
11,12,12,Stewart Cink,93,24.38,236,968
12,13,13,Rod Pampling,89,24.37,213,874
13,14,14,Steve Stricker,64,24.28,178,733
14,15,15,Geoff Ogilvy,76,24.2,167,690
15,16,16,Brett Wetterich,82,24.18,235,972
16,17,17,Bubba Watson,83,24.17,211,873
17,18,18,David Toms,76,24.13,209,866
18,19,19,Sergio Garcia,59,24.04,125,520
19,20,20,Harrison Frazar,95,23.88,230,963
20,21,21,J.P. Hayes,55,23.77,169,711
21,22,22,Hunter Mahan,98,23.75,295,1242
22,23,23,Craig Barlow,77,23.74,179,754
23,24,24,Rich Beem,85,23.7,200,844
24,25,25,Luke Donald,66,23.66,146,617
25,26,26,Trevor Immelman,86,23.63,233,986
26,27,27,Ben Crane,85,23.61,200,847
27,28,28,Ernie Els,69,23.57,140,594
28,29,29,Frank Lickliter II,99,23.53,277,1177
29,30,30,J.B. Holmes,81,23.45,182,776
30,31,31,Robert Garrigus,85,23.37,218,933
31,32,32,Camilo Villegas,95,23.36,246,1053
32,T33,T33,Justin Rose,98,23.34,275,1178
33,T33,T33,Vijay Singh,103,23.34,250,1071
34,35,35,Ian Poulter,53,23.24,142,611
35,36,36,Tom Pernice Jr.,108,23.16,274,1183
36,37,37,Retief Goosen,68,23.1,137,593
37,T38,T38,Arron Oberholser,82,23.08,192,832
38,T38,T38,Brett Quigley,109,23.08,286,1239
39,T38,T38,Rory Sabbatini,84,23.08,186,806
40,41,41,Eric Axley,91,22.97,246,1071
41,42,42,Stephen Ames,63,22.96,138,601
42,43,43,Pat Perez,50,22.95,123,536
43,44,44,Alex Cejka,93,22.88,251,1097
44,45,45,Tim Clark,80,22.87,191,835
45,46,46,José María Olazábal,62,22.81,120,526
46,T47,T47,Joe Ogilvie,95,22.79,237,1040
47,T47,T47,Bo Van Pelt,102,22.79,268,1176
48,49,49,Nathan Green,108,22.73,290,1276
49,50,50,Ted Purdy,103,22.72,252,1109
50,T51,T51,Woody Austin,107,22.59,276,1222
51,T51,T51,Marco Dawson,87,22.59,232,1027
52,53,53,John Rollins,93,22.56,236,1046
53,54,54,Jerry Kelly,100,22.55,269,1193
54,T55,T55,Kent Jones,103,22.53,280,1243
55,T55,T55,Jeff Sluman,101,22.53,258,1145
56,57,57,Dean Wilson,115,22.49,284,1263
57,58,58,Padraig Harrington,54,22.42,115,513
58,59,59,Will MacKenzie,91,22.36,227,1015
59,T60,T60,Ryan Palmer,101,22.29,239,1072
60,T60,T60,Mark Wilson,79,22.29,230,1032
61,62,62,Michael Allen,84,22.26,203,912
62,63,63,D.J. Trahan,92,22.19,227,1023
63,64,64,Brian Gay,107,22.18,316,1425
64,65,65,Stuart Appleby,83,22.13,185,836
65,66,66,Robert Allenby,79,22.08,185,838
66,67,67,David Duval,71,22.07,145,657
67,68,68,Freddie Jacobson,56,22.05,157,712
68,69,69,Mike Weir,88,22.0,189,859
69,70,70,Jason Bohn,104,21.98,277,1260
70,71,71,Bubba Dickerson,98,21.97,250,1138
71,T72,T72,Tommy Armour III,65,21.96,161,733
72,T72,T72,J.J. Henry,96,21.96,226,1029
73,74,74,Nick Watney,97,21.94,246,1121
74,75,75,Shigeki Maruyama,94,21.9,230,1050
75,76,76,Jesper Parnevik,84,21.89,206,941
76,77,77,Shane Bertsch,104,21.85,276,1263
77,78,78,Carl Pettersson,95,21.84,218,998
78,79,79,Greg Owen,79,21.83,186,852
79,80,80,Aaron Baddeley,78,21.82,192,880
80,81,81,Olin Browne,108,21.81,272,1247
81,82,82,Mathias Grönberg,92,21.79,226,1037
82,T83,T83,Stephen Leaney,84,21.72,237,1091
83,T83,T83,Ryan Moore,68,21.72,172,792
84,85,85,Chris Couch,75,21.71,188,866
85,86,86,Bill Haas,99,21.68,245,1130
86,87,87,Scott Gutschewski,53,21.65,134,619
87,88,88,Brandt Jobe,91,21.59,206,954
88,89,89,Richard Johnson,94,21.57,259,1201
89,90,90,Kris Cox,83,21.56,205,951
90,91,91,Lee Janzen,79,21.55,195,905
91,92,92,Carlos Franco,86,21.54,213,989
92,93,93,Jason Gore,86,21.47,207,964
93,94,94,Ryuji Imada,105,21.46,241,1123
94,95,95,Shaun Micheel,96,21.41,222,1037
95,96,96,Steve Lowery,99,21.4,239,1117
96,97,97,K.J. Choi,93,21.39,234,1094
97,98,98,Arjun Atwal,97,21.36,236,1105
98,T99,T99,Jeff Overton,95,21.32,232,1088
99,T99,T99,D.A. Points,82,21.32,203,952
100,101,101,"Wes Short, Jr.",96,21.3,230,1080
101,102,102,Zach Johnson,98,21.28,232,1090
102,T103,T103,John Senden,96,21.27,231,1086
103,T103,T103,Scott Verplank,88,21.27,217,1020
104,105,105,Bernhard Langer,77,21.26,169,795
105,106,106,John Daly,51,21.23,107,504
106,107,107,Steve Flesch,119,21.16,303,1432
107,108,108,Jerry Smith,94,21.1,258,1223
108,109,109,John Huston,74,21.06,179,850
109,T110,T110,Chris Riley,86,21.05,209,993
110,T110,T110,Charles Warren,93,21.05,233,1107
111,112,112,David McKenzie,82,21.01,203,966
112,113,113,Len Mattiace,59,21.0,138,657
113,T114,T114,Mark Calcavecchia,94,20.98,223,1063
114,T114,T114,Jimmy Walker,60,20.98,141,672
115,116,116,Kenny Perry,73,20.92,177,846
116,117,117,Fred Couples,52,20.88,81,388
117,118,118,Brian Davis,92,20.87,240,1150
118,119,119,David Branshaw,98,20.85,254,1218
119,120,120,Duffy Waldorf,96,20.84,239,1147
