,Approaches_from__200_yards_Rgh_RANK THIS WEEK,Approaches_from__200_yards_Rgh_RANK LAST WEEK,Approaches_from__200_yards_Rgh_PLAYER NAME,Approaches_from__200_yards_Rgh_ROUNDS,Approaches_from__200_yards_Rgh_AVG,Approaches_from__200_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__200_yards_Rgh_# OF ATTEMPTS,Approaches_from__200_yards_Rgh_RELATIVE TO PAR
0,1,1,Fred Funk,106,"53' 2""",1382.3329999999999,26,+1
1,2,2,Joe Ogilvie,95,"58' 4""",2216.083,38,-2
2,3,3,Jonathan Kaye,95,"58' 11""",1649.5,28,-5
3,4,4,Padraig Harrington,54,"60' 0""",1200.333,20,E
4,5,5,Harrison Frazar,95,"61' 6""",2213.583,36,-10
5,T6,T6,Briny Baird,81,"61' 9""",1543.4170000000001,25,-7
6,T6,T6,Trevor Immelman,86,"61' 9""",2285.167,37,-12
7,T6,T6,Larry Mize,53,"61' 9""",432.167,7,-2
8,9,9,Ron Whittaker,81,"62' 9""",1818.5829999999999,29,+7
9,10,10,Charley Hoffman,100,"63' 1""",2837.083,45,-20
10,T11,T11,Bill Haas,99,"64' 2""",3848.75,60,-10
11,T11,T11,Len Mattiace,59,"64' 2""",1605.0829999999999,25,-2
12,13,13,Tim Clark,80,"64' 8""",1809.75,28,+2
13,T14,T14,Arron Oberholser,82,"65' 6""",2424.25,37,-1
14,T14,T14,Duffy Waldorf,96,"65' 6""",2225.833,34,-10
15,16,16,Rory Sabbatini,84,"65' 7""",1639.5829999999999,25,+5
16,17,17,Camilo Villegas,95,"65' 8""",3482.333,53,-16
17,18,18,Vijay Singh,103,"66' 0""",2704.5,41,-14
18,19,19,Shigeki Maruyama,94,"66' 6""",2724.917,41,E
19,20,20,Tom Lehman,70,"66' 8""",1798.9170000000001,27,-3
20,21,21,Freddie Jacobson,56,"66' 9""",1534.75,23,-3
21,T22,T22,Brian Bateman,69,"66' 11""",1673.5,25,-3
22,T22,T22,Tag Ridings,103,"66' 11""",3076.667,46,-10
23,24,24,Alex Aragon,63,"67' 4""",2020.1670000000001,30,-5
24,25,25,Ted Purdy,103,"67' 6""",2498.833,37,+1
25,26,26,Mark Calcavecchia,94,"67' 7""",3583.5,53,-2
26,27,27,Ben Curtis,86,"67' 9""",1354.3329999999999,20,-3
27,28,28,David Duval,71,"67' 10""",2101.917,31,-3
28,T29,T29,John Daly,51,"68' 0""",1291.25,19,+2
29,T29,T29,Bob Tway,81,"68' 0""",1972.6670000000001,29,-1
30,31,31,Justin Rose,98,"68' 2""",2931.583,43,-1
31,32,32,Jonathan Byrd,66,"68' 4""",2117.083,31,-6
32,T33,T33,Woody Austin,107,"68' 5""",3010.0,44,+3
33,T33,T33,Chris Riley,86,"68' 5""",2326.167,34,+1
34,35,35,Corey Pavin,74,"68' 6""",2601.833,38,+4
