,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Tiger Woods,55,-0.10300000000000001
1,2,2,Stuart Appleby,83,-0.025
2,3,3,Fred Couples,52,-0.013999999999999999
3,4,4,Briny Baird,81,-0.01
4,5,5,Billy Mayfair,94,0.012
5,6,6,Steve Stricker,64,0.013000000000000001
6,7,7,Bob May,65,0.025
7,8,8,Jesper Parnevik,84,0.027000000000000003
8,9,9,Greg Owen,79,0.027999999999999997
9,10,10,Padraig Harrington,54,0.040999999999999995
10,11,11,Bubba Watson,83,0.043
11,12,12,Bill Haas,99,0.045
12,T13,T13,Steve Flesch,119,0.048
13,T13,T13,Dean Wilson,115,0.048
14,15,15,Carl Pettersson,95,0.052000000000000005
15,16,16,J.P. Hayes,55,0.055
16,17,17,Vijay Singh,103,0.055999999999999994
17,18,18,Chris Riley,86,0.057
18,19,19,Camilo Villegas,95,0.057999999999999996
19,20,20,Jim Furyk,89,0.059000000000000004
20,T21,T21,Shigeki Maruyama,94,0.063
21,T21,T21,Bo Van Pelt,102,0.063
22,23,23,Nick Watney,97,0.067
23,24,24,Jeff Brehaut,100,0.07
24,25,25,Heath Slocum,96,0.07200000000000001
25,26,26,Kirk Triplett,58,0.073
26,T27,T27,Ernie Els,69,0.07400000000000001
27,T27,T27,Vance Veazey,59,0.07400000000000001
28,29,29,Charles Howell III,96,0.075
29,30,30,Trevor Immelman,86,0.078
30,31,31,David Branshaw,98,0.083
31,32,32,Tom Pernice Jr.,108,0.084
32,33,33,Troy Matteson,101,0.085
33,34,34,Tommy Armour III,65,0.086
34,35,35,Brett Quigley,109,0.087
35,36,36,Rod Pampling,89,0.08800000000000001
36,T37,T37,Jonathan Byrd,66,0.08900000000000001
37,T37,T37,Tom Lehman,70,0.08900000000000001
38,T39,T39,Skip Kendall,72,0.092
39,T39,T39,Rory Sabbatini,84,0.092
40,T39,T39,Charles Warren,93,0.092
41,42,42,Daniel Chopra,110,0.094
42,T43,T43,Brandt Jobe,91,0.095
43,T43,T43,David Toms,76,0.095
44,T45,T45,Dudley Hart,83,0.096
45,T45,T45,Tim Herron,82,0.096
46,47,47,James Driscoll,80,0.099
47,T48,T48,Nathan Green,108,0.1
48,T48,T48,Kent Jones,103,0.1
49,50,50,Jerry Smith,94,0.102
50,T51,T51,Eric Axley,91,0.10400000000000001
51,T51,T51,Tjaart van der Walt,60,0.10400000000000001
52,T53,T53,Steve Elkington,52,0.105
53,T53,T53,Bob Estes,85,0.105
54,T55,T55,Frank Lickliter II,99,0.106
55,T55,T55,Patrick Sheehan,104,0.106
56,57,57,Marco Dawson,87,0.10800000000000001
57,T58,T58,Bernhard Langer,77,0.11
58,T58,T58,Brett Wetterich,82,0.11
59,T60,T60,Woody Austin,107,0.113
60,T60,T60,Mark O'Meara,52,0.113
61,T62,T62,Henrik Bjornstad,97,0.115
62,T62,T62,Jason Bohn,104,0.115
63,64,64,Jeff Overton,95,0.11599999999999999
64,65,65,Jeff Sluman,101,0.11900000000000001
65,66,66,Kevin Sutherland,100,0.12300000000000001
66,67,67,Daisuke Maruyama,83,0.124
