,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Michael Allen,84,71.07,86,121,-91,-4.00
1,2,2,Steve Stricker,64,69.44,50,72,-54,-26.00
2,3,3,Jim Furyk,89,68.18,75,110,-76,-32.00
3,4,4,Craig Barlow,77,65.97,95,144,-106,+1.00
4,5,5,Mike Sposa,68,65.69,67,102,-70,+2.00
5,6,6,Tiger Woods,55,64.65,64,99,-72,-7.00
6,7,7,Dudley Hart,83,64.55,71,110,-75,-6.00
7,8,8,Vijay Singh,103,64.45,136,211,-148,-4.00
8,9,9,Will MacKenzie,91,64.2,104,162,-112,-9.00
9,10,10,Chad Campbell,91,63.72,72,113,-79,+6.00
10,11,11,David Toms,76,63.46,66,104,-72,-15.00
11,12,12,Stuart Appleby,83,63.24,86,136,-90,-15.00
12,13,13,Ben Crane,85,63.21,67,106,-71,-10.00
13,14,14,Tim Clark,80,63.1,53,84,-55,-40.00
14,15,15,Vaughn Taylor,88,62.76,91,145,-98,-21.00
15,16,16,Trevor Immelman,86,62.75,96,153,-103,-20.00
16,17,17,Bo Van Pelt,102,62.5,120,192,-128,-5.00
17,18,18,Jesper Parnevik,84,62.16,115,185,-125,-7.00
18,T19,T19,Stephen Ames,63,62.03,49,79,-56,-4.00
19,T19,T19,J.P. Hayes,55,62.03,49,79,-50,-35.00
20,21,21,Brett Quigley,109,61.8,110,178,-116,-25.00
21,22,22,Ernie Els,69,61.61,69,112,-75,-2.00
22,23,23,Jason Schultz,77,61.54,80,130,-82,+2.00
23,24,24,Daniel Chopra,110,61.5,123,200,-135,-8.00
24,25,25,Steve Lowery,99,61.2,112,183,-121,-9.00
25,26,26,John Rollins,93,61.14,107,175,-118,-17.00
26,27,27,Stewart Cink,93,61.02,72,118,-76,-23.00
27,28,28,J.J. Henry,96,60.99,86,141,-91,-14.00
28,29,29,Phil Mickelson,74,60.45,81,134,-87,-2.00
29,30,30,Charley Hoffman,100,60.42,145,240,-157,+1.00
30,31,31,Zach Johnson,98,60.38,64,106,-69,-14.00
31,T32,T32,Steve Elkington,52,60.0,45,75,-48,-16.00
32,T32,T32,Harrison Frazar,95,60.0,111,185,-119,+1.00
33,T32,T32,Nathan Green,108,60.0,111,185,-116,-7.00
34,T35,T35,Jason Bohn,104,59.55,106,178,-112,-13.00
35,T35,T35,Padraig Harrington,54,59.55,53,89,-55,-9.00
36,T37,T37,Tom Pernice Jr.,108,59.51,97,163,-105,-27.00
37,T37,T37,Justin Rose,98,59.51,97,163,-100,-14.00
38,39,39,Kent Jones,103,59.49,94,158,-102,-22.00
39,40,40,Vance Veazey,59,59.46,44,74,-50,-19.00
40,41,41,Charles Howell III,96,59.44,107,180,-113,-5.00
41,42,42,Aaron Baddeley,78,59.42,82,138,-88,-9.00
42,43,43,Ryan Moore,68,59.17,71,120,-74,-13.00
43,44,44,Jonathan Byrd,66,59.09,78,132,-82,-10.00
44,45,45,Bill Haas,99,58.91,119,202,-128,+4.00
45,46,46,Brett Wetterich,82,58.89,106,180,-114,+3.00
46,47,47,Chris Riley,86,58.88,63,107,-64,-21.00
47,48,48,Camilo Villegas,95,58.79,117,199,-127,+14.00
48,49,49,J.B. Holmes,81,58.66,105,179,-121,+12.00
49,50,50,Omar Uresti,61,58.57,41,70,-43,-16.00
50,T51,T51,Jeff Gove,91,58.49,93,159,-95,-4.00
51,T51,T51,Tag Ridings,103,58.49,124,212,-130,+11.00
52,53,53,Geoff Ogilvy,76,58.47,69,118,-75,-16.00
53,54,54,Scott Verplank,88,58.42,59,101,-62,-20.00
