,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Tiger Woods,55,82.58,365,442
1,2,2,Adam Scott,70,82.17,484,589
2,3,3,J.J. Henry,96,81.62,635,778
3,4,4,Bob May,65,80.68,430,533
4,5,5,John Senden,96,80.55,679,843
5,6,6,Will MacKenzie,91,80.52,620,770
6,7,7,Bubba Watson,83,80.21,454,566
7,8,8,Chris Smith,67,80.03,493,616
8,9,9,David Branshaw,98,80.0,744,930
9,T10,T10,Craig Barlow,77,79.9,473,592
10,T10,T10,Jonathan Byrd,66,79.9,469,587
11,12,12,Trevor Immelman,86,79.87,595,745
12,13,13,Tom Lehman,70,79.76,406,509
13,14,14,Jeff Gove,91,79.75,634,795
14,15,15,Shaun Micheel,96,79.72,637,799
15,16,16,Retief Goosen,68,79.58,382,480
16,17,17,J.B. Holmes,81,79.25,462,583
17,18,18,Charley Hoffman,100,79.19,628,793
18,19,19,Mark Wilson,79,79.07,563,712
19,20,20,K.J. Choi,93,79.04,660,835
20,21,21,Arron Oberholser,82,79.02,546,691
21,T22,T22,Phil Mickelson,74,78.94,446,565
22,T22,T22,Vijay Singh,103,78.94,656,831
23,24,24,Brett Quigley,109,78.86,679,861
24,25,25,Stephen Ames,63,78.75,430,546
25,26,26,Stewart Cink,93,78.66,575,731
26,27,27,Ernie Els,69,78.6,404,514
27,28,28,Jim Furyk,89,78.4,715,912
28,T29,T29,Joey Sindelar,90,78.37,645,823
29,T29,T29,Steve Stricker,64,78.37,453,578
30,31,31,Jonathan Kaye,95,78.21,657,840
31,32,32,Kris Cox,83,78.18,523,669
32,33,33,Bernhard Langer,77,78.12,489,626
33,34,34,Kevin Sutherland,100,77.96,672,862
34,35,35,Jeff Overton,95,77.68,588,757
35,36,36,Bob Estes,85,77.65,587,756
36,T37,T37,Luke Donald,66,77.59,457,589
37,T37,T37,Skip Kendall,72,77.59,561,723
38,39,39,John Rollins,93,77.55,632,815
39,40,40,Zach Johnson,98,77.54,663,855
40,41,41,Ted Purdy,103,77.53,721,930
41,42,42,Chad Campbell,91,77.52,562,725
42,43,43,Steve Elkington,52,77.48,406,524
43,44,44,Brandt Jobe,91,77.47,581,750
44,45,45,Brian Bateman,69,77.45,419,541
45,46,46,Lucas Glover,105,77.44,697,900
46,47,47,Troy Matteson,101,77.42,648,837
47,48,48,David McKenzie,82,77.36,581,751
48,49,49,Nick Watney,97,77.26,632,818
49,50,50,Robert Garrigus,85,77.22,512,663
50,51,51,Mike Weir,88,77.21,586,759
51,52,52,Jon Mills,68,77.19,406,526
52,53,53,Kenny Perry,73,77.1,532,690
53,T54,T54,Robert Allenby,79,77.08,575,746
54,T54,T54,Alex Cejka,93,77.08,649,842
55,T56,T56,Justin Rose,98,77.0,653,848
56,T56,T56,Brett Wetterich,82,77.0,539,700
57,58,58,Mathew Goggin,72,76.97,478,621
58,59,59,Sergio Garcia,59,76.96,364,473
59,60,60,Rich Beem,85,76.94,564,733
60,61,61,Jerry Smith,94,76.93,687,893
61,62,62,Chris DiMarco,83,76.92,540,702
62,T63,T63,Charles Howell III,96,76.91,563,732
63,T63,T63,Hunter Mahan,98,76.91,716,931
64,65,65,Stephen Leaney,84,76.82,590,768
65,66,66,Joe Durant,101,76.77,846,1102
66,67,67,Chris Couch,75,76.73,488,636
67,68,68,Camilo Villegas,95,76.63,577,753
68,69,69,David Howell,52,76.59,301,393
69,70,70,Bob Tway,81,76.58,510,666
70,71,71,Matt Hansen,68,76.55,421,550
71,72,72,Stuart Appleby,83,76.5,498,651
72,73,73,Bart Bryant,87,76.48,670,876
73,74,74,Billy Andrade,78,76.47,494,646
74,75,75,Richard Johnson,94,76.46,679,888
75,76,76,Tim Herron,82,76.44,503,658
76,77,77,John Cook,67,76.41,502,657
77,78,78,Bill Haas,99,76.39,589,771
78,79,79,Jerry Kelly,100,76.38,747,978
79,T80,T80,Carlos Franco,86,76.35,510,668
80,T80,T80,Ryuji Imada,105,76.35,636,833
81,82,82,Pat Perez,50,76.33,316,414
82,83,83,Roger Tambellini,64,76.28,373,489
83,84,84,Kent Jones,103,76.21,727,954
84,85,85,Joe Ogilvie,95,76.2,621,815
85,86,86,Greg Owen,79,76.14,549,721
86,87,87,Jeff Brehaut,100,76.13,673,884
87,88,88,Frank Lickliter II,99,76.06,683,898
88,T89,T89,Eric Axley,91,76.05,600,789
89,T89,T89,Fred Couples,52,76.05,289,380
90,91,91,Daniel Chopra,110,76.03,644,847
91,92,92,Dean Wilson,115,76.02,745,980
92,93,93,Marco Dawson,87,76.01,564,742
93,T94,T94,Scott Gutschewski,53,75.97,351,462
94,T94,T94,Charles Warren,93,75.97,610,803
95,96,96,Lee Janzen,79,75.89,469,618
96,97,97,Harrison Frazar,95,75.84,587,774
97,98,98,J.P. Hayes,55,75.83,389,513
98,99,99,Davis Love III,85,75.79,482,636
99,100,100,Vaughn Taylor,88,75.77,591,780
100,101,101,Bubba Dickerson,98,75.74,637,841
101,102,102,Carl Pettersson,95,75.72,602,795
102,103,103,Bo Van Pelt,102,75.69,654,864
103,104,104,David Duval,71,75.66,373,493
104,105,105,Nicholas Thompson,96,75.63,661,874
105,T106,T106,Woody Austin,107,75.6,688,910
106,T106,T106,Dudley Hart,83,75.6,508,672
107,108,108,Steve Flesch,119,75.57,795,1052
108,T109,T109,Jason Bohn,104,75.54,732,969
109,T109,T109,Tim Clark,80,75.54,559,740
110,111,111,Michael Connell,51,75.49,308,408
111,112,112,Freddie Jacobson,56,75.46,369,489
112,113,113,Ryan Palmer,101,75.35,645,856
113,114,114,Paul Stankowski,70,75.21,449,597
114,115,115,Jeff Sluman,101,75.16,684,910
115,116,116,Steve Lowery,99,75.12,634,844
116,117,117,David Toms,76,75.11,504,671
117,118,118,Danny Ellis,68,75.05,406,541
118,119,119,"John Engler, Jr.",69,74.95,407,543
119,120,120,Daisuke Maruyama,83,74.94,592,790
120,121,121,Briny Baird,81,74.93,574,766
121,122,122,Mathias Grönberg,92,74.9,582,777
122,123,123,Jeff Maggert,81,74.88,608,812
123,124,124,Jesper Parnevik,84,74.65,536,718
124,125,125,Paul Azinger,87,74.61,567,760
125,T126,T126,Michael Allen,84,74.6,508,681
126,T126,T126,D.J. Trahan,92,74.6,599,803
127,128,128,Geoff Ogilvy,76,74.55,454,609
128,129,129,Arjun Atwal,97,74.52,623,836
129,130,130,"Wes Short, Jr.",96,74.51,567,761
130,131,131,John Huston,74,74.49,438,588
131,132,132,James Driscoll,80,74.47,420,564
132,133,133,Henrik Bjornstad,97,74.46,618,830
133,134,134,John Daly,51,74.44,268,360
134,135,135,Heath Slocum,96,74.43,722,970
135,136,136,José María Olazábal,62,74.38,360,484
136,T137,T137,Shigeki Maruyama,94,74.37,586,788
137,T137,T137,Tjaart van der Walt,60,74.37,412,554
138,139,139,Shane Bertsch,104,74.35,710,955
139,140,140,Duffy Waldorf,96,74.31,645,868
140,141,141,Robert Damron,91,74.19,592,798
141,142,142,Billy Mayfair,94,74.16,683,921
142,T143,T143,Ben Curtis,86,74.13,593,800
143,T143,T143,Jimmy Walker,60,74.13,298,402
144,145,145,Brian Davis,92,74.09,652,880
145,146,146,Brian Gay,107,74.07,757,1022
