,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
79,T80,T80,Michael Connell,51,24.7,48992.0,55
80,T80,T80,Mathew Goggin,72,24.7,139817.0,157
81,T80,T80,Daisuke Maruyama,83,24.7,114711.0,129
82,T80,T80,Jesper Parnevik,84,24.7,164568.0,185
83,T80,T80,Brett Quigley,109,24.7,158293.0,178
84,85,85,Rory Sabbatini,84,24.8,106998.0,120
85,T86,T86,Nathan Green,108,24.9,166080.0,185
86,T86,T86,Padraig Harrington,54,24.9,79649.0,89
87,T86,T86,Kenny Perry,73,24.9,97798.0,109
88,T86,T86,Chris Smith,67,24.9,111134.0,124
89,T90,T90,Billy Andrade,78,25.0,88036.0,98
90,T90,T90,Marco Dawson,87,25.0,131317.0,146
91,T90,T90,Len Mattiace,59,25.0,67505.0,75
92,T90,T90,Patrick Sheehan,104,25.0,134066.0,149
93,T90,T90,Vijay Singh,103,25.0,190247.0,211
94,T90,T90,Mark Wilson,79,25.0,94390.0,105
95,T96,T96,Eric Axley,91,25.1,159827.0,177
96,T96,T96,Bubba Dickerson,98,25.1,186328.0,206
97,T96,T96,Jon Mills,68,25.1,91213.0,101
98,T96,T96,Justin Rose,98,25.1,147564.0,163
99,T96,T96,Joey Sindelar,90,25.1,118219.0,131
100,T96,T96,David Toms,76,25.1,93985.0,104
101,T96,T96,D.J. Trahan,92,25.1,157051.0,174
102,T96,T96,Tjaart van der Walt,60,25.1,69474.0,77
103,T96,T96,Mike Weir,88,25.1,99589.0,110
104,105,105,Ryan Hietala,61,25.2,92503.0,102
105,T106,T106,Scott Gutschewski,53,25.3,102005.0,112
106,T106,T106,David McKenzie,82,25.3,109402.0,120
107,T106,T106,Geoff Ogilvy,76,25.3,107463.0,118
108,T106,T106,Ryan Palmer,101,25.3,178374.0,196
109,T106,T106,Tim Petrovic,95,25.3,143964.0,158
110,T106,T106,Tag Ridings,103,25.3,192877.0,212
111,T112,T112,Chris DiMarco,83,25.4,87686.0,96
112,T112,T112,Dudley Hart,83,25.4,100665.0,110
113,T112,T112,Jonathan Kaye,95,25.4,174633.0,191
114,T115,T115,Olin Browne,108,25.5,102063.0,111
115,T115,T115,Jeff Gove,91,25.5,145950.0,159
116,T115,T115,J.L. Lewis,57,25.5,82541.0,90
117,T115,T115,"Wes Short, Jr.",96,25.5,165042.0,180
118,T115,T115,Bubba Watson,83,25.5,190198.0,207
119,T120,T120,Henrik Bjornstad,97,25.6,168352.0,183
120,T120,T120,John Rollins,93,25.6,161482.0,175
121,T122,T122,Aaron Baddeley,78,25.7,127749.0,138
122,T122,T122,John Daly,51,25.7,105362.0,114
123,T122,T122,Steve Flesch,119,25.7,176568.0,191
124,T122,T122,Ted Purdy,103,25.7,168534.0,182
125,T122,T122,Bob Tway,81,25.7,107433.0,116
126,T122,T122,Charles Warren,93,25.7,181911.0,197
127,T128,T128,Ben Crane,85,25.8,98405.0,106
128,T128,T128,Jason Gore,86,25.8,142976.0,154
129,T128,T128,Richard Johnson,94,25.8,112354.0,121
130,T128,T128,Pat Perez,50,25.8,84552.0,91
131,T132,T132,Shane Bertsch,104,25.9,99626.0,107
132,T132,T132,Bart Bryant,87,25.9,95053.0,102
133,T132,T132,Robert Damron,91,25.9,115587.0,124
134,T132,T132,Danny Ellis,68,25.9,109246.0,117
135,T132,T132,Retief Goosen,68,25.9,105475.0,113
136,T132,T132,Ian Leggatt,80,25.9,136263.0,146
137,T132,T132,Chris Riley,86,25.9,99644.0,107
138,T139,T139,Brian Davis,92,26.0,160247.0,171
139,T139,T139,Heath Slocum,96,26.0,138298.0,148
140,T139,T139,Ron Whittaker,81,26.0,98257.0,105
141,T142,T142,Alex Aragon,63,26.2,98872.0,105
142,T142,T142,Doug Barron,74,26.2,91417.0,97
143,T142,T142,Brian Bateman,69,26.2,106478.0,113
144,T142,T142,John Huston,74,26.2,114278.0,121
145,T146,T146,Troy Matteson,101,26.3,195800.0,207
146,T146,T146,Bob May,65,26.3,100538.0,106
147,T146,T146,Tom Pernice Jr.,108,26.3,154490.0,163
148,T146,T146,Jerry Smith,94,26.3,93676.0,99
149,T146,T146,Mike Sposa,68,26.3,96724.0,102
150,151,151,Bernhard Langer,77,26.4,115795.0,122
151,T152,T152,Brent Geiberger,99,26.5,144224.0,151
152,T152,T152,Paul Stankowski,70,26.5,121285.0,127
153,T152,T152,Hidemichi Tanaka,74,26.5,77343.0,81
154,T152,T152,Vaughn Taylor,88,26.5,138519.0,145
155,T156,T156,Stephen Leaney,84,26.7,96242.0,100
156,T156,T156,Jeff Overton,95,26.7,203741.0,212
157,T158,T158,Ben Curtis,86,26.8,81169.0,84
158,T158,T158,Matt Hansen,68,26.8,122701.0,127
159,160,160,Shigeki Maruyama,94,26.9,128614.0,133
160,161,161,Freddie Jacobson,56,27.0,104109.0,107
161,T162,T162,Mark Calcavecchia,94,27.2,159597.0,163
162,T162,T162,Fred Funk,106,27.2,103672.0,106
163,T162,T162,J.P. Hayes,55,27.2,77360.0,79
164,T162,T162,Kirk Triplett,58,27.2,64556.0,66
165,T162,T162,Dean Wilson,115,27.2,155416.0,159
166,167,167,Arjun Atwal,97,27.3,159497.0,162
167,T168,T168,Jeff Brehaut,100,27.4,169714.0,172
168,T168,T168,Zach Johnson,98,27.4,104468.0,106
169,170,170,Carl Pettersson,95,27.5,142746.0,144
170,171,171,Ryuji Imada,105,27.6,146084.0,147
171,T172,T172,Todd Fischer,101,27.8,125976.0,126
172,T172,T172,Roger Tambellini,64,27.8,119251.0,119
173,174,174,Alex Cejka,93,27.9,156431.0,156
174,175,175,José María Olazábal,62,28.1,83821.0,83
175,176,176,"John Engler, Jr.",69,28.2,103491.0,102
176,T177,T177,Jason Schultz,77,28.3,132455.0,130
177,T177,T177,Scott Verplank,88,28.3,103049.0,101
178,T179,T179,Tommy Armour III,65,28.6,78325.0,76
179,T179,T179,Todd Hamilton,72,28.6,93851.0,91
180,181,181,Billy Mayfair,94,28.7,149631.0,145
181,T182,T182,Brad Faxon,78,28.8,101606.0,98
182,T182,T182,Lee Janzen,79,28.8,109007.0,105
183,T184,T184,Greg Chalmers,71,28.9,91545.0,88
184,T184,T184,Skip Kendall,72,28.9,87254.0,84
185,186,186,Jeff Maggert,81,29.0,134773.0,129
186,187,187,Corey Pavin,74,29.6,67035.0,63
187,188,188,Jimmy Walker,60,30.1,124628.0,115
188,189,189,Paul Goydos,72,31.4,100488.0,89
189,190,190,John Cook,67,32.1,73854.0,64
190,191,191,Justin Leonard,83,32.5,98363.0,84
191,192,192,David Howell,52,32.7,85942.0,73
192,193,193,Mark Brooks,90,33.1,110742.0,93
193,194,194,Greg Kraft,79,33.5,98892.0,82
194,195,195,Larry Mize,53,35.9,60750.0,47
195,196,196,Mark O'Meara,52,41.7,51073.0,34
