,Approaches_from_200-225_yards_Rgh_RANK THIS WEEK,Approaches_from_200-225_yards_Rgh_RANK LAST WEEK,Approaches_from_200-225_yards_Rgh_PLAYER NAME,Approaches_from_200-225_yards_Rgh_ROUNDS,Approaches_from_200-225_yards_Rgh_AVG,Approaches_from_200-225_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_200-225_yards_Rgh_# OF ATTEMPTS,Approaches_from_200-225_yards_Rgh_RELATIVE TO PAR
0,1,1,Padraig Harrington,54,"42' 4""",381.333,9,+3
1,2,2,Bob Estes,85,"45' 9""",732.3330000000001,16,+7
2,3,3,Fred Funk,106,"46' 3""",693.75,15,+4
3,4,4,Joe Ogilvie,95,"47' 1""",753.5,16,+4
4,5,5,Robert Damron,91,"48' 6""",727.75,15,E
5,6,6,Larry Mize,53,"48' 7""",194.167,4,-2
6,7,7,Patrick Sheehan,104,"49' 5""",741.0,15,-2
7,8,8,Freddie Jacobson,56,"49' 6""",693.4169999999999,14,-2
8,9,9,Charles Warren,93,"49' 7""",644.0830000000001,13,+1
9,10,10,Lee Janzen,79,"52' 7""",893.4169999999999,17,+6
10,T11,T11,Corey Pavin,74,"52' 8""",1264.5,24,+2
11,T11,T11,Vijay Singh,103,"52' 8""",842.3330000000001,16,+1
12,13,13,Duffy Waldorf,96,"53' 9""",752.4169999999999,14,+1
13,T14,T14,Daniel Chopra,110,"54' 0""",1187.5,22,+1
14,T14,T14,Camilo Villegas,95,"54' 0""",1350.6670000000001,25,-7
15,16,16,Jim Furyk,89,"54' 6""",436.0,8,+4
16,17,17,Charley Hoffman,100,"54' 7""",819.0830000000001,15,-4
17,18,18,Ian Poulter,53,"54' 9""",273.58299999999997,5,-1
18,19,19,Shaun Micheel,96,"54' 10""",1260.5,23,+2
19,20,20,J.B. Holmes,81,"54' 11""",1097.583,20,-7
20,21,21,Ron Whittaker,81,"55' 6""",943.4169999999999,17,+7
21,22,22,Troy Matteson,101,"55' 7""",1111.167,20,-3
22,23,23,David Branshaw,98,"55' 8""",946.1669999999999,17,+1
23,24,24,Olin Browne,108,"55' 9""",835.9169999999999,15,+6
24,25,25,Jonathan Byrd,66,"55' 10""",446.75,8,+1
25,26,26,Skip Kendall,72,"55' 11""",559.25,10,+3
26,27,27,Ryan Palmer,101,"56' 3""",619.1669999999999,11,-2
27,28,28,Arjun Atwal,97,"56' 4""",845.5,15,-2
28,29,29,Thomas Levet,53,"56' 5""",846.8330000000001,15,+5
29,T30,T30,Harrison Frazar,95,"56' 10""",1194.25,21,-4
30,T30,T30,Lucas Glover,105,"56' 10""",795.5830000000001,14,-5
31,32,32,Tom Pernice Jr.,108,"57' 1""",1599.0829999999999,28,+7
32,33,33,Joey Sindelar,90,"57' 2""",1486.5,26,+6
33,34,34,Carlos Franco,86,"57' 5""",1149.0,20,+2
34,35,35,Trevor Immelman,86,"57' 7""",1151.75,20,-5
35,36,36,Shigeki Maruyama,94,"58' 4""",1282.667,22,+7
36,37,37,John Cook,67,"58' 7""",351.417,6,+3
37,38,38,Len Mattiace,59,"58' 10""",764.5,13,+1
38,39,39,Billy Mayfair,94,"59' 0""",472.167,8,E
39,40,40,Woody Austin,107,"59' 3""",1244.167,21,+6
40,41,41,Justin Rose,98,"59' 4""",1601.0829999999999,27,-2
41,42,42,Ted Purdy,103,"59' 7""",1072.417,18,+6
42,43,43,Bob May,65,"59' 10""",359.083,6,E
43,44,44,Bill Haas,99,"59' 11""",1916.9170000000001,32,+5
44,45,45,Jonathan Kaye,95,"60' 0""",659.8330000000001,11,+2
45,T46,T46,Chris DiMarco,83,"60' 4""",965.25,16,+7
46,T46,T46,John Senden,96,"60' 4""",1629.75,27,-8
47,T46,T46,Nicholas Thompson,96,"60' 4""",1026.167,17,+3
48,T49,T49,Mark Calcavecchia,94,"60' 5""",1389.0,23,+11
49,T49,T49,Paul Stankowski,70,"60' 5""",603.9169999999999,10,E
50,51,51,Brett Wetterich,82,"60' 8""",607.0,10,-4
51,52,52,Bernhard Langer,77,"60' 9""",668.6669999999999,11,+2
52,T53,T53,Brian Bateman,69,"61' 1""",855.5,14,E
53,T53,T53,Justin Leonard,83,"61' 1""",854.9169999999999,14,E
54,T55,T55,Arron Oberholser,82,"61' 2""",1161.667,19,+4
55,T55,T55,Chris Riley,86,"61' 2""",979.0,16,+6
56,T57,T57,Geoff Ogilvy,76,"61' 3""",612.0830000000001,10,+2
57,T57,T57,Chris Smith,67,"61' 3""",1041.0,17,+3
58,59,59,Pat Perez,50,"61' 4""",368.083,6,+1
59,60,60,Frank Lickliter II,99,"61' 5""",1105.75,18,+3
60,61,61,Greg Chalmers,71,"61' 6""",738.1669999999999,12,+3
61,62,62,Tim Herron,82,"61' 9""",802.4169999999999,13,-1
62,63,63,Rory Sabbatini,84,"61' 10""",803.5,13,+6
63,64,64,Tim Petrovic,95,"62' 2""",1368.3329999999999,22,+4
64,65,65,Carl Pettersson,95,"62' 3""",1494.4170000000001,24,+1
65,66,66,Kirk Triplett,58,"62' 7""",250.25,4,E
66,67,67,Briny Baird,81,"62' 10""",691.5,11,+4
67,T68,T68,John Rollins,93,"63' 0""",755.9169999999999,12,-2
68,T68,T68,Tiger Woods,55,"63' 0""",440.75,7,-1
69,70,70,Bubba Watson,83,"63' 2""",1326.25,21,-5
70,T71,T71,Alex Cejka,93,"63' 4""",633.0,10,+2
71,T71,T71,"Wes Short, Jr.",96,"63' 4""",1646.0,26,+7
72,T71,T71,Bo Van Pelt,102,"63' 4""",1330.5,21,-2
73,74,74,Retief Goosen,68,"64' 1""",769.1669999999999,12,-2
74,T75,T75,Rich Beem,85,"64' 3""",1028.167,16,+2
75,T75,T75,Mathew Goggin,72,"64' 3""",900.0,14,E
76,77,77,Mark O'Meara,52,"64' 4""",964.5,15,+8
77,78,78,Robert Allenby,79,"64' 5""",901.3330000000001,14,-4
78,79,79,Brett Quigley,109,"64' 6""",1611.5829999999999,25,+4
79,80,80,Dean Wilson,115,"64' 7""",1355.75,21,+3
80,81,81,D.A. Points,82,"64' 8""",775.5830000000001,12,-2
81,82,82,Michael Connell,51,"64' 9""",777.1669999999999,12,+2
82,83,83,Phil Mickelson,74,"65' 0""",1039.833,16,-2
83,T84,T84,Chris Couch,75,"65' 1""",1367.3329999999999,21,+7
84,T84,T84,Tag Ridings,103,"65' 1""",1431.9170000000001,22,-2
85,86,86,Jeff Overton,95,"65' 2""",1563.3329999999999,24,-2
86,T87,T87,Billy Andrade,78,"65' 3""",1044.417,16,+2
87,T87,T87,Craig Barlow,77,"65' 3""",1240.0,19,+2
88,89,89,Ryuji Imada,105,"65' 5""",1963.5829999999999,30,+7
89,90,90,Jason Schultz,77,"65' 6""",1375.9170000000001,21,-3
90,91,91,Brandt Jobe,91,"65' 9""",920.0830000000001,14,+1
91,92,92,Tim Clark,80,"65' 10""",1118.667,17,+5
92,93,93,Stewart Cink,93,"65' 11""",1384.9170000000001,21,-1
93,94,94,Tom Lehman,70,"66' 0""",1055.917,16,+1
94,95,95,John Huston,74,"66' 2""",595.1669999999999,9,+4
95,96,96,David Howell,52,"66' 5""",531.5830000000001,8,+3
96,97,97,Jason Bohn,104,"66' 6""",1130.75,17,+2
97,98,98,Tommy Armour III,65,"66' 7""",599.5830000000001,9,+5
98,T99,T99,Robert Garrigus,85,"66' 10""",1203.25,18,+7
99,T99,T99,Greg Kraft,79,"66' 10""",601.75,9,+3
100,T101,T101,Michael Allen,84,"67' 2""",1612.8329999999999,24,+6
101,T101,T101,Jeff Maggert,81,"67' 2""",873.25,13,+6
102,T101,T101,Tjaart van der Walt,60,"67' 2""",1007.75,15,+1
103,T104,T104,K.J. Choi,93,"67' 4""",1345.9170000000001,20,+1
104,T104,T104,Todd Fischer,101,"67' 4""",1482.0829999999999,22,+11
105,106,106,José María Olazábal,62,"67' 7""",405.25,6,+4
106,T107,T107,Paul Azinger,87,"68' 0""",1768.75,26,+12
107,T107,T107,Shane Bertsch,104,"68' 0""",1496.5829999999999,22,+7
108,T107,T107,Scott Gutschewski,53,"68' 0""",476.0,7,-2
109,T107,T107,Scott Verplank,88,"68' 0""",747.75,11,+4
110,111,111,Greg Owen,79,"68' 1""",952.6669999999999,14,+3
111,112,112,Hidemichi Tanaka,74,"68' 2""",1091.0,16,+7
112,113,113,Bob Tway,81,"68' 4""",1092.917,16,+2
113,114,114,Chad Campbell,91,"68' 5""",1230.917,18,-3
114,T115,T115,Will MacKenzie,91,"68' 6""",1027.417,15,+4
115,T115,T115,Kevin Sutherland,100,"68' 6""",822.0830000000001,12,E
116,117,117,David Duval,71,"68' 7""",1302.667,19,+6
117,118,118,Mark Brooks,90,"68' 8""",1372.8329999999999,20,+3
118,119,119,Ian Leggatt,80,"68' 9""",1375.6670000000001,20,+8
119,120,120,Hunter Mahan,98,"68' 10""",1307.667,19,E
120,121,121,Luke Donald,66,"68' 11""",482.5,7,+2
121,T122,T122,Steve Jones,83,"69' 0""",1517.3329999999999,22,+7
