,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,T1,T1,Steve Stricker,64,"31' 7""",29378.917,930,24
1,T1,T1,Tiger Woods,55,"31' 7""",21020.917,665,1
2,3,3,Jim Furyk,89,"31' 8""",38404.75,1214,4
3,4,4,Tim Clark,80,"32' 0""",33312.083,1041,80
4,5,5,Scott Verplank,88,"32' 2""",39271.667,1221,77
5,T6,T6,Fred Funk,106,"32' 3""",49109.417,1524,65
6,T6,T6,Kenny Perry,73,"32' 3""",34651.5,1074,15
7,T6,T6,Heath Slocum,96,"32' 3""",48477.083,1504,34
8,T9,T9,Justin Rose,98,"32' 6""",50037.417,1540,29
9,T9,T9,Kirk Triplett,58,"32' 6""",28445.833,876,104
10,11,11,Omar Uresti,61,"32' 7""",29661.833,911,64
11,12,12,Robert Gamez,94,"32' 9""",48114.167,1469,115
12,13,13,Chris DiMarco,83,"32' 11""",35836.583,1090,60
13,14,14,Stewart Cink,93,"33' 3""",43605.917,1311,114
14,15,15,Bart Bryant,87,"33' 6""",42659.5,1275,16
15,T16,T16,Bob May,65,"33' 7""",32216.583,960,13
16,T16,T16,Ian Poulter,53,"33' 7""",25285.583,752,75
17,T16,T16,Joey Sindelar,90,"33' 7""",45748.667,1363,17
18,T19,T19,Brian Gay,107,"33' 9""",60277.333,1788,153
19,T19,T19,Adam Scott,70,"33' 9""",30995.25,918,12
20,T19,T19,Jerry Smith,94,"33' 9""",50921.5,1510,55
21,T22,T22,J.P. Hayes,55,"33' 10""",30114.833,890,127
22,T22,T22,Jeff Sluman,101,"33' 10""",50327.917,1486,108
23,T24,T24,Briny Baird,81,"33' 11""",42550.417,1256,5
24,T24,T24,Padraig Harrington,54,"33' 11""",23101.833,681,109
25,T24,T24,David Toms,76,"33' 11""",37646.0,1110,71
26,T27,T27,Olin Browne,108,"34' 0""",52306.5,1537,126
27,T27,T27,Skip Kendall,72,"34' 0""",35700.167,1049,43
28,T27,T27,Justin Leonard,83,"34' 0""",39569.583,1163,149
29,T30,T30,John Cook,67,"34' 1""",33506.75,983,67
30,T30,T30,Trevor Immelman,86,"34' 1""",44674.25,1310,14
31,T30,T30,Zach Johnson,98,"34' 1""",47096.0,1381,49
32,T30,T30,Corey Pavin,74,"34' 1""",34928.5,1026,145
33,34,34,Woody Austin,107,"34' 2""",56905.417,1664,167
34,35,35,Greg Kraft,79,"34' 3""",41077.917,1200,164
35,T36,T36,Alex Cejka,93,"34' 4""",49012.583,1429,35
36,T36,T36,Joe Durant,101,"34' 4""",59122.75,1720,6
37,T36,T36,Rory Sabbatini,84,"34' 4""",39298.25,1145,122
38,T36,T36,Patrick Sheehan,104,"34' 4""",53515.833,1557,139
39,T40,T40,Chad Campbell,91,"34' 5""",41397.583,1204,38
40,T40,T40,Robert Damron,91,"34' 5""",50584.417,1470,146
