,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Jim Furyk,89,31.62,86,272
1,2,2,Pat Perez,50,30.25,49,162
2,3,3,Adam Scott,70,30.05,64,213
3,4,4,J.P. Hayes,55,29.96,77,257
4,5,5,Vaughn Taylor,88,29.91,102,341
5,6,6,Tiger Woods,55,29.23,38,130
6,7,7,Padraig Harrington,54,28.85,45,156
7,8,8,Jerry Smith,94,27.84,103,370
8,9,9,Trevor Immelman,86,27.42,85,310
9,10,10,Paul Goydos,72,27.31,74,271
10,11,11,Arron Oberholser,82,26.91,67,249
11,12,12,Shane Bertsch,104,26.84,113,421
12,13,13,Tim Clark,80,26.74,69,258
13,14,14,Kirk Triplett,58,26.7,59,221
14,15,15,Greg Owen,79,26.64,61,229
15,16,16,Ian Poulter,53,26.59,46,173
16,17,17,Ryuji Imada,105,26.55,94,354
17,18,18,K.J. Choi,93,26.44,87,329
18,T19,T19,Greg Kraft,79,26.3,86,327
19,T19,T19,Daisuke Maruyama,83,26.3,76,289
20,21,21,Phil Mickelson,74,26.27,57,217
21,22,22,Alex Cejka,93,26.23,85,324
22,T23,T23,Briny Baird,81,26.16,79,302
23,T23,T23,Todd Fischer,101,26.16,96,367
24,25,25,Rory Sabbatini,84,26.07,67,257
25,26,26,Scott Verplank,88,26.03,76,292
26,27,27,Ben Curtis,86,25.95,68,262
27,28,28,Sergio Garcia,59,25.9,43,166
28,29,29,Eric Axley,91,25.81,88,341
29,30,30,Fred Funk,106,25.71,99,385
30,31,31,David McKenzie,82,25.7,83,323
31,32,32,Chris Couch,75,25.68,76,296
32,33,33,Frank Lickliter II,99,25.62,93,363
33,34,34,Tom Pernice Jr.,108,25.41,77,303
34,35,35,Steve Stricker,64,25.4,63,248
35,36,36,Woody Austin,107,25.13,98,390
36,37,37,Brian Gay,107,25.11,110,438
37,38,38,John Senden,96,24.93,89,357
38,39,39,Justin Leonard,83,24.92,75,301
39,T40,T40,Lucas Glover,105,24.87,97,390
40,T40,T40,Joe Ogilvie,95,24.87,97,390
41,T42,T42,Nathan Green,108,24.84,80,322
42,T42,T42,Mark O'Meara,52,24.84,40,161
43,44,44,Stephen Leaney,84,24.75,73,295
44,45,45,Lee Janzen,79,24.73,68,275
45,46,46,Ernie Els,69,24.69,40,162
46,47,47,Rod Pampling,89,24.67,74,300
47,T48,T48,Omar Uresti,61,24.49,60,245
48,T48,T48,Vance Veazey,59,24.49,60,245
49,T50,T50,Michael Connell,51,24.48,47,192
50,T50,T50,David Toms,76,24.48,70,286
51,52,52,Bart Bryant,87,24.43,75,307
52,53,53,Daniel Chopra,110,24.42,94,385
53,54,54,Bernhard Langer,77,24.37,58,238
54,55,55,Nick Watney,97,24.35,75,308
55,56,56,Justin Rose,98,24.33,91,374
56,57,57,Bob Estes,85,24.26,74,305
57,58,58,Freddie Jacobson,56,24.15,57,236
58,59,59,Robert Allenby,79,24.1,47,195
59,60,60,Stewart Cink,93,23.92,72,301
60,T61,T61,Ryan Moore,68,23.73,56,236
61,T61,T61,Jeff Sluman,101,23.73,84,354
62,63,63,Bo Van Pelt,102,23.7,96,405
63,64,64,Skip Kendall,72,23.67,67,283
64,65,65,Will MacKenzie,91,23.58,79,335
