,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,Tiger Woods,55,"27' 2""",498,13548.667,-101.00
1,T2,T2,Stewart Cink,93,"28' 6""",968,27580.917,-114.00
2,T2,T2,Phil Mickelson,74,"28' 6""",596,16997.333,-86.00
3,T2,T2,Kenny Perry,73,"28' 6""",846,24078.917,-52.00
4,5,5,Scott Verplank,88,"28' 7""",1020,29172.75,-87.00
5,T6,T6,Chad Campbell,91,"28' 9""",891,25636.25,-58.00
6,T6,T6,Jim Furyk,89,"28' 9""",1019,29328.75,-175.00
7,T8,T8,Tim Clark,80,"29' 1""",835,24259.417,-66.00
8,T8,T8,Justin Rose,98,"29' 1""",1178,34242.25,-121.00
9,T8,T8,Heath Slocum,96,"29' 1""",1239,36040.0,-66.00
10,11,11,Steve Stricker,64,"29' 4""",733,21515.5,-114.00
11,12,12,Adam Scott,70,"29' 5""",692,20351.417,-99.00
12,T13,T13,Robert Garrigus,85,"29' 6""",933,27515.833,-38.00
13,T13,T13,Omar Uresti,61,"29' 6""",733,21646.75,-49.00
14,T15,T15,Chris DiMarco,83,"29' 8""",833,24734.417,-43.00
15,T15,T15,Bob May,65,"29' 8""",712,21142.583,-45.00
16,17,17,Jerry Smith,94,"29' 9""",1223,36424.417,-78.00
17,T18,T18,Fred Funk,106,"29' 11""",1287,38449.167,-73.00
18,T18,T18,Robert Gamez,94,"29' 11""",1183,35387.833,-60.00
19,T20,T20,Woody Austin,107,"30' 0""",1222,36641.917,-88.00
20,T20,T20,Zach Johnson,98,"30' 0""",1090,32690.0,-101.00
21,T22,T22,Trevor Immelman,86,"30' 2""",986,29715.5,-124.00
22,T22,T22,Brett Wetterich,82,"30' 2""",972,29324.083,-101.00
23,T24,T24,Retief Goosen,68,"30' 3""",593,17925.083,-57.00
24,T24,T24,Arron Oberholser,82,"30' 3""",832,25156.167,-84.00
25,T26,T26,Brian Gay,107,"30' 4""",1425,43221.75,-143.00
26,T26,T26,Joey Sindelar,90,"30' 4""",1074,32605.25,-53.00
27,T28,T28,Davis Love III,85,"30' 6""",723,22068.167,-84.00
28,T28,T28,Rory Sabbatini,84,"30' 6""",806,24590.0,-67.00
29,T28,T28,David Toms,76,"30' 6""",866,26412.75,-90.00
30,T31,T31,J.P. Hayes,55,"30' 7""",711,21749.667,-35.00
31,T31,T31,Stephen Leaney,84,"30' 7""",1091,33324.333,-101.00
32,T33,T33,Stephen Ames,63,"30' 8""",601,18442.833,-67.00
33,T33,T33,Ernie Els,69,"30' 8""",594,18230.167,-68.00
34,T33,T33,Brandt Jobe,91,"30' 8""",954,29249.833,-75.00
35,T33,T33,Corey Pavin,74,"30' 8""",818,25061.417,-53.00
36,T33,T33,John Senden,96,"30' 8""",1086,33332.0,-103.00
37,T33,T33,Jeff Sluman,101,"30' 8""",1145,35135.333,-93.00
38,T33,T33,Kirk Triplett,58,"30' 8""",721,22116.417,-38.00
39,T40,T40,David Duval,71,"30' 9""",657,20192.583,-14.00
40,T40,T40,Scott Gutschewski,53,"30' 9""",619,19045.0,-31.00
41,T40,T40,J.J. Henry,96,"30' 9""",1029,31616.167,-90.00
42,T40,T40,Skip Kendall,72,"30' 9""",860,26480.5,-69.00
43,T44,T44,Alex Cejka,93,"30' 10""",1097,33792.583,-79.00
44,T44,T44,Kris Cox,83,"30' 10""",951,29328.167,-52.00
45,T44,T44,Charles Warren,93,"30' 10""",1107,34151.333,-78.00
46,T47,T47,Tommy Armour III,65,"30' 11""",733,22653.75,-25.00
47,T47,T47,J.B. Holmes,81,"30' 11""",776,23982.333,-61.00
48,T47,T47,Shaun Micheel,96,"30' 11""",1037,32098.0,-98.00
49,T47,T47,Mark Wilson,79,"30' 11""",1032,31911.833,-85.00
50,T51,T51,Robert Allenby,79,"31' 0""",838,25991.25,-79.00
51,T51,T51,Olin Browne,108,"31' 0""",1247,38644.75,-78.00
52,T51,T51,Bart Bryant,87,"31' 0""",1050,32517.75,-58.00
53,T51,T51,José María Olazábal,62,"31' 0""",526,16293.75,-48.00
54,T51,T51,Bubba Watson,83,"31' 0""",873,27037.5,-89.00
55,T56,T56,Shane Bertsch,104,"31' 1""",1263,39245.833,-51.00
56,T56,T56,John Cook,67,"31' 1""",794,24676.583,-49.00
57,T56,T56,Robert Damron,91,"31' 1""",1136,35287.667,-27.00
58,T56,T56,Padraig Harrington,54,"31' 1""",513,15949.75,-60.00
59,T56,T56,Ian Poulter,53,"31' 1""",611,18989.0,-46.00
60,T61,T61,Michael Allen,84,"31' 2""",912,28447.417,-85.00
61,T61,T61,Michael Connell,51,"31' 2""",561,17479.167,+3.00
62,T61,T61,Luke Donald,66,"31' 2""",617,19253.333,-82.00
63,T61,T61,David Howell,52,"31' 2""",415,12942.833,-45.00
64,T61,T61,Bo Van Pelt,102,"31' 2""",1176,36635.25,-92.00
65,T66,T66,Justin Leonard,83,"31' 3""",930,29030.333,-35.00
66,T66,T66,Patrick Sheehan,104,"31' 3""",1205,37643.25,+4.00
67,T66,T66,Vaughn Taylor,88,"31' 3""",1075,33550.917,-94.00
68,T66,T66,Mike Weir,88,"31' 3""",859,26869.083,-74.00
69,T70,T70,K.J. Choi,93,"31' 4""",1094,34233.917,-93.00
70,T70,T70,Ben Curtis,86,"31' 4""",939,29393.25,-50.00
71,T70,T70,Jerry Kelly,100,"31' 4""",1193,37420.333,-123.00
72,T70,T70,Greg Kraft,79,"31' 4""",959,30080.5,-35.00
73,T70,T70,Joe Ogilvie,95,"31' 4""",1040,32581.5,-75.00
74,T70,T70,Camilo Villegas,95,"31' 4""",1053,33036.167,-93.00
75,T76,T76,Rich Beem,85,"31' 5""",844,26503.167,-76.00
76,T76,T76,Jeff Gove,91,"31' 5""",1117,35080.5,-96.00
77,T76,T76,Paul Goydos,72,"31' 5""",926,29055.583,-47.00
78,T79,T79,Jason Bohn,104,"31' 6""",1260,39714.833,-102.00
79,T79,T79,Jonathan Byrd,66,"31' 6""",735,23158.167,-82.00
80,T79,T79,Tim Herron,82,"31' 6""",783,24680.25,-25.00
81,T79,T79,Freddie Jacobson,56,"31' 6""",712,22428.333,-47.00
82,T83,T83,David Branshaw,98,"31' 7""",1218,38465.667,-97.00
83,T83,T83,Harrison Frazar,95,"31' 7""",963,30378.667,-91.00
84,T83,T83,Sergio Garcia,59,"31' 7""",520,16441.583,-41.00
85,T83,T83,Lucas Glover,105,"31' 7""",1164,36735.75,-132.00
86,T83,T83,Ryan Moore,68,"31' 7""",792,25011.5,-55.00
87,88,88,Arjun Atwal,97,"31' 8""",1105,34958.833,-32.00
88,T89,T89,Billy Andrade,78,"31' 9""",801,25441.167,-38.00
89,T89,T89,Bob Estes,85,"31' 9""",1063,33770.833,-63.00
90,T89,T89,Ryan Palmer,101,"31' 9""",1072,34069.417,-57.00
91,T89,T89,Vijay Singh,103,"31' 9""",1071,34041.083,-109.00
92,T89,T89,Ron Whittaker,81,"31' 9""",1007,31933.417,-45.00
93,T94,T94,Steve Flesch,119,"31' 10""",1432,45613.0,-103.00
94,T94,T94,Jonathan Kaye,95,"31' 10""",1182,37635.917,-44.00
95,T94,T94,Thomas Levet,53,"31' 10""",650,20687.583,-20.00
96,T94,T94,Will MacKenzie,91,"31' 10""",1015,32290.25,-68.00
97,T98,T98,Dudley Hart,83,"31' 11""",918,29314.917,-38.00
98,T98,T98,John Huston,74,"31' 11""",850,27151.667,-40.00
99,T98,T98,Rod Pampling,89,"31' 11""",874,27891.0,-95.00
100,101,101,Stuart Appleby,83,"32' 0""",836,26736.5,-70.00
101,T102,T102,Briny Baird,81,"32' 1""",1023,32804.75,-72.00
102,T102,T102,Joe Durant,101,"32' 1""",1459,46810.917,-91.00
103,T102,T102,Lee Janzen,79,"32' 1""",905,29059.25,-24.00
104,T102,T102,Tom Lehman,70,"32' 1""",638,20492.917,-15.00
105,T102,T102,Ted Purdy,103,"32' 1""",1109,35549.5,-78.00
106,T102,T102,"Wes Short, Jr.",96,"32' 1""",1080,34639.75,-17.00
