,GIR_Percentage_-_175-200_yards_RANK THIS WEEK,GIR_Percentage_-_175-200_yards_RANK LAST WEEK,GIR_Percentage_-_175-200_yards_PLAYER NAME,GIR_Percentage_-_175-200_yards_ROUNDS,GIR_Percentage_-_175-200_yards_%,GIR_Percentage_-_175-200_yards_GREENS HIT,GIR_Percentage_-_175-200_yards_TOTAL HOLES,GIR_Percentage_-_175-200_yards_RELATIVE TO PAR
0,1,1,Tiger Woods,55,75.49,77,102,-0.21
1,2,2,Charles Warren,93,64.35,139,216,-0.11
2,3,3,Trevor Immelman,86,64.22,140,218,-0.11
3,4,4,Greg Owen,79,62.71,111,177,-0.19
4,5,5,J.B. Holmes,81,62.69,84,134,-0.07
5,6,6,Brandt Jobe,91,62.33,134,215,-0.15
6,7,7,Chad Campbell,91,62.2,130,209,-0.09
7,8,8,Bob May,65,61.87,86,139,-0.26
8,9,9,Heath Slocum,96,61.83,162,262,-0.09
9,10,10,K.J. Choi,93,61.36,162,264,-0.14
10,11,11,Brett Wetterich,82,61.11,121,198,-0.12
11,12,12,Jim Furyk,89,61.06,138,226,-0.14
12,13,13,Vijay Singh,103,61.04,141,231,-0.19
13,14,14,Briny Baird,81,60.77,127,209,-0.13
14,15,15,Nick Watney,97,60.68,142,234,-0.04
15,16,16,Alex Cejka,93,60.57,149,246,-0.13
16,17,17,Sergio Garcia,59,60.36,67,111,-0.07
17,T18,T18,Bart Bryant,87,60.31,155,257,-0.10
18,T18,T18,Bob Estes,85,60.31,155,257,-0.08
19,T20,T20,Robert Allenby,79,60.2,121,201,-0.16
20,T20,T20,Arron Oberholser,82,60.2,121,201,-0.10
21,22,22,Thomas Levet,53,60.12,101,168,-0.12
22,23,23,Joey Sindelar,90,59.92,145,242,-0.09
23,24,24,Chris DiMarco,83,59.81,128,214,-0.22
24,25,25,Lucas Glover,105,59.73,132,221,-0.14
25,26,26,Kenny Perry,73,59.64,99,166,-0.15
26,27,27,Scott Verplank,88,59.51,147,247,-0.14
27,28,28,Justin Rose,98,59.47,157,264,-0.13
28,29,29,Bo Van Pelt,102,59.44,148,249,-0.11
29,30,30,Steve Stricker,64,59.33,89,150,-0.21
30,31,31,John Senden,96,59.24,141,238,-0.09
31,32,32,David Branshaw,98,59.09,169,286,-0.09
