,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,T1,T1,Woody Austin,107,20
1,T1,T1,Shane Bertsch,104,20
2,T3,T3,Ryuji Imada,105,18
3,T3,T3,John Rollins,93,18
4,T5,T5,Jerry Kelly,100,17
5,T5,T5,Daisuke Maruyama,83,17
6,T5,T5,Tim Petrovic,95,17
7,T5,T5,Patrick Sheehan,104,17
8,T9,T9,Brian Davis,92,16
9,T9,T9,Bubba Dickerson,98,16
10,T9,T9,Charley Hoffman,100,16
11,T9,T9,Ted Purdy,103,16
12,T13,T13,Stuart Appleby,83,15
13,T13,T13,Eric Axley,91,15
14,T13,T13,Robert Damron,91,15
15,T13,T13,Marco Dawson,87,15
16,T13,T13,Brian Gay,107,15
17,T13,T13,Nathan Green,108,15
18,T13,T13,Vaughn Taylor,88,15
19,T13,T13,D.J. Trahan,92,15
20,T13,T13,Charles Warren,93,15
21,T22,T22,Olin Browne,108,14
22,T22,T22,Daniel Chopra,110,14
23,T22,T22,Todd Fischer,101,14
24,T22,T22,Robert Garrigus,85,14
25,T22,T22,Jeff Maggert,81,14
26,T22,T22,Heath Slocum,96,14
27,T22,T22,Nick Watney,97,14
28,T22,T22,Dean Wilson,115,14
29,T30,T30,Arjun Atwal,97,13
30,T30,T30,Ben Crane,85,13
31,T30,T30,Steve Flesch,119,13
32,T30,T30,Lucas Glover,105,13
33,T30,T30,Bill Haas,99,13
34,T30,T30,J.J. Henry,96,13
35,T30,T30,John Huston,74,13
36,T30,T30,Zach Johnson,98,13
37,T30,T30,Greg Kraft,79,13
38,T30,T30,Troy Matteson,101,13
39,T30,T30,Rod Pampling,89,13
40,T30,T30,Chris Riley,86,13
41,T30,T30,Rory Sabbatini,84,13
42,T43,T43,Jason Bohn,104,12
43,T43,T43,Alex Cejka,93,12
44,T43,T43,Ernie Els,69,12
45,T43,T43,Jim Furyk,89,12
46,T43,T43,Frank Lickliter II,99,12
47,T43,T43,Billy Mayfair,94,12
48,T43,T43,Ryan Palmer,101,12
49,T43,T43,Tag Ridings,103,12
50,T43,T43,Adam Scott,70,12
51,T43,T43,Steve Stricker,64,12
52,T43,T43,Kevin Sutherland,100,12
53,T43,T43,Bo Van Pelt,102,12
54,T55,T55,Michael Allen,84,11
55,T55,T55,Craig Barlow,77,11
56,T55,T55,Rich Beem,85,11
57,T55,T55,David Branshaw,98,11
58,T55,T55,Mark Brooks,90,11
59,T55,T55,Mark Calcavecchia,94,11
60,T55,T55,Chad Campbell,91,11
61,T55,T55,Kris Cox,83,11
62,T55,T55,Luke Donald,66,11
63,T55,T55,Harrison Frazar,95,11
64,T55,T55,Dudley Hart,83,11
65,T55,T55,Steve Jones,83,11
66,T55,T55,Jonathan Kaye,95,11
67,T55,T55,Ian Leggatt,80,11
68,T55,T55,Bob May,65,11
69,T55,T55,John Senden,96,11
70,T55,T55,Kirk Triplett,58,11
71,T55,T55,Omar Uresti,61,11
72,T55,T55,Camilo Villegas,95,11
73,T55,T55,Brett Wetterich,82,11
74,T75,T75,Paul Azinger,87,10
75,T75,T75,Aaron Baddeley,78,10
76,T75,T75,K.J. Choi,93,10
77,T75,T75,Brad Faxon,78,10
78,T75,T75,Jeff Gove,91,10
79,T75,T75,Freddie Jacobson,56,10
80,T75,T75,Will MacKenzie,91,10
81,T75,T75,Hunter Mahan,98,10
82,T75,T75,Shaun Micheel,96,10
83,T75,T75,Corey Pavin,74,10
84,T75,T75,Kenny Perry,73,10
85,T75,T75,Carl Pettersson,95,10
86,T75,T75,Justin Rose,98,10
87,T75,T75,Jeff Sluman,101,10
88,T75,T75,Nicholas Thompson,96,10
89,T75,T75,David Toms,76,10
90,T75,T75,Mike Weir,88,10
91,T92,T92,Briny Baird,81,9
92,T92,T92,Brian Bateman,69,9
93,T92,T92,James Driscoll,80,9
94,T92,T92,Joe Durant,101,9
95,T92,T92,David Duval,71,9
96,T92,T92,Bob Estes,85,9
97,T92,T92,Fred Funk,106,9
98,T92,T92,Paul Goydos,72,9
99,T92,T92,Richard Johnson,94,9
100,T92,T92,Steve Lowery,99,9
101,T92,T92,Jon Mills,68,9
102,T92,T92,Jeff Overton,95,9
103,T92,T92,Brett Quigley,109,9
104,T92,T92,"Wes Short, Jr.",96,9
105,T92,T92,Vance Veazey,59,9
106,T107,T107,Jonathan Byrd,66,8
107,T107,T107,Danny Ellis,68,8
108,T107,T107,Carlos Franco,86,8
109,T107,T107,Retief Goosen,68,8
110,T107,T107,Jason Gore,86,8
111,T107,T107,Mathias Grönberg,92,8
112,T107,T107,Todd Hamilton,72,8
113,T107,T107,Charles Howell III,96,8
114,T107,T107,Trevor Immelman,86,8
115,T107,T107,Kent Jones,103,8
116,T107,T107,Greg Owen,79,8
117,T107,T107,Pat Perez,50,8
118,T107,T107,D.A. Points,82,8
119,T107,T107,Ian Poulter,53,8
120,T107,T107,Jason Schultz,77,8
121,T107,T107,Chris Smith,67,8
122,T107,T107,Bob Tway,81,8
123,T107,T107,Jimmy Walker,60,8
124,T125,T125,Billy Andrade,78,7
125,T125,T125,Jeff Brehaut,100,7
126,T125,T125,Greg Chalmers,71,7
127,T125,T125,Chris Couch,75,7
128,T125,T125,Robert Gamez,94,7
129,T125,T125,Sergio Garcia,59,7
130,T125,T125,Matt Hansen,68,7
131,T125,T125,J.P. Hayes,55,7
132,T125,T125,Stephen Leaney,84,7
133,T125,T125,Justin Leonard,83,7
134,T125,T125,Davis Love III,85,7
135,T125,T125,Jesper Parnevik,84,7
136,T125,T125,Vijay Singh,103,7
137,T125,T125,Jerry Smith,94,7
138,T125,T125,Mike Sposa,68,7
139,T125,T125,Hidemichi Tanaka,74,7
140,T141,T141,Robert Allenby,79,6
141,T141,T141,Doug Barron,74,6
142,T141,T141,Henrik Bjornstad,97,6
143,T141,T141,Bart Bryant,87,6
144,T141,T141,"John Engler, Jr.",69,6
145,T141,T141,Brent Geiberger,99,6
146,T141,T141,Scott Gutschewski,53,6
147,T141,T141,Brandt Jobe,91,6
148,T141,T141,Peter Lonard,77,6
149,T141,T141,Shigeki Maruyama,94,6
150,T141,T141,David McKenzie,82,6
151,T141,T141,Arron Oberholser,82,6
152,T141,T141,Joe Ogilvie,95,6
153,T141,T141,Tom Pernice Jr.,108,6
154,T141,T141,Paul Stankowski,70,6
155,T141,T141,Scott Verplank,88,6
156,T141,T141,Duffy Waldorf,96,6
157,T141,T141,Ron Whittaker,81,6
158,T141,T141,Tiger Woods,55,6
159,T160,T160,Tommy Armour III,65,5
160,T160,T160,Stewart Cink,93,5
161,T160,T160,Tim Clark,80,5
162,T160,T160,Michael Connell,51,5
163,T160,T160,John Cook,67,5
164,T160,T160,Steve Elkington,52,5
165,T160,T160,Tim Herron,82,5
166,T160,T160,Ryan Hietala,61,5
167,T160,T160,Lee Janzen,79,5
168,T160,T160,Skip Kendall,72,5
169,T160,T160,Thomas Levet,53,5
170,T160,T160,J.L. Lewis,57,5
171,T160,T160,Roger Tambellini,64,5
172,T160,T160,Bubba Watson,83,5
173,T174,T174,Alex Aragon,63,4
174,T174,T174,Fred Couples,52,4
175,T174,T174,Ben Curtis,86,4
176,T174,T174,Mathew Goggin,72,4
177,T174,T174,Padraig Harrington,54,4
178,T174,T174,J.B. Holmes,81,4
179,T174,T174,Bernhard Langer,77,4
180,T174,T174,Len Mattiace,59,4
181,T174,T174,Phil Mickelson,74,4
182,T174,T174,Larry Mize,53,4
183,T174,T174,Sean O'Hair,100,4
184,T174,T174,Mark O'Meara,52,4
185,T174,T174,José María Olazábal,62,4
186,T174,T174,Mark Wilson,79,4
187,T188,T188,John Daly,51,3
188,T188,T188,Chris DiMarco,83,3
189,T188,T188,Tom Lehman,70,3
190,T188,T188,Ryan Moore,68,3
191,T188,T188,Geoff Ogilvy,76,3
192,T188,T188,Tjaart van der Walt,60,3
