,Approach_225-250_yards_RTP_RANK THIS WEEK,Approach_225-250_yards_RTP_RANK LAST WEEK,Approach_225-250_yards_RTP_PLAYER NAME,Approach_225-250_yards_RTP_ROUNDS,Approach_225-250_yards_RTP_AVG RTP
0,1,1,Davis Love III,85,-.458
1,2,2,Phil Mickelson,74,-.444
2,3,3,Stephen Ames,63,-.442
3,4,4,Mathew Goggin,72,-.388
4,5,5,Jonathan Byrd,66,-.386
5,6,6,Vaughn Taylor,88,-.383
6,7,7,Kevin Sutherland,100,-.381
7,8,8,Ian Poulter,53,-.375
8,9,9,Lucas Glover,105,-.365
9,10,10,Heath Slocum,96,-.362
10,11,11,Sean O'Hair,100,-.360
11,12,12,Craig Barlow,77,-.358
12,13,13,Ernie Els,69,-.354
13,14,14,Steve Stricker,64,-.353
14,15,15,Joe Durant,101,-.347
15,T16,T16,Scott Gutschewski,53,-.333
16,T16,T16,Trevor Immelman,86,-.333
17,18,18,Zach Johnson,98,-.329
18,19,19,Charles Warren,93,-.324
19,20,20,Tom Pernice Jr.,108,-.321
20,T21,T21,Michael Allen,84,-.319
21,T21,T21,Jim Furyk,89,-.319
22,T23,T23,John Daly,51,-.318
23,T23,T23,Jimmy Walker,60,-.318
24,25,25,John Senden,96,-.313
25,T26,T26,Rich Beem,85,-.311
26,T26,T26,Kent Jones,103,-.311
27,28,28,Bo Van Pelt,102,-.306
28,T29,T29,Jerry Kelly,100,-.300
29,T29,T29,Hunter Mahan,98,-.300
30,T31,T31,Charles Howell III,96,-.299
31,T31,T31,Justin Rose,98,-.299
32,T33,T33,Harrison Frazar,95,-.297
33,T33,T33,Billy Mayfair,94,-.297
34,35,35,Ben Crane,85,-.294
35,36,36,Charley Hoffman,100,-.292
36,37,37,John Cook,67,-.290
37,38,38,Will MacKenzie,91,-.286
38,39,39,Carlos Franco,86,-.284
39,40,40,David Toms,76,-.283
40,T41,T41,Luke Donald,66,-.282
41,T41,T41,Retief Goosen,68,-.282
42,43,43,Frank Lickliter II,99,-.281
43,44,44,Nick Watney,97,-.280
44,45,45,John Rollins,93,-.278
45,46,46,Padraig Harrington,54,-.276
