,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Padraig Harrington,54,"34' 2""",74,2528.0,3.0
1,T2,T2,Michael Allen,84,"35' 4""",145,5118.0,21.0
2,T2,T2,Tiger Woods,55,"35' 4""",58,2047.25,-6.0
3,4,4,Kirk Triplett,58,"35' 6""",55,1954.5829999999999,4.0
4,5,5,Briny Baird,81,"35' 10""",98,3511.083,-1.0
5,6,6,Doug Barron,74,"37' 6""",108,4051.25,23.0
6,7,7,Rory Sabbatini,84,"37' 7""",130,4887.417,12.0
7,T8,T8,Alex Cejka,93,"38' 4""",162,6205.6669999999995,28.0
8,T8,T8,Vijay Singh,103,"38' 4""",161,6177.25,9.0
9,10,10,Frank Lickliter II,99,"38' 5""",113,4342.583,12.0
10,11,11,Brian Davis,92,"38' 9""",109,4226.667,17.0
11,T12,T12,Kris Cox,83,"38' 11""",121,4713.75,16.0
12,T12,T12,Greg Kraft,79,"38' 11""",95,3697.75,15.0
13,14,14,Jon Mills,68,"39' 0""",102,3978.083,22.0
14,15,15,Greg Owen,79,"39' 3""",107,4199.333,3.0
15,16,16,Steve Stricker,64,"39' 5""",78,3077.167,1.0
16,17,17,Todd Fischer,101,"39' 7""",150,5934.0830000000005,20.0
17,T18,T18,Jason Bohn,104,"39' 9""",113,4494.583,13.0
18,T18,T18,Danny Ellis,68,"39' 9""",94,3735.167,13.0
19,20,20,David Toms,76,"39' 11""",74,2953.167,7.0
20,21,21,Mark Calcavecchia,94,"40' 0""",104,4156.583,15.0
21,22,22,Bob Tway,81,"40' 1""",128,5132.25,28.0
22,23,23,Eric Axley,91,"40' 2""",134,5382.1669999999995,14.0
23,T24,T24,John Rollins,93,"40' 3""",96,3860.0,12.0
24,T24,T24,Nicholas Thompson,96,"40' 3""",129,5191.583,27.0
25,T26,T26,David Branshaw,98,"40' 4""",108,4360.167,9.0
26,T26,T26,John Daly,51,"40' 4""",70,2823.083,20.0
27,T26,T26,Kenny Perry,73,"40' 4""",105,4233.667,15.0
28,29,29,Matt Hansen,68,"40' 5""",118,4764.917,22.0
29,30,30,Jonathan Byrd,66,"40' 6""",79,3199.0,7.0
30,T31,T31,Jason Gore,86,"40' 8""",116,4714.667,16.0
31,T31,T31,Tim Herron,82,"40' 8""",125,5085.75,12.0
32,T31,T31,Trevor Immelman,86,"40' 8""",102,4146.167,8.0
33,T34,T34,Rich Beem,85,"41' 2""",114,4693.333,16.0
34,T34,T34,Ron Whittaker,81,"41' 2""",78,3212.417,22.0
35,T36,T36,Robert Gamez,94,"41' 4""",104,4298.083,23.0
36,T36,T36,Joe Ogilvie,95,"41' 4""",145,5987.5830000000005,25.0
37,T36,T36,Jeff Overton,95,"41' 4""",147,6075.3330000000005,17.0
38,T39,T39,Daniel Chopra,110,"41' 5""",160,6629.6669999999995,15.0
39,T39,T39,Justin Leonard,83,"41' 5""",80,3313.167,13.0
40,T39,T39,Ryan Palmer,101,"41' 5""",135,5593.9169999999995,20.0
41,T42,T42,Brian Gay,107,"41' 6""",137,5690.4169999999995,19.0
42,T42,T42,Larry Mize,53,"41' 6""",58,2405.167,10.0
43,T44,T44,Lucas Glover,105,"41' 7""",161,6699.75,33.0
44,T44,T44,J.B. Holmes,81,"41' 7""",123,5116.583,20.0
45,T46,T46,Bubba Dickerson,98,"41' 9""",139,5806.4169999999995,21.0
46,T46,T46,Jeff Sluman,101,"41' 9""",135,5640.0,16.0
47,T46,T46,Camilo Villegas,95,"41' 9""",156,6515.3330000000005,9.0
48,T49,T49,Bill Haas,99,"41' 10""",154,6443.8330000000005,7.0
49,T49,T49,Len Mattiace,59,"41' 10""",95,3974.333,16.0
50,T49,T49,Bubba Watson,83,"41' 10""",139,5813.25,6.0
51,T52,T52,Bob May,65,"42' 0""",121,5084.667,3.0
52,T52,T52,Roger Tambellini,64,"42' 0""",98,4112.333,14.0
53,T54,T54,Billy Andrade,78,"42' 1""",109,4590.167,19.0
54,T54,T54,Woody Austin,107,"42' 1""",142,5971.4169999999995,16.0
55,T54,T54,Troy Matteson,101,"42' 1""",176,7404.5830000000005,15.0
56,T54,T54,Adam Scott,70,"42' 1""",78,3280.75,12.0
57,58,58,Steve Flesch,119,"42' 2""",147,6199.25,7.0
58,T59,T59,David McKenzie,82,"42' 3""",97,4100.0,17.0
59,T59,T59,Chris Riley,86,"42' 3""",87,3678.25,5.0
60,T61,T61,Henrik Bjornstad,97,"42' 4""",148,6265.25,17.0
61,T61,T61,Charley Hoffman,100,"42' 4""",149,6312.4169999999995,20.0
62,T61,T61,Ryuji Imada,105,"42' 4""",183,7749.6669999999995,23.0
63,T61,T61,Shigeki Maruyama,94,"42' 4""",142,6010.3330000000005,9.0
64,T65,T65,Harrison Frazar,95,"42' 5""",118,5000.917,16.0
65,T65,T65,David Howell,52,"42' 5""",44,1866.1670000000001,12.0
66,T65,T65,Justin Rose,98,"42' 5""",154,6530.3330000000005,23.0
67,T68,T68,Alex Aragon,63,"42' 7""",117,4983.167,16.0
68,T68,T68,Ian Poulter,53,"42' 7""",39,1659.75,6.0
69,70,70,Joey Sindelar,90,"42' 9""",117,5004.917,30.0
70,T71,T71,Jeff Brehaut,100,"42' 10""",115,4926.5,8.0
71,T71,T71,Carlos Franco,86,"42' 10""",166,7109.5830000000005,23.0
72,T73,T73,Joe Durant,101,"42' 11""",98,4204.25,21.0
73,T73,T73,Paul Goydos,72,"42' 11""",84,3604.75,11.0
74,75,75,Davis Love III,85,"43' 1""",114,4915.5,17.0
75,76,76,Retief Goosen,68,"43' 2""",111,4790.75,16.0
76,T77,T77,John Cook,67,"43' 3""",83,3591.167,15.0
77,T77,T77,Nathan Green,108,"43' 3""",160,6921.0,16.0
78,T77,T77,Jerry Kelly,100,"43' 3""",112,4840.583,17.0
79,T77,T77,"Wes Short, Jr.",96,"43' 3""",164,7090.5,34.0
80,T81,T81,Chris DiMarco,83,"43' 4""",92,3987.0,21.0
