,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Tiger Woods,55,74.15,694,936,-0.34
1,2,2,Jeff Gove,91,72.03,1128,1566,-0.22
2,3,3,John Senden,96,71.15,1191,1674,-0.25
3,4,4,Jim Furyk,89,70.71,1120,1584,-0.29
4,5,5,Briny Baird,81,70.2,973,1386,-0.26
5,6,6,Joe Durant,101,69.75,1268,1818,-0.26
6,7,7,David Branshaw,98,69.67,1229,1764,-0.24
7,T8,T8,Jonathan Byrd,66,69.61,827,1188,-0.3
8,T8,T8,Steve Elkington,52,69.61,639,918,-0.21
9,10,10,Chris Smith,67,69.32,836,1206,-0.23
10,11,11,Arron Oberholser,82,69.27,985,1422,-0.26
11,12,12,Adam Scott,70,69.12,846,1224,-0.28
12,13,13,Bob May,65,69.09,771,1116,-0.25
13,14,14,Trevor Immelman,86,69.06,1069,1548,-0.28
14,15,15,Kenny Perry,73,68.75,891,1296,-0.22
15,16,16,Bart Bryant,87,68.67,1063,1548,-0.22
16,17,17,Joey Sindelar,90,68.64,1112,1620,-0.23
17,18,18,Greg Owen,79,68.54,950,1386,-0.25
18,19,19,Jonathan Kaye,95,68.42,1133,1656,-0.21
19,20,20,Kevin Sutherland,100,68.29,1180,1728,-0.25
20,21,21,Phil Mickelson,74,68.28,848,1242,-0.34
21,22,22,J.J. Henry,96,68.16,1141,1674,-0.26
22,23,23,K.J. Choi,93,68.12,1128,1656,-0.25
23,24,24,Steve Stricker,64,68.01,759,1116,-0.3
24,25,25,Will MacKenzie,91,67.99,1077,1584,-0.25
25,T26,T26,Frank Lickliter II,99,67.98,1187,1746,-0.27
26,T26,T26,Mark Wilson,79,67.98,930,1368,-0.27
27,28,28,Charles Warren,93,67.96,1101,1620,-0.25
28,T29,T29,Robert Allenby,79,67.89,941,1386,-0.3
29,T29,T29,Justin Rose,98,67.89,1161,1710,-0.29
30,T31,T31,Brett Quigley,109,67.83,1282,1890,-0.26
31,T31,T31,Vijay Singh,103,67.83,1221,1800,-0.29
32,33,33,Brett Wetterich,82,67.82,1001,1476,-0.3
33,34,34,Heath Slocum,96,67.8,1135,1674,-0.25
34,35,35,Alex Cejka,93,67.7,1109,1638,-0.26
35,36,36,Shaun Micheel,96,67.62,1132,1674,-0.26
36,37,37,Sergio Garcia,59,67.47,668,990,-0.26
37,38,38,Chad Campbell,91,67.43,1056,1566,-0.25
38,39,39,Hunter Mahan,98,67.4,1189,1764,-0.28
39,40,40,Lucas Glover,105,67.33,1224,1818,-0.3
40,41,41,Jeff Brehaut,100,67.3,1163,1728,-0.26
