,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,1,1,Tiger Woods,55,78.6,11,14,-2.00
1,T2,T2,Sergio Garcia,59,62.2,23,37,-5.00
2,T2,T2,Thomas Levet,53,62.2,28,45,-6.00
3,4,4,Robert Garrigus,85,62.0,31,50,-2.00
4,5,5,Steve Stricker,64,61.9,26,42,-7.00
5,6,6,Stephen Leaney,84,61.1,33,54,-10.00
6,7,7,Hunter Mahan,98,60.3,38,63,-3.00
7,8,8,Vaughn Taylor,88,60.0,39,65,-11.00
8,9,9,Jonathan Byrd,66,58.5,24,41,-6.00
9,10,10,D.A. Points,82,58.3,35,60,-5.00
10,T11,T11,Rory Sabbatini,84,58.2,32,55,-10.00
11,T11,T11,John Senden,96,58.2,39,67,-4.00
12,T13,T13,Chris DiMarco,83,57.7,30,52,-7.00
13,T13,T13,Jeff Gove,91,57.7,30,52,-7.00
14,T15,T15,David Branshaw,98,57.6,38,66,-2.00
15,T15,T15,Jim Furyk,89,57.6,19,33,-6.00
16,17,17,J.B. Holmes,81,57.4,27,47,-10.00
17,18,18,Justin Leonard,83,56.9,33,58,-13.00
18,T19,T19,John Cook,67,56.8,21,37,-3.00
19,T19,T19,Kirk Triplett,58,56.8,21,37,-4.00
20,21,21,Scott Gutschewski,53,56.4,22,39,-4.00
21,T22,T22,Stewart Cink,93,56.1,32,57,-6.00
22,T22,T22,Joe Durant,101,56.1,23,41,-4.00
23,T24,T24,Jeff Brehaut,100,56.0,42,75,-8.00
24,T24,T24,Roger Tambellini,64,56.0,28,50,-6.00
25,T26,T26,Freddie Jacobson,56,55.8,29,52,-4.00
26,T26,T26,Phil Mickelson,74,55.8,24,43,-6.00
27,T28,T28,Arron Oberholser,82,55.6,25,45,-9.00
28,T28,T28,José María Olazábal,62,55.6,20,36,-4.00
29,30,30,Alex Cejka,93,55.3,26,47,-5.00
30,31,31,Mathias Grönberg,92,55.0,44,80,-8.00
31,32,32,Jerry Kelly,100,54.8,34,62,-4.00
32,33,33,Aaron Baddeley,78,54.7,29,53,-3.00
33,34,34,Michael Connell,51,54.5,18,33,-2.00
34,35,35,J.J. Henry,96,54.3,25,46,-6.00
35,36,36,Brian Bateman,69,54.2,26,48,-4.00
36,37,37,Kevin Sutherland,100,54.1,33,61,-6.00
37,38,38,Bubba Watson,83,53.7,29,54,-2.00
38,T39,T39,Ben Curtis,86,53.4,31,58,-6.00
39,T39,T39,"Wes Short, Jr.",96,53.4,47,88,-9.00
40,41,41,Ron Whittaker,81,53.3,24,45,-3.00
41,T42,T42,Stuart Appleby,83,53.2,25,47,-4.00
42,T42,T42,Fred Funk,106,53.2,25,47,-5.00
43,44,44,Billy Andrade,78,52.7,29,55,+1.00
44,45,45,Shigeki Maruyama,94,52.6,41,78,-10.00
45,T46,T46,Bubba Dickerson,98,52.5,42,80,-10.00
46,T46,T46,Lucas Glover,105,52.5,32,61,-7.00
47,T48,T48,Robert Gamez,94,52.4,33,63,-8.00
48,T48,T48,Mathew Goggin,72,52.4,22,42,-7.00
49,T48,T48,Paul Goydos,72,52.4,22,42,-5.00
50,T48,T48,J.P. Hayes,55,52.4,22,42,-8.00
51,52,52,Len Mattiace,59,52.0,26,50,-4.00
52,T53,T53,Arjun Atwal,97,51.9,41,79,-11.00
53,T53,T53,Bernhard Langer,77,51.9,27,52,-2.00
54,T53,T53,Mike Weir,88,51.9,27,52,-6.00
55,56,56,Paul Stankowski,70,51.8,29,56,+1.00
56,57,57,Mark Wilson,79,51.7,30,58,-7.00
57,58,58,Frank Lickliter II,99,51.5,35,68,-4.00
58,T59,T59,Olin Browne,108,51.3,20,39,-4.00
59,T59,T59,Will MacKenzie,91,51.3,40,78,-7.00
60,T61,T61,Tim Clark,80,51.2,22,43,-5.00
61,T61,T61,Marco Dawson,87,51.2,43,84,-5.00
62,63,63,"John Engler, Jr.",69,51.0,25,49,-4.00
63,T64,T64,John Huston,74,50.9,29,57,-6.00
64,T64,T64,Lee Janzen,79,50.9,27,53,-9.00
65,T64,T64,Billy Mayfair,94,50.9,27,53,-2.00
66,T64,T64,Tim Petrovic,95,50.9,29,57,-1.00
67,T68,T68,Greg Chalmers,71,50.8,32,63,-7.00
68,T68,T68,James Driscoll,80,50.8,33,65,-7.00
69,T68,T68,Tag Ridings,103,50.8,33,65,-11.00
70,T71,T71,Jason Bohn,104,50.7,34,67,-6.00
71,T71,T71,Justin Rose,98,50.7,35,69,-5.00
72,73,73,Shane Bertsch,104,50.6,39,77,-12.00
73,T74,T74,Eric Axley,91,50.0,33,66,-12.00
74,T74,T74,Tim Herron,82,50.0,29,58,-3.00
75,T74,T74,David Howell,52,50.0,11,22,-3.00
76,T74,T74,Jonathan Kaye,95,50.0,28,56,-3.00
77,T74,T74,Ian Leggatt,80,50.0,20,40,-3.00
78,T74,T74,Tom Lehman,70,50.0,22,44,E
79,T74,T74,Joey Sindelar,90,50.0,31,62,-5.00
80,T74,T74,Vijay Singh,103,50.0,39,78,-13.00
81,T74,T74,Heath Slocum,96,50.0,25,50,-1.00
82,T74,T74,Jerry Smith,94,50.0,25,50,-6.00
83,T74,T74,Bo Van Pelt,102,50.0,39,78,-7.00
84,T74,T74,Camilo Villegas,95,50.0,31,62,-5.00
85,86,86,Dudley Hart,83,49.2,31,63,-2.00
86,87,87,Ben Crane,85,49.1,26,53,-9.00
87,T88,T88,David Duval,71,48.9,23,47,-10.00
88,T88,T88,Peter Lonard,77,48.9,23,47,-2.00
89,T88,T88,Greg Owen,79,48.9,23,47,-8.00
90,T91,T91,Matt Hansen,68,48.8,21,43,-8.00
91,T91,T91,Brett Quigley,109,48.8,40,82,-7.00
92,93,93,K.J. Choi,93,48.7,19,39,-4.00
93,T94,T94,Daniel Chopra,110,48.5,50,103,-9.00
94,T94,T94,David McKenzie,82,48.5,32,66,-1.00
95,96,96,Bill Haas,99,48.4,46,95,-4.00
96,97,97,Kenny Perry,73,48.3,14,29,-5.00
97,98,98,Jimmy Walker,60,48.2,27,56,-2.00
98,T99,T99,Trevor Immelman,86,48.1,25,52,-5.00
99,T99,T99,Chris Smith,67,48.1,25,52,-3.00
100,T101,T101,Brandt Jobe,91,48.0,24,50,-1.00
101,T101,T101,Chris Riley,86,48.0,24,50,-2.00
102,103,103,Charles Howell III,96,47.9,35,73,-3.00
103,104,104,Chad Campbell,91,47.8,22,46,-3.00
104,105,105,Woody Austin,107,47.7,42,88,-6.00
105,106,106,Steve Lowery,99,47.6,40,84,-6.00
106,T107,T107,Steve Flesch,119,47.4,36,76,-10.00
107,T107,T107,Rod Pampling,89,47.4,27,57,-4.00
108,T109,T109,Mark Brooks,90,47.2,25,53,-4.00
109,T109,T109,Skip Kendall,72,47.2,17,36,-4.00
110,T109,T109,Daisuke Maruyama,83,47.2,25,53,-4.00
111,T112,T112,Bob Estes,85,47.1,24,51,-4.00
112,T112,T112,Patrick Sheehan,104,47.1,41,87,-10.00
113,114,114,Jeff Sluman,101,47.0,31,66,-7.00
114,T115,T115,Alex Aragon,63,46.9,23,49,+1.00
115,T115,T115,Henrik Bjornstad,97,46.9,30,64,-4.00
116,T117,T117,Bob May,65,46.7,21,45,-6.00
117,T117,T117,Omar Uresti,61,46.7,14,30,-6.00
118,T117,T117,Charles Warren,93,46.7,28,60,-1.00
119,120,120,Retief Goosen,68,46.4,13,28,-2.00
120,121,121,Joe Ogilvie,95,46.3,31,67,-2.00
121,T122,T122,Ryuji Imada,105,46.2,43,93,-11.00
122,T122,T122,Larry Mize,53,46.2,12,26,+1.00
123,T124,T124,Robert Allenby,79,45.9,17,37,-8.00
124,T124,T124,Charley Hoffman,100,45.9,28,61,-10.00
125,126,126,Ian Poulter,53,45.8,11,24,-3.00
126,127,127,Bart Bryant,87,45.7,16,35,-3.00
127,T128,T128,Nathan Green,108,45.6,36,79,-8.00
128,T128,T128,Ted Purdy,103,45.6,31,68,-5.00
129,T128,T128,David Toms,76,45.6,26,57,-8.00
130,T131,T131,Hidemichi Tanaka,74,45.5,25,55,E
131,T131,T131,Brett Wetterich,82,45.5,20,44,-7.00
132,T133,T133,Ryan Palmer,101,45.2,33,73,-12.00
133,T133,T133,Corey Pavin,74,45.2,19,42,-1.00
134,T135,T135,Stephen Ames,63,45.0,18,40,-6.00
135,T135,T135,Ernie Els,69,45.0,18,40,-4.00
136,T135,T135,Pat Perez,50,45.0,18,40,-8.00
137,T135,T135,Duffy Waldorf,96,45.0,27,60,-8.00
138,T139,T139,Padraig Harrington,54,44.8,13,29,-2.00
139,T139,T139,Jon Mills,68,44.8,30,67,-8.00
140,T141,T141,J.L. Lewis,57,44.4,24,54,-3.00
141,T141,T141,Tjaart van der Walt,60,44.4,16,36,-4.00
142,T141,T141,Nick Watney,97,44.4,28,63,-9.00
143,T144,T144,Carlos Franco,86,44.3,39,88,-2.00
144,T144,T144,Troy Matteson,101,44.3,35,79,-5.00
145,146,146,Rich Beem,85,44.2,23,52,-5.00
146,T147,T147,Brad Faxon,78,44.1,26,59,-3.00
147,T147,T147,Mark O'Meara,52,44.1,15,34,-2.00
148,T147,T147,Jesper Parnevik,84,44.1,30,68,-7.00
149,T150,T150,Kris Cox,83,44.0,22,50,-1.00
150,T150,T150,Sean O'Hair,100,44.0,22,50,-3.00
151,T150,T150,Tom Pernice Jr.,108,44.0,22,50,-2.00
152,153,153,Craig Barlow,77,43.9,25,57,-2.00
153,154,154,Vance Veazey,59,43.8,28,64,-11.00
154,T155,T155,Greg Kraft,79,43.5,20,46,-2.00
155,T155,T155,Jeff Overton,95,43.5,27,62,-9.00
156,T155,T155,Carl Pettersson,95,43.5,27,62,-4.00
157,T155,T155,D.J. Trahan,92,43.5,27,62,-1.00
158,159,159,Adam Scott,70,42.9,15,35,-2.00
159,T160,T160,Todd Hamilton,72,42.6,23,54,-3.00
160,T160,T160,Richard Johnson,94,42.6,26,61,-3.00
161,T160,T160,Jason Schultz,77,42.6,20,47,-4.00
162,163,163,Brent Geiberger,99,42.2,27,64,-4.00
163,164,164,Paul Azinger,87,42.1,24,57,-7.00
164,165,165,John Rollins,93,42.0,29,69,-4.00
165,166,166,Nicholas Thompson,96,41.8,28,67,E
166,167,167,Dean Wilson,115,41.6,32,77,-5.00
167,168,168,Davis Love III,85,41.5,27,65,-5.00
168,169,169,Ryan Moore,68,41.4,12,29,-2.00
169,170,170,Jeff Maggert,81,41.3,19,46,-8.00
170,171,171,Tommy Armour III,65,40.5,17,42,-4.00
171,172,172,Bob Tway,81,40.4,21,52,-2.00
172,173,173,Todd Fischer,101,40.2,35,87,-8.00
173,174,174,Michael Allen,84,40.0,30,75,-4.00
174,175,175,Kent Jones,103,39.7,25,63,-9.00
175,176,176,Ryan Hietala,61,39.6,19,48,-6.00
176,177,177,Geoff Ogilvy,76,39.4,13,33,E
177,178,178,Robert Damron,91,39.1,27,69,-7.00
178,T179,T179,Briny Baird,81,38.7,12,31,-2.00
179,T179,T179,Shaun Micheel,96,38.7,24,62,-4.00
180,181,181,Steve Elkington,52,38.5,5,13,+2.00
181,182,182,Steve Jones,83,38.3,18,47,-1.00
182,T183,T183,Brian Davis,92,37.5,21,56,-4.00
183,T183,T183,Scott Verplank,88,37.5,12,32,-3.00
184,185,185,Fred Couples,52,37.1,13,35,-1.00
185,186,186,Mike Sposa,68,36.0,18,50,+1.00
186,187,187,Chris Couch,75,35.6,16,45,-5.00
187,188,188,Harrison Frazar,95,35.3,18,51,-4.00
