,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Fred Couples,17,236.1,620460.0,73
1,2,2,Vance Veazey,20,240.3,640092.0,74
2,3,3,David Duval,24,243.2,866657.0,99
3,4,4,Adam Scott,19,244.2,888055.0,101
4,5,5,Jon Mills,27,245.6,892900.0,101
5,6,6,Michael Allen,25,247.0,1075725.0,121
6,7,7,Peter Lonard,22,247.6,846704.0,95
7,T8,T8,Tim Herron,27,247.9,1061795.0,119
8,T8,T8,J.B. Holmes,26,247.9,1597619.0,179
9,10,10,Jason Gore,29,248.0,1374957.0,154
10,11,11,Todd Hamilton,27,248.7,814746.0,91
11,12,12,Jonathan Byrd,20,248.8,1182141.0,132
12,T13,T13,Ernie Els,18,249.1,1004223.0,112
13,T13,T13,Bo Van Pelt,28,249.1,1721588.0,192
14,15,15,Mark Wilson,24,249.5,952165.0,106
15,16,16,Justin Rose,28,249.7,1465260.0,163
16,17,17,Jim Furyk,24,249.8,989165.0,110
17,18,18,Len Mattiace,22,250.6,676725.0,75
18,19,19,Billy Andrade,24,250.7,884484.0,98
19,T20,T20,Aaron Baddeley,25,250.8,1246048.0,138
20,T20,T20,Bob Estes,25,250.8,1137537.0,126
21,22,22,John Senden,28,250.9,1364031.0,151
22,T23,T23,Robert Gamez,30,251.1,976208.0,108
23,T23,T23,Richard Johnson,29,251.1,1093595.0,121
24,T23,T23,Pat Perez,19,251.1,822563.0,91
25,26,26,Steve Elkington,17,251.2,678135.0,75
26,27,27,Patrick Sheehan,34,251.4,1357514.0,150
27,28,28,Steve Stricker,17,251.5,651896.0,72
28,29,29,John Huston,27,251.6,1096080.0,121
29,30,30,"John Engler, Jr.",27,251.7,924247.0,102
30,T31,T31,Daniel Chopra,33,251.8,1813092.0,200
31,T31,T31,Stewart Cink,26,251.8,1069590.0,118
32,T31,T31,Dudley Hart,29,251.8,997269.0,110
33,T31,T31,Bubba Watson,27,251.8,1876596.0,207
34,T35,T35,Henrik Bjornstad,31,252.0,1660197.0,183
35,T35,T35,K.J. Choi,26,252.0,1279310.0,141
36,T37,T37,Bart Bryant,26,252.2,926213.0,102
37,T37,T37,Tom Lehman,20,252.2,744400.0,82
38,T39,T39,Harrison Frazar,29,252.3,1680145.0,185
39,T39,T39,Steve Jones,27,252.3,899134.0,99
40,T41,T41,James Driscoll,29,252.4,1408167.0,155
41,T41,T41,Will MacKenzie,29,252.4,1472097.0,162
42,T41,T41,Phil Mickelson,19,252.4,1217525.0,134
43,T41,T41,Camilo Villegas,29,252.4,1808179.0,199
44,45,45,Ian Poulter,15,252.5,808884.0,89
45,T46,T46,Retief Goosen,18,252.6,1027717.0,113
46,T46,T46,Ryuji Imada,31,252.6,1336882.0,147
47,T46,T46,Davis Love III,23,252.6,1264154.0,139
48,T46,T46,Joe Ogilvie,29,252.6,1309301.0,144
49,T46,T46,Rory Sabbatini,24,252.6,1091214.0,120
50,T46,T46,Joey Sindelar,29,252.6,1191423.0,131
51,T52,T52,J.J. Henry,28,252.7,1282459.0,141
52,T52,T52,Trevor Immelman,24,252.7,1391636.0,153
53,T52,T52,Heath Slocum,30,252.7,1346638.0,148
54,T52,T52,Kevin Sutherland,29,252.7,1664791.0,183
55,T52,T52,Kirk Triplett,18,252.7,600302.0,66
56,57,57,Carl Pettersson,28,252.8,1310658.0,144
57,T58,T58,Jerry Kelly,31,252.9,1174259.0,129
58,T58,T58,Omar Uresti,22,252.9,637237.0,70
59,T60,T60,Steve Flesch,33,253.3,1741611.0,191
60,T60,T60,Tom Pernice Jr.,33,253.3,1486078.0,163
61,62,62,Charles Howell III,30,253.4,1642080.0,180
62,63,63,Chris Riley,27,253.5,976593.0,107
63,T64,T64,Shaun Micheel,29,253.6,1223411.0,134
64,T64,T64,David Toms,22,253.6,949391.0,104
65,66,66,Luke Donald,18,253.7,639242.0,70
66,T67,T67,Chris Couch,27,253.8,1644687.0,180
67,T67,T67,Nick Watney,29,253.8,2147107.0,235
68,T69,T69,Ben Crane,26,253.9,968987.0,106
69,T69,T69,Carlos Franco,29,253.9,1553780.0,170
70,T71,T71,Chad Campbell,25,254.0,1033127.0,113
71,T71,T71,Bill Haas,30,254.0,1847342.0,202
72,T71,T71,Charley Hoffman,29,254.0,2194426.0,240
73,74,74,J.L. Lewis,17,254.1,823421.0,90
74,T75,T75,Greg Owen,24,254.2,1491588.0,163
75,T75,T75,Paul Stankowski,22,254.2,1162297.0,127
76,T77,T77,Briny Baird,25,254.3,1180754.0,129
77,T77,T77,Brian Gay,31,254.3,1043637.0,114
78,T79,T79,Brad Faxon,26,254.5,897917.0,98
79,T79,T79,J.P. Hayes,19,254.5,723693.0,79
80,T79,T79,Bob May,21,254.5,971342.0,106
81,82,82,Stuart Appleby,23,254.6,1246348.0,136
82,83,83,Woody Austin,31,254.7,1503987.0,164
83,T84,T84,Mark O'Meara,18,254.8,311814.0,34
84,T84,T84,Brett Wetterich,25,254.8,1651050.0,180
85,T86,T86,Robert Allenby,22,254.9,1248197.0,136
86,T86,T86,Mark Brooks,36,254.9,853324.0,93
87,T86,T86,Zach Johnson,27,254.9,972763.0,106
88,T86,T86,Jason Schultz,28,254.9,1193023.0,130
89,T86,T86,Tiger Woods,15,254.9,908585.0,99
90,91,91,Ryan Moore,22,255.0,1101570.0,120
91,92,92,Rich Beem,27,255.1,1432646.0,156
92,T93,T93,Brian Bateman,26,255.3,1038601.0,113
93,T93,T93,Billy Mayfair,29,255.3,1332766.0,145
94,95,95,Steve Lowery,31,255.4,1682466.0,183
95,T96,T96,Tim Clark,22,255.5,772764.0,84
96,T96,T96,Kris Cox,28,255.5,1361232.0,148
97,T96,T96,Chris DiMarco,26,255.5,883133.0,96
98,T96,T96,Robert Garrigus,28,255.5,1857840.0,202
99,T96,T96,Chris Smith,21,255.5,1140555.0,124
100,T96,T96,Roger Tambellini,25,255.5,1094667.0,119
101,T102,T102,John Daly,21,255.6,1049150.0,114
102,T102,T102,Robert Damron,31,255.6,1140997.0,124
103,T104,T104,Arjun Atwal,33,255.7,1490996.0,162
104,T104,T104,Brian Davis,28,255.7,1573920.0,171
105,T104,T104,Tag Ridings,33,255.7,1951578.0,212
106,T107,T107,Tommy Armour III,25,255.8,699847.0,76
107,T107,T107,Jeff Maggert,26,255.8,1187770.0,129
108,T107,T107,D.J. Trahan,33,255.8,1602202.0,174
109,110,110,Lucas Glover,31,255.9,1962579.0,213
110,T111,T111,Jason Bohn,29,256.0,1640456.0,178
111,T111,T111,Joe Durant,28,256.0,1963299.0,213
112,T111,T111,Ryan Hietala,23,256.0,939912.0,102
113,T111,T111,Tim Petrovic,30,256.0,1456105.0,158
114,T111,T111,Jeff Sluman,29,256.0,1170475.0,127
115,116,116,Alex Aragon,26,256.2,968619.0,105
116,T117,T117,Eric Axley,29,256.3,1633072.0,177
117,T117,T117,Thomas Levet,18,256.3,821157.0,89
118,T117,T117,Geoff Ogilvy,20,256.3,1088796.0,118
119,T117,T117,"Wes Short, Jr.",33,256.3,1661122.0,180
120,T121,T121,Fred Funk,29,256.5,978874.0,106
121,T121,T121,Jonathan Kaye,32,256.5,1763900.0,191
122,T121,T121,Charles Warren,27,256.5,1818811.0,197
123,124,124,David Branshaw,29,256.6,1561015.0,169
124,T125,T125,Olin Browne,30,256.9,1026409.0,111
125,T125,T125,Mathew Goggin,26,256.9,1451814.0,157
126,T125,T125,Mathias Grönberg,30,256.9,1960334.0,212
127,T128,T128,Arron Oberholser,23,257.0,962375.0,104
128,T128,T128,John Rollins,28,257.0,1619256.0,175
129,T130,T130,Hidemichi Tanaka,31,257.1,749841.0,81
130,T130,T130,Duffy Waldorf,28,257.1,1554732.0,168
131,T132,T132,Brandt Jobe,28,257.2,1287116.0,139
132,T132,T132,Bernhard Langer,24,257.2,1129438.0,122
133,T132,T132,Hunter Mahan,29,257.2,1897776.0,205
134,T135,T135,Ben Curtis,26,257.4,778490.0,84
135,T135,T135,Ron Whittaker,28,257.4,973003.0,105
136,T137,T137,Paul Azinger,30,257.5,1279240.0,138
137,T137,T137,Rod Pampling,24,257.5,1056600.0,114
138,T139,T139,Stephen Ames,21,257.7,732787.0,79
139,T139,T139,Jesper Parnevik,24,257.7,1716489.0,185
140,141,141,Brett Quigley,33,257.9,1652489.0,178
141,T142,T142,Shane Bertsch,34,258.0,994000.0,107
142,T142,T142,John Cook,22,258.0,594436.0,64
143,T142,T142,Danny Ellis,23,258.0,1086594.0,117
144,T145,T145,Jeff Brehaut,33,258.1,1598204.0,172
145,T145,T145,Troy Matteson,32,258.1,1923235.0,207
146,T147,T147,Daisuke Maruyama,25,258.2,1199103.0,129
147,T147,T147,Sean O'Hair,30,258.2,1756498.0,189
148,149,149,David McKenzie,28,258.3,1116001.0,120
149,T150,T150,Bubba Dickerson,32,258.4,1915931.0,206
150,T150,T150,Scott Verplank,25,258.4,939406.0,101
151,T152,T152,Jeff Gove,29,258.5,1479864.0,159
152,T152,T152,Ian Leggatt,29,258.5,1358889.0,146
153,T152,T152,Nicholas Thompson,32,258.5,1638027.0,176
154,T155,T155,Ted Purdy,33,258.6,1694506.0,182
155,T155,T155,Dean Wilson,34,258.6,1480069.0,159
156,T157,T157,Padraig Harrington,15,258.7,828972.0,89
157,T157,T157,Bob Tway,25,258.7,1080456.0,116
158,T159,T159,David Howell,14,258.9,680471.0,73
159,T159,T159,José María Olazábal,18,258.9,773458.0,83
160,T161,T161,Marco Dawson,27,259.2,1362319.0,146
161,T161,T161,Matt Hansen,25,259.2,1185258.0,127
162,T163,T163,Justin Leonard,26,259.4,784523.0,84
163,T163,T163,Shigeki Maruyama,30,259.4,1241893.0,133
164,165,165,Kent Jones,32,259.5,1476098.0,158
165,T166,T166,Jerry Smith,29,259.6,925064.0,99
166,T166,T166,Mike Weir,24,259.6,1028160.0,110
167,T168,T168,Nathan Green,30,259.7,1729718.0,185
168,T168,T168,Tjaart van der Walt,21,259.7,719781.0,77
169,T170,T170,Mark Calcavecchia,27,259.8,1524617.0,163
