,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,J.P. Hayes,55,155.8,4991467.0,890
1,T2,T2,Ryan Hietala,61,157.3,5153708.0,910
2,T2,T2,Justin Leonard,83,157.3,6573519.0,1161
3,4,4,Kirk Triplett,58,157.4,4963539.0,876
4,5,5,John Cook,67,157.7,5580765.0,983
5,6,6,Len Mattiace,59,157.9,5281245.0,929
6,7,7,Omar Uresti,61,158.0,5180906.0,911
7,8,8,Hidemichi Tanaka,74,158.1,6589783.0,1158
8,9,9,Vance Veazey,59,158.2,5466025.0,960
9,T10,T10,Michael Allen,84,158.3,7324894.0,1285
10,T10,T10,Jon Mills,68,158.3,5498190.0,965
11,12,12,Greg Kraft,79,158.5,6845739.0,1200
12,13,13,Steve Stricker,64,158.6,5305321.0,929
13,T14,T14,Shane Bertsch,104,158.7,9179608.0,1607
14,T14,T14,Fred Funk,106,158.7,8705675.0,1524
15,16,16,Michael Connell,51,158.8,4281090.0,749
16,T17,T17,Skip Kendall,72,158.9,6007363.0,1050
17,T17,T17,Kenny Perry,73,158.9,6144316.0,1074
18,T19,T19,Larry Mize,53,159.2,4200401.0,733
19,T19,T19,David Toms,76,159.2,6361443.0,1110
20,21,21,Robert Gamez,94,159.3,8425688.0,1469
21,T22,T22,Alex Aragon,63,159.4,5537465.0,965
22,T22,T22,Jerry Smith,94,159.4,8666246.0,1510
23,24,24,J.B. Holmes,81,159.5,6458946.0,1125
24,25,25,Tommy Armour III,65,159.6,5446502.0,948
25,26,26,Joe Ogilvie,95,159.7,8031407.0,1397
26,T27,T27,Fred Couples,52,159.8,3302560.0,574
27,T27,T27,Kris Cox,83,159.8,7403581.0,1287
28,T29,T29,James Driscoll,80,159.9,7807574.0,1356
29,T29,T29,Heath Slocum,96,159.9,8657261.0,1504
30,31,31,Mark Wilson,79,160.0,7430641.0,1290
31,T32,T32,Mark Brooks,90,160.1,7637103.0,1325
32,T32,T32,Todd Hamilton,72,160.1,5792132.0,1005
33,T32,T32,Chris Smith,67,160.1,6079612.0,1055
34,T35,T35,"John Engler, Jr.",69,160.2,6510726.0,1129
35,T35,T35,Bob May,65,160.2,5541654.0,961
36,T37,T37,Zach Johnson,98,160.3,7959610.0,1379
37,T37,T37,Tjaart van der Walt,60,160.3,5391040.0,934
38,T39,T39,Robert Damron,91,160.4,8488602.0,1470
39,T39,T39,David Duval,71,160.4,5469083.0,947
40,T39,T39,Danny Ellis,68,160.4,6171007.0,1069
41,42,42,Peter Lonard,77,160.5,6833899.0,1183
42,T43,T43,Bart Bryant,87,160.6,7370546.0,1275
43,T43,T43,Greg Chalmers,71,160.6,5886312.0,1018
44,T45,T45,John Huston,74,160.7,6750662.0,1167
45,T45,T45,David McKenzie,82,160.7,7157648.0,1237
46,T45,T45,Chris Riley,86,160.7,7140603.0,1234
47,T48,T48,Tim Herron,82,160.8,6432037.0,1111
48,T48,T48,Mark O'Meara,52,160.8,3745493.0,647
49,T48,T48,Patrick Sheehan,104,160.8,9002347.0,1555
50,T51,T51,Tim Clark,80,160.9,6019496.0,1039
51,T51,T51,J.L. Lewis,57,160.9,5201808.0,898
52,T51,T51,Bubba Watson,83,160.9,7477065.0,1291
53,T54,T54,Harrison Frazar,95,161.1,7747062.0,1336
54,T54,T54,Brian Gay,107,161.1,10382533.0,1790
55,T54,T54,Bob Tway,81,161.1,6972364.0,1202
56,57,57,Olin Browne,108,161.2,8916084.0,1536
57,T58,T58,Steve Elkington,52,161.3,4774174.0,822
58,T58,T58,Rod Pampling,89,161.3,6752310.0,1163
59,T58,T58,"Wes Short, Jr.",96,161.3,8812139.0,1518
60,T61,T61,Doug Barron,74,161.4,6973306.0,1200
61,T61,T61,John Senden,96,161.4,8209641.0,1413
62,T63,T63,Woody Austin,107,161.5,9667900.0,1663
63,T63,T63,Chris DiMarco,83,161.5,6335972.0,1090
64,T63,T63,Ryuji Imada,105,161.5,9062498.0,1559
65,T63,T63,Justin Rose,98,161.5,8947160.0,1539
66,T67,T67,Ben Crane,85,161.6,6335519.0,1089
67,T67,T67,Jason Gore,86,161.6,7453167.0,1281
68,T69,T69,Billy Andrade,78,161.7,6246999.0,1073
69,T69,T69,Freddie Jacobson,56,161.7,5636062.0,968
70,T69,T69,Will MacKenzie,91,161.7,7825629.0,1344
71,T69,T69,Paul Stankowski,70,161.7,6547671.0,1125
72,T69,T69,Brett Wetterich,82,161.7,7612188.0,1308
73,74,74,Kent Jones,103,161.8,9182158.0,1576
74,T75,T75,Todd Fischer,101,161.9,9378255.0,1609
75,T75,T75,Jeff Gove,91,161.9,8458755.0,1451
76,T75,T75,Paul Goydos,72,161.9,6680870.0,1146
77,T78,T78,Arjun Atwal,97,162.0,8570587.0,1470
78,T78,T78,Bo Van Pelt,102,162.0,9398406.0,1612
79,T78,T78,Scott Verplank,88,162.0,7114721.0,1220
80,81,81,Mike Sposa,68,162.1,6056991.0,1038
81,T82,T82,Marco Dawson,87,162.2,8036625.0,1376
82,T82,T82,Adam Scott,70,162.2,5353757.0,917
83,84,84,Tag Ridings,103,162.3,9402632.0,1609
84,T85,T85,Stewart Cink,93,162.4,7663451.0,1311
85,T85,T85,Dudley Hart,83,162.4,7452522.0,1275
86,T85,T85,Richard Johnson,94,162.4,8872506.0,1518
87,T85,T85,Jeff Sluman,101,162.4,8689635.0,1486
88,T85,T85,Vaughn Taylor,88,162.4,8056813.0,1378
89,T90,T90,Luke Donald,66,162.5,4522707.0,773
90,T90,T90,Retief Goosen,68,162.5,4813255.0,823
91,T92,T92,Brian Bateman,69,162.6,6183225.0,1056
92,T92,T92,Arron Oberholser,82,162.6,6510106.0,1112
93,T94,T94,Bubba Dickerson,98,162.7,8989641.0,1535
94,T94,T94,Jonathan Kaye,95,162.7,9008889.0,1538
95,T96,T96,Stephen Ames,63,162.8,4628817.0,790
96,T96,T96,Paul Azinger,87,162.8,8368126.0,1428
97,T96,T96,Brent Geiberger,99,162.8,9425914.0,1608
98,T96,T96,J.J. Henry,96,162.8,8093858.0,1381
99,T96,T96,Jerry Kelly,100,162.8,8818040.0,1505
100,T96,T96,Shigeki Maruyama,94,162.8,8417947.0,1436
101,T96,T96,Nicholas Thompson,96,162.8,8215448.0,1402
102,T103,T103,Briny Baird,81,162.9,7366271.0,1256
103,T103,T103,Henrik Bjornstad,97,162.9,9336288.0,1592
104,T103,T103,Chad Campbell,91,162.9,7059058.0,1204
105,T103,T103,Jason Schultz,77,162.9,6818676.0,1163
106,T103,T103,Joey Sindelar,90,162.9,7995117.0,1363
107,T108,T108,Jason Bohn,104,163.0,9384698.0,1599
108,T108,T108,Brian Davis,92,163.0,8503994.0,1449
109,T108,T108,Bob Estes,85,163.0,7903312.0,1347
