,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
138,139,139,J.L. Lewis,57,160.7,989318.0,171
139,140,140,Adam Scott,70,160.8,845225.0,146
140,141,141,Fred Couples,52,160.9,677736.0,117
141,142,142,"John Engler, Jr.",69,161.0,1391345.0,240
142,143,143,Shane Bertsch,104,161.1,1711204.0,295
143,T144,T144,Ryan Hietala,61,161.2,1114357.0,192
144,T144,T144,Zach Johnson,98,161.2,1224342.0,211
145,T146,T146,Paul Azinger,87,161.3,1237030.0,213
146,T146,T146,Olin Browne,108,161.3,1561822.0,269
147,T148,T148,Ben Curtis,86,161.4,1133083.0,195
148,T148,T148,Richard Johnson,94,161.4,1289825.0,222
149,T148,T148,Mike Sposa,68,161.4,1109673.0,191
150,T151,T151,Frank Lickliter II,99,161.5,1307834.0,225
151,T151,T151,Pat Perez,50,161.5,872352.0,150
152,T151,T151,Mark Wilson,79,161.5,1186173.0,204
153,T154,T154,Marco Dawson,87,161.6,1355545.0,233
154,T154,T154,Sergio Garcia,59,161.6,750404.0,129
155,T156,T156,Lee Janzen,79,161.7,1432243.0,246
156,T156,T156,Nick Watney,97,161.7,1478224.0,254
157,T158,T158,Daniel Chopra,110,161.8,1549134.0,266
158,T158,T158,Steve Jones,83,161.8,1310905.0,225
159,160,160,Ron Whittaker,81,162.0,1324194.0,227
160,T161,T161,Robert Allenby,79,162.1,962587.0,165
161,T161,T161,Ryuji Imada,105,162.1,1464724.0,251
162,T161,T161,Tim Petrovic,95,162.1,1528516.0,262
163,T164,T164,Matt Hansen,68,162.4,1157481.0,198
164,T164,T164,Greg Owen,79,162.4,917913.0,157
165,166,166,Jesper Parnevik,84,162.5,1141034.0,195
166,T167,T167,Aaron Baddeley,78,162.6,1281909.0,219
167,T167,T167,Jeff Sluman,101,162.6,1422470.0,243
168,169,169,Steve Elkington,52,162.7,679397.0,116
169,170,170,Chris Riley,86,162.8,1242625.0,212
170,T171,T171,Mark Calcavecchia,94,162.9,1560080.0,266
171,T171,T171,Corey Pavin,74,162.9,885538.0,151
172,173,173,Daisuke Maruyama,83,163.0,1284848.0,219
173,174,174,Tom Pernice Jr.,108,163.2,1521292.0,259
174,175,175,Shigeki Maruyama,94,163.5,1383020.0,235
175,T176,T176,Stuart Appleby,83,163.7,1019378.0,173
176,T176,T176,Shaun Micheel,96,163.7,1231768.0,209
177,178,178,Tiger Woods,55,163.9,442436.0,75
178,T179,T179,Brad Faxon,78,164.7,1535608.0,259
179,T179,T179,Todd Fischer,101,164.7,1737009.0,293
180,181,181,Billy Mayfair,94,164.8,1251862.0,211
181,T182,T182,Jonathan Byrd,66,164.9,807529.0,136
182,T182,T182,Alex Cejka,93,164.9,1436756.0,242
183,184,184,Brian Gay,107,165.0,1479326.0,249
184,T185,T185,Nathan Green,108,165.1,1598726.0,269
185,T185,T185,Mark O'Meara,52,165.1,731222.0,123
186,T187,T187,Brandt Jobe,91,165.4,1262609.0,212
187,T187,T187,Jerry Kelly,100,165.4,1321845.0,222
188,189,189,Joey Sindelar,90,165.7,1389725.0,233
189,190,190,D.A. Points,82,166.3,1436509.0,240
190,191,191,Paul Goydos,72,166.5,1126880.0,188
191,192,192,Stephen Leaney,84,166.8,1194721.0,199
192,193,193,Mark Brooks,90,166.9,1400343.0,233
193,194,194,David Branshaw,98,167.7,1448802.0,240
194,195,195,Jim Furyk,89,168.0,731630.0,121
195,196,196,Thomas Levet,53,169.2,938034.0,154
